date,医药生物,综合,化工,建筑材料,有色金属,采掘,钢铁,电气设备,轻工制造,食品饮料,公用事业,银行,交通运输,休闲服务,家用电器,纺织服装,建筑装饰,计算机,国防军工,房地产,传媒,汽车,机械设备,非银金融,通信,商业贸易,电子,农林牧渔
2017-01-03,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-04,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-05,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-06,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-09,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-10,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-11,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-12,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-13,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-16,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-17,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-18,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-19,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-20,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-23,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-24,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-25,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-01-26,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-02-03,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-02-06,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
2017-02-07,13,0,3,2,3,1,0,5,0,11,4,5,2,2,4,0,3,6,1,6,4,7,3,6,5,2,6,3
