date,医药生物,综合,化工,建筑材料,有色金属,采掘,钢铁,电气设备,轻工制造,食品饮料,公用事业,银行,交通运输,休闲服务,家用电器,纺织服装,建筑装饰,计算机,国防军工,房地产,传媒,汽车,机械设备,非银金融,通信,商业贸易,电子,农林牧渔
2017-01-03,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,1,2,1,1,1,2,1
2017-01-04,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,1,2,1,1,1,2,1
2017-01-05,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,1,2,1,1,1,2,1
2017-01-06,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,1,2,1,1,1,2,1
2017-01-09,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,1,2,1,1,1,2,1
2017-01-10,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,1,2,1,1,1,2,1
2017-01-11,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,1,2,1,1,1,2,1
2017-01-12,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,1,2,1,1,1,2,1
2017-01-13,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,1,2,1,1,1,2,1
2017-01-16,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,3,1,2,1,1,2,1,1,1,2,1
2017-01-17,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,3,1,2,1,1,2,1,1,1,2,1
2017-01-18,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,3,1,2,1,1,2,1,1,1,2,1
2017-01-19,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,3,1,2,1,1,2,1,1,1,2,1
2017-01-20,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,3,1,2,1,1,2,1,1,1,2,1
2017-01-23,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,4,1,2,1,1,2,1,1,1,2,1
2017-01-24,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,4,1,2,1,1,2,1,1,1,2,1
2017-01-25,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,4,1,2,1,1,2,1,1,1,2,1
2017-01-26,3,0,2,1,1,1,0,2,2,1,2,0,2,1,1,0,1,4,1,2,1,1,2,1,1,1,2,1
2017-02-03,3,0,2,1,2,1,0,2,2,1,2,0,2,1,1,0,1,4,1,2,1,2,2,1,1,1,2,1
2017-02-06,3,0,2,1,2,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,1
2017-02-07,3,0,1,1,2,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,1
2017-02-08,3,0,1,1,2,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,1
2017-02-09,3,0,1,1,2,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,1
2017-02-10,3,0,1,1,2,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,1
2017-02-13,3,0,1,1,2,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,1
2017-02-14,3,0,1,1,2,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,1
2017-02-15,3,0,1,1,2,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,1
2017-02-16,3,0,1,1,2,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,1
2017-02-17,3,0,1,1,2,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,1
2017-02-20,3,0,1,1,2,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-02-21,3,0,1,1,2,1,0,2,2,1,1,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-02-22,3,0,1,1,2,1,0,2,2,1,1,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-02-23,3,0,1,1,2,1,0,2,2,1,1,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-02-24,3,0,1,1,2,1,0,2,2,1,1,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-02-27,3,0,2,1,2,1,0,2,2,1,1,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-02-28,3,0,2,1,2,1,0,2,2,1,1,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-03-01,3,0,2,1,2,1,0,2,2,1,1,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-03-02,3,0,2,1,2,1,0,2,2,1,1,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-03-03,3,0,2,1,2,1,0,2,2,1,1,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-03-06,3,0,2,1,2,1,0,2,2,1,2,0,2,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-03-07,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-03-08,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-03-09,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-03-10,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-03-13,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-03-14,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-03-15,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-03-16,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-03-17,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-03-20,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-03-21,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-03-22,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-03-23,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-03-24,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-03-27,4,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-03-28,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-03-29,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-03-30,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-03-31,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-04-05,3,0,1,1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-04-06,3,0,1,1,1,1,0,2,2,1,2,0,1,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-04-07,3,0,1,1,1,1,0,2,2,1,2,0,1,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-04-10,3,0,1,1,1,1,0,2,2,1,2,0,1,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-04-11,3,0,1,1,1,1,0,2,2,1,2,0,1,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-04-12,3,0,1,1,1,1,0,2,2,1,2,0,1,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-04-13,3,0,1,1,1,1,0,2,2,1,2,0,1,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-04-14,3,0,1,1,1,1,0,2,2,1,2,0,1,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-04-17,3,0,1,1,1,2,0,2,2,1,2,0,1,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-04-18,3,0,1,1,1,2,0,2,2,1,2,0,1,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-04-19,3,0,1,1,1,2,0,2,2,1,2,0,1,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-04-20,3,0,1,1,1,2,0,2,2,1,2,0,1,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-04-21,3,0,1,1,1,2,0,2,2,1,2,0,1,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-04-24,3,0,1,1,1,2,0,2,2,2,2,0,1,1,1,0,1,2,1,3,1,2,2,1,1,1,2,2
2017-04-25,3,0,1,1,1,1,0,2,2,2,2,0,1,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-04-26,3,0,1,1,1,1,0,2,2,2,2,0,1,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-04-27,3,0,1,1,1,1,0,2,2,2,2,0,1,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-04-28,3,0,1,1,1,1,0,2,2,2,2,0,1,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
2017-05-02,3,0,1,1,1,2,0,3,2,2,2,0,1,1,1,0,1,2,1,2,1,2,2,1,1,1,2,2
