con_code,weight
600570.SH,0.2166
600030.SH,1.3132
600549.SH,0.0976
600050.SH,0.6487
600535.SH,0.2711
600895.SH,0.1386
600893.SH,0.2706
600887.SH,1.1765
600886.SH,0.314
600875.SH,0.1246
600873.SH,0.1457
600871.SH,0.0685
600867.SH,0.2118
601607.SH,0.2729
600839.SH,0.1623
600837.SH,1.225
600827.SH,0.135
600820.SH,0.2096
600816.SH,0.2147
600804.SH,0.2316
600795.SH,0.3997
600783.SH,0.0706
600754.SH,0.0484
600741.SH,0.2343
600739.SH,0.2236
600737.SH,0.1198
600718.SH,0.2003
600705.SH,0.2864
600704.SH,0.1281
600703.SH,0.3344
600690.SH,0.3775
600688.SH,0.1459
600685.SH,0.1154
600674.SH,0.2045
600666.SH,0.1335
600663.SH,0.175
600660.SH,0.3251
600654.SH,0.1374
600649.SH,0.2135
600648.SH,0.0769
600637.SH,0.3063
600606.SH,0.2016
600588.SH,0.1359
600585.SH,0.4367
600583.SH,0.1752
600582.SH,0.0995
600519.SH,2.0054
600518.SH,0.5676
600498.SH,0.1335
600415.SH,0.2197
600383.SH,0.2593
600376.SH,0.1401
600373.SH,0.1282
600372.SH,0.1056
600369.SH,0.1824
600362.SH,0.1505
600332.SH,0.1625
600309.SH,0.3261
600297.SH,0.1587
600276.SH,0.7861
600256.SH,0.1521
600252.SH,0.1296
600221.SH,0.233
600208.SH,0.174
600196.SH,0.2883
600188.SH,0.0448
600177.SH,0.2212
600170.SH,0.1819
600157.SH,0.2036
600153.SH,0.1939
600150.SH,0.2031
600118.SH,0.196
600115.SH,0.2116
600111.SH,0.276
600109.SH,0.304
001979.SZ,0.4379
601155.SH,0.1463
601127.SH,0.0444
601611.SH,0.094
601985.SH,0.3544
603885.SH,0.0615
600959.SH,0.1679
601021.SH,0.0856
002739.SZ,0.2728
600023.SH,0.2403
000333.SZ,1.5288
601939.SH,0.4134
601169.SH,1.2348
002174.SZ,0.0999
002714.SZ,0.116
601608.SH,0.0799
603993.SH,0.2062
603000.SH,0.096
300315.SZ,0.1756
601928.SH,0.0795
601800.SH,0.2919
601555.SH,0.271
601225.SH,0.1268
601669.SH,0.3495
300251.SZ,0.0852
002594.SZ,0.2752
002568.SZ,0.0391
601258.SH,0.1517
601216.SH,0.127
300182.SZ,0.1038
601933.SH,0.2266
300146.SZ,0.0837
300168.SZ,0.128
601211.SH,0.8659
002736.SZ,0.3742
000166.SZ,0.387
300144.SZ,0.1166
600958.SH,0.4751
002500.SZ,0.1306
601818.SH,0.6703
002475.SZ,0.2226
601336.SH,0.3606
300133.SZ,0.0799
601377.SH,0.3726
002470.SZ,0.1174
300104.SZ,0.4122
601018.SH,0.225
002465.SZ,0.2101
300124.SZ,0.2225
601718.SH,0.1364
300085.SZ,0.0531
002450.SZ,0.4854
601118.SH,0.0852
002466.SZ,0.2904
300072.SZ,0.3832
300070.SZ,0.3424
002456.SZ,0.2952
002426.SZ,0.1346
002424.SZ,0.0773
002415.SZ,0.5982
300059.SZ,0.3306
300058.SZ,0.1219
002385.SZ,0.1392
601688.SH,0.5751
300027.SZ,0.1696
300033.SZ,0.1426
300015.SZ,0.1255
300017.SZ,0.1997
601877.SH,0.0889
601618.SH,0.3033
002310.SZ,0.1927
601989.SH,0.7146
002299.SZ,0.0846
601888.SH,0.2877
600999.SH,0.3859
002292.SZ,0.1096
601727.SH,0.2706
601633.SH,0.1709
300002.SZ,0.1355
601766.SH,1.0605
601788.SH,0.3111
601668.SH,1.458
601288.SH,1.3116
601198.SH,0.2115
002673.SZ,0.2617
002797.SZ,0.0715
601901.SH,0.3558
002241.SZ,0.3168
002252.SZ,0.2076
002236.SZ,0.2426
002230.SZ,0.3356
601186.SH,0.6442
601958.SH,0.0803
601099.SH,0.333
601899.SH,0.3875
300024.SZ,0.2465
601601.SH,0.886
601866.SH,0.1362
002202.SZ,0.26
601390.SH,0.7024
002195.SZ,0.1157
601857.SH,0.3965
002304.SZ,0.5387
601088.SH,0.3922
002183.SZ,0.1561
002152.SZ,0.1071
601009.SH,0.4483
002142.SZ,0.3673
601919.SH,0.2377
601600.SH,0.3347
601328.SH,1.756
601998.SH,0.2122
000338.SZ,0.2872
002131.SZ,0.0972
002129.SZ,0.112
601318.SH,4.1162
601166.SH,2.232
601628.SH,0.431
601333.SH,0.1831
601872.SH,0.119
601398.SH,1.0714
002074.SZ,0.157
002085.SZ,0.1996
600018.SH,0.198
002081.SZ,0.1849
601111.SH,0.1722
601006.SH,0.4672
600048.SH,0.7025
002146.SZ,0.1281
002153.SZ,0.0718
002065.SZ,0.2088
601988.SH,0.7944
002049.SZ,0.1152
002027.SZ,0.0759
002024.SZ,0.418
600482.SH,0.1267
002008.SZ,0.237
002007.SZ,0.2072
000100.SZ,0.2725
600340.SH,0.2723
600446.SH,0.11
600900.SH,0.8997
600021.SH,0.1096
600406.SH,0.2482
600015.SH,0.6233
600547.SH,0.2748
600489.SH,0.2091
600485.SH,0.2186
600352.SH,0.2216
600029.SH,0.2935
600271.SH,0.2401
600031.SH,0.2865
600104.SH,0.9111
600100.SH,0.2572
600089.SH,0.3787
600085.SH,0.1779
600074.SH,0.131
600068.SH,0.3435
600066.SH,0.2951
600061.SH,0.1731
600060.SH,0.1461
600038.SH,0.1221
600037.SH,0.1106
600036.SH,2.0146
600028.SH,0.6298
600019.SH,0.6094
600016.SH,2.0606
600010.SH,0.3091
600009.SH,0.2988
600008.SH,0.1158
600000.SH,1.4312
000983.SZ,0.1628
000977.SZ,0.1192
000963.SZ,0.2302
000938.SZ,0.085
000917.SZ,0.1584
000895.SZ,0.2305
000876.SZ,0.1735
000858.SZ,0.8382
000839.SZ,0.2951
000826.SZ,0.189
000800.SZ,0.0978
000793.SZ,0.2316
000792.SZ,0.1432
000783.SZ,0.3398
000778.SZ,0.1339
000776.SZ,0.5262
000768.SZ,0.3523
000750.SZ,0.1968
000738.SZ,0.1165
000728.SZ,0.262
000725.SZ,0.8665
000718.SZ,0.0894
000712.SZ,0.11
000709.SZ,0.1727
000686.SZ,0.1756
000671.SZ,0.0917
000651.SZ,1.5507
000630.SZ,0.2089
000627.SZ,0.0997
000625.SZ,0.317
000623.SZ,0.2242
000568.SZ,0.3028
000559.SZ,0.1455
000555.SZ,0.0569
000540.SZ,0.1974
000538.SZ,0.454
000503.SZ,0.2649
000425.SZ,0.1809
000423.SZ,0.3534
000415.SZ,0.1383
000413.SZ,0.2286
000402.SZ,0.1465
000157.SZ,0.2178
000156.SZ,0.1003
000069.SZ,0.2498
000063.SZ,0.4223
000061.SZ,0.0774
000060.SZ,0.1807
000039.SZ,0.1276
000027.SZ,0.0888
000009.SZ,0.2056
000008.SZ,0.0753
000002.SZ,1.4348
000001.SZ,0.8098
