con_code,weight
600528.SH,0.244
002269.SZ,0.178
600787.SH,0.245
600773.SH,0.139
300085.SZ,0.26
002681.SZ,0.166
002251.SZ,0.138
600640.SH,0.106
600517.SH,0.178
002384.SZ,0.19
600639.SH,0.174
002168.SZ,0.298
300267.SZ,0.27
000930.SZ,0.308
600917.SH,0.049
601010.SH,0.145
603188.SH,0.179
600664.SH,0.364
600108.SH,0.232
002588.SZ,0.17
300274.SZ,0.255
600879.SH,0.337
002273.SZ,0.324
601929.SH,0.268
000887.SZ,0.381
601101.SH,0.091
000998.SZ,0.351
002400.SZ,0.374
600498.SH,0.372
002092.SZ,0.26
600618.SH,0.091
600175.SH,0.172
000931.SZ,0.13
000877.SZ,0.112
000680.SZ,0.15
600645.SH,0.303
600187.SH,0.2
603698.SH,0.064
603883.SH,0.111
002665.SZ,0.234
600761.SH,0.124
000921.SZ,0.087
600200.SH,0.262
600812.SH,0.155
002005.SZ,0.166
600770.SH,0.281
600572.SH,0.19
600507.SH,0.077
600575.SH,0.146
600176.SH,0.267
300055.SZ,0.319
002440.SZ,0.206
002439.SZ,0.406
002595.SZ,0.299
600536.SH,0.207
002461.SZ,0.071
600073.SH,0.172
601168.SH,0.337
603555.SH,0.093
000049.SZ,0.143
000563.SZ,0.206
002237.SZ,0.179
600195.SH,0.115
000970.SZ,0.408
002029.SZ,0.132
002277.SZ,0.136
002049.SZ,0.294
002085.SZ,0.435
600635.SH,0.36
600259.SH,0.26
601126.SH,0.115
002254.SZ,0.178
000603.SZ,0.137
600850.SH,0.136
000099.SZ,0.17
600433.SH,0.206
601886.SH,0.15
000726.SZ,0.15
600563.SH,0.181
600436.SH,0.339
600122.SH,0.525
000897.SZ,0.153
002482.SZ,0.143
600067.SH,0.202
600429.SH,0.111
600180.SH,0.129
600597.SH,0.222
002181.SZ,0.12
601000.SH,0.189
002285.SZ,0.183
000525.SZ,0.087
300257.SZ,0.179
603328.SH,0.127
601965.SH,0.094
000572.SZ,0.172
600614.SH,0.144
002342.SZ,0.13
603369.SH,0.184
600074.SH,0.377
600754.SH,0.212
600611.SH,0.265
600884.SH,0.25
600062.SH,0.196
600826.SH,0.166
000919.SZ,0.117
000566.SZ,0.273
002271.SZ,0.273
600487.SH,0.31
002373.SZ,0.195
600978.SH,0.397
002463.SZ,0.209
603077.SH,0.134
002508.SZ,0.368
600161.SH,0.219
600298.SH,0.222
600736.SH,0.186
000777.SZ,0.202
300202.SZ,0.173
600280.SH,0.112
600584.SH,0.404
000669.SZ,0.116
002048.SZ,0.26
002678.SZ,0.068
002191.SZ,0.264
600551.SH,0.114
000939.SZ,0.174
002493.SZ,0.083
600699.SH,0.373
002140.SZ,0.097
600120.SH,0.178
600392.SH,0.268
600284.SH,0.173
002392.SZ,0.088
002354.SZ,0.134
002396.SZ,0.181
600422.SH,0.214
600409.SH,0.177
002299.SZ,0.343
600094.SH,0.305
603025.SH,0.047
000758.SZ,0.282
002244.SZ,0.189
002194.SZ,0.072
000685.SZ,0.186
000816.SZ,0.196
600335.SH,0.104
600516.SH,0.266
600872.SH,0.199
002419.SZ,0.089
002727.SZ,0.138
000088.SZ,0.147
600869.SH,0.157
000860.SZ,0.263
600064.SH,0.239
000616.SZ,0.225
000732.SZ,0.216
000547.SZ,0.325
600236.SH,0.152
601801.SH,0.131
600240.SH,0.244
002249.SZ,0.068
002190.SZ,0.181
002340.SZ,0.425
600894.SH,0.181
000848.SZ,0.175
600825.SH,0.122
600835.SH,0.186
600292.SH,0.148
600511.SH,0.234
000066.SZ,0.215
600881.SH,0.264
000997.SZ,0.329
000090.SZ,0.159
600312.SH,0.291
002128.SZ,0.07
600380.SH,0.214
600270.SH,0.186
002648.SZ,0.062
600482.SH,0.36
002217.SZ,0.245
600143.SH,0.283
000829.SZ,0.258
002203.SZ,0.103
000690.SZ,0.267
600803.SH,0.114
000631.SZ,0.129
600059.SH,0.135
603019.SH,0.197
600586.SH,0.13
000488.SZ,0.217
002345.SZ,0.123
002022.SZ,0.231
600809.SH,0.16
002233.SZ,0.087
300115.SZ,0.286
600801.SH,0.038
600418.SH,0.291
601233.SH,0.133
002568.SZ,0.179
600320.SH,0.211
600864.SH,0.113
002063.SZ,0.19
600499.SH,0.243
002371.SZ,0.156
600997.SH,0.095
600525.SH,0.42
600808.SH,0.217
600458.SH,0.152
600376.SH,0.341
600496.SH,0.133
000012.SZ,0.343
000031.SZ,0.254
600720.SH,0.121
300134.SZ,0.231
603806.SH,0.067
000951.SZ,0.072
002013.SZ,0.229
002431.SZ,0.26
600017.SH,0.23
002041.SZ,0.156
600851.SH,0.319
