index_code,con_code,in_date,out_date,is_new,industry_name,level,ts_code,name,list_date,delist_date
801020.SI,603619.SH,20171124,,Y,采掘,L1,603619.SH,中曼石油,20171117,
801020.SI,600968.SH,20190703,,Y,采掘,L1,600968.SH,海油发展,20190626,
801020.SI,600348.SH,20030821,,Y,采掘,L1,600348.SH,阳泉煤业,20030821,
801020.SI,600121.SH,19980107,,Y,采掘,L1,600121.SH,郑州煤电,19980107,
801020.SI,600157.SH,20120702,,Y,采掘,L1,600157.SH,永泰能源,19980513,
801020.SI,600792.SH,20120702,,Y,采掘,L1,600792.SH,云煤能源,19970123,
801020.SI,600123.SH,19981217,,Y,采掘,L1,600123.SH,兰花科创,19981217,
801020.SI,600188.SH,19980701,,Y,采掘,L1,600188.SH,兖州煤业,19980701,
801020.SI,000983.SZ,20000726,,Y,采掘,L1,000983.SZ,西山煤电,20000726,
801020.SI,600508.SH,20060207,,Y,采掘,L1,600508.SH,上海能源,20010829,
801020.SI,600971.SH,20040817,,Y,采掘,L1,600971.SH,恒源煤电,20040817,
801020.SI,000968.SZ,20000622,,Y,采掘,L1,000968.SZ,蓝焰控股,20000622,
801020.SI,600408.SH,20050401,,Y,采掘,L1,600408.SH,ST安泰,20030212,
801020.SI,000571.SZ,20111010,,Y,采掘,L1,000571.SZ,*ST大洲,19940525,
801020.SI,002554.SZ,20111010,,Y,采掘,L1,002554.SZ,惠博普,20110225,
801020.SI,300157.SZ,20111010,,Y,采掘,L1,300157.SZ,恒泰艾普,20110107,
801020.SI,300164.SZ,20111010,,Y,采掘,L1,300164.SZ,通源石油,20110113,
801020.SI,300191.SZ,20111010,,Y,采掘,L1,300191.SZ,潜能恒信,20110316,
801020.SI,600532.SH,20111010,,Y,采掘,L1,600532.SH,宏达矿业,20021031,
801020.SI,600583.SH,20111010,,Y,采掘,L1,600583.SH,海油工程,20020205,
801020.SI,601808.SH,20111010,,Y,采掘,L1,601808.SH,中海油服,20070928,
801020.SI,002629.SZ,20111110,,Y,采掘,L1,002629.SZ,*ST仁智,20111103,
801020.SI,600740.SH,20050401,,Y,采掘,L1,600740.SH,山西焦化,19960808,
801020.SI,601001.SH,20060703,,Y,采掘,L1,601001.SH,大同煤业,20060623,
801020.SI,600397.SH,20020702,,Y,采掘,L1,600397.SH,安源煤业,20020702,
801020.SI,000552.SZ,20061010,,Y,采掘,L1,000552.SZ,靖远煤电,19940106,
801020.SI,601699.SH,20061009,,Y,采掘,L1,601699.SH,潞安环能,20060922,
801020.SI,000780.SZ,20070703,,Y,采掘,L1,000780.SZ,平庄能源,19970606,
801020.SI,600395.SH,20010531,,Y,采掘,L1,600395.SH,盘江股份,20010531,
801020.SI,601666.SH,20061201,,Y,采掘,L1,601666.SH,平煤股份,20061123,
801020.SI,002128.SZ,20070426,,Y,采掘,L1,002128.SZ,露天煤业,20070418,
801020.SI,002207.SZ,20080205,,Y,采掘,L1,002207.SZ,ST准油,20080128,
801020.SI,601857.SH,20071113,,Y,采掘,L1,601857.SH,中国石油,20071105,
801020.SI,000723.SZ,20070703,,Y,采掘,L1,000723.SZ,美锦能源,19970515,
801020.SI,601918.SH,20071227,,Y,采掘,L1,601918.SH,新集能源,20071219,
801020.SI,601088.SH,20071017,,Y,采掘,L1,601088.SH,中国神华,20071009,
801020.SI,601898.SH,20080218,,Y,采掘,L1,601898.SH,中煤能源,20080201,
801020.SI,000655.SZ,20070703,,Y,采掘,L1,000655.SZ,金岭矿业,19961128,
801020.SI,600295.SH,20130701,,Y,采掘,L1,600295.SH,鄂尔多斯,20010426,
801020.SI,600997.SH,20040602,,Y,采掘,L1,600997.SH,开滦股份,20040602,
801020.SI,600546.SH,20091012,,Y,采掘,L1,600546.SH,山煤国际,20030731,
801020.SI,601101.SH,20100409,,Y,采掘,L1,601101.SH,昊华能源,20100331,
801020.SI,601011.SH,20110317,,Y,采掘,L1,601011.SH,宝泰隆,20110309,
801020.SI,000937.SZ,19990909,,Y,采掘,L1,000937.SZ,冀中能源,19990909,
801020.SI,600403.SH,20100602,,Y,采掘,L1,600403.SH,大有能源,20031009,
801020.SI,601225.SH,20140211,,Y,采掘,L1,601225.SH,陕西煤业,20140128,
801020.SI,000762.SZ,19970708,,Y,采掘,L1,000762.SZ,西藏矿业,19970708,
801020.SI,601969.SH,20141216,,Y,采掘,L1,601969.SH,海南矿业,20141209,
801020.SI,002738.SZ,20150108,,Y,采掘,L1,002738.SZ,中矿资源,20141230,
801020.SI,601015.SH,20141112,,Y,采掘,L1,601015.SH,陕西黑猫,20141105,
801020.SI,603979.SH,20150707,,Y,采掘,L1,603979.SH,金诚信,20150630,
801020.SI,600871.SH,20150701,,Y,采掘,L1,600871.SH,石化油服,19950411,
801020.SI,600759.SH,20150701,,Y,采掘,L1,600759.SH,洲际油气,19961008,
