ts_code,total_mv,ln_total_mv
603320.SH,182700.0,12.115600742366098
300471.SZ,332989.36,12.715865816500154
300516.SZ,651240.0,13.386633516845452
300184.SZ,981405.7989,13.796741311424233
601002.SH,510492.36,13.143130950754987
002611.SZ,790618.2513,13.580570514956452
603329.SH,224268.0,12.320597044258303
603069.SH,201292.0,12.212511869159075
600976.SH,274736.8926,12.523569164485467
000788.SZ,405867.4364,12.91378187393739
600290.SH,327518.4132,12.699299555988413
300142.SZ,4215652.2101,15.25431487294008
002332.SZ,706399.58,13.467936333707724
603232.SH,368290.916,12.816628437453442
300025.SZ,281973.1098,12.549566990054494
300605.SZ,226645.6188,12.331142925937293
600674.SH,4239261.2822,15.25989958613282
600723.SH,417430.3892,12.941873076916556
300169.SZ,171141.7785,12.050247605994711
603721.SH,226200.0,12.329174842664157
600166.SH,1454088.6212,14.189889885149455
000673.SZ,253296.1414,12.442314602553564
601838.SH,3023454.3666,14.921910565675933
300437.SZ,248887.0401,12.424754418297772
600291.SH,1055900.1891,13.86990422088352
002869.SZ,759692.2,13.540668630227863
601518.SH,368657.868,12.817624305927056
300425.SZ,325190.7984,12.692167361052524
002252.SZ,4382642.0692,15.29316231263943
300047.SZ,558026.588,13.232161888973803
002802.SZ,222875.95,12.314370617635324
300567.SZ,1266515.5932,14.051780060389133
002231.SZ,260107.2,12.468849132714512
600795.SH,4892949.0634,15.40330576012102
001696.SZ,696176.3674,13.453358308652618
000679.SZ,139352.4,11.84476125558202
603039.SH,989020.0197,13.804469852766001
601929.SH,718652.5733,13.485133311714636
002101.SZ,367330.7225,12.814017872469869
600507.SH,1276933.5069,14.059972063886093
600469.SH,304265.5531,12.625656129017335
603708.SH,1554462.0,14.256640063022942
600552.SH,407914.0576,12.918811788060662
002553.SZ,201144.0,12.211776348446852
002665.SZ,921555.6275,13.733818420520725
300632.SZ,347667.6943,12.759002401111006
002093.SZ,955110.0,13.76958179607586
002619.SZ,562693.3505,13.240490088219861
300183.SZ,704616.3168,13.465408702157333
603887.SH,485765.2079,13.093480674829888
300591.SZ,214968.0,12.27824445882314
002769.SZ,343452.6097,12.74680441809911
300482.SZ,1563800.1179,14.26262939006582
002557.SZ,1239615.0,14.030311405500155
300053.SZ,843994.1708,13.645900866919172
