date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,320023.425,49541182.0,1.0,49861205.425,0.997224,50000000.0
2017-01-04,320023.425,49936659.0,0.997,50256682.425,1.005134,50000000.0
2017-01-05,320023.425,49927620.0,1.005,50247643.425,1.004953,50000000.0
2017-01-06,320023.425,49619028.0,1.005,49939051.425,0.998781,50000000.0
2017-01-09,320023.425,49864102.0,0.999,50184125.425,1.003683,50000000.0
2017-01-10,320023.425,49777481.0,1.004,50097504.425,1.00195,50000000.0
2017-01-11,320023.425,49415884.0,1.002,49735907.425,0.994718,50000000.0
2017-01-12,320023.425,49159698.0,0.995,49479721.425,0.989594,50000000.0
2017-01-13,320023.425,49196365.0,0.99,49516388.425,0.990328,50000000.0
2017-01-16,320023.425,49192714.0,0.99,49512737.425,0.990255,50000000.0
2017-01-17,320023.425,49272861.0,0.99,49592884.425,0.991858,50000000.0
2017-01-18,320023.425,49472587.0,0.992,49792610.425,0.995852,50000000.0
2017-01-19,320023.425,49320654.0,0.996,49640677.425,0.992814,50000000.0
2017-01-20,320023.425,49710549.0,0.993,50030572.425,1.000611,50000000.0
2017-01-23,320023.425,49852856.0,1.001,50172879.425,1.003458,50000000.0
2017-01-24,320023.425,49868033.0,1.003,50188056.425,1.003761,50000000.0
2017-01-25,320023.425,50046655.0,1.004,50366678.425,1.007334,50000000.0
2017-01-26,320023.425,50230092.0,1.007,50550115.425,1.011002,50000000.0
2017-02-03,320023.425,49873604.0,1.011,50193627.425,1.003873,50000000.0
2017-02-06,320023.425,50004920.0,1.004,50324943.425,1.006499,50000000.0
2017-02-07,320023.425,49895794.0,1.006,50215817.425,1.004316,50000000.0
2017-02-08,320023.425,50156925.0,1.004,50476948.425,1.009539,50000000.0
2017-02-09,320023.425,50354090.0,1.01,50674113.425,1.013482,50000000.0
2017-02-10,320023.425,50617923.0,1.013,50937946.425,1.018759,50000000.0
2017-02-13,320023.425,50962828.0,1.019,51282851.425,1.025657,50000000.0
2017-02-14,320023.425,50948195.0,1.026,51268218.425,1.025364,50000000.0
2017-02-15,320023.425,50742853.0,1.025,51062876.425,1.021258,50000000.0
2017-02-16,320023.425,51028754.0,1.021,51348777.425,1.026976,50000000.0
2017-02-17,320023.425,50734888.0,1.027,51054911.425,1.021098,50000000.0
2017-02-20,320023.425,51490226.0,1.021,51810249.425,1.036205,50000000.0
2017-02-21,320023.425,51658221.0,1.036,51978244.425,1.039565,50000000.0
2017-02-22,320023.425,51761294.0,1.04,52081317.425,1.041626,50000000.0
2017-02-23,320023.425,51513348.0,1.042,51833371.425,1.036667,50000000.0
2017-02-24,320023.425,51520989.0,1.037,51841012.425,1.03682,50000000.0
2017-02-27,320023.425,51102217.0,1.037,51422240.425,1.028445,50000000.0
2017-02-28,320023.425,51206824.0,1.028,51526847.425,1.030537,50000000.0
2017-03-01,320023.425,51291318.0,1.031,51611341.425,1.032227,50000000.0
2017-03-02,320023.425,50947700.0,1.032,51267723.425,1.025354,50000000.0
2017-03-03,320023.425,50855304.0,1.025,51175327.425,1.023507,50000000.0
2017-03-06,322723.425,51134681.0,1.024,51457404.425,1.029148,50000000.0
2017-03-07,322723.425,51249983.0,1.029,51572706.425,1.031454,50000000.0
2017-03-08,322723.425,51175022.0,1.031,51497745.425,1.029955,50000000.0
2017-03-09,322723.425,50852740.0,1.03,51175463.425,1.023509,50000000.0
2017-03-10,322723.425,50863645.0,1.024,51186368.425,1.023727,50000000.0
2017-03-13,322723.425,51323548.0,1.024,51646271.425,1.032925,50000000.0
2017-03-14,322723.425,51305072.0,1.033,51627795.425,1.032556,50000000.0
2017-03-15,323713.425,51400320.0,1.033,51724033.425,1.034481,50000000.0
2017-03-16,323713.425,51667501.0,1.034,51991214.425,1.039824,50000000.0
2017-03-17,323713.425,51135262.0,1.04,51458975.425,1.02918,50000000.0
2017-03-20,323713.425,51191888.0,1.029,51515601.425,1.030312,50000000.0
2017-03-21,323713.425,51452961.0,1.03,51776674.425,1.035533,50000000.0
2017-03-22,323713.425,51214857.0,1.036,51538570.425,1.030771,50000000.0
2017-03-23,323713.425,51397681.0,1.031,51721394.425,1.034428,50000000.0
2017-03-24,323713.425,51814925.0,1.034,52138638.425,1.042773,50000000.0
2017-03-27,323713.425,51643279.0,1.043,51966992.425,1.03934,50000000.0
2017-03-28,323713.425,51516600.0,1.039,51840313.425,1.036806,50000000.0
2017-03-29,333580.425,51443236.0,1.037,51776816.425,1.035536,50000000.0
2017-03-30,333580.425,51022027.0,1.036,51355607.425,1.027112,50000000.0
2017-03-31,333580.425,51315433.0,1.027,51649013.425,1.03298,50000000.0
2017-04-05,333580.425,52045874.0,1.033,52379454.425,1.047589,50000000.0
2017-04-06,333580.425,52219893.0,1.048,52553473.425,1.051069,50000000.0
2017-04-07,334620.425,52273394.0,1.051,52608014.425,1.05216,50000000.0
2017-04-10,336065.425,52101462.0,1.052,52437527.425,1.048751,50000000.0
2017-04-11,339125.425,52268416.0,1.049,52607541.425,1.052151,50000000.0
2017-04-12,339125.425,52155051.0,1.052,52494176.425,1.049884,50000000.0
2017-04-13,339125.425,52232539.0,1.05,52571664.425,1.051433,50000000.0
2017-04-14,339125.425,51815445.0,1.051,52154570.425,1.043091,50000000.0
2017-04-17,339125.425,51722758.0,1.043,52061883.425,1.041238,50000000.0
2017-04-18,339858.425,51460825.9,1.041,51800684.325,1.036014,50000000.0
2017-04-19,340702.425,51215211.2,1.036,51555913.625,1.031118,50000000.0
2017-04-20,340702.425,51455439.2,1.031,51796141.625,1.035923,50000000.0
2017-04-21,341202.425,51533365.1,1.036,51874567.525,1.037491,50000000.0
2017-04-24,341472.425,51012074.3,1.037,51353546.725,1.027071,50000000.0
2017-04-25,342120.943,51161614.358,1.027,51503735.3,1.030075,50000000.0
2017-04-26,342640.943,51225124.346,1.03,51567765.288,1.031355,50000000.0
2017-04-27,342640.943,51252022.496,1.031,51594663.438,1.031893,50000000.0
2017-04-28,343955.501,51143616.942,1.032,51487572.443,1.029751,50000000.0
2017-05-02,343955.501,50943763.03,1.03,51287718.531,1.025754,50000000.0
2017-05-03,344704.501,50737645.284,1.026,51082349.784,1.021647,50000000.0
2017-05-04,344704.501,50613640.754,1.022,50958345.254,1.019167,50000000.0
2017-05-05,344912.501,50296427.148,1.019,50641339.648,1.012827,50000000.0
2017-05-08,344912.501,49941862.505,1.013,50286775.005,1.005736,50000000.0
2017-05-09,365072.501,49858184.47,1.006,50223256.971,1.004465,50000000.0
2017-05-10,392532.501,49655820.546,1.004,50048353.047,1.000967,50000000.0
2017-05-11,399897.501,49949272.411,1.001,50349169.912,1.006983,50000000.0
2017-05-12,412982.501,50387208.516,1.007,50800191.017,1.016004,50000000.0
2017-05-15,418780.001,50601800.257,1.016,51020580.258,1.020412,50000000.0
2017-05-16,424780.001,51038439.145,1.02,51463219.146,1.029264,50000000.0
2017-05-17,425355.001,50751307.416,1.029,51176662.417,1.023533,50000000.0
2017-05-18,431482.001,50575844.737,1.024,51007326.737,1.020147,50000000.0
2017-05-19,433207.001,50661652.057,1.02,51094859.057,1.021897,50000000.0
2017-05-22,437476.001,50785824.756,1.022,51223300.756,1.024466,50000000.0
2017-05-23,439405.001,50987947.49,1.024,51427352.49,1.028547,50000000.0
2017-05-24,441720.001,50988912.537,1.029,51430632.538,1.028613,50000000.0
2017-05-25,456535.764,51914720.141,1.029,52371255.904,1.047425,50000000.0
2017-05-26,461800.764,51836987.632,1.047,52298788.395,1.045976,50000000.0
2017-05-31,464003.264,52031438.143,1.046,52495441.407,1.049909,50000000.0
2017-06-01,467139.264,52120162.107,1.05,52587301.371,1.051746,50000000.0
2017-06-02,468116.464,51949217.476,1.052,52417333.939,1.048347,50000000.0
2017-06-05,483541.464,51681314.776,1.048,52164856.239,1.043297,50000000.0
2017-06-06,486566.464,52046362.879,1.043,52532929.343,1.050659,50000000.0
2017-06-07,497056.684,52661205.939,1.051,53158262.622,1.063165,50000000.0
2017-06-08,502826.684,53077279.788,1.063,53580106.472,1.071602,50000000.0
2017-06-09,523840.184,53284289.588,1.072,53808129.772,1.076163,50000000.0
2017-06-12,524893.184,53280824.914,1.076,53805718.098,1.076114,50000000.0
2017-06-13,531178.684,53398373.073,1.076,53929551.757,1.078591,50000000.0
2017-06-14,636121.684,52705902.997,1.079,53342024.681,1.06684,50000000.0
2017-06-15,644154.684,52597784.447,1.067,53241939.13,1.064839,50000000.0
2017-06-16,709672.384,52451281.766,1.065,53160954.15,1.063219,50000000.0
2017-06-19,716910.384,52984206.263,1.063,53701116.647,1.074022,50000000.0
2017-06-20,717169.984,52878805.684,1.074,53595975.667,1.07192,50000000.0
2017-06-21,725290.484,53487572.878,1.072,54212863.361,1.084257,50000000.0
2017-06-22,730999.754,53523871.551,1.084,54254871.304,1.085097,50000000.0
2017-06-23,732534.254,54026425.427,1.085,54758959.681,1.095179,50000000.0
2017-06-26,736457.719,54704424.098,1.095,55440881.817,1.108818,50000000.0
2017-06-27,736457.719,54810705.834,1.109,55547163.552,1.110943,50000000.0
2017-06-28,737185.719,54388920.18,1.111,55126105.899,1.102522,50000000.0
2017-06-29,759183.619,54737746.913,1.103,55496930.532,1.109939,50000000.0
2017-06-30,771760.344,54704923.728,1.11,55476684.071,1.109534,50000000.0
2017-07-03,771760.344,54447782.787,1.11,55219543.131,1.104391,50000000.0
2017-07-04,779355.344,53992906.787,1.104,54772262.13,1.095445,50000000.0
2017-07-05,841122.244,54583167.081,1.095,55424289.325,1.108486,50000000.0
2017-07-06,868664.944,54591719.272,1.108,55460384.215,1.109208,50000000.0
2017-07-07,930593.326,54508265.204,1.109,55438858.529,1.108777,50000000.0
2017-07-10,970374.682,54479451.589,1.109,55449826.27,1.108997,50000000.0
2017-07-11,1036821.262,54753840.544,1.109,55790661.806,1.115813,50000000.0
2017-07-12,1059015.42,54577346.748,1.116,55636362.167,1.112727,50000000.0
2017-07-13,1104811.42,55007747.244,1.113,56112558.664,1.122251,50000000.0
2017-07-14,1165231.109,55261573.418,1.122,56426804.527,1.128536,50000000.0
2017-07-17,1167209.109,54694052.831,1.129,55861261.939,1.117225,50000000.0
2017-07-18,1185889.414,54755668.208,1.117,55941557.621,1.118831,50000000.0
2017-07-19,1202510.614,55653959.881,1.119,56856470.495,1.137129,50000000.0
2017-07-20,1204223.314,55924276.402,1.137,57128499.715,1.14257,50000000.0
2017-07-21,1220849.414,55628270.964,1.143,56849120.377,1.136982,50000000.0
2017-07-24,1224310.914,55862908.864,1.137,57087219.777,1.141744,50000000.0
2017-07-25,1228070.914,55517304.708,1.142,56745375.621,1.134908,50000000.0
2017-07-26,1231190.914,55302057.461,1.135,56533248.374,1.130665,50000000.0
2017-07-27,1243928.914,55409411.086,1.131,56653339.999,1.133067,50000000.0
2017-07-28,1243928.914,55562311.906,1.133,56806240.819,1.136125,50000000.0
2017-07-31,1243928.914,55804208.503,1.136,57048137.417,1.140963,50000000.0
2017-08-01,1248095.314,56305695.095,1.141,57553790.408,1.151076,50000000.0
2017-08-02,1266640.314,56161685.412,1.151,57428325.726,1.148567,50000000.0
2017-08-03,1267432.314,55668521.38,1.149,56935953.694,1.138719,50000000.0
2017-08-04,1275528.114,55350801.824,1.139,56626329.937,1.132527,50000000.0
2017-08-07,1275528.114,55619843.186,1.133,56895371.299,1.137907,50000000.0
2017-08-08,1290128.114,55719300.224,1.138,57009428.338,1.140189,50000000.0
2017-08-09,1292652.614,55692347.748,1.14,56985000.361,1.1397,50000000.0
2017-08-10,1295888.414,55462987.112,1.14,56758875.525,1.135178,50000000.0
2017-08-11,1306535.414,54446635.494,1.135,55753170.907,1.115063,50000000.0
2017-08-14,1307991.414,55134535.709,1.115,56442527.123,1.128851,50000000.0
2017-08-15,1307991.414,55314474.333,1.129,56622465.746,1.132449,50000000.0
2017-08-16,1308947.414,55243287.482,1.132,56552234.895,1.131045,50000000.0
2017-08-17,1308947.414,55546094.282,1.131,56855041.695,1.137101,50000000.0
2017-08-18,1327808.414,55601448.432,1.137,56929256.845,1.138585,50000000.0
2017-08-21,1327808.414,55836897.392,1.139,57164705.806,1.143294,50000000.0
2017-08-22,1327808.414,56005994.741,1.143,57333803.155,1.146676,50000000.0
2017-08-23,1327808.414,56079184.291,1.147,57406992.704,1.14814,50000000.0
2017-08-24,1332066.414,55780329.749,1.148,57112396.162,1.142248,50000000.0
2017-08-25,1340271.414,56704163.808,1.142,58044435.222,1.160889,50000000.0
2017-08-28,1340271.414,57394422.685,1.161,58734694.099,1.174694,50000000.0
2017-08-29,1369896.414,57283850.482,1.175,58653746.896,1.173075,50000000.0
2017-08-30,1369896.414,57269038.864,1.173,58638935.278,1.172779,50000000.0
2017-08-31,1369896.414,57069383.005,1.173,58439279.419,1.168786,50000000.0
2017-09-01,1369896.414,57202666.585,1.169,58572562.999,1.171451,50000000.0
2017-09-04,1399846.414,57439343.027,1.171,58839189.441,1.176784,50000000.0
2017-09-05,1399846.414,57623493.674,1.177,59023340.087,1.180467,50000000.0
2017-09-06,1399846.414,57516595.999,1.18,58916442.413,1.178329,50000000.0
2017-09-07,1399846.414,57223624.929,1.178,58623471.343,1.172469,50000000.0
2017-09-08,1399846.414,57181814.959,1.172,58581661.373,1.171633,50000000.0
2017-09-11,1399846.414,57158392.774,1.172,58558239.187,1.171165,50000000.0
2017-09-12,1399846.414,57342011.282,1.171,58741857.695,1.174837,50000000.0
2017-09-13,1399846.414,57402999.008,1.175,58802845.422,1.176057,50000000.0
2017-09-14,1399846.414,57211090.794,1.176,58610937.207,1.172219,50000000.0
2017-09-15,1401716.434,57227979.595,1.172,58629696.029,1.172594,50000000.0
2017-09-18,1401716.434,57411895.587,1.173,58813612.02,1.176272,50000000.0
2017-09-19,1401716.434,57235459.454,1.176,58637175.887,1.172744,50000000.0
2017-09-20,1407456.434,57386482.284,1.173,58793938.717,1.175879,50000000.0
2017-09-21,1407456.434,57322960.472,1.176,58730416.905,1.174608,50000000.0
2017-09-22,1407456.434,57337017.528,1.175,58744473.961,1.174889,50000000.0
2017-09-25,1407456.434,57050771.939,1.175,58458228.372,1.169165,50000000.0
2017-09-26,1423188.434,57104653.883,1.169,58527842.316,1.170557,50000000.0
2017-09-27,1423188.434,57087183.963,1.171,58510372.397,1.170207,50000000.0
2017-09-28,1423188.434,57119622.443,1.17,58542810.876,1.170856,50000000.0
2017-09-29,1423188.434,57317734.378,1.171,58740922.811,1.174818,50000000.0
2017-10-09,1423188.434,58002295.579,1.175,59425484.013,1.18851,50000000.0
2017-10-10,1423188.434,58132277.791,1.189,59555466.225,1.191109,50000000.0
2017-10-11,1423188.434,58333953.585,1.191,59757142.018,1.195143,50000000.0
2017-10-12,1423188.434,58489454.281,1.195,59912642.715,1.198253,50000000.0
2017-10-13,1423188.434,58602367.631,1.198,60025556.065,1.200511,50000000.0
2017-10-16,1423188.434,58465900.967,1.201,59889089.4,1.197782,50000000.0
2017-10-17,1423188.434,58465314.722,1.198,59888503.156,1.19777,50000000.0
2017-10-18,1423188.434,58958537.251,1.198,60381725.685,1.207635,50000000.0
2017-10-19,1423188.434,58784688.254,1.208,60207876.688,1.204158,50000000.0
2017-10-20,1427208.434,58701237.675,1.204,60128446.109,1.202569,50000000.0
2017-10-23,1427208.434,58760879.193,1.203,60188087.626,1.203762,50000000.0
2017-10-24,1427620.434,59193056.746,1.204,60620677.179,1.212414,50000000.0
2017-10-25,1427620.434,59449208.949,1.212,60876829.382,1.217537,50000000.0
2017-10-26,1427620.434,59692618.66,1.218,61120239.094,1.222405,50000000.0
2017-10-27,1427620.434,60131709.878,1.222,61559330.311,1.231187,50000000.0
2017-10-30,1427620.434,59951758.112,1.231,61379378.546,1.227588,50000000.0
2017-10-31,1427620.434,59891076.112,1.228,61318696.546,1.226374,50000000.0
2017-11-01,1427620.434,59743026.123,1.226,61170646.557,1.223413,50000000.0
2017-11-02,1427620.434,59741438.867,1.223,61169059.3,1.223381,50000000.0
2017-11-03,1427620.434,59695354.966,1.223,61122975.399,1.22246,50000000.0
2017-11-06,1427620.434,60094702.123,1.222,61522322.556,1.230446,50000000.0
2017-11-07,1427620.434,60602048.991,1.23,62029669.424,1.240593,50000000.0
2017-11-08,1427620.434,60508033.194,1.241,61935653.628,1.238713,50000000.0
2017-11-09,1427620.434,60918165.315,1.239,62345785.748,1.246916,50000000.0
2017-11-10,1427620.434,61448209.676,1.247,62875830.11,1.257517,50000000.0
2017-11-13,1427620.434,61667386.661,1.258,63095007.095,1.2619,50000000.0
2017-11-14,1427620.434,61252486.668,1.262,62680107.101,1.253602,50000000.0
2017-11-15,1427620.434,60908369.506,1.254,62335989.94,1.24672,50000000.0
2017-11-16,1427620.434,61395179.083,1.247,62822799.517,1.256456,50000000.0
2017-11-17,1427620.434,61667682.704,1.256,63095303.137,1.261906,50000000.0
2017-11-20,1427987.934,62008261.492,1.262,63436249.426,1.268725,50000000.0
2017-11-21,1427987.934,63127791.096,1.269,64555779.029,1.291116,50000000.0
2017-11-22,1427987.934,63273919.839,1.291,64701907.773,1.294038,50000000.0
2017-11-23,1427987.934,61414485.718,1.294,62842473.651,1.256849,50000000.0
2017-11-24,1428242.934,61455195.53,1.257,62883438.463,1.257669,50000000.0
2017-11-27,1428242.934,60641795.46,1.258,62070038.394,1.241401,50000000.0
2017-11-28,1428242.934,60697936.325,1.241,62126179.259,1.242524,50000000.0
2017-11-29,1428242.934,60672048.057,1.243,62100290.991,1.242006,50000000.0
2017-11-30,1428242.934,59945867.583,1.242,61374110.517,1.227482,50000000.0
2017-12-01,1428242.934,59814529.823,1.227,61242772.757,1.224855,50000000.0
2017-12-04,1428242.934,60140021.158,1.225,61568264.091,1.231365,50000000.0
2017-12-05,1428242.934,60481983.155,1.231,61910226.088,1.238205,50000000.0
2017-12-06,1428242.934,60111597.235,1.238,61539840.169,1.230797,50000000.0
2017-12-07,1428242.934,59451093.844,1.231,60879336.778,1.217587,50000000.0
2017-12-08,1428242.934,59933518.088,1.218,61361761.021,1.227235,50000000.0
2017-12-11,1428242.934,60896480.044,1.227,62324722.978,1.246494,50000000.0
2017-12-12,1428242.934,60072213.011,1.246,61500455.945,1.230009,50000000.0
2017-12-13,1428242.934,60599361.138,1.23,62027604.071,1.240552,50000000.0
2017-12-14,1428242.934,60253736.711,1.241,61681979.644,1.23364,50000000.0
2017-12-15,1428242.934,59588848.764,1.234,61017091.698,1.220342,50000000.0
2017-12-18,1428242.934,59657826.872,1.22,61086069.806,1.221721,50000000.0
2017-12-19,1428242.934,60434057.214,1.222,61862300.147,1.237246,50000000.0
2017-12-20,1428242.934,60379969.819,1.237,61808212.753,1.236164,50000000.0
2017-12-21,1428242.934,60923761.483,1.236,62352004.417,1.24704,50000000.0
2017-12-22,1428242.934,60721267.615,1.247,62149510.549,1.24299,50000000.0
2017-12-25,1428242.934,60543010.975,1.243,61971253.908,1.239425,50000000.0
2017-12-26,1428242.934,60725596.275,1.239,62153839.208,1.243077,50000000.0
2017-12-27,1428242.934,59755580.706,1.243,61183823.639,1.223676,50000000.0
2017-12-28,1428242.934,60163773.929,1.224,61592016.863,1.23184,50000000.0
