date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,320023.425,0.0,49541182.0,49861205.425,39712.211
2017-01-04,320023.425,0.0,49936659.0,50256682.425,0.0
2017-01-05,320023.425,0.0,49927620.0,50247643.425,0.0
2017-01-06,320023.425,0.0,49619028.0,49939051.425,0.0
2017-01-09,320023.425,0.0,49864102.0,50184125.425,0.0
2017-01-10,320023.425,0.0,49777481.0,50097504.425,0.0
2017-01-11,320023.425,0.0,49415884.0,49735907.425,0.0
2017-01-12,320023.425,0.0,49159698.0,49479721.425,0.0
2017-01-13,320023.425,0.0,49196365.0,49516388.425,0.0
2017-01-16,320023.425,0.0,49192714.0,49512737.425,0.0
2017-01-17,320023.425,0.0,49272861.0,49592884.425,0.0
2017-01-18,320023.425,0.0,49472587.0,49792610.425,0.0
2017-01-19,320023.425,0.0,49320654.0,49640677.425,0.0
2017-01-20,320023.425,0.0,49710549.0,50030572.425,0.0
2017-01-23,320023.425,0.0,49852856.0,50172879.425,0.0
2017-01-24,320023.425,0.0,49868033.0,50188056.425,0.0
2017-01-25,320023.425,0.0,50046655.0,50366678.425,0.0
2017-01-26,320023.425,0.0,50230092.0,50550115.425,0.0
2017-02-03,320023.425,0.0,49873604.0,50193627.425,0.0
2017-02-06,320023.425,0.0,50004920.0,50324943.425,0.0
2017-02-07,320023.425,0.0,49895794.0,50215817.425,0.0
2017-02-08,320023.425,0.0,50156925.0,50476948.425,0.0
2017-02-09,320023.425,0.0,50354090.0,50674113.425,0.0
2017-02-10,320023.425,0.0,50617923.0,50937946.425,0.0
2017-02-13,320023.425,0.0,50962828.0,51282851.425,0.0
2017-02-14,320023.425,0.0,50948195.0,51268218.425,0.0
2017-02-15,320023.425,0.0,50742853.0,51062876.425,0.0
2017-02-16,320023.425,0.0,51028754.0,51348777.425,0.0
2017-02-17,320023.425,0.0,50734888.0,51054911.425,0.0
2017-02-20,320023.425,0.0,51490226.0,51810249.425,0.0
2017-02-21,320023.425,0.0,51658221.0,51978244.425,0.0
2017-02-22,320023.425,0.0,51761294.0,52081317.425,0.0
2017-02-23,320023.425,0.0,51513348.0,51833371.425,0.0
2017-02-24,320023.425,0.0,51520989.0,51841012.425,0.0
2017-02-27,320023.425,0.0,51102217.0,51422240.425,0.0
2017-02-28,320023.425,0.0,51206824.0,51526847.425,0.0
2017-03-01,320023.425,0.0,51291318.0,51611341.425,0.0
