date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,15392.354,49844962.0,1.0,49860354.354,0.997207,50000000.0
2017-01-04,15392.354,50156344.0,0.997,50171736.354,1.003435,50000000.0
2017-01-05,15392.354,50165152.0,1.003,50180544.354,1.003611,50000000.0
2017-01-06,15392.354,49866876.0,1.004,49882268.354,0.997645,50000000.0
2017-01-09,15392.354,50069727.0,0.998,50085119.354,1.001702,50000000.0
2017-01-10,15392.354,49946916.0,1.002,49962308.354,0.999246,50000000.0
2017-01-11,15392.354,49683525.0,0.999,49698917.354,0.993978,50000000.0
2017-01-12,15392.354,49573559.0,0.994,49588951.354,0.991779,50000000.0
2017-01-13,15392.354,49848058.0,0.992,49863450.354,0.997269,50000000.0
2017-01-16,15392.354,50485524.0,0.997,50500916.354,1.010018,50000000.0
2017-01-17,15392.354,50316244.0,1.01,50331636.354,1.006633,50000000.0
2017-01-18,15392.354,50603137.0,1.007,50618529.354,1.012371,50000000.0
2017-01-19,15392.354,50434284.0,1.012,50449676.354,1.008994,50000000.0
2017-01-20,15392.354,50699431.0,1.009,50714823.354,1.014296,50000000.0
2017-01-23,15392.354,50696842.0,1.014,50712234.354,1.014245,50000000.0
2017-01-24,15392.354,50811687.0,1.014,50827079.354,1.016542,50000000.0
2017-01-25,15392.354,50946997.0,1.017,50962389.354,1.019248,50000000.0
2017-01-26,15392.354,51062819.0,1.019,51078211.354,1.021564,50000000.0
2017-02-03,15392.354,50540775.0,1.022,50556167.354,1.011123,50000000.0
2017-02-06,15392.354,50626130.0,1.011,50641522.354,1.01283,50000000.0
2017-02-07,15392.354,50485742.0,1.013,50501134.354,1.010023,50000000.0
2017-02-08,15392.354,50678709.0,1.01,50694101.354,1.013882,50000000.0
2017-02-09,15392.354,50862775.0,1.014,50878167.354,1.017563,50000000.0
2017-02-10,15392.354,51149964.0,1.018,51165356.354,1.023307,50000000.0
2017-02-13,15392.354,51392438.0,1.023,51407830.354,1.028157,50000000.0
2017-02-14,15392.354,51266786.0,1.028,51282178.354,1.025644,50000000.0
2017-02-15,15392.354,51238623.0,1.026,51254015.354,1.02508,50000000.0
2017-02-16,15392.354,51338355.0,1.025,51353747.354,1.027075,50000000.0
2017-02-17,15392.354,51032451.0,1.027,51047843.354,1.020957,50000000.0
2017-02-20,15392.354,51714645.0,1.021,51730037.354,1.034601,50000000.0
2017-02-21,15392.354,51773724.0,1.035,51789116.354,1.035782,50000000.0
2017-02-22,15392.354,51800878.0,1.036,51816270.354,1.036325,50000000.0
2017-02-23,15392.354,51566947.0,1.036,51582339.354,1.031647,50000000.0
