date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,15392.354,0.0,49844962.0,49860354.354,39955.722
2017-01-04,15392.354,0.0,50156344.0,50171736.354,0.0
2017-01-05,15392.354,0.0,50165152.0,50180544.354,0.0
2017-01-06,15392.354,0.0,49866876.0,49882268.354,0.0
2017-01-09,15392.354,0.0,50069727.0,50085119.354,0.0
2017-01-10,15392.354,0.0,49946916.0,49962308.354,0.0
2017-01-11,15392.354,0.0,49683525.0,49698917.354,0.0
2017-01-12,15392.354,0.0,49573559.0,49588951.354,0.0
2017-01-13,15392.354,0.0,49848058.0,49863450.354,0.0
2017-01-16,15392.354,0.0,50485524.0,50500916.354,0.0
2017-01-17,15392.354,0.0,50316244.0,50331636.354,0.0
2017-01-18,15392.354,0.0,50603137.0,50618529.354,0.0
2017-01-19,15392.354,0.0,50434284.0,50449676.354,0.0
2017-01-20,15392.354,0.0,50699431.0,50714823.354,0.0
2017-01-23,15392.354,0.0,50696842.0,50712234.354,0.0
2017-01-24,15392.354,0.0,50811687.0,50827079.354,0.0
2017-01-25,15392.354,0.0,50946997.0,50962389.354,0.0
2017-01-26,15392.354,0.0,51062819.0,51078211.354,0.0
2017-02-03,15392.354,0.0,50540775.0,50556167.354,0.0
2017-02-06,15392.354,0.0,50626130.0,50641522.354,0.0
2017-02-07,15392.354,0.0,50485742.0,50501134.354,0.0
2017-02-08,15392.354,0.0,50678709.0,50694101.354,0.0
2017-02-09,15392.354,0.0,50862775.0,50878167.354,0.0
2017-02-10,15392.354,0.0,51149964.0,51165356.354,0.0
2017-02-13,15392.354,0.0,51392438.0,51407830.354,0.0
2017-02-14,15392.354,0.0,51266786.0,51282178.354,0.0
2017-02-15,15392.354,0.0,51238623.0,51254015.354,0.0
2017-02-16,15392.354,0.0,51338355.0,51353747.354,0.0
2017-02-17,15392.354,0.0,51032451.0,51047843.354,0.0
2017-02-20,15392.354,0.0,51714645.0,51730037.354,0.0
2017-02-21,15392.354,0.0,51773724.0,51789116.354,0.0
2017-02-22,15392.354,0.0,51800878.0,51816270.354,0.0
2017-02-23,15392.354,0.0,51566947.0,51582339.354,0.0
2017-02-24,15392.354,0.0,51621511.0,51636903.354,0.0
2017-02-27,15392.354,0.0,51202743.0,51218135.354,0.0
2017-02-28,15392.354,0.0,51204453.0,51219845.354,0.0
2017-03-01,15392.354,0.0,51230207.0,51245599.354,0.0
2017-03-02,15392.354,0.0,50861204.0,50876596.354,0.0
2017-03-03,15392.354,0.0,50692396.0,50707788.354,0.0
2017-03-06,15392.354,0.0,50752824.0,50768216.354,0.0
2017-03-07,15392.354,0.0,50893070.0,50908462.354,0.0
2017-03-08,15392.354,0.0,50931983.0,50947375.354,0.0
2017-03-09,15392.354,0.0,50683423.0,50698815.354,0.0
2017-03-10,15392.354,0.0,50524330.0,50539722.354,0.0
2017-03-13,15392.354,0.0,50866050.0,50881442.354,0.0
2017-03-14,15392.354,0.0,50865582.0,50880974.354,0.0
2017-03-15,15392.354,0.0,50918560.0,50933952.354,0.0
2017-03-16,15392.354,0.0,51175859.0,51191251.354,0.0
2017-03-17,15392.354,0.0,50694588.0,50709980.354,0.0
2017-03-20,15392.354,0.0,50762593.0,50777985.354,0.0
2017-03-21,15392.354,0.0,50916301.0,50931693.354,0.0
2017-03-22,15392.354,0.0,50513199.0,50528591.354,0.0
2017-03-23,15392.354,0.0,50705198.0,50720590.354,0.0
2017-03-24,15392.354,0.0,51098108.0,51113500.354,0.0
2017-03-27,15392.354,0.0,51072479.0,51087871.354,0.0
2017-03-28,15392.354,0.0,50897443.0,50912835.354,0.0
2017-03-29,38051.354,0.0,50818435.0,50856486.354,0.0
2017-03-30,38051.354,0.0,50688312.0,50726363.354,0.0
2017-03-31,38051.354,0.0,50970442.0,51008493.354,0.0
2017-04-05,38051.354,0.0,51501819.0,51539870.354,0.0
2017-04-06,38051.354,0.0,51633953.0,51672004.354,0.0
2017-04-07,38051.354,0.0,51587643.0,51625694.354,0.0
2017-04-10,38051.354,0.0,51390833.0,51428884.354,0.0
2017-04-11,38051.354,0.0,51452835.0,51490886.354,0.0
2017-04-12,38051.354,0.0,51380662.0,51418713.354,0.0
2017-04-13,38051.354,0.0,51148102.0,51186153.354,0.0
2017-04-14,38051.354,0.0,50874603.0,50912654.354,0.0
2017-04-17,38051.354,0.0,50918638.0,50956689.354,0.0
2017-04-18,38051.354,0.0,50477989.0,50516040.354,0.0
2017-04-19,38051.354,0.0,50207803.0,50245854.354,0.0
2017-04-20,38051.354,0.0,50434285.0,50472336.354,0.0
2017-04-21,38051.354,0.0,50695540.0,50733591.354,0.0
2017-04-24,38051.354,0.0,50570640.0,50608691.354,0.0
2017-04-25,38051.354,0.0,50631904.0,50669955.354,0.0
2017-04-26,38051.354,0.0,50626074.0,50664125.354,0.0
2017-04-27,38051.354,0.0,50782238.0,50820289.354,0.0
2017-04-28,39389.857,0.0,50684563.0,50723952.857,0.0
2017-05-02,39389.857,0.0,50462969.0,50502358.857,0.0
2017-05-03,39389.857,0.0,50309612.0,50349001.857,0.0
2017-05-04,39389.857,0.0,50215204.0,50254593.857,0.0
2017-05-05,39389.857,0.0,50111337.0,50150726.857,0.0
2017-05-08,39389.857,0.0,50230216.0,50269605.857,0.0
2017-05-09,85649.857,0.0,50020348.0,50105997.857,0.0
2017-05-10,85649.857,0.0,50207810.0,50293459.857,0.0
2017-05-11,85649.857,0.0,50519821.0,50605470.857,0.0
2017-05-12,85649.857,0.0,51306354.0,51392003.857,0.0
2017-05-15,85649.857,0.0,51443589.0,51529238.857,0.0
2017-05-16,85649.857,0.0,51433025.0,51518674.857,0.0
2017-05-17,86969.857,0.0,51047110.0,51134079.857,0.0
2017-05-18,86969.857,0.0,50855682.0,50942651.857,0.0
2017-05-19,86969.857,0.0,51004235.0,51091204.857,0.0
2017-05-22,86969.857,0.0,51435901.0,51522870.857,0.0
2017-05-23,86969.857,0.0,52093128.0,52180097.857,0.0
2017-05-24,86969.857,0.0,52001652.0,52088621.857,0.0
2017-05-25,108929.857,0.0,53437175.2,53546105.057,0.0
2017-05-26,108929.857,0.0,53386505.6,53495435.457,0.0
2017-05-31,108929.857,0.0,53556143.6,53665073.457,0.0
2017-06-01,108929.857,0.0,53931737.8,54040667.657,0.0
2017-06-02,108929.857,0.0,53476617.6,53585547.457,0.0
2017-06-05,108929.857,0.0,52934090.0,53043019.857,0.0
2017-06-06,110144.857,0.0,53271496.0,53381640.857,0.0
2017-06-07,110144.857,0.0,53664864.6,53775009.457,0.0
2017-06-08,110144.857,0.0,54162298.6,54272443.457,0.0
2017-06-09,138589.357,0.0,54429206.2,54567795.557,0.0
2017-06-12,138589.357,0.0,54467660.2,54606249.557,0.0
2017-06-13,138589.357,0.0,54353529.6,54492118.957,0.0
2017-06-14,337518.357,0.0,53559094.4,53896612.757,0.0
2017-06-15,337518.357,0.0,53235973.2,53573491.557,0.0
2017-06-16,451937.357,0.0,53070930.0,53522867.357,0.0
2017-06-19,451937.357,0.0,53761346.0,54213283.357,0.0
2017-06-20,451937.357,0.0,53552498.6,54004435.957,0.0
2017-06-21,451937.357,0.0,54015700.6,54467637.957,0.0
2017-06-22,454286.375,0.0,54452735.8,54907022.175,0.0
2017-06-23,454286.375,0.0,54712171.6,55166457.975,0.0
2017-06-26,454286.375,0.0,55023766.6,55478052.975,0.0
2017-06-27,454286.375,0.0,55269640.0,55723926.375,0.0
2017-06-28,454286.375,0.0,54903996.6,55358282.975,0.0
2017-06-29,482749.875,0.0,55242392.4,55725142.275,0.0
2017-06-30,486502.567,0.0,55179759.0,55666261.567,0.0
2017-07-03,486502.567,0.0,54837247.4,55323749.967,0.0
2017-07-04,486502.567,0.0,54337031.0,54823533.567,0.0
2017-07-05,506220.167,0.0,55140766.8,55646986.967,0.0
2017-07-06,561510.167,0.0,55266834.4,55828344.567,0.0
2017-07-07,699754.767,0.0,55050720.0,55750474.767,0.0
2017-07-10,774598.767,0.0,55195488.2,55970086.967,0.0
2017-07-11,914687.837,0.0,55649809.0,56564496.837,0.0
2017-07-12,953112.837,0.0,55537752.4,56490865.237,0.0
2017-07-13,1035715.837,0.0,56342545.8,57378261.637,0.0
2017-07-14,1080538.237,0.0,56817611.6,57898149.837,0.0
2017-07-17,1080538.237,0.0,57023208.2,58103746.437,0.0
2017-07-18,1080538.237,0.0,56864442.8,57944981.037,0.0
2017-07-19,1117257.237,0.0,57621857.6,58739114.837,0.0
2017-07-20,1117257.237,0.0,57751164.8,58868422.037,0.0
2017-07-21,1122719.337,0.0,57186510.6,58309229.937,0.0
2017-07-24,1130695.837,0.0,57509870.0,58640565.837,0.0
2017-07-25,1130695.837,0.0,57271136.2,58401832.037,0.0
2017-07-26,1135165.837,0.0,57128295.2,58263461.037,0.0
2017-07-27,1164414.837,0.0,57143290.2,58307705.037,0.0
2017-07-28,1164414.837,0.0,57136887.6,58301302.437,0.0
2017-07-31,1164414.837,0.0,57179626.4,58344041.237,0.0
2017-08-01,1164414.837,0.0,58102466.8,59266881.637,0.0
2017-08-02,1207064.837,0.0,58075803.8,59282868.637,0.0
2017-08-03,1207064.837,0.0,57335271.8,58542336.637,0.0
2017-08-04,1215389.637,0.0,56960331.8,58175721.437,0.0
2017-08-07,1215389.637,0.0,57082381.6,58297771.237,0.0
2017-08-08,1235889.637,0.0,57105874.2,58341763.837,0.0
2017-08-09,1235889.637,0.0,56779116.8,58015006.437,0.0
2017-08-10,1240833.637,0.0,56598425.6,57839259.237,0.0
2017-08-11,1265298.637,0.0,55693435.6,56958734.237,0.0
2017-08-14,1265298.637,0.0,56157143.2,57422441.837,0.0
2017-08-15,1265298.637,0.0,56454692.8,57719991.437,0.0
2017-08-16,1265298.637,0.0,56235810.2,57501108.837,0.0
2017-08-17,1265298.637,0.0,56444523.8,57709822.437,0.0
2017-08-18,1305905.637,0.0,56608430.8,57914336.437,0.0
2017-08-21,1305905.637,0.0,56693926.0,57999831.637,0.0
2017-08-22,1305905.637,0.0,57257323.8,58563229.437,0.0
2017-08-23,1305905.637,0.0,57621025.8,58926931.437,0.0
2017-08-24,1305905.637,0.0,57324913.0,58630818.637,0.0
2017-08-25,1305905.637,0.0,58633962.2,59939867.837,0.0
2017-08-28,1305905.637,0.0,59310528.6,60616434.237,0.0
2017-08-29,1305905.637,0.0,59369646.2,60675551.837,0.0
2017-08-30,1305905.637,0.0,59125221.6,60431127.237,0.0
2017-08-31,1305905.637,0.0,58857092.0,60162997.637,0.0
2017-09-01,1305905.637,0.0,58781613.6,60087519.237,0.0
2017-09-04,1374705.637,0.0,58817762.2,60192467.837,0.0
2017-09-05,1374705.637,0.0,59212365.4,60587071.037,0.0
2017-09-06,1374705.637,0.0,58874328.6,60249034.237,0.0
2017-09-07,1374705.637,0.0,58358331.4,59733037.037,0.0
2017-09-08,1374705.637,0.0,58250528.8,59625234.437,0.0
2017-09-11,1374705.637,0.0,58003207.6,59377913.237,0.0
2017-09-12,1374705.637,0.0,58413062.0,59787767.637,0.0
2017-09-13,1374705.637,0.0,58300795.6,59675501.237,0.0
2017-09-14,1374705.637,0.0,57956227.2,59330932.837,0.0
2017-09-15,1378985.905,0.0,57853850.4,59232836.305,0.0
2017-09-18,1378985.905,0.0,57988901.2,59367887.105,0.0
2017-09-19,1378985.905,0.0,57892270.4,59271256.305,0.0
2017-09-20,1392175.905,0.0,57725473.2,59117649.105,0.0
2017-09-21,1392175.905,0.0,58014617.6,59406793.505,0.0
2017-09-22,1392175.905,0.0,58082565.6,59474741.505,0.0
2017-09-25,1392175.905,0.0,58149150.6,59541326.505,0.0
2017-09-26,1428295.905,0.0,58107865.2,59536161.105,0.0
2017-09-27,1428295.905,0.0,57729115.0,59157410.905,0.0
2017-09-28,1428295.905,0.0,57736991.8,59165287.705,0.0
2017-09-29,1428295.905,0.0,57971013.2,59399309.105,0.0
2017-10-09,1428295.905,0.0,58389003.0,59817298.905,0.0
2017-10-10,1428295.905,0.0,58484412.6,59912708.505,0.0
2017-10-11,1428295.905,0.0,58741846.6,60170142.505,0.0
2017-10-12,1428295.905,0.0,58977417.0,60405712.905,0.0
2017-10-13,1428295.905,0.0,58868013.0,60296308.905,0.0
2017-10-16,1428295.905,0.0,59164578.8,60592874.705,0.0
