date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2017-01-03,9.86,9.84,1146360.0,601766.XSHG,116500.0,中国中车
2017-01-03,18.226,18.19,745790.0,601688.XSHG,41000.0,华泰证券
2017-01-03,8.888,8.87,1701266.0,601668.XSHG,191800.0,中国建筑
2017-01-03,25.3,25.25,512575.0,601628.XSHG,20300.0,中国人寿
2017-01-03,28.076,28.02,1115196.0,601601.XSHG,39800.0,中国太保
2017-01-03,4.439,4.43,1217807.0,601398.XSHG,274900.0,工商银行
2017-01-03,8.948,8.93,844778.0,601390.XSHG,94600.0,中国中铁
2017-01-03,7.776,7.76,458616.0,601377.XSHG,59100.0,兴业证券
2017-01-03,45.1,45.01,463603.0,601336.XSHG,10300.0,新华保险
2017-01-03,5.822,5.81,2028852.0,601328.XSHG,349200.0,交通银行
2017-01-03,35.751,35.68,4909568.0,601318.XSHG,137600.0,中国平安
2017-01-03,3.126,3.12,1516008.0,601288.XSHG,485900.0,农业银行
2017-01-03,18.757,18.72,1087632.0,601211.XSHG,58100.0,国泰君安
2017-01-03,20.26,20.22,281058.0,601198.XSHG,13900.0,东兴证券
2017-01-03,12.024,12.0,703200.0,601186.XSHG,58600.0,中国铁建
2017-01-03,9.9,9.88,1518556.0,601169.XSHG,153700.0,北京银行
2017-01-03,16.272,16.24,2752680.0,601166.XSHG,169500.0,兴业银行
2017-01-03,16.222,16.19,407988.0,601088.XSHG,25200.0,中国神华
2017-01-03,7.224,7.21,537866.0,601006.XSHG,74600.0,大秦铁路
2017-01-03,16.533,16.5,476850.0,600999.XSHG,28900.0,招商证券
2017-01-03,15.641,15.61,616595.0,600958.XSHG,39500.0,东方证券
2017-01-03,33.587,33.52,325144.0,600893.XSHG,9700.0,航发动力
2017-01-03,17.725,17.69,1363899.0,600887.XSHG,77100.0,伊利股份
2017-01-03,15.781,15.75,1628550.0,600837.XSHG,103400.0,海通证券
2017-01-03,23.297,23.25,390600.0,600637.XSHG,16800.0,东方明珠
2017-01-03,36.834,36.76,345544.0,600547.XSHG,9400.0,山东黄金
2017-01-03,335.229,334.56,2141184.0,600519.XSHG,6400.0,贵州茅台
2017-01-03,17.996,17.96,677092.0,600518.XSHG,37700.0,ST康美
2017-01-03,12.455,12.43,341825.0,600111.XSHG,27500.0,北方稀土
2017-01-03,13.347,13.32,351648.0,600109.XSHG,26400.0,国金证券
2017-01-03,23.938,23.89,989046.0,600104.XSHG,41400.0,上汽集团
2017-01-03,13.978,13.95,313875.0,600100.XSHG,22500.0,同方股份
2017-01-03,7.455,7.44,791616.0,600050.XSHG,106400.0,中国联通
2017-01-03,9.208,9.19,829857.0,600048.XSHG,90300.0,保利地产
2017-01-03,17.996,17.96,2318636.0,600036.XSHG,129100.0,招商银行
2017-01-03,16.222,16.19,1614143.0,600030.XSHG,99700.0,中信证券
2017-01-03,7.044,7.03,314241.0,600029.XSHG,44700.0,南方航空
2017-01-03,5.521,5.51,726769.0,600028.XSHG,131900.0,中国石化
2017-01-03,9.128,9.11,2742110.0,600016.XSHG,301000.0,民生银行
2017-01-03,16.333,16.3,1789740.0,600000.XSHG,109800.0,浦发银行
2017-01-03,6.763,6.75,250425.0,601998.XSHG,37100.0,中信银行
2017-01-03,7.355,7.34,830888.0,601989.XSHG,113200.0,中国重工
2017-01-03,3.477,3.47,925796.0,601988.XSHG,266800.0,中国银行
2017-01-03,7.124,7.11,420201.0,601985.XSHG,59100.0,中国核电
2017-01-03,7.735,7.72,399124.0,601901.XSHG,51700.0,方正证券
2017-01-03,7.986,7.97,492546.0,601857.XSHG,61800.0,中国石油
2017-01-03,3.958,3.95,794740.0,601818.XSHG,201200.0,光大银行
2017-01-03,15.321,15.29,295097.0,601800.XSHG,19300.0,中国交建
2017-01-03,16.202,16.17,397782.0,601788.XSHG,24600.0,光大证券
2017-01-04,9.86,9.94,1158010.0,601766.XSHG,116500.0,中国中车
2017-01-04,18.226,18.44,756040.0,601688.XSHG,41000.0,华泰证券
2017-01-04,8.888,8.97,1720446.0,601668.XSHG,191800.0,中国建筑
2017-01-04,25.3,25.32,513996.0,601628.XSHG,20300.0,中国人寿
2017-01-04,28.076,28.18,1121564.0,601601.XSHG,39800.0,中国太保
2017-01-04,4.439,4.43,1217807.0,601398.XSHG,274900.0,工商银行
2017-01-04,8.948,9.18,868428.0,601390.XSHG,94600.0,中国中铁
2017-01-04,7.776,7.82,462162.0,601377.XSHG,59100.0,兴业证券
2017-01-04,45.1,45.07,464221.0,601336.XSHG,10300.0,新华保险
2017-01-04,5.822,5.82,2032344.0,601328.XSHG,349200.0,交通银行
2017-01-04,35.751,35.65,4905440.0,601318.XSHG,137600.0,中国平安
2017-01-04,3.126,3.12,1516008.0,601288.XSHG,485900.0,农业银行
2017-01-04,18.757,18.79,1091699.0,601211.XSHG,58100.0,国泰君安
2017-01-04,20.26,20.24,281336.0,601198.XSHG,13900.0,东兴证券
2017-01-04,12.024,12.21,715506.0,601186.XSHG,58600.0,中国铁建
2017-01-04,9.9,9.87,1517019.0,601169.XSHG,153700.0,北京银行
2017-01-04,16.272,16.32,2766240.0,601166.XSHG,169500.0,兴业银行
2017-01-04,16.222,16.3,410760.0,601088.XSHG,25200.0,中国神华
2017-01-04,7.224,7.29,543834.0,601006.XSHG,74600.0,大秦铁路
2017-01-04,16.533,16.65,481185.0,600999.XSHG,28900.0,招商证券
2017-01-04,15.641,15.61,616595.0,600958.XSHG,39500.0,东方证券
2017-01-04,33.587,33.63,326211.0,600893.XSHG,9700.0,航发动力
2017-01-04,17.725,17.9,1380090.0,600887.XSHG,77100.0,伊利股份
2017-01-04,15.781,15.79,1632686.0,600837.XSHG,103400.0,海通证券
2017-01-04,23.297,23.42,393456.0,600637.XSHG,16800.0,东方明珠
2017-01-04,36.834,36.91,346954.0,600547.XSHG,9400.0,山东黄金
2017-01-04,335.229,351.91,2252224.0,600519.XSHG,6400.0,贵州茅台
2017-01-04,17.996,17.83,672191.0,600518.XSHG,37700.0,ST康美
2017-01-04,12.455,12.54,344850.0,600111.XSHG,27500.0,北方稀土
2017-01-04,13.347,13.39,353496.0,600109.XSHG,26400.0,国金证券
2017-01-04,23.938,24.29,1005606.0,600104.XSHG,41400.0,上汽集团
2017-01-04,13.978,14.03,315675.0,600100.XSHG,22500.0,同方股份
2017-01-04,7.455,7.43,790552.0,600050.XSHG,106400.0,中国联通
2017-01-04,9.208,9.21,831663.0,600048.XSHG,90300.0,保利地产
2017-01-04,17.996,18.02,2326382.0,600036.XSHG,129100.0,招商银行
2017-01-04,16.222,16.22,1617134.0,600030.XSHG,99700.0,中信证券
2017-01-04,7.044,7.1,317370.0,600029.XSHG,44700.0,南方航空
2017-01-04,5.521,5.57,734683.0,600028.XSHG,131900.0,中国石化
2017-01-04,9.128,9.11,2742110.0,600016.XSHG,301000.0,民生银行
2017-01-04,16.333,16.33,1793034.0,600000.XSHG,109800.0,浦发银行
2017-01-04,6.763,6.75,250425.0,601998.XSHG,37100.0,中信银行
2017-01-04,7.355,7.37,834284.0,601989.XSHG,113200.0,中国重工
2017-01-04,3.477,3.47,925796.0,601988.XSHG,266800.0,中国银行
2017-01-04,7.124,7.12,420792.0,601985.XSHG,59100.0,中国核电
2017-01-04,7.735,7.75,400675.0,601901.XSHG,51700.0,方正证券
2017-01-04,7.986,8.0,494400.0,601857.XSHG,61800.0,中国石油
2017-01-04,3.958,3.96,796752.0,601818.XSHG,201200.0,光大银行
2017-01-04,15.321,15.45,298185.0,601800.XSHG,19300.0,中国交建
2017-01-04,16.202,16.18,398028.0,601788.XSHG,24600.0,光大证券
2017-01-05,9.86,9.9,1153350.0,601766.XSHG,116500.0,中国中车
2017-01-05,18.226,18.35,752350.0,601688.XSHG,41000.0,华泰证券
2017-01-05,8.888,8.93,1712774.0,601668.XSHG,191800.0,中国建筑
2017-01-05,25.3,25.38,515214.0,601628.XSHG,20300.0,中国人寿
2017-01-05,28.076,28.34,1127932.0,601601.XSHG,39800.0,中国太保
2017-01-05,4.439,4.44,1220556.0,601398.XSHG,274900.0,工商银行
2017-01-05,8.948,9.19,869374.0,601390.XSHG,94600.0,中国中铁
2017-01-05,7.776,7.78,459798.0,601377.XSHG,59100.0,兴业证券
2017-01-05,45.1,44.9,462470.0,601336.XSHG,10300.0,新华保险
2017-01-05,5.822,5.8,2025360.0,601328.XSHG,349200.0,交通银行
2017-01-05,35.751,35.73,4916448.0,601318.XSHG,137600.0,中国平安
2017-01-05,3.126,3.13,1520867.0,601288.XSHG,485900.0,农业银行
2017-01-05,18.757,18.68,1085308.0,601211.XSHG,58100.0,国泰君安
2017-01-05,20.26,20.09,279251.0,601198.XSHG,13900.0,东兴证券
2017-01-05,12.024,12.14,711404.0,601186.XSHG,58600.0,中国铁建
2017-01-05,9.9,9.88,1518556.0,601169.XSHG,153700.0,北京银行
2017-01-05,16.272,16.33,2767935.0,601166.XSHG,169500.0,兴业银行
2017-01-05,16.222,16.31,411012.0,601088.XSHG,25200.0,中国神华
2017-01-05,7.224,7.5,559500.0,601006.XSHG,74600.0,大秦铁路
2017-01-05,16.533,16.61,480029.0,600999.XSHG,28900.0,招商证券
2017-01-05,15.641,15.45,610275.0,600958.XSHG,39500.0,东方证券
2017-01-05,33.587,33.98,329606.0,600893.XSHG,9700.0,航发动力
2017-01-05,17.725,17.88,1378548.0,600887.XSHG,77100.0,伊利股份
2017-01-05,15.781,15.66,1619244.0,600837.XSHG,103400.0,海通证券
2017-01-05,23.297,23.33,391944.0,600637.XSHG,16800.0,东方明珠
2017-01-05,36.834,37.62,353628.0,600547.XSHG,9400.0,山东黄金
2017-01-05,335.229,346.74,2219136.0,600519.XSHG,6400.0,贵州茅台
2017-01-05,17.996,17.65,665405.0,600518.XSHG,37700.0,ST康美
2017-01-05,12.455,12.51,344025.0,600111.XSHG,27500.0,北方稀土
2017-01-05,13.347,13.37,352968.0,600109.XSHG,26400.0,国金证券
2017-01-05,23.938,24.05,995670.0,600104.XSHG,41400.0,上汽集团
2017-01-05,13.978,13.95,313875.0,600100.XSHG,22500.0,同方股份
2017-01-05,7.455,7.84,834176.0,600050.XSHG,106400.0,中国联通
2017-01-05,9.208,9.19,829857.0,600048.XSHG,90300.0,保利地产
2017-01-05,17.996,18.1,2336710.0,600036.XSHG,129100.0,招商银行
2017-01-05,16.222,16.15,1610155.0,600030.XSHG,99700.0,中信证券
2017-01-05,7.044,7.16,320052.0,600029.XSHG,44700.0,南方航空
2017-01-05,5.521,5.75,758425.0,600028.XSHG,131900.0,中国石化
2017-01-05,9.128,9.08,2733080.0,600016.XSHG,301000.0,民生银行
2017-01-05,16.333,16.3,1789740.0,600000.XSHG,109800.0,浦发银行
2017-01-05,6.763,6.79,251909.0,601998.XSHG,37100.0,中信银行
2017-01-05,7.355,7.48,846736.0,601989.XSHG,113200.0,中国重工
2017-01-05,3.477,3.46,923128.0,601988.XSHG,266800.0,中国银行
2017-01-05,7.124,7.07,417837.0,601985.XSHG,59100.0,中国核电
2017-01-05,7.735,7.71,398607.0,601901.XSHG,51700.0,方正证券
2017-01-05,7.986,8.16,504288.0,601857.XSHG,61800.0,中国石油
2017-01-05,3.958,3.94,792728.0,601818.XSHG,201200.0,光大银行
2017-01-05,15.321,15.42,297606.0,601800.XSHG,19300.0,中国交建
2017-01-05,16.202,16.11,396306.0,601788.XSHG,24600.0,光大证券
2017-01-06,9.86,9.94,1158010.0,601766.XSHG,116500.0,中国中车
2017-01-06,18.226,18.15,744150.0,601688.XSHG,41000.0,华泰证券
2017-01-06,8.888,8.88,1703184.0,601668.XSHG,191800.0,中国建筑
2017-01-06,25.3,25.18,511154.0,601628.XSHG,20300.0,中国人寿
2017-01-06,28.076,27.94,1112012.0,601601.XSHG,39800.0,中国太保
2017-01-06,4.439,4.44,1220556.0,601398.XSHG,274900.0,工商银行
2017-01-06,8.948,9.09,859914.0,601390.XSHG,94600.0,中国中铁
2017-01-06,7.776,7.73,456843.0,601377.XSHG,59100.0,兴业证券
2017-01-06,45.1,44.24,455672.0,601336.XSHG,10300.0,新华保险
2017-01-06,5.822,5.78,2018376.0,601328.XSHG,349200.0,交通银行
