date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,849856.658,0.0,49012829.0,49862685.658,39288.684
2017-01-04,849856.658,0.0,49608941.0,50458797.658,0.0
2017-01-05,849856.658,0.0,49643328.0,50493184.658,0.0
2017-01-06,849856.658,0.0,49425264.0,50275120.658,0.0
2017-01-09,849856.658,0.0,49803861.0,50653717.658,0.0
2017-01-10,849856.658,0.0,49657515.0,50507371.658,0.0
2017-01-11,849856.658,0.0,49160947.0,50010803.658,0.0
2017-01-12,849856.658,0.0,48681304.0,49531160.658,0.0
2017-01-13,849856.658,0.0,48049933.0,48899789.658,0.0
2017-01-16,849856.658,0.0,46735995.0,47585851.658,0.0
2017-01-17,849856.658,0.0,47149667.0,47999523.658,0.0
2017-01-18,849856.658,0.0,47084353.0,47934209.658,0.0
2017-01-19,849856.658,0.0,46904162.0,47754018.658,0.0
2017-01-20,849856.658,0.0,47549289.0,48399145.658,0.0
2017-01-23,849856.658,0.0,47947740.0,48797596.658,0.0
2017-01-24,849856.658,0.0,47902184.0,48752040.658,0.0
2017-01-25,849856.658,0.0,48017890.0,48867746.658,0.0
2017-01-26,849856.658,0.0,48383602.0,49233458.658,0.0
2017-02-03,849856.658,0.0,48239987.0,49089843.658,0.0
2017-02-06,849856.658,0.0,48661938.0,49511794.658,0.0
2017-02-07,849856.658,0.0,48632396.0,49482252.658,0.0
2017-02-08,849856.658,0.0,48926879.0,49776735.658,0.0
2017-02-09,849856.658,0.0,49256718.0,50106574.658,0.0
2017-02-10,849856.658,0.0,49315263.0,50165119.658,0.0
2017-02-13,849856.658,0.0,49582836.0,50432692.658,0.0
2017-02-14,849856.658,0.0,49625791.0,50475647.658,0.0
2017-02-15,849856.658,0.0,49106197.0,49956053.658,0.0
2017-02-16,849856.658,0.0,49485746.0,50335602.658,0.0
2017-02-17,849856.658,0.0,49059688.0,49909544.658,0.0
2017-02-20,849856.658,0.0,49702360.0,50552216.658,0.0
2017-02-21,849856.658,0.0,50104601.0,50954457.658,0.0
2017-02-22,849856.658,0.0,50437764.0,51287620.658,0.0
2017-02-23,849856.658,0.0,50434675.0,51284531.658,0.0
2017-02-24,849856.658,0.0,50444567.0,51294423.658,0.0
2017-02-27,849856.658,0.0,50019609.0,50869465.658,0.0
2017-02-28,849856.658,0.0,50235448.0,51085304.658,0.0
2017-03-01,849856.658,0.0,50365453.0,51215309.658,0.0
2017-03-02,849856.658,0.0,50097037.0,50946893.658,0.0
2017-03-03,850806.658,0.0,50246027.0,51096833.658,0.0
2017-03-06,850806.658,0.0,50773850.0,51624656.658,0.0
2017-03-07,850806.658,0.0,50829350.0,51680156.658,0.0
