date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,1933926.303,47931788.0,1.0,49865714.303,0.997314,50000000.0
2017-01-04,1933701.896,48361165.17,0.997,50294867.066,1.005897,50000000.0
2017-01-05,1875535.807,48433161.5,1.006,50308697.307,1.006174,50000000.0
2017-01-06,1872263.284,48157036.05,1.006,50029299.334,1.000586,50000000.0
2017-01-09,1859086.082,48461522.54,1.001,50320608.622,1.006412,50000000.0
2017-01-10,1883049.579,48324658.53,1.006,50207708.109,1.004154,50000000.0
2017-01-11,1871044.998,47922916.8,1.004,49793961.798,0.995879,50000000.0
2017-01-12,1844404.568,47574914.79,0.996,49419319.358,0.988386,50000000.0
2017-01-13,1818297.914,47369367.27,0.988,49187665.184,0.983753,50000000.0
2017-01-16,1627139.329,47173144.17,0.984,48800283.499,0.976006,50000000.0
2017-01-17,1616152.557,47388989.24,0.976,49005141.797,0.980103,50000000.0
2017-01-18,1629329.731,47408972.17,0.98,49038301.901,0.980766,50000000.0
2017-01-19,1627161.118,47287316.72,0.981,48914477.838,0.97829,50000000.0
2017-01-20,1445023.515,47937217.19,0.978,49382240.705,0.987645,50000000.0
2017-01-23,1481506.159,48135058.77,0.988,49616564.929,0.992331,50000000.0
2017-01-24,1506042.767,48037401.29,0.992,49543444.057,0.990869,50000000.0
2017-01-25,1513783.478,48199751.28,0.991,49713534.758,0.994271,50000000.0
2017-01-26,1354779.49,48582579.16,0.994,49937358.65,0.998747,50000000.0
2017-02-03,1356165.891,48339446.52,0.999,49695612.411,0.993912,50000000.0
2017-02-06,1336615.101,48582220.42,0.994,49918835.521,0.998377,50000000.0
2017-02-07,1344099.519,48485860.57,0.998,49829960.089,0.996599,50000000.0
2017-02-08,1380014.824,48770430.01,0.997,50150444.834,1.003009,50000000.0
2017-02-09,1387027.606,48971055.86,1.003,50358083.466,1.007162,50000000.0
2017-02-10,1417210.891,49169408.76,1.007,50586619.651,1.011732,50000000.0
2017-02-13,1429450.034,49474782.2,1.012,50904232.234,1.018085,50000000.0
2017-02-14,1439209.956,49530213.58,1.018,50969423.536,1.019388,50000000.0
2017-02-15,1436664.852,49154908.23,1.019,50591573.082,1.011831,50000000.0
2017-02-16,1396468.793,49519942.6,1.012,50916411.393,1.018328,50000000.0
2017-02-17,1417192.435,49180032.57,1.018,50597225.005,1.011945,50000000.0
2017-02-20,1392290.553,49891596.62,1.012,51283887.173,1.025678,50000000.0
2017-02-21,1443669.321,50145189.09,1.026,51588858.411,1.031777,50000000.0
2017-02-22,1461656.204,50256569.7,1.032,51718225.904,1.034365,50000000.0
2017-02-23,1464644.001,50023099.42,1.034,51487743.421,1.029755,50000000.0
2017-02-24,1453364.972,50104704.31,1.03,51558069.282,1.031161,50000000.0
2017-02-27,1450057.453,49724573.06,1.031,51174630.513,1.023493,50000000.0
2017-02-28,1420439.694,49930899.98,1.023,51351339.674,1.027027,50000000.0
2017-03-01,1448258.696,50024464.02,1.027,51472722.716,1.029454,50000000.0
2017-03-02,1438922.778,49694506.62,1.029,51133429.398,1.022669,50000000.0
2017-03-03,1421592.084,49626299.49,1.023,51047891.574,1.020958,50000000.0
2017-03-06,1519122.447,49906612.49,1.021,51425734.937,1.028515,50000000.0
2017-03-07,1421769.32,50061132.71,1.029,51482902.03,1.029658,50000000.0
2017-03-08,1412260.874,49901239.09,1.03,51313499.964,1.02627,50000000.0
2017-03-09,1412988.326,49529318.89,1.026,50942307.216,1.018846,50000000.0
2017-03-10,1379250.968,49572552.82,1.019,50951803.788,1.019036,50000000.0
2017-03-13,1377960.19,50077587.27,1.019,51455547.46,1.029111,50000000.0
2017-03-14,1412082.04,49951361.19,1.029,51363443.23,1.027269,50000000.0
2017-03-15,1379906.044,50053411.37,1.027,51433317.414,1.028666,50000000.0
2017-03-16,1413383.063,50375759.61,1.029,51789142.673,1.035783,50000000.0
2017-03-17,1452997.109,49763889.8,1.036,51216886.909,1.024338,50000000.0
2017-03-20,1412693.075,49861269.07,1.024,51273962.145,1.025479,50000000.0
2017-03-21,1386660.7,50036657.96,1.025,51423318.66,1.028466,50000000.0
2017-03-22,1396583.534,49778839.72,1.028,51175423.254,1.023508,50000000.0
