date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,1933926.303,0.0,47931788.0,49865714.303,38422.121
2017-01-04,1933701.896,0.0,48361165.17,50294867.066,204.239
2017-01-05,1875535.807,0.0,48433161.5,50308697.307,999.315
2017-01-06,1872263.284,0.0,48157036.05,50029299.334,970.789
2017-01-09,1859086.082,0.0,48461522.54,50320608.622,1080.008
2017-01-10,1883049.579,0.0,48324658.53,50207708.109,1000.522
2017-01-11,1871044.998,0.0,47922916.8,49793961.798,991.368
2017-01-12,1844404.568,0.0,47574914.79,49419319.358,1034.643
2017-01-13,1818297.914,0.0,47369367.27,49187665.184,1114.058
2017-01-16,1627139.329,0.0,47173144.17,48800283.499,1537.786
2017-01-17,1616152.557,0.0,47388989.24,49005141.797,1751.631
2017-01-18,1629329.731,0.0,47408972.17,49038301.901,1159.89
2017-01-19,1627161.118,0.0,47287316.72,48914477.838,1141.372
2017-01-20,1445023.515,0.0,47937217.19,49382240.705,1132.852
2017-01-23,1481506.159,0.0,48135058.77,49616564.929,936.217
2017-01-24,1506042.767,0.0,48037401.29,49543444.057,955.878
2017-01-25,1513783.478,0.0,48199751.28,49713534.758,1052.134
2017-01-26,1354779.49,0.0,48582579.16,49937358.65,1028.744
2017-02-03,1356165.891,0.0,48339446.52,49695612.411,987.175
2017-02-06,1336615.101,0.0,48582220.42,49918835.521,1086.497
2017-02-07,1344099.519,0.0,48485860.57,49829960.089,1040.086
2017-02-08,1380014.824,0.0,48770430.01,50150444.834,927.314
2017-02-09,1387027.606,0.0,48971055.86,50358083.466,1015.969
2017-02-10,1417210.891,0.0,49169408.76,50586619.651,841.247
2017-02-13,1429450.034,0.0,49474782.2,50904232.234,1160.913
2017-02-14,1439209.956,0.0,49530213.58,50969423.536,953.586
2017-02-15,1436664.852,0.0,49154908.23,50591573.082,1032.353
2017-02-16,1396468.793,0.0,49519942.6,50916411.393,1199.887
2017-02-17,1417192.435,0.0,49180032.57,50597225.005,937.385
2017-02-20,1392290.553,0.0,49891596.62,51283887.173,1114.778
2017-02-21,1443669.321,0.0,50145189.09,51588858.411,1111.735
2017-02-22,1461656.204,0.0,50256569.7,51718225.904,994.673
2017-02-23,1464644.001,0.0,50023099.42,51487743.421,949.688
2017-02-24,1453364.972,0.0,50104704.31,51558069.282,1062.307
2017-02-27,1450057.453,0.0,49724573.06,51174630.513,1009.214
2017-02-28,1420439.694,0.0,49930899.98,51351339.674,1129.175
