date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,1035377.963,48827826.0,1.0,49863203.963,0.997264,50000000.0
2017-01-04,1045052.831,49116278.23,0.997,50161331.061,1.003227,50000000.0
2017-01-05,1023854.03,49202414.62,1.003,50226268.65,1.004525,50000000.0
2017-01-06,1039133.07,48903944.66,1.005,49943077.73,0.998862,50000000.0
2017-01-09,1032319.385,49171026.59,0.999,50203345.975,1.004067,50000000.0
2017-01-10,1037967.138,49022472.87,1.004,50060440.008,1.001209,50000000.0
2017-01-11,1033277.385,48680293.53,1.001,49713570.915,0.994271,50000000.0
2017-01-12,1016146.63,48502077.95,0.994,49518224.58,0.990364,50000000.0
2017-01-13,1009553.707,48718387.01,0.99,49727940.717,0.994559,50000000.0
2017-01-16,1020449.722,49287147.25,0.995,50307596.972,1.006152,50000000.0
2017-01-17,1048373.92,49080851.3,1.006,50129225.22,1.002585,50000000.0
2017-01-18,1033448.665,49309900.86,1.003,50343349.525,1.006867,50000000.0
2017-01-19,1025549.225,49113857.55,1.007,50139406.775,1.002788,50000000.0
2017-01-20,1013142.626,49419578.05,1.003,50432720.676,1.008654,50000000.0
2017-01-23,1028201.095,49466632.01,1.009,50494833.105,1.009897,50000000.0
2017-01-24,1049343.28,49496985.64,1.01,50546328.92,1.010927,50000000.0
2017-01-25,1057619.457,49612607.03,1.011,50670226.487,1.013405,50000000.0
2017-01-26,1059313.386,49719683.66,1.013,50778997.046,1.01558,50000000.0
2017-02-03,1042500.749,49333571.78,1.016,50376072.529,1.007521,50000000.0
2017-02-06,1021725.827,49448205.27,1.008,50469931.097,1.009399,50000000.0
2017-02-07,1028399.248,49306250.44,1.009,50334649.688,1.006693,50000000.0
2017-02-08,1030813.111,49616269.04,1.007,50647082.151,1.012942,50000000.0
2017-02-09,1052051.745,49819112.97,1.013,50871164.715,1.017423,50000000.0
2017-02-10,1058017.141,50102726.07,1.017,51160743.211,1.023215,50000000.0
2017-02-13,1079345.293,50321202.93,1.023,51400548.223,1.028011,50000000.0
2017-02-14,1058356.09,50318324.26,1.028,51376680.35,1.027534,50000000.0
2017-02-15,1059276.515,50125778.05,1.028,51185054.565,1.023701,50000000.0
2017-02-16,1046644.681,50344482.98,1.024,51391127.661,1.027823,50000000.0
2017-02-17,1054079.299,49989465.78,1.028,51043545.079,1.020871,50000000.0
2017-02-20,1012859.905,50607017.1,1.021,51619877.005,1.032398,50000000.0
2017-02-21,1036470.212,50685973.01,1.032,51722443.222,1.034449,50000000.0
2017-02-22,1060767.79,50661370.68,1.034,51722138.47,1.034443,50000000.0
2017-02-23,1048027.073,50373064.23,1.034,51421091.303,1.028422,50000000.0
2017-02-24,1038098.514,50495967.9,1.028,51534066.414,1.030681,50000000.0
2017-02-27,1038507.736,50025722.72,1.031,51064230.456,1.021285,50000000.0
2017-02-28,1018411.141,50129127.04,1.021,51147538.181,1.022951,50000000.0
2017-03-01,1032927.976,50173409.42,1.023,51206337.396,1.024127,50000000.0
2017-03-02,1037587.132,49836271.35,1.024,50873858.482,1.017477,50000000.0
2017-03-03,1035900.329,49584170.66,1.017,50620070.989,1.012401,50000000.0
2017-03-06,1024924.76,49728541.27,1.012,50753466.03,1.015069,50000000.0
2017-03-07,1029630.585,49797073.19,1.015,50826703.775,1.016534,50000000.0
2017-03-08,1036723.275,49816235.63,1.017,50852958.905,1.017059,50000000.0
2017-03-09,1042888.697,49560689.45,1.017,50603578.147,1.012072,50000000.0
2017-03-10,1028414.316,49385780.47,1.012,50414194.786,1.008284,50000000.0
2017-03-13,1027072.218,49707378.16,1.008,50734450.378,1.014689,50000000.0
2017-03-14,1037150.578,49701548.74,1.015,50738699.318,1.014774,50000000.0
2017-03-15,1038065.965,49784472.96,1.015,50822538.925,1.016451,50000000.0
2017-03-16,1035685.504,50160973.69,1.016,51196659.194,1.023933,50000000.0
2017-03-17,1059574.499,49620599.16,1.024,50680173.659,1.013603,50000000.0
2017-03-20,1032975.319,49797524.6,1.014,50830499.919,1.01661,50000000.0
2017-03-21,1043085.198,49930023.62,1.017,50973108.818,1.019462,50000000.0
2017-03-22,1042836.057,49565829.08,1.019,50608665.137,1.012173,50000000.0
2017-03-23,1012397.191,49755222.78,1.012,50767619.971,1.015352,50000000.0
2017-03-24,1028207.232,50128194.51,1.015,51156401.742,1.023128,50000000.0
2017-03-27,1064471.645,50022290.4,1.023,51086762.045,1.021735,50000000.0
2017-03-28,1045626.261,49810278.36,1.022,50855904.621,1.017118,50000000.0
2017-03-29,1042763.265,49748822.25,1.017,50791585.515,1.015832,50000000.0
2017-03-30,1037748.485,49594883.52,1.016,50632632.005,1.012653,50000000.0
2017-03-31,1026842.188,49797939.38,1.013,50824781.568,1.016496,50000000.0
2017-04-05,1023948.343,50463503.96,1.016,51487452.303,1.029749,50000000.0
2017-04-06,1059075.455,50556664.14,1.03,51615739.595,1.032315,50000000.0
2017-04-07,1077576.153,50621318.62,1.032,51698894.773,1.033978,50000000.0
2017-04-10,1069419.476,50439553.87,1.034,51508973.346,1.030179,50000000.0
2017-04-11,1060478.712,50646869.27,1.03,51707347.982,1.034147,50000000.0
2017-04-12,1092416.6,50576239.54,1.034,51668656.14,1.033373,50000000.0
2017-04-13,1066587.015,50362331.13,1.033,51428918.145,1.028578,50000000.0
2017-04-14,1046057.047,50095748.01,1.029,51141805.057,1.022836,50000000.0
2017-04-17,1026467.843,50095469.91,1.023,51121937.753,1.022439,50000000.0
2017-04-18,1018021.7,49605150.01,1.022,50623171.71,1.012463,50000000.0
2017-04-19,989359.386,49361814.72,1.012,50351174.106,1.007023,50000000.0
2017-04-20,955532.998,49570727.75,1.007,50526260.748,1.010525,50000000.0
2017-04-21,995456.805,49781631.66,1.011,50777088.465,1.015542,50000000.0
2017-04-24,1017361.761,49593629.99,1.016,50610991.751,1.01222,50000000.0
2017-04-25,995345.36,49497271.24,1.012,50492616.6,1.009852,50000000.0
2017-04-26,1005737.52,49359376.26,1.01,50365113.78,1.007302,50000000.0
2017-04-27,988181.774,49510335.33,1.007,50498517.104,1.00997,50000000.0
2017-04-28,1008821.571,49450674.92,1.01,50459496.491,1.00919,50000000.0
2017-05-02,1014470.176,49272650.99,1.009,50287121.166,1.005742,50000000.0
2017-05-03,1008083.987,49139999.38,1.006,50148083.367,1.002962,50000000.0
2017-05-04,980205.375,49072790.46,1.003,50052995.835,1.00106,50000000.0
2017-05-05,973876.317,48955370.93,1.001,49929247.247,0.998585,50000000.0
2017-05-08,954574.163,49069737.19,0.999,50024311.353,1.000486,50000000.0
2017-05-09,996364.319,48809047.51,1.0,49805411.829,0.996108,50000000.0
2017-05-10,970727.784,48682132.72,0.996,49652860.504,0.993057,50000000.0
2017-05-11,942011.367,48978970.93,0.993,49920982.297,0.99842,50000000.0
2017-05-12,972847.937,49427813.65,0.998,50400661.587,1.008013,50000000.0
2017-05-15,1019778.848,49473551.83,1.008,50493330.678,1.009867,50000000.0
2017-05-16,1016559.209,49494255.69,1.01,50510814.899,1.010216,50000000.0
2017-05-17,1009311.142,49225456.78,1.01,50234767.922,1.004695,50000000.0
2017-05-18,990282.466,48896998.78,1.005,49887281.246,0.997746,50000000.0
2017-05-19,984791.418,48851920.66,0.998,49836712.078,0.996734,50000000.0
2017-05-22,977002.108,49003491.31,0.997,49980493.418,0.99961,50000000.0
2017-05-23,984484.556,49378872.52,1.0,50363357.076,1.007267,50000000.0
2017-05-24,1004948.646,49284630.35,1.007,50289578.996,1.005792,50000000.0
2017-05-25,1067961.19,50326358.877,1.006,51394320.067,1.027886,50000000.0
2017-05-26,1079458.721,50345119.576,1.028,51424578.297,1.028492,50000000.0
2017-05-31,1074262.646,50627590.706,1.028,51701853.352,1.034037,50000000.0
2017-06-01,1082865.646,50779278.528,1.034,51862144.174,1.037243,50000000.0
2017-06-02,1088615.599,50433042.751,1.037,51521658.35,1.030433,50000000.0
2017-06-05,1027101.215,50119493.895,1.03,51146595.11,1.022932,50000000.0
2017-06-06,1007687.181,50333708.32,1.023,51341395.501,1.026828,50000000.0
2017-06-07,1022942.834,50673332.386,1.027,51696275.22,1.033926,50000000.0
2017-06-08,1062425.4,50911802.646,1.034,51974228.046,1.039485,50000000.0
2017-06-09,1095057.525,51072813.507,1.039,52167871.032,1.043357,50000000.0
2017-06-12,1106194.095,50937744.662,1.043,52043938.757,1.040879,50000000.0
2017-06-13,1102361.221,50898437.021,1.041,52000798.242,1.040016,50000000.0
2017-06-14,1110106.088,50491362.794,1.04,51601468.882,1.032029,50000000.0
2017-06-15,1054374.898,50520879.042,1.032,51575253.94,1.031505,50000000.0
2017-06-16,1084289.99,50428795.575,1.032,51513085.565,1.030262,50000000.0
2017-06-19,1066902.154,50950942.72,1.03,52017844.874,1.040357,50000000.0
2017-06-20,1110261.566,50731235.341,1.04,51841496.907,1.03683,50000000.0
2017-06-21,1100532.517,50973526.546,1.037,52074059.063,1.041481,50000000.0
2017-06-22,1116205.952,51258992.483,1.041,52375198.435,1.047504,50000000.0
2017-06-23,1149683.89,51350117.786,1.048,52499801.676,1.049996,50000000.0
2017-06-26,1161596.871,51672733.516,1.05,52834330.387,1.056687,50000000.0
2017-06-27,1179555.443,51751881.41,1.057,52931436.853,1.058629,50000000.0
2017-06-28,1193409.711,51510727.741,1.059,52704137.452,1.054083,50000000.0
2017-06-29,1188457.202,51678059.924,1.054,52866517.126,1.05733,50000000.0
2017-06-30,1211028.793,51645958.805,1.057,52856987.598,1.05714,50000000.0
2017-07-03,1209574.828,51464417.204,1.057,52673992.032,1.05348,50000000.0
2017-07-04,1164165.751,51190771.995,1.053,52354937.746,1.047099,50000000.0
2017-07-05,1147495.615,51696486.218,1.047,52843981.833,1.05688,50000000.0
2017-07-06,1188389.648,51751700.224,1.057,52940089.872,1.058802,50000000.0
2017-07-07,1229944.244,51930017.07,1.059,53159961.314,1.063199,50000000.0
2017-07-10,1249416.807,52096344.377,1.063,53345761.184,1.066915,50000000.0
2017-07-11,1394174.291,52250009.3,1.067,53644183.591,1.072884,50000000.0
