date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,1035377.963,0.0,48827826.0,49863203.963,39140.385
2017-01-04,1045052.831,0.0,49116278.23,50161331.061,139.298
2017-01-05,1023854.03,0.0,49202414.62,50226268.65,370.463
2017-01-06,1039133.07,0.0,48903944.66,49943077.73,525.944
2017-01-09,1032319.385,0.0,49171026.59,50203345.975,410.757
2017-01-10,1037967.138,0.0,49022472.87,50060440.008,445.883
2017-01-11,1033277.385,0.0,48680293.53,49713570.915,566.903
2017-01-12,1016146.63,0.0,48502077.95,49518224.58,527.201
2017-01-13,1009553.707,0.0,48718387.01,49727940.717,445.41
2017-01-16,1020449.722,0.0,49287147.25,50307596.972,417.449
2017-01-17,1048373.92,0.0,49080851.3,50129225.22,406.199
2017-01-18,1033448.665,0.0,49309900.86,50343349.525,356.41
2017-01-19,1025549.225,0.0,49113857.55,50139406.775,391.024
2017-01-20,1013142.626,0.0,49419578.05,50432720.676,463.49
2017-01-23,1028201.095,0.0,49466632.01,50494833.105,341.156
2017-01-24,1049343.28,0.0,49496985.64,50546328.92,369.364
2017-01-25,1057619.457,0.0,49612607.03,50670226.487,446.901
2017-01-26,1059313.386,0.0,49719683.66,50778997.046,416.956
2017-02-03,1042500.749,0.0,49333571.78,50376072.529,385.386
2017-02-06,1021725.827,0.0,49448205.27,50469931.097,461.63
2017-02-07,1028399.248,0.0,49306250.44,50334649.688,383.93
2017-02-08,1030813.111,0.0,49616269.04,50647082.151,324.007
2017-02-09,1052051.745,0.0,49819112.97,50871164.715,551.686
2017-02-10,1058017.141,0.0,50102726.07,51160743.211,419.728
2017-02-13,1079345.293,0.0,50321202.93,51400548.223,524.442
2017-02-14,1058356.09,0.0,50318324.26,51376680.35,357.368
2017-02-15,1059276.515,0.0,50125778.05,51185054.565,479.492
2017-02-16,1046644.681,0.0,50344482.98,51391127.661,648.436
2017-02-17,1054079.299,0.0,49989465.78,51043545.079,456.382
2017-02-20,1012859.905,0.0,50607017.1,51619877.005,413.339
2017-02-21,1036470.212,0.0,50685973.01,51722443.222,440.044
2017-02-22,1060767.79,0.0,50661370.68,51722138.47,283.196
2017-02-23,1048027.073,0.0,50373064.23,51421091.303,323.977
2017-02-24,1038098.514,0.0,50495967.9,51534066.414,350.568
2017-02-27,1038507.736,0.0,50025722.72,51064230.456,499.196
2017-02-28,1018411.141,0.0,50129127.04,51147538.181,346.875
2017-03-01,1032927.976,0.0,50173409.42,51206337.396,317.82
2017-03-02,1037587.132,0.0,49836271.35,50873858.482,325.578
2017-03-03,1035900.329,0.0,49584170.66,50620070.989,391.584
2017-03-06,1024924.76,0.0,49728541.27,50753466.03,391.168
2017-03-07,1029630.585,0.0,49797073.19,50826703.775,426.349
2017-03-08,1036723.275,0.0,49816235.63,50852958.905,377.572
2017-03-09,1042888.697,0.0,49560689.45,50603578.147,440.797
2017-03-10,1028414.316,0.0,49385780.47,50414194.786,418.657
2017-03-13,1027072.218,0.0,49707378.16,50734450.378,428.542
2017-03-14,1037150.578,0.0,49701548.74,50738699.318,436.038
2017-03-15,1038065.965,0.0,49784472.96,50822538.925,277.412
2017-03-16,1035685.504,0.0,50160973.69,51196659.194,360.015
2017-03-17,1059574.499,0.0,49620599.16,50680173.659,521.975
2017-03-20,1032975.319,0.0,49797524.6,50830499.919,455.81
2017-03-21,1043085.198,0.0,49930023.62,50973108.818,699.116
2017-03-22,1042836.057,0.0,49565829.08,50608665.137,747.985
2017-03-23,1012397.191,0.0,49755222.78,50767619.971,574.428
2017-03-24,1028207.232,0.0,50128194.51,51156401.742,425.863
2017-03-27,1064471.645,0.0,50022290.4,51086762.045,585.355
2017-03-28,1045626.261,0.0,49810278.36,50855904.621,598.528
2017-03-29,1042763.265,0.0,49748822.25,50791585.515,341.082
2017-03-30,1037748.485,0.0,49594883.52,50632632.005,478.56
2017-03-31,1026842.188,0.0,49797939.38,50824781.568,433.693
2017-04-05,1023948.343,0.0,50463503.96,51487452.303,561.317
2017-04-06,1059075.455,0.0,50556664.14,51615739.595,688.091
2017-04-07,1077576.153,0.0,50621318.62,51698894.773,635.388
2017-04-10,1069419.476,0.0,50439553.87,51508973.346,427.778
2017-04-11,1060478.712,0.0,50646869.27,51707347.982,511.422
2017-04-12,1092416.6,0.0,50576239.54,51668656.14,656.555
2017-04-13,1066587.015,0.0,50362331.13,51428918.145,587.447
2017-04-14,1046057.047,0.0,50095748.01,51141805.057,350.177
2017-04-17,1026467.843,0.0,50095469.91,51121937.753,373.142
2017-04-18,1018021.7,0.0,49605150.01,50623171.71,390.88
2017-04-19,989359.386,0.0,49361814.72,50351174.106,572.617
2017-04-20,955532.998,0.0,49570727.75,50526260.748,382.833
2017-04-21,995456.805,0.0,49781631.66,50777088.465,658.178
2017-04-24,1017361.761,0.0,49593629.99,50610991.751,468.494
2017-04-25,995345.36,0.0,49497271.24,50492616.6,824.614
2017-04-26,1005737.52,0.0,49359376.26,50365113.78,659.155
2017-04-27,988181.774,0.0,49510335.33,50498517.104,655.463
2017-04-28,1008821.571,0.0,49450674.92,50459496.491,508.144
2017-05-02,1014470.176,0.0,49272650.99,50287121.166,378.943
2017-05-03,1008083.987,0.0,49139999.38,50148083.367,457.077
2017-05-04,980205.375,0.0,49072790.46,50052995.835,465.185
2017-05-05,973876.317,0.0,48955370.93,49929247.247,413.348
2017-05-08,954574.163,0.0,49069737.19,50024311.353,504.7
2017-05-09,996364.319,0.0,48809047.51,49805411.829,521.101
2017-05-10,970727.784,0.0,48682132.72,49652860.504,462.067
2017-05-11,942011.367,0.0,48978970.93,49920982.297,736.347
2017-05-12,972847.937,0.0,49427813.65,50400661.587,433.826
2017-05-15,1019778.848,0.0,49473551.83,50493330.678,756.69
2017-05-16,1016559.209,0.0,49494255.69,50510814.899,600.138
2017-05-17,1009311.142,0.0,49225456.78,50234767.922,499.658
2017-05-18,990282.466,0.0,48896998.78,49887281.246,424.815
2017-05-19,984791.418,0.0,48851920.66,49836712.078,501.716
2017-05-22,977002.108,0.0,49003491.31,49980493.418,549.156
2017-05-23,984484.556,0.0,49378872.52,50363357.076,740.25
2017-05-24,1004948.646,0.0,49284630.35,50289578.996,800.96
2017-05-25,1067961.19,0.0,50326358.877,51394320.067,848.026
2017-05-26,1079458.721,0.0,50345119.576,51424578.297,1091.713
2017-05-31,1074262.646,0.0,50627590.706,51701853.352,466.851
2017-06-01,1082865.646,0.0,50779278.528,51862144.174,499.558
2017-06-02,1088615.599,0.0,50433042.751,51521658.35,649.332
2017-06-05,1027101.215,0.0,50119493.895,51146595.11,396.225
2017-06-06,1007687.181,0.0,50333708.32,51341395.501,577.253
2017-06-07,1022942.834,0.0,50673332.386,51696275.22,466.132
2017-06-08,1062425.4,0.0,50911802.646,51974228.046,467.212
2017-06-09,1095057.525,0.0,51072813.507,52167871.032,632.823
2017-06-12,1106194.095,0.0,50937744.662,52043938.757,604.069
2017-06-13,1102361.221,0.0,50898437.021,52000798.242,534.113
2017-06-14,1110106.088,0.0,50491362.794,51601468.882,429.263
2017-06-15,1054374.898,0.0,50520879.042,51575253.94,676.907
2017-06-16,1084289.99,0.0,50428795.575,51513085.565,521.476
2017-06-19,1066902.154,0.0,50950942.72,52017844.874,501.767
2017-06-20,1110261.566,0.0,50731235.341,51841496.907,526.756
2017-06-21,1100532.517,0.0,50973526.546,52074059.063,400.415
2017-06-22,1116205.952,0.0,51258992.483,52375198.435,430.592
2017-06-23,1149683.89,0.0,51350117.786,52499801.676,530.058
2017-06-26,1161596.871,0.0,51672733.516,52834330.387,493.117
2017-06-27,1179555.443,0.0,51751881.41,52931436.853,545.068
2017-06-28,1193409.711,0.0,51510727.741,52704137.452,519.643
2017-06-29,1188457.202,0.0,51678059.924,52866517.126,572.288
2017-06-30,1211028.793,0.0,51645958.805,52856987.598,442.184
2017-07-03,1209574.828,0.0,51464417.204,52673992.032,379.91
2017-07-04,1164165.751,0.0,51190771.995,52354937.746,456.823
2017-07-05,1147495.615,0.0,51696486.218,52843981.833,525.079
2017-07-06,1188389.648,0.0,51751700.224,52940089.872,642.789
2017-07-07,1229944.244,0.0,51930017.07,53159961.314,585.192
2017-07-10,1249416.807,0.0,52096344.377,53345761.184,862.363
2017-07-11,1394174.291,0.0,52250009.3,53644183.591,659.308
2017-07-12,1477187.431,0.0,52105983.834,53583171.265,1052.985
2017-07-13,1424694.452,0.0,53073980.073,54498674.525,970.679
2017-07-14,1534773.367,0.0,53251257.641,54786031.008,705.251
2017-07-17,1559853.26,0.0,53195977.578,54755830.838,646.839
2017-07-18,1537500.719,0.0,53263358.599,54800859.318,1317.246
2017-07-19,1541725.462,0.0,54223770.391,55765495.853,934.15
2017-07-20,1639242.862,0.0,54203755.028,55842997.89,1419.369
2017-07-21,1638849.604,0.0,53821677.153,55460526.757,558.521
2017-07-24,1608588.802,0.0,53916335.109,55524923.911,561.58
2017-07-25,1603215.143,0.0,53558842.443,55162057.586,607.595
2017-07-26,1566909.81,0.0,53637714.452,55204624.262,602.652
2017-07-27,1601258.204,0.0,53707287.462,55308545.666,720.414
2017-07-28,1596305.685,0.0,53660772.417,55257078.102,595.927
2017-07-31,1581400.27,0.0,53869513.544,55450913.814,566.877
2017-08-01,1641648.061,0.0,54378634.265,56020282.326,620.718
2017-08-02,1682077.897,0.0,54250203.322,55932281.219,639.967
2017-08-03,1660040.636,0.0,53785397.55,55445438.186,830.723
2017-08-04,1617559.801,0.0,53716974.113,55334533.914,556.015
2017-08-07,1669968.248,0.0,53658621.289,55328589.537,639.814
2017-08-08,1591389.183,0.0,53843445.785,55434834.968,585.781
2017-08-09,1605809.33,0.0,53554969.156,55160778.486,481.952
2017-08-10,1580394.609,0.0,53673115.501,55253510.11,678.43
2017-08-11,1580029.036,0.0,52809901.004,54389930.04,502.83
2017-08-14,1499274.96,0.0,53343556.798,54842831.758,856.454
2017-08-15,1539151.679,0.0,53421041.757,54960193.436,782.001
2017-08-16,1556846.962,0.0,53183592.149,54740439.111,571.78
2017-08-17,1531359.938,0.0,53620588.975,55151948.913,469.005
2017-08-18,1595605.743,0.0,53457065.821,55052671.564,545.052
2017-08-21,1584450.852,0.0,53627020.607,55211471.459,552.987
2017-08-22,1534167.594,0.0,53851152.535,55385320.129,371.697
2017-08-23,1550141.741,0.0,54015808.053,55565949.794,761.852
2017-08-24,1548754.908,0.0,53575296.439,55124051.347,626.541
2017-08-25,1510016.795,0.0,54825306.862,56335323.657,608.925
2017-08-28,1629933.894,0.0,55733733.621,57363667.515,779.646
2017-08-29,1696840.864,0.0,55576240.718,57273081.582,1420.226
2017-08-30,1688919.562,0.0,55476317.737,57165237.299,552.56
2017-08-31,1675071.68,0.0,55366286.057,57041357.737,626.682
2017-09-01,1667379.198,0.0,55386315.047,57053694.245,610.531
2017-09-04,1446474.23,0.0,55843812.742,57290286.972,676.853
2017-09-05,1471508.402,0.0,55905246.693,57376755.095,637.139
2017-09-06,1471066.785,0.0,55772950.24,57244017.025,750.089
2017-09-07,1478821.099,0.0,55267416.187,56746237.286,521.02
2017-09-08,1455936.256,0.0,55214553.515,56670489.771,472.129
2017-09-11,1451367.395,0.0,55080134.491,56531501.886,504.872
2017-09-12,1437257.964,0.0,55418338.918,56855596.882,538.933
2017-09-13,1438245.159,0.0,55274955.027,56713200.186,600.086
2017-09-14,1417528.249,0.0,55039476.111,56457004.36,427.522
2017-09-15,1399384.992,0.0,55003185.183,56402570.175,537.519
2017-09-18,1388498.635,0.0,55173461.063,56561959.698,625.495
2017-09-19,1405843.382,0.0,54940484.782,56346328.164,518.121
2017-09-20,1385481.747,0.0,54886993.832,56272475.579,450.921
2017-09-21,1226989.883,0.0,55061819.667,56288809.55,604.598
2017-09-22,1230181.71,0.0,55005019.061,56235200.771,680.262
2017-09-25,1221343.034,0.0,54954154.176,56175497.21,644.118
2017-09-26,1226982.206,0.0,54962804.818,56189787.024,874.316
2017-09-27,1227452.83,0.0,54699326.055,55926778.885,429.0
2017-09-28,1222371.122,0.0,54575278.412,55797649.534,485.68
2017-09-29,1209607.578,0.0,54754292.525,55963900.103,466.269
2017-10-09,1225360.15,0.0,54942106.518,56167466.668,529.886
2017-10-10,1228591.657,0.0,54883620.538,56112212.195,586.048
2017-10-11,1229080.442,0.0,54994159.43,56223239.872,638.542
2017-10-12,1227615.649,0.0,55011876.725,56239492.374,549.896
2017-10-13,1231006.586,0.0,54917930.748,56148937.334,637.052
2017-10-16,1224381.344,0.0,55015239.882,56239621.226,400.153
2017-10-17,1229000.025,0.0,54778672.709,56007672.734,602.013
2017-10-18,1219762.328,0.0,55185922.823,56405685.151,434.001
2017-10-19,1232118.881,0.0,54881468.791,56113587.672,792.028
2017-10-20,1222267.677,0.0,54738365.581,55960633.258,890.324
2017-10-23,1236889.131,0.0,54621393.974,55858283.105,637.811
2017-10-24,1229540.248,0.0,55099358.892,56328899.14,537.529
2017-10-25,1265162.155,0.0,55024158.542,56289320.697,474.715
2017-10-26,1265683.521,0.0,55221255.746,56486939.267,283.218
2017-10-27,1239103.038,0.0,55369441.637,56608544.675,892.586
2017-10-30,1247357.747,0.0,55247464.66,56494822.407,942.358
2017-10-31,1289825.703,0.0,54935720.107,56225545.81,1181.27
2017-11-01,1273700.685,0.0,55004406.356,56278107.041,669.54
2017-11-02,1288221.341,0.0,55076361.119,56364582.46,941.448
2017-11-03,1273834.339,0.0,55079188.478,56353022.817,409.16
2017-11-06,1154027.797,0.0,55005043.523,56159071.32,526.847
2017-11-07,1152929.99,0.0,55624860.148,56777790.138,888.141
2017-11-08,1181288.102,0.0,55679256.2,56860544.302,649.981
2017-11-09,1174079.403,0.0,55845760.887,57019840.29,703.197
2017-11-10,1185259.575,0.0,55826650.893,57011910.468,645.164
2017-11-13,1159618.62,0.0,55981401.65,57141020.27,1131.935
2017-11-14,1163436.397,0.0,55840374.926,57003811.323,749.043
2017-11-15,1172309.331,0.0,55617307.804,56789617.135,879.644
2017-11-16,1154963.142,0.0,55449626.543,56604589.685,683.45
2017-11-17,1149529.241,0.0,56265525.282,57415054.523,1220.705
2017-11-20,1220114.474,0.0,56155028.161,57375142.635,1266.238
2017-11-21,1183253.493,0.0,56963994.354,58147247.847,792.823
2017-11-22,1216292.423,0.0,57707586.733,58923879.156,1105.576
2017-11-23,1223211.661,0.0,56484911.386,57708123.047,1417.207
2017-11-24,1211714.954,0.0,56494002.485,57705717.439,818.768
