date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,3559524.856,46310731.0,1.0,49870255.856,0.997405,50000000.0
2017-01-04,3355936.294,47064031.57,0.997,50419967.864,1.008399,50000000.0
2017-01-05,3224756.521,47221207.21,1.008,50445963.731,1.008919,50000000.0
2017-01-06,3103471.682,47140145.57,1.009,50243617.252,1.004872,50000000.0
2017-01-09,3002188.016,47600845.82,1.005,50603033.836,1.012061,50000000.0
2017-01-10,3048344.473,47408783.54,1.012,50457128.013,1.009143,50000000.0
2017-01-11,3026793.341,46916870.83,1.009,49943664.171,0.998873,50000000.0
2017-01-12,2860204.357,46635226.34,0.999,49495430.697,0.989909,50000000.0
2017-01-13,2728915.761,46101840.7,0.99,48830756.461,0.976615,50000000.0
2017-01-16,2643565.642,44764546.9,0.977,47408112.542,0.948162,50000000.0
2017-01-17,2534617.389,45286483.48,0.948,47821100.869,0.956422,50000000.0
2017-01-18,2396682.453,45347740.04,0.956,47744422.493,0.954888,50000000.0
2017-01-19,2405050.436,45151873.26,0.955,47556923.696,0.951138,50000000.0
2017-01-20,2374752.413,45818609.12,0.951,48193361.533,0.963867,50000000.0
2017-01-23,2422054.145,46177885.19,0.964,48599939.335,0.971999,50000000.0
2017-01-24,2486481.31,46039991.24,0.972,48526472.55,0.970529,50000000.0
2017-01-25,2495387.882,46132226.08,0.971,48627613.962,0.972552,50000000.0
2017-01-26,2470151.651,46486755.48,0.973,48956907.131,0.979138,50000000.0
2017-02-03,2494344.317,46327859.79,0.979,48822204.107,0.976444,50000000.0
2017-02-06,2471096.776,46771272.41,0.976,49242369.186,0.984847,50000000.0
2017-02-07,2502626.939,46716022.23,0.985,49218649.169,0.984373,50000000.0
2017-02-08,2429857.818,47084419.23,0.984,49514277.048,0.990286,50000000.0
2017-02-09,2457010.309,47422424.17,0.99,49879434.479,0.997589,50000000.0
2017-02-10,2509853.981,47438301.01,0.998,49948154.991,0.998963,50000000.0
2017-02-13,2517693.739,47700213.55,0.999,50217907.289,1.004358,50000000.0
2017-02-14,2509681.484,47747219.81,1.004,50256901.294,1.005138,50000000.0
2017-02-15,2409688.464,47357756.02,1.005,49767444.484,0.995349,50000000.0
2017-02-16,2265303.335,47886113.77,0.995,50151417.105,1.003028,50000000.0
2017-02-17,2306612.473,47433036.42,1.003,49739648.893,0.994793,50000000.0
2017-02-20,2269183.85,48086719.94,0.995,50355903.79,1.007118,50000000.0
2017-02-21,2194067.211,48560615.59,1.007,50754682.801,1.015094,50000000.0
2017-02-22,2213069.757,48850982.52,1.015,51064052.277,1.021281,50000000.0
2017-02-23,2252883.587,48767409.63,1.021,51020293.217,1.020406,50000000.0
2017-02-24,2215553.043,48847617.46,1.02,51063170.503,1.021263,50000000.0
2017-02-27,2101038.193,48536864.64,1.021,50637902.833,1.012758,50000000.0
2017-02-28,2102890.897,48750431.9,1.013,50853322.797,1.017066,50000000.0
2017-03-01,2107943.054,48877702.79,1.017,50985645.844,1.019713,50000000.0
