date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,3559524.856,0.0,46310731.0,49870255.856,37122.682
2017-01-04,3355936.294,0.0,47064031.57,50419967.864,274.976
2017-01-05,3224756.521,0.0,47221207.21,50445963.731,1451.947
2017-01-06,3103471.682,0.0,47140145.57,50243617.252,1353.321
2017-01-09,3002188.016,0.0,47600845.82,50603033.836,1567.813
2017-01-10,3048344.473,0.0,47408783.54,50457128.013,1427.953
2017-01-11,3026793.341,0.0,46916870.83,49943664.171,1441.629
2017-01-12,2860204.357,0.0,46635226.34,49495430.697,1542.258
2017-01-13,2728915.761,0.0,46101840.7,48830756.461,1584.66
2017-01-16,2643565.642,0.0,44764546.9,47408112.542,1795.159
2017-01-17,2534617.389,0.0,45286483.48,47821100.869,2301.18
2017-01-18,2396682.453,0.0,45347740.04,47744422.493,1637.168
2017-01-19,2405050.436,0.0,45151873.26,47556923.696,1518.301
2017-01-20,2374752.413,0.0,45818609.12,48193361.533,1564.66
2017-01-23,2422054.145,0.0,46177885.19,48599939.335,1323.033
2017-01-24,2486481.31,0.0,46039991.24,48526472.55,1292.027
2017-01-25,2495387.882,0.0,46132226.08,48627613.962,1418.795
2017-01-26,2470151.651,0.0,46486755.48,48956907.131,1104.314
2017-02-03,2494344.317,0.0,46327859.79,48822204.107,1242.491
2017-02-06,2471096.776,0.0,46771272.41,49242369.186,1280.852
2017-02-07,2502626.939,0.0,46716022.23,49218649.169,1313.753
2017-02-08,2429857.818,0.0,47084419.23,49514277.048,1383.58
2017-02-09,2457010.309,0.0,47422424.17,49879434.479,1048.714
2017-02-10,2509853.981,0.0,47438301.01,49948154.991,1250.365
2017-02-13,2517693.739,0.0,47700213.55,50217907.289,1512.074
2017-02-14,2509681.484,0.0,47747219.81,50256901.294,1203.185
2017-02-15,2409688.464,0.0,47357756.02,49767444.484,1448.372
2017-02-16,2265303.335,0.0,47886113.77,50151417.105,1547.49
2017-02-17,2306612.473,0.0,47433036.42,49739648.893,1227.861
2017-02-20,2269183.85,0.0,48086719.94,50355903.79,1507.141
2017-02-21,2194067.211,0.0,48560615.59,50754682.801,1473.514
2017-02-22,2213069.757,0.0,48850982.52,51064052.277,1304.159
2017-02-23,2252883.587,0.0,48767409.63,51020293.217,1516.912
2017-02-24,2215553.043,0.0,48847617.46,51063170.503,1678.916
2017-02-27,2101038.193,0.0,48536864.64,50637902.833,1486.299
2017-02-28,2102890.897,0.0,48750431.9,50853322.797,1413.996
2017-03-01,2107943.054,0.0,48877702.79,50985645.844,1212.989
2017-03-02,2132618.62,0.0,48593069.28,50725687.9,1262.329
2017-03-03,2117374.191,0.0,48729441.65,50846815.841,1409.358
2017-03-06,2089812.8,0.0,49261186.51,51350999.31,1506.159
2017-03-07,2131671.945,0.0,49254516.28,51386188.225,1447.52
2017-03-08,2113639.122,0.0,49066906.57,51180545.692,1481.982
2017-03-09,2117639.255,0.0,48597100.49,50714739.745,1263.354
2017-03-10,2084155.905,0.0,48667044.07,50751199.975,1396.564
2017-03-13,2111737.243,0.0,49096174.06,51207911.303,1314.96
2017-03-14,2126529.042,0.0,48943126.85,51069655.892,1418.202
2017-03-15,2137611.761,0.0,48868550.03,51006161.791,1272.899
2017-03-16,2116518.572,0.0,49353827.72,51470346.292,1298.657
2017-03-17,2152530.09,0.0,48875090.79,51027620.88,1122.448
2017-03-20,2132074.468,0.0,49043202.27,51175276.738,1295.896
2017-03-21,2111807.103,0.0,49136094.39,51247901.493,1482.247
2017-03-22,2014479.468,0.0,49042702.13,51057181.598,1492.262
2017-03-23,1987678.374,0.0,49159644.73,51147323.104,1833.453
2017-03-24,1893941.801,0.0,49493470.13,51387411.931,1706.983
2017-03-27,1911160.449,0.0,49267496.42,51178656.869,1591.196
2017-03-28,1817612.821,0.0,49217275.42,51034888.241,1668.466
2017-03-29,1825867.44,0.0,49019863.46,50845730.9,1364.839
2017-03-30,1787428.348,0.0,48196476.96,49983905.308,1619.273
2017-03-31,1731547.256,0.0,48417378.16,50148925.416,1757.845
2017-04-05,1734562.785,0.0,49513724.28,51248287.065,1517.906
2017-04-06,1848340.42,0.0,49560487.54,51408827.96,1728.295
2017-04-07,1900903.345,0.0,49638721.58,51539624.925,1656.975
2017-04-10,1889556.172,0.0,49504800.53,51394356.702,1562.666
2017-04-11,1861906.773,0.0,50036817.09,51898723.863,1927.614
2017-04-12,1869935.394,0.0,49624166.42,51494101.814,1908.622
2017-04-13,1634395.445,0.0,50162381.59,51796777.035,1858.398
2017-04-14,1615738.302,0.0,49482056.73,51097795.032,1748.779
2017-04-17,1439794.009,0.0,49073273.5,50513067.509,1799.128
2017-04-18,1386107.526,0.0,48800067.47,50186174.996,1962.0
2017-04-19,1373299.058,0.0,48241030.83,49614329.888,2127.233
2017-04-20,1238192.807,0.0,48327939.58,49566132.387,2130.322
2017-04-21,1220205.849,0.0,48016425.35,49236631.199,1971.982
2017-04-24,1255539.435,0.0,46632195.37,47887734.805,1887.901
2017-04-25,1119972.151,0.0,46895765.25,48015737.401,2197.983
2017-04-26,1258138.057,0.0,46861383.32,48119521.377,1978.838
2017-04-27,1057974.432,0.0,47193494.39,48251468.822,2057.062
2017-04-28,1095078.816,0.0,47329586.34,48424665.156,1921.823
2017-05-02,1022915.376,0.0,47386199.64,48409115.016,1756.913
2017-05-03,1024791.398,0.0,47295945.0,48320736.398,1758.184
2017-05-04,929268.584,0.0,47233089.93,48162358.514,1715.438
2017-05-05,927018.748,0.0,46569760.96,47496779.708,1643.743
2017-05-08,865778.332,0.0,45773048.93,46638827.262,1819.017
2017-05-09,611725.62,0.0,46348921.36,46960646.98,2172.539
2017-05-10,647454.551,0.0,45266585.51,45914040.061,1668.157
2017-05-11,596740.202,0.0,45077577.382,45674317.584,2140.358
2017-05-12,541067.972,0.0,45026806.236,45567874.208,2293.709
2017-05-15,551906.434,0.0,45238031.098,45789937.532,1979.628
2017-05-16,587289.467,0.0,46149013.759,46736303.226,1792.924
2017-05-17,645089.99,0.0,46230512.39,46875602.38,1639.936
2017-05-18,810952.562,0.0,45696902.561,46507855.123,1643.186
2017-05-19,680635.243,0.0,45854416.872,46535052.115,1723.949
2017-05-22,659003.513,0.0,45148608.82,45807612.333,1649.636
2017-05-23,590559.395,0.0,44130700.717,44721260.112,1840.925
2017-05-24,464292.672,0.0,44555536.472,45019829.144,2246.981
2017-05-25,485067.571,0.0,45021846.258,45506913.829,1997.404
2017-05-26,476824.646,0.0,44977941.648,45454766.294,2046.104
2017-05-31,425817.149,0.0,44944981.658,45370798.807,1722.34
2017-06-01,408009.844,0.0,43960628.385,44368638.229,1622.185
2017-06-02,341303.112,0.0,44574641.851,44915944.963,2027.809
2017-06-05,395905.472,0.0,44875999.614,45271905.086,1723.918
2017-06-06,417985.496,0.0,45070534.522,45488520.018,1449.985
2017-06-07,542663.645,0.0,45850188.831,46392852.476,1624.585
2017-06-08,710308.876,0.0,45680594.389,46390903.265,1907.479
2017-06-09,461420.402,0.0,46023716.27,46485136.672,1709.021
2017-06-12,473375.018,0.0,45439068.632,45912443.65,1458.023
2017-06-13,462002.54,0.0,46044819.358,46506821.898,1864.146
2017-06-14,471061.576,0.0,45950578.712,46421640.288,1405.247
2017-06-15,489873.684,0.0,46394460.409,46884334.093,1495.968
2017-06-16,552700.68,0.0,46265123.947,46817824.626,1589.425
2017-06-19,600317.425,0.0,46567581.287,47167898.712,1621.188
2017-06-20,610061.294,0.0,46608134.557,47218195.851,1842.314
2017-06-21,534462.541,0.0,46749402.574,47283865.115,1545.598
2017-06-22,530209.358,0.0,46084763.582,46614972.941,1333.369
2017-06-23,560452.554,0.0,46140645.18,46701097.734,1750.918
2017-06-26,486411.078,0.0,46929005.152,47415416.229,1633.224
2017-06-27,533412.02,0.0,46929879.539,47463291.559,1560.71
2017-06-28,558729.132,0.0,46696520.121,47255249.252,1315.168
2017-06-29,553013.42,0.0,46954252.627,47507266.047,1488.323
2017-06-30,577474.653,0.0,47036693.549,47614168.202,1276.367
2017-07-03,581154.698,0.0,47383149.095,47964303.793,1364.361
2017-07-04,520130.994,0.0,47264101.978,47784232.973,1487.399
2017-07-05,648845.831,0.0,47474662.674,48123508.505,1855.639
2017-07-06,500924.909,0.0,47644772.889,48145697.798,1438.058
2017-07-07,535144.079,0.0,47807768.662,48342912.74,1737.682
2017-07-10,521214.691,0.0,47754314.027,48275528.718,1773.506
2017-07-11,519241.778,0.0,47203699.013,47722940.791,1738.576
2017-07-12,455540.455,0.0,47211026.706,47666567.161,1684.259
2017-07-13,490226.487,0.0,47361328.969,47851555.456,1914.675
2017-07-14,496563.173,0.0,47186170.671,47682733.845,1645.605
2017-07-17,470885.722,0.0,45130292.973,45601178.695,1626.552
2017-07-18,333780.985,0.0,45733536.381,46067317.365,2251.078
2017-07-19,411968.169,0.0,46504901.086,46916869.255,1737.078
2017-07-20,479043.37,0.0,46722404.978,47201448.348,1923.409
2017-07-21,478876.245,0.0,46886023.499,47364899.744,1577.565
2017-07-24,522241.847,0.0,47204764.283,47727006.13,1745.402
2017-07-25,532443.192,0.0,47039809.942,47572253.134,1732.161
2017-07-26,504896.795,0.0,47032783.735,47537680.529,1592.547
2017-07-27,527703.643,0.0,47395357.186,47923060.829,1643.788
2017-07-28,507564.737,0.0,47551161.524,48058726.261,1909.74
2017-07-31,512624.56,0.0,48105643.763,48618268.323,1692.941
2017-08-01,538720.153,0.0,47995993.675,48534713.829,2052.736
2017-08-02,521827.967,0.0,47678165.139,48199993.106,1658.856
2017-08-03,537886.623,0.0,47808793.05,48346679.674,1701.47
2017-08-04,544625.008,0.0,47629983.339,48174608.347,1488.735
2017-08-07,547909.829,0.0,48165442.278,48713352.107,1739.09
2017-08-08,560448.111,0.0,48183326.424,48743774.535,1665.043
2017-08-09,479146.333,0.0,48543102.515,49022248.848,1531.617
2017-08-10,465134.638,0.0,48193992.768,48659127.406,1776.584
2017-08-11,414654.458,0.0,47316771.072,47731425.53,1865.81
2017-08-14,318442.693,0.0,48319167.065,48637609.758,2099.041
2017-08-15,396391.245,0.0,48375629.969,48772021.214,1777.398
2017-08-16,419455.613,0.0,48500745.594,48920201.207,1581.219
2017-08-17,432474.865,0.0,48916473.185,49348948.05,1710.309
2017-08-18,486433.137,0.0,48778846.203,49265279.34,1574.806
2017-08-21,476268.388,0.0,49183796.961,49660065.35,1653.366
2017-08-22,508521.602,0.0,48854664.682,49363186.284,1463.345
2017-08-23,466958.348,0.0,48523572.834,48990531.182,1619.651
