date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,42506016.851,-119878.0,1.0,99759638.851,0.997596,100000000.0
2017-01-04,41947116.851,-158258.0,0.998,99721258.851,0.997213,100000000.0
2017-01-05,42078216.851,-58783.0,0.997,99820733.851,0.998207,100000000.0
2017-01-06,42326616.851,-91004.0,0.998,99788512.851,0.997885,100000000.0
2017-01-09,41967282.564,-146009.64,0.998,99643272.924,0.996433,100000000.0
2017-01-10,42112182.564,-166435.68,0.996,99622846.884,0.996228,100000000.0
2017-01-11,42467532.564,-170916.06,0.996,99618366.504,0.996184,100000000.0
2017-01-12,42864282.564,-86806.75,0.996,99702475.814,0.997025,100000000.0
2017-01-13,42705582.564,-126265.14,0.997,99663017.424,0.99663,100000000.0
2017-01-16,42861996.318,-29327.76,0.997,99778368.558,0.997784,100000000.0
2017-01-17,42617046.318,-28990.34,0.998,99778705.978,0.997787,100000000.0
2017-01-18,42106446.318,-230169.5,0.998,99577526.818,0.995775,100000000.0
2017-01-19,42499746.318,-3468.02,0.996,99804228.298,0.998042,100000000.0
2017-01-20,41968446.318,-89559.98,0.998,99718136.338,0.997181,100000000.0
2017-01-23,41970517.245,110496.35,0.997,99903013.595,0.99903,100000000.0
2017-01-24,41946367.245,119212.01,0.999,99911729.255,0.999117,100000000.0
2017-01-25,41673817.245,8547.88,0.999,99801065.125,0.998011,100000000.0
2017-01-26,41528917.245,73428.44,0.998,99865945.685,0.998659,100000000.0
2017-02-03,41965345.006,15146.8,0.999,99888741.806,0.998887,100000000.0
2017-02-06,41952243.13,292620.77,0.999,100101363.9,1.001014,100000000.0
2017-02-07,42038493.13,240106.22,1.001,100048849.35,1.000488,100000000.0
2017-02-08,41686593.13,210453.46,1.0,100019196.59,1.000192,100000000.0
2017-02-09,41493393.13,339579.9,1.0,100148323.03,1.001483,100000000.0
2017-02-10,41124243.13,137060.62,1.001,99945803.75,0.999458,100000000.0
2017-02-13,40983097.282,107714.42,0.999,100068561.702,1.000686,100000000.0
2017-02-14,41265997.282,378149.27,1.001,100338996.552,1.00339,100000000.0
2017-02-15,41483347.282,290541.1,1.003,100251388.382,1.002514,100000000.0
2017-02-16,41107297.282,209991.59,1.003,100170838.872,1.001708,100000000.0
2017-02-17,41441947.282,202175.0,1.002,100163022.282,1.00163,100000000.0
2017-02-20,40061666.176,60566.39,1.002,99852082.566,0.998521,100000000.0
2017-02-21,40120316.176,390953.79,0.999,100182469.966,1.001825,100000000.0
2017-02-22,39985766.176,393827.19,1.002,100185343.366,1.001853,100000000.0
2017-02-23,40216916.176,332828.03,1.002,100124344.206,1.001243,100000000.0
2017-02-24,40227266.176,391381.62,1.001,100182897.796,1.001829,100000000.0
2017-02-27,40680885.166,372879.67,1.002,100162614.836,1.001626,100000000.0
2017-02-28,40632585.166,547697.31,1.002,100337432.476,1.003374,100000000.0
2017-03-01,40532535.166,536117.46,1.003,100325852.626,1.003259,100000000.0
2017-03-02,40829235.166,491379.07,1.003,100281114.236,1.002811,100000000.0
2017-03-03,41053485.166,662011.68,1.003,100451746.846,1.004517,100000000.0
2017-03-06,40843353.215,583735.27,1.005,100456588.485,1.004566,100000000.0
2017-03-07,40660503.215,502539.0,1.005,100375392.215,1.003754,100000000.0
2017-03-08,40698453.215,475679.69,1.004,100348532.905,1.003485,100000000.0
2017-03-09,41157303.215,643544.49,1.003,100516397.705,1.005164,100000000.0
2017-03-10,41109003.215,559270.55,1.005,100432123.765,1.004321,100000000.0
