date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,90442.026,0.0,49770122.0,49860564.026,39895.73
2017-01-04,90442.026,0.0,50217742.0,50308184.026,0.0
2017-01-05,90442.026,0.0,50203217.0,50293659.026,0.0
2017-01-06,90442.026,0.0,49954996.0,50045438.026,0.0
2017-01-09,207.739,0.0,50133990.36,50134198.099,116.826
2017-01-10,207.739,0.0,49987564.32,49987772.059,0.0
2017-01-11,207.739,0.0,49674083.94,49674291.679,0.0
2017-01-12,207.739,0.0,49413193.25,49413400.989,0.0
2017-01-13,207.739,0.0,49511734.86,49511942.599,0.0
2017-01-16,18621.493,0.0,49488672.24,49507293.733,358.757
2017-01-17,18621.493,0.0,49702009.66,49720631.153,0.0
2017-01-18,18621.493,0.0,49944830.5,49963451.993,0.0
2017-01-19,18621.493,0.0,49829531.98,49848153.473,0.0
2017-01-20,18621.493,0.0,50205440.02,50224061.513,0.0
2017-01-23,3442.42,0.0,50390496.35,50393938.77,775.124
2017-01-24,3442.42,0.0,50420212.01,50423654.43,0.0
2017-01-25,3442.42,0.0,50546547.88,50549990.3,0.0
2017-01-26,3442.42,0.0,50737428.44,50740870.86,0.0
2017-02-03,84520.181,0.0,50370146.8,50454666.981,677.281
2017-02-06,19668.305,0.0,50602620.77,50622289.075,184.285
2017-02-07,19668.305,0.0,50475106.22,50494774.525,0.0
2017-02-08,19668.305,0.0,50751453.46,50771121.765,0.0
2017-02-09,19668.305,0.0,51048579.9,51068248.205,0.0
2017-02-10,19668.305,0.0,51167060.62,51186728.925,0.0
2017-02-13,171772.457,0.0,51392714.42,51564486.877,700.356
2017-02-14,171772.457,0.0,51417149.27,51588921.727,0.0
2017-02-15,171772.457,0.0,51140541.1,51312313.557,0.0
2017-02-16,171772.457,0.0,51386991.59,51558764.047,0.0
2017-02-17,171772.457,0.0,51088175.0,51259947.457,0.0
2017-02-20,2441.351,0.0,51999566.39,52002007.741,321.453
2017-02-21,2441.351,0.0,52278953.79,52281395.141,0.0
2017-02-22,2441.351,0.0,52398827.19,52401268.541,0.0
2017-02-23,2441.351,0.0,52136828.03,52139269.381,0.0
2017-02-24,2441.351,0.0,52186381.62,52188822.971,0.0
2017-02-27,660.341,0.0,51771879.67,51772540.011,504.072
2017-02-28,660.341,0.0,51988697.31,51989357.651,0.0
2017-03-01,660.341,0.0,52064117.46,52064777.801,0.0
2017-03-02,660.341,0.0,51761379.07,51762039.411,0.0
2017-03-03,660.341,0.0,51737011.68,51737672.021,0.0
2017-03-06,83778.39,0.0,51913735.27,51997513.66,1203.14
2017-03-07,83778.39,0.0,51991539.0,52075317.39,0.0
2017-03-08,83778.39,0.0,51931679.69,52015458.08,0.0
2017-03-09,83778.39,0.0,51700544.49,51784322.88,0.0
2017-03-10,83778.39,0.0,51658270.55,51742048.94,0.0
