FUTURE,50000000.0
STOCK,50000000.0
alpha,0.029
annualized_returns,0.059
benchmark_annualized_returns,0.076
benchmark_total_returns,0.238
beta,0.064
cash,28941681.546
downside_risk,0.12
end_date,2019-12-31
information_ratio,-0.187
max_drawdown,0.017
run_type,BACKTEST
sharpe,1.061
sortino,0.017
start_date,2017-01-03
strategy_file,../utils/hedging_backtest.py
strategy_name,hedging_backtest
total_returns,0.181
total_value,118068981.524
tracking_error,0.17
unit_net_value,1.181
units,100000000.0
volatility,0.031
