date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,46492333.116,15364746.0,1.0,99790579.116,0.997906,100000000.0
2017-01-04,46251433.116,15613885.0,0.998,100039718.116,1.000397,100000000.0
2017-01-05,46264633.116,15505138.0,1.0,99930971.116,0.99931,100000000.0
2017-01-06,46413133.116,15421925.0,0.999,99847758.116,0.998478,100000000.0
2017-01-09,46278945.73,15377728.09,0.998,99807973.82,0.99808,100000000.0
2017-01-10,46358145.73,15361497.11,0.998,99791742.84,0.997917,100000000.0
2017-01-11,46503345.73,15170937.37,0.998,99601183.1,0.996012,100000000.0
2017-01-12,46632045.73,15192859.81,0.996,99623105.54,0.996231,100000000.0
2017-01-13,46397745.73,15323603.92,0.996,99753849.65,0.997538,100000000.0
2017-01-16,46150003.861,15358277.95,0.998,99874081.811,0.998741,100000000.0
2017-01-17,46143403.861,15326452.93,0.999,99842256.791,0.998423,100000000.0
2017-01-18,45823303.861,15400905.14,0.998,99916709.001,0.999167,100000000.0
2017-01-19,46067503.861,15457710.42,0.999,99973514.281,0.999735,100000000.0
2017-01-20,45744103.861,15465517.83,1.0,99981321.691,0.999813,100000000.0
2017-01-23,45714961.534,15628446.03,1.0,100065607.564,1.000656,100000000.0
2017-01-24,45642361.534,15689194.9,1.001,100126356.434,1.001264,100000000.0
2017-01-25,45516961.534,15818855.86,1.001,100256017.394,1.00256,100000000.0
2017-01-26,45414661.534,15891563.17,1.003,100328724.704,1.003287,100000000.0
2017-02-03,45993751.453,15697977.02,1.003,100334728.473,1.003347,100000000.0
2017-02-06,45791691.4,15911077.84,1.003,100342469.24,1.003425,100000000.0
2017-02-07,45923691.4,15967231.67,1.003,100398623.07,1.003986,100000000.0
2017-02-08,45755391.4,16034233.18,1.004,100465624.58,1.004656,100000000.0
2017-02-09,45636591.4,16225791.74,1.005,100657183.14,1.006572,100000000.0
2017-02-10,45441891.4,16253326.54,1.007,100684717.94,1.006847,100000000.0
2017-02-13,45969055.35,15940862.73,1.007,101044618.08,1.010446,100000000.0
2017-02-14,46081255.35,16061122.28,1.01,101164877.63,1.011649,100000000.0
2017-02-15,46094455.35,15903991.45,1.012,101007746.8,1.010077,100000000.0
2017-02-16,46028455.35,15990976.26,1.01,101094731.61,1.010947,100000000.0
2017-02-17,46242955.35,15898930.48,1.011,101002685.83,1.010027,100000000.0
2017-02-20,44956878.074,16925289.25,1.01,101369967.324,1.0137,100000000.0
2017-02-21,45032778.074,17122679.82,1.014,101567357.894,1.015674,100000000.0
2017-02-22,44983278.074,17099206.94,1.016,101543885.014,1.015439,100000000.0
2017-02-23,45161478.074,16965190.68,1.015,101409868.754,1.014099,100000000.0
2017-02-24,45138378.074,16867252.34,1.014,101311930.414,1.013119,100000000.0
2017-02-27,45410193.119,16689476.03,1.013,101135369.149,1.011354,100000000.0
2017-02-28,45469593.119,16914618.62,1.011,101360511.739,1.013605,100000000.0
2017-03-01,45439893.119,17006561.9,1.014,101452455.019,1.014525,100000000.0
2017-03-02,45717093.119,16890629.24,1.015,101336522.359,1.013365,100000000.0
2017-03-03,45875493.119,17006947.96,1.013,101452841.079,1.014528,100000000.0
2017-03-06,48192452.906,14589587.28,1.015,101421740.186,1.014217,100000000.0
2017-03-07,48103352.906,14712760.79,1.014,101544913.696,1.015449,100000000.0
2017-03-08,48047252.906,14638048.58,1.015,101470201.486,1.014702,100000000.0
2017-03-09,48294752.906,14639871.14,1.015,101472024.046,1.01472,100000000.0
2017-03-10,48377252.906,14608571.54,1.015,101440724.446,1.014407,100000000.0
2017-03-13,45584166.408,17104626.46,1.014,101519892.868,1.015199,100000000.0
2017-03-14,45656766.408,17281084.43,1.015,101696350.838,1.016964,100000000.0
2017-03-15,45636966.408,17326493.79,1.017,101741760.198,1.017418,100000000.0
2017-03-16,45409266.408,17374099.83,1.017,101789366.238,1.017894,100000000.0
2017-03-17,45887766.408,17323278.88,1.018,101738545.288,1.017385,100000000.0
2017-03-20,45805923.009,17152710.68,1.017,101571933.689,1.015719,100000000.0
2017-03-21,45706923.009,17351232.51,1.016,101770455.519,1.017705,100000000.0
2017-03-22,45944523.009,17174378.28,1.018,101593601.289,1.015936,100000000.0
2017-03-23,45829023.009,17353334.92,1.016,101772557.929,1.017726,100000000.0
2017-03-24,45400023.009,17384315.85,1.018,101803538.859,1.018035,100000000.0
2017-03-27,45715772.009,17372541.83,1.018,101972213.839,1.019722,100000000.0
2017-03-28,45781772.009,17237834.48,1.02,101837506.489,1.018375,100000000.0
2017-03-29,45773882.609,17003806.68,1.018,101658289.289,1.016583,100000000.0
2017-03-30,45965282.609,17065079.62,1.017,101719562.229,1.017196,100000000.0
2017-03-31,45754082.609,17283209.91,1.017,101937692.519,1.019377,100000000.0
2017-04-05,45200774.473,17431209.49,1.019,101971283.963,1.019713,100000000.0
2017-04-06,45204074.473,17482703.95,1.02,102022778.423,1.020228,100000000.0
2017-04-07,45230474.473,17520508.37,1.02,102060582.843,1.020606,100000000.0
2017-04-10,45979061.023,16773962.89,1.021,101980123.913,1.019801,100000000.0
2017-04-11,46035161.023,16744819.04,1.02,101950980.063,1.01951,100000000.0
2017-04-12,46107761.023,16906622.93,1.02,102112783.953,1.021128,100000000.0
2017-04-13,46144061.023,16964453.98,1.021,102170615.003,1.021706,100000000.0
2017-04-14,46434461.023,16902393.34,1.022,102108554.363,1.021086,100000000.0
2017-04-17,45818420.589,17359115.26,1.021,101998735.849,1.019987,100000000.0
2017-04-18,46062620.589,17312006.89,1.02,101951627.479,1.019516,100000000.0
2017-04-19,46332978.189,17431063.33,1.02,102073741.519,1.020737,100000000.0
2017-04-20,46276878.189,17809897.62,1.021,102452575.809,1.024526,100000000.0
2017-04-21,46174578.189,17909661.49,1.025,102552339.679,1.025523,100000000.0
2017-04-24,46036708.709,18016394.03,1.026,102432102.739,1.024321,100000000.0
2017-04-25,45891508.709,18061964.65,1.024,102477673.359,1.024777,100000000.0
2017-04-26,45891508.709,18144491.41,1.025,102560200.119,1.025602,100000000.0
2017-04-27,45795808.709,18245550.84,1.026,102661259.549,1.026613,100000000.0
2017-04-28,45871708.709,18266117.66,1.027,102681826.369,1.026818,100000000.0
2017-05-02,46580122.149,17460249.06,1.027,102462271.209,1.024623,100000000.0
2017-05-03,46662622.149,17426574.79,1.025,102428596.939,1.024286,100000000.0
2017-05-04,46784722.149,17465877.67,1.024,102467899.819,1.024679,100000000.0
2017-05-05,46896922.149,17434596.86,1.025,102436619.009,1.024366,100000000.0
2017-05-08,46333181.096,17756236.73,1.024,102257217.826,1.022572,100000000.0
2017-05-09,46326581.096,17770254.77,1.023,102271235.866,1.022712,100000000.0
2017-05-10,46221625.456,17878502.85,1.023,102390028.306,1.0239,100000000.0
2017-05-11,46000525.456,17931742.79,1.024,102443268.246,1.024433,100000000.0
2017-05-12,45525767.356,18188127.75,1.024,102749595.106,1.027496,100000000.0
2017-05-15,45265032.015,18483095.09,1.027,102899327.105,1.028993,100000000.0
2017-05-16,45161461.815,18531028.755,1.029,102959190.57,1.029592,100000000.0
2017-05-17,45636661.815,18599767.295,1.03,103027929.11,1.030279,100000000.0
2017-05-18,45722461.815,18583815.06,1.03,103011976.875,1.03012,100000000.0
2017-05-19,45679561.815,18573679.48,1.03,103001841.295,1.030018,100000000.0
2017-05-22,45854281.432,18103674.22,1.03,102993655.652,1.029937,100000000.0
2017-05-23,45382381.432,18342529.205,1.03,103232510.637,1.032325,100000000.0
2017-05-24,45431881.432,18271370.915,1.032,103161352.347,1.031614,100000000.0
2017-05-25,44168249.832,18079400.623,1.032,102976250.455,1.029763,100000000.0
2017-05-26,44234249.832,18150888.554,1.03,103047738.386,1.030477,100000000.0
2017-05-31,43612843.088,18839839.2,1.03,103257182.288,1.032572,100000000.0
2017-06-01,43296043.088,19004762.301,1.033,103422105.389,1.034221,100000000.0
2017-06-02,43668943.088,18909238.446,1.034,103326581.534,1.033266,100000000.0
2017-06-05,44150854.26,18823764.063,1.033,103237918.323,1.032379,100000000.0
2017-06-06,43865716.86,19014920.236,1.032,103431037.096,1.03431,100000000.0
2017-06-07,43529116.86,19370987.485,1.034,103787104.345,1.037871,100000000.0
2017-06-08,43126516.86,19322455.478,1.038,103738572.338,1.037386,100000000.0
2017-06-09,42925543.86,19449131.324,1.037,103865575.184,1.038656,100000000.0
2017-06-12,43020898.341,19624713.48,1.039,104040811.821,1.040408,100000000.0
2017-06-13,43055890.001,19601782.654,1.04,104023172.655,1.040232,100000000.0
2017-06-14,43701727.361,19334178.704,1.04,103870106.065,1.038701,100000000.0
2017-06-15,44292427.361,19586107.886,1.039,104122035.247,1.04122,100000000.0
2017-06-16,44539650.161,19604239.924,1.041,104182790.085,1.041828,100000000.0
2017-06-19,43704319.039,19569514.028,1.042,104009033.067,1.04009,100000000.0
2017-06-20,43941919.039,19731666.799,1.04,104171185.838,1.041712,100000000.0
2017-06-21,43530107.039,19897949.245,1.042,104351356.284,1.043514,100000000.0
2017-06-22,43378307.039,20220593.221,1.044,104674000.26,1.04674,100000000.0
2017-06-23,42942707.039,20305355.356,1.047,104758762.395,1.047588,100000000.0
2017-06-26,42746772.176,21040681.035,1.048,105456553.211,1.054566,100000000.0
2017-06-27,42578472.176,21210652.37,1.055,105626524.546,1.056265,100000000.0
2017-06-28,42915072.176,21146825.229,1.056,105562697.405,1.055627,100000000.0
