date,cash,daily_pnl,margin,market_value,position_pnl,total_value,trading_pnl,transaction_cost
2017-01-03,24769843.453,-126956.547,25103200.0,-62758000.0,0.0,49873043.453,-125516.0,1440.547
2017-01-04,23493043.453,-912000.0,25468000.0,-63670000.0,-912000.0,48961043.453,0.0,0.0
2017-01-05,23605043.453,80000.0,25436000.0,-63590000.0,80000.0,49041043.453,0.0,0.0
2017-01-06,23885043.453,200000.0,25356000.0,-63390000.0,200000.0,49241043.453,0.0,0.0
2017-01-09,23397843.453,-348000.0,25495200.0,-63738000.0,-348000.0,48893043.453,0.0,0.0
2017-01-10,23806643.453,292000.0,25378400.0,-63446000.0,292000.0,49185043.453,0.0,0.0
2017-01-11,24464643.453,470000.0,25190400.0,-62976000.0,470000.0,49655043.453,0.0,0.0
2017-01-12,25293443.453,592000.0,24953600.0,-62384000.0,592000.0,50247043.453,0.0,0.0
2017-01-13,26133443.453,600000.0,24713600.0,-61784000.0,600000.0,50847043.453,0.0,0.0
2017-01-16,28471443.453,1670000.0,24045600.0,-60114000.0,1670000.0,52517043.453,0.0,0.0
2017-01-17,27721043.453,-536000.0,24260000.0,-60650000.0,-536000.0,51981043.453,0.0,0.0
2017-01-18,27597843.453,-88000.0,24295200.0,-60738000.0,-88000.0,51893043.453,0.0,0.0
2017-01-19,28701043.453,788000.0,23980000.0,-59950000.0,788000.0,52681043.453,0.0,0.0
2017-01-20,27471843.453,-878000.0,24331200.0,-60828000.0,-878000.0,51803043.453,0.0,0.0
2017-01-23,27032243.453,-314000.0,24456800.0,-61142000.0,-314000.0,51489043.453,0.0,0.0
2017-01-24,26909043.453,-88000.0,24492000.0,-61230000.0,-88000.0,51401043.453,0.0,0.0
2017-01-25,26461043.453,-320000.0,24620000.0,-61550000.0,-320000.0,51081043.453,0.0,0.0
2017-01-26,25987843.453,-338000.0,24755200.0,-61888000.0,-338000.0,50743043.453,0.0,0.0
2017-02-03,26321043.453,238000.0,24660000.0,-61650000.0,238000.0,50981043.453,0.0,0.0
2017-02-06,25836643.453,-346000.0,24798400.0,-61996000.0,-346000.0,50635043.453,0.0,0.0
2017-02-07,26007443.453,122000.0,24749600.0,-61874000.0,122000.0,50757043.453,0.0,0.0
2017-02-08,25178643.453,-592000.0,24986400.0,-62466000.0,-592000.0,50165043.453,0.0,0.0
2017-02-09,24643843.453,-382000.0,25139200.0,-62848000.0,-382000.0,49783043.453,0.0,0.0
2017-02-10,24512243.453,-94000.0,25176800.0,-62942000.0,-94000.0,49689043.453,0.0,0.0
2017-02-13,24008243.453,-360000.0,25320800.0,-63302000.0,-360000.0,49329043.453,0.0,0.0
2017-02-14,25089043.453,772000.0,25012000.0,-62530000.0,772000.0,50101043.453,0.0,0.0
2017-02-15,25828243.453,528000.0,24800800.0,-62002000.0,528000.0,50629043.453,0.0,0.0
2017-02-16,24985443.453,-602000.0,25041600.0,-62604000.0,-602000.0,50027043.453,0.0,0.0
2017-02-17,25649043.453,474000.0,24852000.0,-62130000.0,474000.0,50501043.453,0.0,0.0
2017-02-20,24237843.453,-1008000.0,25255200.0,-63138000.0,-1008000.0,49493043.453,0.0,0.0
2017-02-21,23857043.453,-272000.0,25364000.0,-63410000.0,-272000.0,49221043.453,0.0,0.0
2017-02-22,23176643.453,-486000.0,25558400.0,-63896000.0,-486000.0,48735043.453,0.0,0.0
2017-02-23,23064643.453,-80000.0,25590400.0,-63976000.0,-80000.0,48655043.453,0.0,0.0
2017-02-24,22882643.453,-130000.0,25642400.0,-64106000.0,-130000.0,48525043.453,0.0,0.0
2017-02-27,23759043.453,626000.0,25392000.0,-63480000.0,626000.0,49151043.453,0.0,0.0
2017-02-28,23361443.453,-284000.0,25505600.0,-63764000.0,-284000.0,48867043.453,0.0,0.0
2017-03-01,23061843.453,-214000.0,25591200.0,-63978000.0,-214000.0,48653043.453,0.0,0.0
2017-03-02,23171043.453,78000.0,25560000.0,-63900000.0,78000.0,48731043.453,0.0,0.0
2017-03-03,23129043.453,-30000.0,25572000.0,-63930000.0,-30000.0,48701043.453,0.0,0.0
2017-03-06,22193843.453,-668000.0,25839200.0,-64598000.0,-668000.0,48033043.453,0.0,0.0
2017-03-07,22121043.453,-52000.0,25860000.0,-64650000.0,-52000.0,47981043.453,0.0,0.0
2017-03-08,22336643.453,154000.0,25798400.0,-64496000.0,154000.0,48135043.453,0.0,0.0
2017-03-09,23159843.453,588000.0,25563200.0,-63908000.0,588000.0,48723043.453,0.0,0.0
2017-03-10,22885443.453,-196000.0,25641600.0,-64104000.0,-196000.0,48527043.453,0.0,0.0
2017-03-13,21846643.453,-742000.0,25938400.0,-64846000.0,-742000.0,47785043.453,0.0,0.0
2017-03-14,22051043.453,146000.0,25880000.0,-64700000.0,146000.0,47931043.453,0.0,0.0
2017-03-15,22101443.453,36000.0,25865600.0,-64664000.0,36000.0,47967043.453,0.0,0.0
2017-03-16,22059443.453,-30000.0,25877600.0,-64694000.0,-30000.0,47937043.453,0.0,0.0
2017-03-17,22891043.453,594000.0,25640000.0,-64100000.0,594000.0,48531043.453,0.0,0.0
2017-03-20,22653043.453,-170000.0,25708000.0,-64270000.0,-170000.0,48361043.453,0.0,0.0
2017-03-21,22401043.453,-180000.0,25780000.0,-64450000.0,-180000.0,48181043.453,0.0,0.0
2017-03-22,22627843.453,162000.0,25715200.0,-64288000.0,162000.0,48343043.453,0.0,0.0
2017-03-23,22331043.453,-212000.0,25800000.0,-64500000.0,-212000.0,48131043.453,0.0,0.0
2017-03-24,21241843.453,-778000.0,26111200.0,-65278000.0,-778000.0,47353043.453,0.0,0.0
2017-03-27,21902643.453,472000.0,25922400.0,-64806000.0,472000.0,47825043.453,0.0,0.0
2017-03-28,22090243.453,134000.0,25868800.0,-64672000.0,134000.0,47959043.453,0.0,0.0
2017-03-29,22420643.453,236000.0,25774400.0,-64436000.0,236000.0,48195043.453,0.0,0.0
2017-03-30,23501443.453,772000.0,25465600.0,-63664000.0,772000.0,48967043.453,0.0,0.0
2017-03-31,23308243.453,-138000.0,25520800.0,-63802000.0,-138000.0,48829043.453,0.0,0.0
2017-04-05,21090643.453,-1584000.0,26154400.0,-65386000.0,-1584000.0,47245043.453,0.0,0.0
2017-04-06,21127043.453,26000.0,26144000.0,-65360000.0,26000.0,47271043.453,0.0,0.0
2017-04-07,20847043.453,-200000.0,26224000.0,-65560000.0,-200000.0,47071043.453,0.0,0.0
2017-04-10,20987043.453,100000.0,26184000.0,-65460000.0,100000.0,47171043.453,0.0,0.0
2017-04-11,20200243.453,-562000.0,26408800.0,-66022000.0,-562000.0,46609043.453,0.0,0.0
2017-04-12,20849843.453,464000.0,26223200.0,-65558000.0,464000.0,47073043.453,0.0,0.0
2017-04-13,20091043.453,-542000.0,26440000.0,-66100000.0,-542000.0,46531043.453,0.0,0.0
2017-04-14,21367843.453,912000.0,26075200.0,-65188000.0,912000.0,47443043.453,0.0,0.0
2017-04-17,22426243.453,756000.0,25772800.0,-64432000.0,756000.0,48199043.453,0.0,0.0
2017-04-18,22720243.453,210000.0,25688800.0,-64222000.0,210000.0,48409043.453,0.0,0.0
2017-04-19,23778643.453,756000.0,25386400.0,-63466000.0,756000.0,49165043.453,0.0,0.0
2017-04-20,23761843.453,-12000.0,25391200.0,-63478000.0,-12000.0,49153043.453,0.0,0.0
2017-04-21,24988243.453,876000.0,25040800.0,-62602000.0,876000.0,50029043.453,0.0,0.0
2017-04-24,27113443.453,1518000.0,24433600.0,-61084000.0,1518000.0,51547043.453,0.0,0.0
2017-04-25,26839043.453,-196000.0,24512000.0,-61280000.0,-196000.0,51351043.453,0.0,0.0
2017-04-26,26643043.453,-140000.0,24568000.0,-61420000.0,-140000.0,51211043.453,0.0,0.0
2017-04-27,26391043.453,-180000.0,24640000.0,-61600000.0,-180000.0,51031043.453,0.0,0.0
2017-04-28,26105443.453,-204000.0,24721600.0,-61804000.0,-204000.0,50827043.453,0.0,0.0
2017-05-02,26167043.453,44000.0,24704000.0,-61760000.0,44000.0,50871043.453,0.0,0.0
2017-05-03,26444243.453,198000.0,24624800.0,-61562000.0,198000.0,51069043.453,0.0,0.0
2017-05-04,26900643.453,326000.0,24494400.0,-61236000.0,326000.0,51395043.453,0.0,0.0
2017-05-05,27821843.453,658000.0,24231200.0,-60578000.0,658000.0,52053043.453,0.0,0.0
2017-05-08,29314243.453,1066000.0,23804800.0,-59512000.0,1066000.0,53119043.453,0.0,0.0
2017-05-09,28813043.453,-358000.0,23948000.0,-59870000.0,-358000.0,52761043.453,0.0,0.0
2017-05-10,30840243.453,1448000.0,23368800.0,-58422000.0,1448000.0,54209043.453,0.0,0.0
2017-05-11,31050243.453,150000.0,23308800.0,-58272000.0,150000.0,54359043.453,0.0,0.0
2017-05-12,31050243.453,0.0,23308800.0,-58272000.0,0.0,54359043.453,0.0,0.0
2017-05-15,30355843.453,-496000.0,23507200.0,-58768000.0,-496000.0,53863043.453,0.0,0.0
2017-05-16,28493843.453,-1330000.0,24039200.0,-60098000.0,-1330000.0,52533043.453,0.0,0.0
2017-05-17,28888643.453,282000.0,23926400.0,-59816000.0,282000.0,52815043.453,0.0,0.0
2017-05-18,29751043.453,616000.0,23680000.0,-59200000.0,616000.0,53431043.453,0.0,0.0
2017-05-19,29840643.453,64000.0,23654400.0,-59136000.0,64000.0,53495043.453,0.0,0.0
2017-05-22,31030643.453,850000.0,23314400.0,-58286000.0,850000.0,54345043.453,0.0,0.0
2017-05-23,32607043.453,1126000.0,22864000.0,-57160000.0,1126000.0,55471043.453,0.0,0.0
2017-05-24,32005043.453,-430000.0,23036000.0,-57590000.0,-430000.0,55041043.453,0.0,0.0
2017-05-25,31282643.453,-516000.0,23242400.0,-58106000.0,-516000.0,54525043.453,0.0,0.0
2017-05-26,31226643.453,-40000.0,23258400.0,-58146000.0,-40000.0,54485043.453,0.0,0.0
2017-05-31,31814643.453,420000.0,23090400.0,-57726000.0,420000.0,54905043.453,0.0,0.0
2017-06-01,33293043.453,1056000.0,22668000.0,-56670000.0,1056000.0,55961043.453,0.0,0.0
2017-06-02,32086243.453,-862000.0,23012800.0,-57532000.0,-862000.0,55099043.453,0.0,0.0
2017-06-05,31781043.453,-218000.0,23100000.0,-57750000.0,-218000.0,54881043.453,0.0,0.0
2017-06-06,31330243.453,-322000.0,23228800.0,-58072000.0,-322000.0,54559043.453,0.0,0.0
2017-06-07,29303043.453,-1448000.0,23808000.0,-59520000.0,-1448000.0,53111043.453,0.0,0.0
2017-06-08,29471043.453,120000.0,23760000.0,-59400000.0,120000.0,53231043.453,0.0,0.0
2017-06-09,29129443.453,-244000.0,23857600.0,-59644000.0,-244000.0,52987043.453,0.0,0.0
2017-06-12,30280243.453,822000.0,23528800.0,-58822000.0,822000.0,53809043.453,0.0,0.0
2017-06-13,29255443.453,-732000.0,23821600.0,-59554000.0,-732000.0,53077043.453,0.0,0.0
2017-06-14,29238643.453,-12000.0,23826400.0,-59566000.0,-12000.0,53065043.453,0.0,0.0
2017-06-15,29132243.453,-76000.0,23856800.0,-59642000.0,-76000.0,52989043.453,0.0,0.0
2017-06-16,29224643.453,66000.0,23830400.0,-59576000.0,66000.0,53055043.453,0.0,0.0
2017-06-19,28547043.453,-484000.0,24024000.0,-60060000.0,-484000.0,52571043.453,0.0,0.0
2017-06-20,28219443.453,-234000.0,24117600.0,-60294000.0,-234000.0,52337043.453,0.0,0.0
2017-06-21,28155043.453,-46000.0,24136000.0,-60340000.0,-46000.0,52291043.453,0.0,0.0
2017-06-22,29403843.453,892000.0,23779200.0,-59448000.0,892000.0,53183043.453,0.0,0.0
