date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,24771469.347,-12899310.0,1.0,99733359.347,0.997334,100000000.0
2017-01-04,23494669.347,-13465287.0,0.997,99167382.347,0.991674,100000000.0
2017-01-05,23606669.347,-13289570.0,0.992,99343099.347,0.993431,100000000.0
2017-01-06,23886669.347,-13428387.0,0.993,99204282.347,0.992043,100000000.0
2017-01-09,23398645.39,-13577775.3,0.992,99054070.09,0.990541,100000000.0
2017-01-10,23807445.39,-13448057.63,0.991,99183787.76,0.991838,100000000.0
2017-01-11,24465445.39,-13360089.39,0.992,99271756.0,0.992718,100000000.0
2017-01-12,25294245.39,-13140733.73,0.993,99491111.66,0.994911,100000000.0
2017-01-13,26134245.39,-13252596.67,0.995,99379248.72,0.993792,100000000.0
2017-01-16,28491313.987,-13061604.67,0.994,99589309.317,0.995893,100000000.0
2017-01-17,27740913.987,-12956745.04,0.996,99694168.947,0.996942,100000000.0
2017-01-18,27617713.987,-12909308.95,0.997,99741605.037,0.997416,100000000.0
2017-01-19,28720913.987,-12270103.05,0.997,100380810.937,1.003808,100000000.0
2017-01-20,27491713.987,-12209904.71,1.004,100441009.277,1.00441,100000000.0
2017-01-23,27147134.698,-12070435.2,1.004,100675499.498,1.006755,100000000.0
2017-01-24,27023934.698,-12338676.17,1.007,100407258.528,1.004073,100000000.0
2017-01-25,26575934.698,-12827799.73,1.004,99918134.968,0.999181,100000000.0
2017-01-26,26102734.698,-12807570.79,0.999,99938363.908,0.999384,100000000.0
2017-02-03,26536451.164,-12616301.13,0.999,100230150.034,1.002302,100000000.0
2017-02-06,26111777.284,-12348181.58,1.002,100557995.704,1.00558,100000000.0
2017-02-07,26282577.284,-12376091.51,1.006,100530085.774,1.005301,100000000.0
2017-02-08,25453777.284,-12602286.68,1.005,100303890.604,1.003039,100000000.0
2017-02-09,24918977.284,-12331874.43,1.003,100574302.854,1.005743,100000000.0
2017-02-10,24787377.284,-12403044.44,1.006,100503132.844,1.005031,100000000.0
2017-02-13,24368112.746,-12759221.58,1.005,100231691.166,1.002317,100000000.0
2017-02-14,25448912.746,-11863611.9,1.002,101127300.846,1.011273,100000000.0
2017-02-15,26188112.746,-11890304.97,1.011,101100607.776,1.011006,100000000.0
2017-02-16,25345312.746,-12082275.32,1.011,100908637.426,1.009086,100000000.0
2017-02-17,26008912.746,-12072656.75,1.009,100918255.996,1.009183,100000000.0
