date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,1625.894,0.0,49858690.0,49860315.894,39966.726
2017-01-04,1625.894,0.0,50204713.0,50206338.894,0.0
2017-01-05,1625.894,0.0,50300430.0,50302055.894,0.0
2017-01-06,1625.894,0.0,49961613.0,49963238.894,0.0
2017-01-09,801.937,0.0,50160224.7,50161026.637,910.465
2017-01-10,801.937,0.0,49997942.37,49998744.307,0.0
2017-01-11,801.937,0.0,49615910.61,49616712.547,0.0
2017-01-12,801.937,0.0,49243266.27,49244068.207,0.0
2017-01-13,801.937,0.0,48531403.33,48532205.267,0.0
2017-01-16,19870.534,0.0,47052395.33,47072265.864,1362.56
2017-01-17,19870.534,0.0,47693254.96,47713125.494,0.0
2017-01-18,19870.534,0.0,47828691.05,47848561.584,0.0
2017-01-19,19870.534,0.0,47679896.95,47699767.484,0.0
2017-01-20,19870.534,0.0,48618095.29,48637965.824,0.0
2017-01-23,114891.245,0.0,49071564.8,49186456.045,3388.452
2017-01-24,114891.245,0.0,48891323.83,49006215.075,0.0
2017-01-25,114891.245,0.0,48722200.27,48837091.515,0.0
2017-01-26,114891.245,0.0,49080429.21,49195320.455,0.0
2017-02-03,215407.711,0.0,49033698.87,49249106.581,3746.257
2017-02-06,275133.832,0.0,49647818.42,49922952.252,1131.235
2017-02-07,275133.832,0.0,49497908.49,49773042.322,0.0
2017-02-08,275133.832,0.0,49863713.32,50138847.152,0.0
2017-02-09,275133.832,0.0,50516125.57,50791259.402,0.0
2017-02-10,275133.832,0.0,50538955.56,50814089.392,0.0
2017-02-13,359869.293,0.0,50542778.42,50902647.713,2357.563
2017-02-14,359869.293,0.0,50666388.1,51026257.393,0.0
2017-02-15,359869.293,0.0,50111695.03,50471564.323,0.0
2017-02-16,359869.293,0.0,50521724.68,50881593.973,0.0
2017-02-17,359869.293,0.0,50057343.25,50417212.543,0.0
2017-02-20,40228.626,0.0,51030101.16,51070329.786,2271.175
2017-02-21,40228.626,0.0,51510103.66,51550332.286,0.0
2017-02-22,40228.626,0.0,51948092.72,51988321.346,0.0
2017-02-23,40228.626,0.0,51722475.63,51762704.256,0.0
2017-02-24,40228.626,0.0,51788056.42,51828285.046,0.0
2017-02-27,140954.41,0.0,51241154.1,51382108.51,564.721
2017-02-28,140954.41,0.0,51619583.14,51760537.55,0.0
2017-03-01,140954.41,0.0,51665775.54,51806729.95,0.0
2017-03-02,140954.41,0.0,51377570.19,51518524.6,0.0
2017-03-03,140954.41,0.0,51495573.18,51636527.59,0.0
2017-03-06,19525.903,0.0,52295420.75,52314946.653,1541.184
2017-03-07,19525.903,0.0,52506623.22,52526149.123,0.0
2017-03-08,19525.903,0.0,52209473.71,52228999.613,0.0
2017-03-09,19525.903,0.0,51880667.07,51900192.973,0.0
2017-03-10,19525.903,0.0,51796999.27,51816525.173,0.0
2017-03-13,253735.031,0.0,52130113.37,52383848.401,1599.604
2017-03-14,253735.031,0.0,51931069.71,52184804.741,0.0
2017-03-15,253735.031,0.0,51959231.51,52212966.541,0.0
2017-03-16,253735.031,0.0,52329598.03,52583333.061,0.0
2017-03-17,253735.031,0.0,51889115.53,52142850.561,0.0
2017-03-20,495.764,0.0,52316009.06,52316504.824,1140.155
2017-03-21,495.764,0.0,52303860.77,52304356.534,0.0
2017-03-22,495.764,0.0,52094924.37,52095420.134,0.0
2017-03-23,495.764,0.0,52011170.25,52011666.014,0.0
2017-03-24,495.764,0.0,52172316.0,52172811.764,0.0
2017-03-27,242.541,0.0,51862685.23,51862927.771,6498.056
2017-03-28,242.541,0.0,51509809.52,51510052.061,0.0
2017-03-29,242.541,0.0,51209982.85,51210225.391,0.0
2017-03-30,242.541,0.0,50503113.57,50503356.111,0.0
2017-03-31,242.541,0.0,50712803.97,50713046.511,0.0
2017-04-05,7561.555,0.0,51586508.81,51594070.365,5615.474
2017-04-06,7561.555,0.0,51905622.29,51913183.845,0.0
2017-04-07,7561.555,0.0,51849766.41,51857327.965,0.0
2017-04-10,111.482,0.0,51701750.1,51701861.582,1751.13
2017-04-11,111.482,0.0,52308791.33,52308902.812,0.0
2017-04-12,111.482,0.0,51770781.41,51770892.892,0.0
2017-04-13,111.482,0.0,52001873.97,52001985.452,0.0
2017-04-14,12922.482,0.0,51219307.98,51232230.462,0.0
2017-04-17,93.006,0.0,50914285.3,50914378.306,2223.631
2017-04-18,93.006,0.0,50938141.47,50938234.476,0.0
2017-04-19,93.006,0.0,50311987.15,50312080.156,0.0
2017-04-20,93.006,0.0,50506907.54,50507000.546,0.0
2017-04-21,93.006,0.0,50258539.62,50258632.626,0.0
2017-04-24,231.58,0.0,49016622.03,49016853.61,3157.238
2017-04-25,231.58,0.0,48896065.68,48896297.26,0.0
2017-04-26,231.58,0.0,49077728.53,49077960.11,0.0
2017-04-27,231.58,0.0,49487073.4,49487304.98,0.0
2017-04-28,231.58,0.0,49524289.01,49524520.59,0.0
2017-05-02,10037.892,0.0,49228683.46,49238721.352,5252.633
2017-05-03,10037.892,0.0,48996566.24,49006604.132,0.0
2017-05-04,10037.892,0.0,48926063.37,48936101.262,0.0
2017-05-05,10037.892,0.0,48534119.84,48544157.732,0.0
2017-05-08,173044.327,0.0,47423534.84,47596579.167,2686.918
2017-05-09,173044.327,0.0,47468376.75,47641421.077,0.0
2017-05-10,173044.327,0.0,46458869.64,46631913.967,0.0
2017-05-11,173044.327,0.0,46121391.91,46294436.237,0.0
2017-05-12,174024.327,0.0,46038227.54,46212251.867,0.0
2017-05-15,661.739,0.0,46474125.39,46474787.129,2513.786
2017-05-16,661.739,0.0,47501517.13,47502178.869,0.0
2017-05-17,661.739,0.0,47563932.49,47564594.229,0.0
2017-05-18,661.739,0.0,47497321.23,47497982.969,0.0
2017-05-19,661.739,0.0,47531955.36,47532617.099,0.0
2017-05-22,2407.577,0.0,46740138.46,46742546.037,3032.978
2017-05-23,2407.577,0.0,45848974.54,45851382.117,0.0
2017-05-24,3657.577,0.0,46111539.54,46115197.117,0.0
2017-05-25,65704.577,0.0,46485842.74,46551547.317,0.0
2017-05-26,101545.063,0.0,46505496.7,46607041.763,0.0
2017-05-31,477.388,0.0,46583405.29,46583882.678,2809.741
2017-06-01,477.388,0.0,45632761.52,45633238.908,0.0
2017-06-02,7865.146,0.0,46083358.85,46091223.996,0.0
2017-06-05,54745.426,0.0,46307261.69,46362007.116,1188.521
2017-06-06,54745.426,0.0,46534129.19,46588874.616,0.0
2017-06-07,54745.426,0.0,47683635.24,47738380.666,0.0
2017-06-08,58780.126,0.0,47614652.23,47673432.356,0.0
2017-06-09,94112.526,0.0,47762128.83,47856241.356,0.0
2017-06-12,-24.688,0.0,47398433.12,47398408.432,1863.511
2017-06-13,-24.688,0.0,48097859.36,48097834.672,0.0
2017-06-14,16812.762,0.0,47876954.48,47893767.242,0.0
2017-06-15,16812.762,0.0,48224863.5,48241676.262,0.0
2017-06-16,16812.762,0.0,48020857.05,48037669.812,0.0
2017-06-19,-265.996,0.0,48418656.423,48418390.427,2682.91
2017-06-20,-265.996,0.0,48444998.751,48444732.755,0.0
2017-06-21,35983.904,0.0,48690919.788,48726903.692,0.0
2017-06-22,35983.904,0.0,48185690.705,48221674.609,0.0
2017-06-23,35983.904,0.0,48339393.158,48375377.062,0.0
2017-06-26,162286.643,0.0,49229795.305,49392081.948,3060.204
2017-06-27,162286.643,0.0,49274723.382,49437010.025,0.0
2017-06-28,183183.543,0.0,49128270.842,49311454.385,0.0
2017-06-29,195490.923,0.0,49485958.967,49681449.89,0.0
2017-06-30,195490.923,0.0,49369012.127,49564503.05,0.0
2017-07-03,466906.257,0.0,49743157.133,50210063.39,4065.468
2017-07-04,466906.257,0.0,49536836.74,50003742.997,0.0
2017-07-05,466906.257,0.0,49738992.281,50205898.538,0.0
2017-07-06,478938.792,0.0,49429805.426,49908744.218,0.0
2017-07-07,484117.037,0.0,49596196.842,50080313.879,0.0
2017-07-10,376102.984,0.0,49372766.555,49748869.539,1941.943
2017-07-11,376102.984,0.0,48744602.462,49120705.446,0.0
2017-07-12,376102.984,0.0,48421878.53,48797981.514,0.0
2017-07-13,387120.844,0.0,48853810.56,49240931.404,0.0
2017-07-14,387120.844,0.0,48408612.95,48795733.794,0.0
2017-07-17,401998.163,0.0,46137011.27,46539009.433,2150.934
2017-07-18,401998.163,0.0,46366111.496,46768109.659,0.0
2017-07-19,401998.163,0.0,47084438.02,47486436.183,0.0
2017-07-20,407505.093,0.0,47380670.149,47788175.242,0.0
2017-07-21,430765.343,0.0,47616087.803,48046853.146,0.0
2017-07-24,673464.363,0.0,47507799.044,48181263.407,2540.933
2017-07-25,673464.363,0.0,47402635.277,48076099.64,0.0
2017-07-26,673464.363,0.0,47326903.226,48000367.589,0.0
2017-07-27,673464.363,0.0,47964658.263,48638122.626,0.0
2017-07-28,673464.363,0.0,47924631.088,48598095.451,0.0
2017-07-31,16812.79,0.0,49247484.117,49264296.907,1286.301
2017-08-01,16812.79,0.0,49243690.105,49260502.895,0.0
2017-08-02,16812.79,0.0,48781781.012,48798593.802,0.0
2017-08-03,16812.79,0.0,48901877.854,48918690.644,0.0
2017-08-04,16812.79,0.0,48892509.549,48909322.339,0.0
2017-08-07,757983.438,0.0,48507008.902,49264992.34,2722.191
2017-08-08,757983.438,0.0,48904626.794,49662610.232,0.0
2017-08-09,757983.438,0.0,49170721.012,49928704.45,0.0
2017-08-10,757983.438,0.0,49088139.122,49846122.56,0.0
2017-08-11,757983.438,0.0,48131001.711,48888985.149,0.0
2017-08-14,25411.272,0.0,49858984.462,49884395.734,2809.579
2017-08-15,64801.112,0.0,49839615.788,49904416.9,0.0
2017-08-16,64801.112,0.0,50042200.21,50107001.322,0.0
2017-08-17,64801.112,0.0,50440712.009,50505513.121,0.0
2017-08-18,64801.112,0.0,50188003.727,50252804.839,0.0
2017-08-21,92790.436,0.0,50445040.61,50537831.046,2084.755
2017-08-22,92790.436,0.0,50285239.743,50378030.179,0.0
2017-08-23,92790.436,0.0,50032214.301,50125004.737,0.0
2017-08-24,105919.596,0.0,49556739.626,49662659.222,0.0
2017-08-25,105919.596,0.0,50190187.724,50296107.32,0.0
2017-08-28,522.015,0.0,50821784.288,50822306.303,945.647
2017-08-29,522.015,0.0,50608735.503,50609257.518,0.0
2017-08-30,522.015,0.0,50988965.021,50989487.036,0.0
2017-08-31,522.015,0.0,51204330.69,51204852.705,0.0
2017-09-01,522.015,0.0,51672451.365,51672973.38,0.0
2017-09-04,473203.746,0.0,51488120.702,51961324.448,1993.627
2017-09-05,473203.746,0.0,51545436.679,52018640.425,0.0
2017-09-06,473203.746,0.0,51917252.529,52390456.275,0.0
2017-09-07,473203.746,0.0,51801412.43,52274616.176,0.0
2017-09-08,473203.746,0.0,51949249.326,52422453.072,0.0
2017-09-11,133422.826,0.0,52555209.857,52688632.683,2172.682
2017-09-12,133422.826,0.0,52398600.662,52532023.488,0.0
2017-09-13,133422.826,0.0,52682905.648,52816328.474,0.0
2017-09-14,133422.826,0.0,52788231.908,52921654.734,0.0
2017-09-15,133422.826,0.0,52304748.266,52438171.092,0.0
2017-09-18,258778.441,0.0,52417136.846,52675915.287,2271.304
2017-09-19,258778.441,0.0,52540122.912,52798901.353,0.0
2017-09-20,258778.441,0.0,52879379.786,53138158.227,0.0
2017-09-21,258778.441,0.0,52263415.261,52522193.702,0.0
2017-09-22,258778.441,0.0,52030862.226,52289640.667,0.0
2017-09-25,30132.686,0.0,51442263.716,51472396.402,1594.78
2017-09-26,30132.686,0.0,51598480.613,51628613.299,0.0
2017-09-27,30132.686,0.0,51908590.813,51938723.499,0.0
2017-09-28,30132.686,0.0,51634240.46,51664373.146,0.0
2017-09-29,30132.686,0.0,52000281.339,52030414.025,0.0
2017-10-09,224003.814,0.0,52524160.402,52748164.216,1725.935
2017-10-10,224003.814,0.0,53396265.322,53620269.136,0.0
2017-10-11,224003.814,0.0,53295371.432,53519375.246,0.0
2017-10-12,224003.814,0.0,53362492.246,53586496.06,0.0
2017-10-13,224003.814,0.0,53588420.018,53812423.832,0.0
2017-10-16,12845.221,0.0,52873994.842,52886840.063,1525.946
2017-10-17,12845.221,0.0,52711364.592,52724209.813,0.0
2017-10-18,12845.221,0.0,52395307.612,52408152.833,0.0
2017-10-19,12845.221,0.0,51867683.182,51880528.403,0.0
2017-10-20,38129.371,0.0,52246227.532,52284356.903,0.0
2017-10-23,829.091,0.0,52576180.742,52577009.833,2690.357
2017-10-24,829.091,0.0,52578523.012,52579352.103,0.0
2017-10-25,829.091,0.0,53002450.312,53003279.403,0.0
2017-10-26,829.091,0.0,53044685.162,53045514.253,0.0
2017-10-27,829.091,0.0,52800265.302,52801094.393,0.0
2017-10-30,204.697,0.0,52165895.112,52166099.809,1060.005
2017-10-31,204.697,0.0,52550626.462,52550831.159,0.0
2017-11-01,204.697,0.0,52400660.232,52400864.929,0.0
2017-11-02,204.697,0.0,52044771.632,52044976.329,0.0
2017-11-03,204.697,0.0,51569203.522,51569408.219,0.0
2017-11-06,149832.625,0.0,52088866.532,52238699.157,1553.727
2017-11-07,149832.625,0.0,52537375.222,52687207.847,0.0
2017-11-08,149832.625,0.0,52756137.262,52905969.887,0.0
2017-11-09,149832.625,0.0,53028518.192,53178350.817,0.0
2017-11-10,149832.625,0.0,53383634.442,53533467.067,0.0
2017-11-13,509.659,0.0,53520405.772,53520915.431,2552.986
