date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,42585754.62,-199393.0,1.0,99759861.62,0.997599,100000000.0
2017-01-04,42026854.62,-157787.0,0.998,99801467.62,0.998015,100000000.0
2017-01-05,42157954.62,-69299.0,0.998,99889955.62,0.9989,100000000.0
2017-01-06,42406354.62,-135730.0,0.999,99823524.62,0.998235,100000000.0
2017-01-09,41967284.973,-92334.0,0.998,99696950.973,0.99697,100000000.0
2017-01-10,42112184.973,-25051.0,0.997,99764233.973,0.997642,100000000.0
2017-01-11,42467534.973,-53771.0,0.998,99735513.973,0.997355,100000000.0
2017-01-12,42864284.973,34704.0,0.997,99823988.973,0.99824,100000000.0
2017-01-13,42705584.973,-147323.0,0.998,99641961.973,0.99642,100000000.0
2017-01-16,42843584.973,-270764.0,0.996,99518520.973,0.995185,100000000.0
2017-01-17,42598634.973,-219347.0,0.995,99569937.973,0.995699,100000000.0
2017-01-18,42088034.973,-389536.0,0.996,99399748.973,0.993997,100000000.0
2017-01-19,42481334.973,-169326.0,0.994,99619958.973,0.9962,100000000.0
2017-01-20,41950034.973,-176509.0,0.996,99612775.973,0.996128,100000000.0
2017-01-23,41991974.556,-16167.64,0.996,99797806.916,0.997978,100000000.0
2017-01-24,41967824.556,123651.53,0.998,99937626.086,0.999376,100000000.0
2017-01-25,41695274.556,-31216.0,0.999,99782758.556,0.997828,100000000.0
2017-01-26,41550374.556,106971.56,0.998,99920946.116,0.999209,100000000.0
2017-02-03,41893510.374,130640.05,0.999,99932400.424,0.999324,100000000.0
2017-02-06,41953905.521,327703.31,0.999,100138108.831,1.001381,100000000.0
2017-02-07,42040155.521,273907.23,1.001,100084312.751,1.000843,100000000.0
2017-02-08,41688255.521,251884.7,1.001,100062290.221,1.000623,100000000.0
2017-02-09,41495055.521,345480.52,1.001,100155886.041,1.001559,100000000.0
2017-02-10,41125905.521,210522.31,1.002,100020927.831,1.000209,100000000.0
2017-02-13,40845072.36,383763.45,1.0,100206585.81,1.002066,100000000.0
2017-02-14,41127972.36,549668.85,1.002,100372491.21,1.003725,100000000.0
2017-02-15,41345322.36,590989.56,1.004,100413811.92,1.004138,100000000.0
2017-02-16,40969272.36,598123.21,1.004,100420945.57,1.004209,100000000.0
2017-02-17,41303922.36,587577.2,1.004,100410399.56,1.004104,100000000.0
2017-02-20,40059527.271,565402.2,1.004,100354779.471,1.003548,100000000.0
2017-02-21,40118177.271,903262.41,1.004,100692639.681,1.006926,100000000.0
2017-02-22,39983627.271,1027435.31,1.007,100816812.581,1.008168,100000000.0
2017-02-23,40214777.271,979368.06,1.008,100768745.331,1.007687,100000000.0
2017-02-24,40225127.271,795672.19,1.008,100585049.461,1.00585,100000000.0
2017-02-27,40680527.271,728135.65,1.006,100517512.921,1.005175,100000000.0
2017-02-28,40632227.271,823949.44,1.005,100613326.711,1.006133,100000000.0
2017-03-01,40532177.271,882031.36,1.006,100671408.631,1.006714,100000000.0
2017-03-02,40828877.271,938237.7,1.007,100727614.971,1.007276,100000000.0
2017-03-03,41053127.271,1093120.2,1.007,100882497.471,1.008825,100000000.0
2017-03-06,40759848.187,1170057.47,1.009,100959405.657,1.009594,100000000.0
2017-03-07,40576998.187,1262270.31,1.01,101051618.497,1.010516,100000000.0
2017-03-08,40614948.187,1231972.36,1.011,101021320.547,1.010213,100000000.0
2017-03-09,41073798.187,1232347.64,1.01,101021695.827,1.010217,100000000.0
2017-03-10,41025498.187,1408786.74,1.01,101198134.927,1.011981,100000000.0
2017-03-13,40228548.187,1138626.93,1.012,100927975.117,1.00928,100000000.0
2017-03-14,40345848.187,1231511.03,1.009,101020859.217,1.010209,100000000.0
2017-03-15,40253778.187,1259053.25,1.01,101049481.437,1.010495,100000000.0
2017-03-16,40160628.187,1347906.67,1.01,101138334.857,1.011383,100000000.0
2017-03-17,41016228.187,1573254.71,1.011,101363682.897,1.013637,100000000.0
2017-03-20,40835478.513,1508112.13,1.014,101297190.643,1.012972,100000000.0
2017-03-21,40535328.513,1626388.18,1.013,101415466.693,1.014155,100000000.0
2017-03-22,40769928.513,1596278.67,1.014,101385357.183,1.013854,100000000.0
2017-03-23,40556028.513,1710536.51,1.014,101499615.023,1.014996,100000000.0
2017-03-24,39700428.513,1327427.71,1.015,101116506.223,1.011165,100000000.0
2017-03-27,40086828.513,1497499.79,1.011,101286578.303,1.012866,100000000.0
2017-03-28,40138578.513,1396647.28,1.013,101185725.793,1.011857,100000000.0
2017-03-29,40176809.463,1262423.51,1.012,101065582.973,1.010656,100000000.0
2017-03-30,40608059.463,1154581.98,1.011,100957741.443,1.009577,100000000.0
2017-03-31,40283759.463,1298051.3,1.01,101101210.763,1.011012,100000000.0
2017-04-05,39289925.324,905937.76,1.011,100695063.084,1.006951,100000000.0
2017-04-06,39345125.324,1098289.32,1.007,100887414.644,1.008874,100000000.0
2017-04-07,39235547.324,993030.91,1.009,100786428.234,1.007864,100000000.0
2017-04-10,39386723.966,925453.0,1.008,100714776.966,1.007148,100000000.0
2017-04-11,39328073.966,1014707.36,1.007,100804031.326,1.00804,100000000.0
2017-04-12,39483323.966,1273295.88,1.008,101062619.846,1.010626,100000000.0
2017-04-13,39265973.966,1297709.84,1.011,101087033.806,1.01087,100000000.0
2017-04-14,39811073.966,1269087.91,1.011,101058411.876,1.010584,100000000.0
2017-04-17,39892863.004,1244984.85,1.011,101036747.854,1.010367,100000000.0
2017-04-18,40061913.004,1387608.24,1.01,101179371.244,1.011794,100000000.0
2017-04-19,40452243.004,1619563.35,1.012,101411806.354,1.014118,100000000.0
2017-04-20,40424643.004,1969443.41,1.014,101761686.414,1.017617,100000000.0
2017-04-21,40431680.504,1971533.62,1.018,101763914.124,1.017639,100000000.0
2017-04-24,41156605.416,1723230.76,1.018,101671286.176,1.016713,100000000.0
2017-04-25,40911401.416,2020969.53,1.017,101972220.946,1.019722,100000000.0
2017-04-26,40822091.286,2095543.9,1.02,102047185.186,1.020472,100000000.0
2017-04-27,40861662.386,2083871.08,1.02,102057833.466,1.020578,100000000.0
2017-04-28,40986723.986,1965504.338,1.021,101954128.324,1.019541,100000000.0
2017-05-02,41011841.655,2207491.768,1.02,101996983.423,1.01997,100000000.0
2017-05-03,41194691.655,2294425.378,1.02,102083917.033,1.020839,100000000.0
2017-05-04,41425841.655,2386906.078,1.021,102176397.733,1.021764,100000000.0
2017-05-05,41822591.655,2504937.652,1.022,102294429.307,1.022944,100000000.0
2017-05-08,42207805.412,2284088.844,1.023,102096544.256,1.020965,100000000.0
2017-05-09,42165625.412,2217306.52,1.021,102035881.932,1.020359,100000000.0
2017-05-10,42546139.412,2284897.936,1.02,102166587.348,1.021666,100000000.0
2017-05-11,42249499.412,2418083.37,1.022,102306732.782,1.023067,100000000.0
2017-05-12,41845977.722,2508806.162,1.023,102438983.884,1.02439,100000000.0
2017-05-15,41397539.773,2583844.291,1.024,102400234.064,1.024002,100000000.0
2017-05-16,40649099.773,2392206.522,1.024,102226056.295,1.022261,100000000.0
2017-05-17,41339099.773,2718704.787,1.022,102552554.56,1.025526,100000000.0
2017-05-18,41632787.353,2897141.472,1.026,102745228.825,1.027452,100000000.0
2017-05-19,41513927.353,2970105.314,1.027,102820082.667,1.028201,100000000.0
2017-05-22,41446819.964,3088719.699,1.028,102878489.663,1.028785,100000000.0
2017-05-23,41105269.964,2978358.838,1.029,102768128.802,1.027681,100000000.0
2017-05-24,41107524.864,2979077.016,1.028,102771101.88,1.027711,100000000.0
2017-05-25,39674051.153,2291822.822,1.028,102099373.975,1.020994,100000000.0
2017-05-26,39823337.533,2444820.114,1.021,102308507.647,1.023085,100000000.0
2017-05-31,39834465.162,2619680.242,1.023,102518645.404,1.025186,100000000.0
2017-06-01,39713970.162,2483099.049,1.025,102382319.211,1.023823,100000000.0
2017-06-02,39855930.399,2542699.173,1.024,102442429.572,1.024424,100000000.0
2017-06-05,40178031.953,2685438.483,1.024,102489820.436,1.024898,100000000.0
2017-06-06,39695131.953,2810308.555,1.025,102614790.508,1.026148,100000000.0
2017-06-07,38863294.155,2960481.805,1.026,102768025.96,1.02768,100000000.0
2017-06-08,38403634.155,3089210.226,1.028,102899394.381,1.028994,100000000.0
2017-06-09,38092053.155,2994061.829,1.029,102816964.984,1.02817,100000000.0
2017-06-12,38241354.65,3288729.674,1.028,103078084.324,1.030781,100000000.0
2017-06-13,38114816.748,3361475.903,1.031,103165742.651,1.031657,100000000.0
2017-06-14,38960805.868,3317409.824,1.032,103205215.692,1.032052,100000000.0
2017-06-15,39100469.868,3327729.177,1.032,103217199.045,1.032172,100000000.0
2017-06-16,39817687.068,3518618.409,1.032,103504305.477,1.035043,100000000.0
2017-06-19,38896569.188,3584411.203,1.035,103373480.391,1.033735,100000000.0
