date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,170179.795,0.0,49690607.0,49860786.795,39831.991
2017-01-04,170179.795,0.0,50218213.0,50388392.795,0.0
2017-01-05,170179.795,0.0,50192701.0,50362880.795,0.0
2017-01-06,170179.795,0.0,49910270.0,50080449.795,0.0
2017-01-09,210.148,0.0,50187666.0,50187876.148,158.703
2017-01-10,210.148,0.0,50128949.0,50129159.148,0.0
2017-01-11,210.148,0.0,49791229.0,49791439.148,0.0
2017-01-12,210.148,0.0,49534704.0,49534914.148,0.0
2017-01-13,210.148,0.0,49490677.0,49490887.148,0.0
2017-01-16,210.148,0.0,49247236.0,49247446.148,0.0
2017-01-17,210.148,0.0,49511653.0,49511863.148,0.0
2017-01-18,210.148,0.0,49785464.0,49785674.148,0.0
2017-01-19,210.148,0.0,49663674.0,49663884.148,0.0
2017-01-20,210.148,0.0,50118491.0,50118701.148,0.0
2017-01-23,24899.731,0.0,50263832.36,50288732.091,70.496
2017-01-24,24899.731,0.0,50424651.53,50449551.261,0.0
2017-01-25,24899.731,0.0,50506784.0,50531683.731,0.0
2017-01-26,24899.731,0.0,50770971.56,50795871.291,0.0
2017-02-03,12685.549,0.0,50485640.05,50498325.599,72.096
2017-02-06,21330.696,0.0,50637703.31,50659034.006,71.125
2017-02-07,21330.696,0.0,50508907.23,50530237.926,0.0
2017-02-08,21330.696,0.0,50792884.7,50814215.396,0.0
2017-02-09,21330.696,0.0,51054480.52,51075811.216,0.0
2017-02-10,21330.696,0.0,51240522.31,51261853.006,0.0
2017-02-13,33747.535,0.0,51668763.45,51702510.985,102.586
2017-02-14,33747.535,0.0,51588668.85,51622416.385,0.0
2017-02-15,33747.535,0.0,51440989.56,51474737.095,0.0
2017-02-16,33747.535,0.0,51775123.21,51808870.745,0.0
2017-02-17,33747.535,0.0,51473577.2,51507324.735,0.0
2017-02-20,302.446,0.0,52504402.2,52504704.646,31.395
2017-02-21,302.446,0.0,52791262.41,52791564.856,0.0
2017-02-22,302.446,0.0,53032435.31,53032737.756,0.0
2017-02-23,302.446,0.0,52783368.06,52783670.506,0.0
2017-02-24,302.446,0.0,52590672.19,52590974.636,0.0
2017-02-27,302.446,0.0,52127135.65,52127438.096,0.0
2017-02-28,302.446,0.0,52264949.44,52265251.886,0.0
2017-03-01,302.446,0.0,52410031.36,52410333.806,0.0
2017-03-02,302.446,0.0,52208237.7,52208540.146,0.0
2017-03-03,302.446,0.0,52168120.2,52168422.646,0.0
2017-03-06,273.362,0.0,52500057.47,52500330.832,5.0
2017-03-07,273.362,0.0,52751270.31,52751543.672,0.0
2017-03-08,273.362,0.0,52687972.36,52688245.722,0.0
2017-03-09,273.362,0.0,52289347.64,52289621.002,0.0
