date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,46623503.731,15233916.0,1.0,99790919.731,0.997909,100000000.0
2017-01-04,46382603.731,15531718.0,0.998,100088721.731,1.000887,100000000.0
2017-01-05,46395803.731,15503251.0,1.001,100060254.731,1.000603,100000000.0
2017-01-06,46544303.731,15432170.0,1.001,99989173.731,0.999892,100000000.0
2017-01-09,46265658.779,15524432.7,1.0,99941391.479,0.999414,100000000.0
2017-01-10,46344858.779,15551787.5,0.999,99968746.279,0.999687,100000000.0
2017-01-11,46490058.779,15402644.2,1.0,99819602.979,0.998196,100000000.0
2017-01-12,46618758.779,15355537.85,0.998,99772496.629,0.997725,100000000.0
2017-01-13,46384458.779,15361067.55,0.998,99778026.329,0.99778,100000000.0
2017-01-16,46049938.097,15275029.72,0.998,99690767.817,0.996908,100000000.0
2017-01-17,46043338.097,15396246.43,0.997,99811984.527,0.99812,100000000.0
2017-01-18,45723238.097,15458706.29,0.998,99874444.387,0.998744,100000000.0
2017-01-19,45967438.097,15584862.02,0.999,100000600.117,1.000006,100000000.0
2017-01-20,45644038.097,15584566.02,1.0,100000304.117,1.000003,100000000.0
2017-01-23,45693215.463,15697627.59,1.0,100113043.053,1.00113,100000000.0
2017-01-24,45620615.463,15848590.42,1.001,100264005.883,1.00264,100000000.0
2017-01-25,45495215.463,15900231.85,1.003,100315647.313,1.003156,100000000.0
2017-01-26,45392915.463,15960802.71,1.003,100376218.173,1.003762,100000000.0
2017-02-03,45772415.463,16024283.15,1.004,100439698.613,1.004397,100000000.0
2017-02-06,45786838.325,16014736.15,1.004,100441274.475,1.004413,100000000.0
2017-02-07,45918838.325,15975801.44,1.004,100402339.765,1.004023,100000000.0
2017-02-08,45750538.325,16112574.03,1.004,100539112.355,1.005391,100000000.0
2017-02-09,45631738.325,16249472.56,1.005,100676010.885,1.00676,100000000.0
2017-02-10,45437038.325,16308383.8,1.007,100734922.125,1.007349,100000000.0
2017-02-13,45289662.031,16705686.73,1.007,101130048.761,1.0113,100000000.0
2017-02-14,45401862.031,16767125.96,1.011,101191487.991,1.011915,100000000.0
2017-02-15,45415062.031,16550473.56,1.012,100974835.591,1.009748,100000000.0
2017-02-16,45349062.031,16696830.08,1.01,101121192.111,1.011212,100000000.0
2017-02-17,45563562.031,16723659.2,1.011,101148021.231,1.01148,100000000.0
2017-02-20,44948779.007,17074601.81,1.011,101511180.817,1.015112,100000000.0
2017-02-21,45024679.007,17337167.38,1.015,101773746.387,1.017737,100000000.0
2017-02-22,44975179.007,17518795.47,1.018,101955374.477,1.019554,100000000.0
2017-02-23,45153379.007,17378877.25,1.02,101815456.257,1.018155,100000000.0
2017-02-24,45130279.007,17142445.61,1.018,101579024.617,1.01579,100000000.0
2017-02-27,45380166.011,16898239.94,1.016,101314105.951,1.013141,100000000.0
2017-02-28,45439566.011,17072656.13,1.013,101488522.141,1.014885,100000000.0
2017-03-01,45409866.011,17176193.56,1.015,101592059.571,1.015921,100000000.0
2017-03-02,45687066.011,17279688.68,1.016,101695554.691,1.016956,100000000.0
2017-03-03,45845466.011,17332257.57,1.017,101748123.581,1.017481,100000000.0
2017-03-06,45781380.624,17370893.36,1.017,101791973.984,1.01792,100000000.0
2017-03-07,45692280.624,17627021.71,1.018,102048102.334,1.020481,100000000.0
2017-03-08,45636180.624,17509953.77,1.02,101931034.394,1.01931,100000000.0
2017-03-09,45883680.624,17397164.84,1.019,101818245.464,1.018182,100000000.0
2017-03-10,45966180.624,17576754.03,1.018,101997834.654,1.019978,100000000.0
2017-03-13,45594721.92,17639738.27,1.02,102065560.19,1.020656,100000000.0
2017-03-14,45667321.92,17783412.81,1.021,102209234.73,1.022092,100000000.0
2017-03-15,45647701.92,17921328.48,1.022,102347330.4,1.023473,100000000.0
2017-03-16,45420001.92,17828309.39,1.023,102254311.31,1.022543,100000000.0
2017-03-17,45898501.92,17822047.44,1.023,102248049.36,1.02248,100000000.0
2017-03-20,45824242.018,17878089.76,1.022,102315631.778,1.023156,100000000.0
2017-03-21,45725242.018,18297464.19,1.023,102735006.208,1.02735,100000000.0
2017-03-22,45962842.018,18470745.68,1.027,102908287.698,1.029083,100000000.0
2017-03-23,45847342.018,18527824.67,1.029,102965366.688,1.029654,100000000.0
2017-03-24,45418342.018,18500678.8,1.03,102938220.818,1.029382,100000000.0
2017-03-27,45591753.16,18428701.62,1.029,102904354.78,1.029044,100000000.0
2017-03-28,45657753.16,18386952.33,1.029,102862605.49,1.028626,100000000.0
2017-03-29,45626643.16,18284389.03,1.029,102791632.19,1.027916,100000000.0
2017-03-30,45818043.16,18120532.27,1.028,102627775.43,1.026278,100000000.0
2017-03-31,45606843.16,18335384.08,1.026,102842627.24,1.028426,100000000.0
2017-04-05,45076120.367,18384955.55,1.028,102800375.917,1.028004,100000000.0
2017-04-06,45079420.367,18480433.85,1.028,102895854.217,1.028959,100000000.0
2017-04-07,45106512.367,18485367.64,1.029,102901480.007,1.029015,100000000.0
2017-04-10,45188419.915,18265022.94,1.029,102680542.855,1.026805,100000000.0
2017-04-11,45244519.915,18257879.46,1.027,102673399.375,1.026734,100000000.0
2017-04-12,45317119.915,18536184.36,1.027,102951704.275,1.029517,100000000.0
2017-04-13,45353419.915,18739736.95,1.03,103155256.865,1.031553,100000000.0
2017-04-14,45643819.915,18670423.95,1.032,103085943.865,1.030859,100000000.0
2017-04-17,45594159.83,18632476.2,1.031,103047836.03,1.030478,100000000.0
2017-04-18,45838359.83,18944645.34,1.03,103360005.17,1.0336,100000000.0
2017-04-19,46105759.83,19132923.86,1.034,103548383.69,1.035484,100000000.0
2017-04-20,46049659.83,19818228.24,1.035,104233688.07,1.042337,100000000.0
2017-04-21,45947394.33,19852761.5,1.042,104268255.83,1.042683,100000000.0
2017-04-24,46145924.297,19455253.78,1.043,103980178.077,1.039802,100000000.0
2017-04-25,46001880.297,19763954.03,1.04,104290034.327,1.0429,100000000.0
2017-04-26,46001945.297,19968995.16,1.043,104495140.457,1.044951,100000000.0
2017-04-27,45910730.177,19833410.86,1.045,104364041.037,1.04364,100000000.0
2017-04-28,45989906.177,19453941.5,1.044,103987847.677,1.039878,100000000.0
2017-05-02,46022698.521,19353066.89,1.04,103797665.411,1.037977,100000000.0
2017-05-03,46105198.521,19441111.57,1.038,103885710.091,1.038857,100000000.0
2017-05-04,46227298.521,19560220.49,1.039,104004819.011,1.040048,100000000.0
2017-05-05,46339498.521,19515435.32,1.04,103960033.841,1.0396,100000000.0
2017-05-08,46248000.922,19211665.22,1.04,103627466.142,1.036275,100000000.0
2017-05-09,46292940.922,19124541.59,1.036,103591882.512,1.035919,100000000.0
2017-05-10,46204822.922,19223862.83,1.036,103718585.752,1.037186,100000000.0
2017-05-11,45985282.922,19462333.14,1.037,103958616.062,1.039586,100000000.0
2017-05-12,45516095.522,19556872.69,1.04,104108668.212,1.041087,100000000.0
2017-05-15,45282250.491,19981175.98,1.041,104414626.471,1.044146,100000000.0
2017-05-16,45209354.091,20265903.02,1.044,104741957.111,1.04742,100000000.0
2017-05-17,45684554.091,20229933.74,1.047,104705987.831,1.04706,100000000.0
2017-05-18,45773643.091,20397962.99,1.047,104877306.081,1.048773,100000000.0
2017-05-19,45731043.091,20618259.12,1.049,105097902.211,1.050979,100000000.0
2017-05-22,45430024.357,20806062.8,1.051,105271787.157,1.052718,100000000.0
2017-05-23,44958124.357,20998419.4,1.053,105464143.757,1.054641,100000000.0
2017-05-24,45008049.357,20907130.49,1.055,105373279.847,1.053733,100000000.0
2017-05-25,43740465.957,20346262.33,1.054,104815328.287,1.048153,100000000.0
2017-05-26,43838582.957,20389612.3,1.048,104890795.257,1.048908,100000000.0
2017-05-31,43610816.396,20688575.55,1.049,105103891.946,1.051039,100000000.0
2017-06-01,43294166.396,20898671.11,1.051,105314137.506,1.053141,100000000.0
2017-06-02,43667186.096,20899845.08,1.053,105315431.176,1.053154,100000000.0
2017-06-05,44152283.116,20725939.16,1.053,105141522.276,1.051415,100000000.0
2017-06-06,43865203.116,21018124.06,1.051,105433727.176,1.054337,100000000.0
2017-06-07,43529329.716,21532270.42,1.054,105948600.136,1.059486,100000000.0
2017-06-08,43127309.716,21824324.04,1.059,106241233.756,1.062412,100000000.0
2017-06-09,42930999.716,21983597.5,1.062,106405497.216,1.064055,100000000.0
2017-06-12,43100370.58,22276382.54,1.064,106771953.12,1.06772,100000000.0
2017-06-13,43142076.78,22310879.48,1.068,106818456.26,1.068185,100000000.0
2017-06-14,43744110.78,21913454.94,1.068,106491765.72,1.064918,100000000.0
2017-06-15,44335314.78,22035137.77,1.065,106613952.55,1.06614,100000000.0
2017-06-16,44668554.78,21963721.65,1.066,106671176.43,1.066712,100000000.0
2017-06-19,43680727.566,21945720.06,1.067,106361647.626,1.063616,100000000.0
2017-06-20,43918607.566,21999314.67,1.064,106415522.236,1.064155,100000000.0
2017-06-21,43528714.566,22502364.95,1.064,106954379.516,1.069544,100000000.0
2017-06-22,43376914.566,22479195.29,1.07,106931209.856,1.069312,100000000.0
2017-06-23,42941314.566,22630820.35,1.069,107082834.916,1.070828,100000000.0
2017-06-26,42780008.379,23085413.81,1.071,107534522.189,1.075345,100000000.0
2017-06-27,42611800.379,23110940.31,1.075,107560140.689,1.075601,100000000.0
2017-06-28,42948500.379,22742731.32,1.076,107192031.699,1.07192,100000000.0
2017-06-29,42685961.406,22875329.71,1.072,107339291.116,1.073393,100000000.0
2017-06-30,42822618.606,23100031.71,1.073,107568650.316,1.075687,100000000.0
2017-07-03,43016769.878,22815347.58,1.076,107230617.458,1.072306,100000000.0
2017-07-04,43452594.878,22639934.61,1.072,107055429.488,1.070554,100000000.0
2017-07-05,42736974.078,22558140.17,1.071,107073114.248,1.070731,100000000.0
2017-07-06,42789877.278,22568170.21,1.071,107126147.488,1.071261,100000000.0
2017-07-07,43045111.233,22248533.05,1.071,106929744.283,1.069297,100000000.0
2017-07-10,42627254.131,22374735.68,1.069,106849289.811,1.068493,100000000.0
2017-07-11,42234327.411,22435386.03,1.068,107025213.441,1.070252,100000000.0
