date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,141765.3,0.0,49718916.0,49860681.3,39880.868
2017-01-04,141765.3,0.0,50235718.0,50377483.3,0.0
2017-01-05,141765.3,0.0,50195251.0,50337016.3,0.0
2017-01-06,141765.3,0.0,49989170.0,50130935.3,0.0
2017-01-09,1720.348,0.0,50207432.7,50209153.048,244.824
2017-01-10,1720.348,0.0,50162787.5,50164507.848,0.0
2017-01-11,1720.348,0.0,49881644.2,49883364.548,0.0
2017-01-12,1720.348,0.0,49717537.85,49719258.198,0.0
2017-01-13,1720.348,0.0,49936067.55,49937787.898,0.0
2017-01-16,499.666,0.0,50153029.72,50153529.386,68.581
2017-01-17,499.666,0.0,50280246.43,50280746.096,0.0
2017-01-18,499.666,0.0,50633706.29,50634205.956,0.0
2017-01-19,499.666,0.0,50537862.02,50538361.686,0.0
2017-01-20,499.666,0.0,50831566.02,50832065.686,0.0
2017-01-23,177.032,0.0,50899627.59,50899804.622,5.0
2017-01-24,177.032,0.0,51116590.42,51116767.452,0.0
2017-01-25,177.032,0.0,51282231.85,51282408.882,0.0
2017-01-26,177.032,0.0,51435802.71,51435979.742,0.0
2017-02-03,177.032,0.0,51154283.15,51154460.182,0.0
2017-02-06,11299.894,0.0,51141736.15,51153036.044,86.686
2017-02-07,11299.894,0.0,50982801.44,50994101.334,0.0
2017-02-08,11299.894,0.0,51272574.03,51283873.924,0.0
2017-02-09,11299.894,0.0,51517472.56,51528772.454,0.0
2017-02-10,11299.894,0.0,51753383.8,51764683.694,0.0
2017-02-13,9123.6,0.0,52282686.73,52291810.33,25.0
2017-02-14,9123.6,0.0,52242125.96,52251249.56,0.0
2017-02-15,9123.6,0.0,52013473.56,52022597.16,0.0
2017-02-16,9123.6,0.0,52219830.08,52228953.68,0.0
2017-02-17,9123.6,0.0,52051659.2,52060782.8,0.0
2017-02-20,21340.576,0.0,52972601.81,52993942.386,377.642
2017-02-21,21340.576,0.0,53166167.38,53187507.956,0.0
2017-02-22,21340.576,0.0,53392795.47,53414136.046,0.0
2017-02-23,21340.576,0.0,53090877.25,53112217.826,0.0
2017-02-24,21340.576,0.0,52875445.61,52896786.186,0.0
2017-02-27,627.579,0.0,52385239.94,52385867.519,28.711
2017-02-28,627.579,0.0,52505656.13,52506283.709,0.0
2017-03-01,627.579,0.0,52636193.56,52636821.139,0.0
2017-03-02,627.579,0.0,52487688.68,52488316.259,0.0
2017-03-03,627.579,0.0,52396257.57,52396885.149,0.0
2017-03-06,5842.192,0.0,52497893.36,52503735.552,164.414
2017-03-07,5842.192,0.0,52835021.71,52840863.902,0.0
2017-03-08,5842.192,0.0,52768953.77,52774795.962,0.0
2017-03-09,5842.192,0.0,52431164.84,52437007.032,0.0
2017-03-10,5842.192,0.0,52535754.03,52541596.222,0.0
2017-03-13,10583.489,0.0,52940738.27,52951321.759,190.912
2017-03-14,10583.489,0.0,53018412.81,53028996.299,0.0
2017-03-15,10763.489,0.0,53174328.48,53185091.969,0.0
2017-03-16,10763.489,0.0,53288309.39,53299072.879,0.0
2017-03-17,10763.489,0.0,52847047.44,52857810.929,0.0
2017-03-20,22303.586,0.0,52981089.76,53003393.346,144.233
2017-03-21,22303.586,0.0,53490464.19,53512767.776,0.0
2017-03-22,22303.586,0.0,53447745.68,53470049.266,0.0
2017-03-23,22303.586,0.0,53609824.67,53632128.256,0.0
2017-03-24,22303.586,0.0,53972678.8,53994982.386,0.0
2017-03-27,60414.728,0.0,53777701.62,53838116.348,473.238
2017-03-28,60414.728,0.0,53675952.33,53736367.058,0.0
2017-03-29,92004.728,0.0,53630389.03,53722393.758,0.0
2017-03-30,92004.728,0.0,53292532.27,53384536.998,0.0
2017-03-31,92004.728,0.0,53699384.08,53791388.808,0.0
2017-04-05,181.936,0.0,54147955.55,54148137.486,260.723
2017-04-06,181.936,0.0,54240433.85,54240615.786,0.0
