datetime,commission,exec_id,last_price,last_quantity,order_book_id,order_id,position_effect,side,symbol,tax,trading_datetime,transaction_cost
2017-01-03 15:00:00,1327.0784592000002,15844995943075,3.477,477100.0,601988.XSHG,15844995853082,OPEN,BUY,中国银行,0.0,2017-01-03 15:00:00,1327.0784592000002
2017-01-03 15:00:00,5.0,15844995943076,22.505,100.0,002008.XSHE,15844995853083,OPEN,BUY,大族激光,0.0,2017-01-03 15:00:00,5.0
2017-01-03 15:00:00,5.925427200000001,15844995943077,18.517,400.0,002399.XSHE,15844995853084,OPEN,BUY,海普瑞,0.0,2017-01-03 15:00:00,5.925427200000001
2017-01-03 15:00:00,5.0,15844995943078,15.14,100.0,000703.XSHE,15844995853085,OPEN,BUY,恒逸石化,0.0,2017-01-03 15:00:00,5.0
2017-01-03 15:00:00,62.249049600000006,15844995943079,11.443,6800.0,300012.XSHE,15844995853086,OPEN,BUY,华测检测,0.0,2017-01-03 15:00:00,62.249049600000006
2017-01-03 15:00:00,5.0,15844995943080,20.09,200.0,601877.XSHG,15844995853087,OPEN,BUY,正泰电器,0.0,2017-01-03 15:00:00,5.0
2017-01-03 15:00:00,18.424776,15844995943081,46.062,500.0,300072.XSHE,15844995853088,OPEN,BUY,三聚环保,0.0,2017-01-03 15:00:00,18.424776
2017-01-03 15:00:00,27.231955199999998,15844995943082,17.916,1900.0,603000.XSHG,15844995853089,OPEN,BUY,人民网,0.0,2017-01-03 15:00:00,27.231955199999998
2017-01-03 15:00:00,37.963776,15844995943083,7.415,6400.0,000528.XSHE,15844995853090,OPEN,BUY,柳工,0.0,2017-01-03 15:00:00,37.963776
2017-01-03 15:00:00,25.233566400000004,15844995943084,15.02,2100.0,002311.XSHE,15844995853091,OPEN,BUY,海大集团,0.0,2017-01-03 15:00:00,25.233566400000004
2017-01-03 15:00:00,5.0,15844995943085,18.707,300.0,600660.XSHG,15844995853092,OPEN,BUY,福耀玻璃,0.0,2017-01-03 15:00:00,5.0
2017-01-03 15:00:00,1326.776256,15844995943086,3.126,530500.0,601288.XSHG,15844995853093,OPEN,BUY,农业银行,0.0,2017-01-03 15:00:00,1326.776256
2017-01-03 15:00:00,42.953736000000006,15844995943087,15.341,3500.0,002419.XSHE,15844995853094,OPEN,BUY,天虹股份,0.0,2017-01-03 15:00:00,42.953736000000006
2017-01-03 15:00:00,8.472911999999999,15844995943088,15.13,700.0,000625.XSHE,15844995853095,OPEN,BUY,长安汽车,0.0,2017-01-03 15:00:00,8.472911999999999
2017-01-03 15:00:00,34.8792192,15844995943089,18.166,2400.0,603899.XSHG,15844995853096,OPEN,BUY,晨光文具,0.0,2017-01-03 15:00:00,34.8792192
2017-01-03 15:00:00,25.416331200000002,15844995943090,24.439,1300.0,600536.XSHG,15844995853097,OPEN,BUY,中国软件,0.0,2017-01-03 15:00:00,25.416331200000002
2017-01-03 15:00:00,10.1626848,15844995943091,21.172,600.0,002595.XSHE,15844995853098,OPEN,BUY,豪迈科技,0.0,2017-01-03 15:00:00,10.1626848
2017-01-03 15:00:00,1217.5221840000002,15844995943092,18.226,83500.0,601688.XSHG,15844995853099,OPEN,BUY,华泰证券,0.0,2017-01-03 15:00:00,1217.5221840000002
2017-01-03 15:00:00,21.146208,15844995943093,13.216,2000.0,603369.XSHG,15844995853100,OPEN,BUY,今世缘,0.0,2017-01-03 15:00:00,21.146208
2017-01-03 15:00:00,15.763464000000003,15844995943094,21.894,900.0,002690.XSHE,15844995853101,OPEN,BUY,美亚光电,0.0,2017-01-03 15:00:00,15.763464000000003
2017-01-03 15:00:00,14.1979392,15844995943095,19.719,900.0,300253.XSHE,15844995853102,OPEN,BUY,卫宁健康,0.0,2017-01-03 15:00:00,14.1979392
2017-01-03 15:00:00,36.706065599999995,15844995943096,15.822,2900.0,002372.XSHE,15844995853103,OPEN,BUY,伟星新材,0.0,2017-01-03 15:00:00,36.706065599999995
2017-01-03 15:00:00,28.511308800000002,15844995943097,9.9,3600.0,002081.XSHE,15844995853104,OPEN,BUY,金螳螂,0.0,2017-01-03 15:00:00,28.511308800000002
2017-01-03 15:00:00,17.354639999999996,15844995943098,21.693,1000.0,002271.XSHE,15844995853105,OPEN,BUY,东方雨虹,0.0,2017-01-03 15:00:00,17.354639999999996
2017-01-03 15:00:00,1326.3979008000001,15844995943099,5.822,284800.0,601328.XSHG,15844995853106,OPEN,BUY,交通银行,0.0,2017-01-03 15:00:00,1326.3979008000001
2017-01-03 15:00:00,50.332464,15844995943100,9.679,6500.0,002233.XSHE,15844995853107,OPEN,BUY,塔牌集团,0.0,2017-01-03 15:00:00,50.332464
2017-01-03 15:00:00,6.97392,15844995943101,17.435,500.0,002142.XSHE,15844995853108,OPEN,BUY,宁波银行,0.0,2017-01-03 15:00:00,6.97392
2017-01-03 15:00:00,1261.5003648,15844995943102,12.635,124800.0,600900.XSHG,15844995853109,OPEN,BUY,长江电力,0.0,2017-01-03 15:00:00,1261.5003648
2017-01-03 15:00:00,33.31930560000001,15844995943103,29.749,1400.0,603939.XSHG,15844995853110,OPEN,BUY,益丰药房,0.0,2017-01-03 15:00:00,33.31930560000001
2017-01-03 15:00:00,42.92568000000001,15844995943104,10.521,5100.0,002191.XSHE,15844995853111,OPEN,BUY,劲嘉股份,0.0,2017-01-03 15:00:00,42.92568000000001
2017-01-03 15:00:00,5.0,15844995943105,20.26,200.0,002353.XSHE,15844995853112,OPEN,BUY,杰瑞股份,0.0,2017-01-03 15:00:00,5.0
2017-01-03 15:00:00,7.803576,15844995943106,19.509,500.0,600066.XSHG,15844995853113,OPEN,BUY,宇通客车,0.0,2017-01-03 15:00:00,7.803576
2017-01-03 15:00:00,11.18232,15844995943107,15.531,900.0,002493.XSHE,15844995853114,OPEN,BUY,荣盛石化,0.0,2017-01-03 15:00:00,11.18232
2017-01-03 15:00:00,1908.1029888,15844995943108,24.288,98200.0,002415.XSHE,15844995853115,OPEN,BUY,海康威视,0.0,2017-01-03 15:00:00,1908.1029888
2017-01-03 15:00:00,628.7574048,15844995943109,25.11,31300.0,000651.XSHE,15844995853116,OPEN,BUY,格力电器,0.0,2017-01-03 15:00:00,628.7574048
2017-01-03 15:00:00,17.763456,15844995943110,11.102,2000.0,300142.XSHE,15844995853117,OPEN,BUY,沃森生物,0.0,2017-01-03 15:00:00,17.763456
2017-01-03 15:00:00,24.5546112,15844995943111,38.367,800.0,002179.XSHE,15844995853118,OPEN,BUY,中航光电,0.0,2017-01-03 15:00:00,24.5546112
2017-01-03 15:00:00,5.739456,15844995943112,35.872,200.0,002007.XSHE,15844995853119,OPEN,BUY,华兰生物,0.0,2017-01-03 15:00:00,5.739456
2017-01-03 15:00:00,11.188732800000002,15844995943113,9.99,1400.0,000338.XSHE,15844995853120,OPEN,BUY,潍柴动力,0.0,2017-01-03 15:00:00,11.188732800000002
2017-01-03 15:00:00,10.511380800000001,15844995943114,14.599,900.0,601233.XSHG,15844995853121,OPEN,BUY,桐昆股份,0.0,2017-01-03 15:00:00,10.511380800000001
2017-01-03 15:00:00,48.8783616,15844995943115,8.256,7400.0,600874.XSHG,15844995853122,OPEN,BUY,创业环保,0.0,2017-01-03 15:00:00,48.8783616
2017-01-03 15:00:00,892.66176,15844995943116,12.024,92800.0,601186.XSHG,15844995853123,OPEN,BUY,中国铁建,0.0,2017-01-03 15:00:00,892.66176
2017-01-03 15:00:00,7.4460624,15844995943117,13.297,700.0,300207.XSHE,15844995853124,OPEN,BUY,欣旺达,0.0,2017-01-03 15:00:00,7.4460624
