date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,24986747.786,-13113987.0,1.0,99733960.786,0.99734,100000000.0
2017-01-04,23709947.786,-13356958.0,0.997,99490989.786,0.99491,100000000.0
2017-01-05,23821947.786,-13153747.0,0.995,99694200.786,0.996942,100000000.0
2017-01-06,24101947.786,-13398600.0,0.997,99449347.786,0.994493,100000000.0
2017-01-09,23398109.291,-13195902.0,0.994,99435407.291,0.994354,100000000.0
2017-01-10,23806909.291,-12981071.0,0.994,99650238.291,0.996502,100000000.0
2017-01-11,24464909.291,-13102809.0,0.997,99528500.291,0.995285,100000000.0
2017-01-12,25293709.291,-13054305.0,0.995,99577004.291,0.99577,100000000.0
2017-01-13,26133709.291,-13162425.0,0.996,99468884.291,0.994689,100000000.0
2017-01-16,28471709.291,-12547244.0,0.995,100084065.291,1.000841,100000000.0
2017-01-17,27721309.291,-12503184.0,1.001,100128125.291,1.001281,100000000.0
2017-01-18,27598109.291,-12381771.0,1.001,100249538.291,1.002495,100000000.0
2017-01-19,28701309.291,-11715866.0,1.002,100915443.291,1.009154,100000000.0
2017-01-20,27472109.291,-11818058.0,1.009,100813251.291,1.008133,100000000.0
2017-01-23,27134531.281,-11591047.75,1.008,101142283.531,1.011423,100000000.0
2017-01-24,27011331.281,-11554127.3,1.011,101179203.981,1.011792,100000000.0
2017-01-25,26563331.281,-11927693.06,1.012,100805638.221,1.008056,100000000.0
2017-01-26,26090131.281,-11986844.9,1.008,100746486.381,1.007465,100000000.0
2017-02-03,26321387.895,-11653425.22,1.007,100977962.675,1.00978,100000000.0
2017-02-06,25860744.583,-11685663.95,1.01,100969480.633,1.009695,100000000.0
2017-02-07,26031544.583,-11573086.19,1.01,101082058.393,1.010821,100000000.0
2017-02-08,25202744.583,-11859067.45,1.011,100796077.133,1.007961,100000000.0
2017-02-09,24667944.583,-11912936.0,1.008,100742208.583,1.007422,100000000.0
2017-02-10,24536344.583,-11770544.18,1.007,100884600.403,1.008846,100000000.0
2017-02-13,24008346.783,-11793598.19,1.009,100837548.593,1.008375,100000000.0
2017-02-14,25089146.783,-10997106.82,1.008,101634039.963,1.01634,100000000.0
2017-02-15,25828346.783,-11133829.06,1.016,101497317.723,1.014973,100000000.0
2017-02-16,24985546.783,-11266488.63,1.015,101364658.153,1.013647,100000000.0
2017-02-17,25649146.783,-11287421.92,1.014,101343724.863,1.013437,100000000.0
2017-02-20,24237946.783,-11284775.52,1.013,101346371.263,1.013464,100000000.0
2017-02-21,23857146.783,-11182642.02,1.013,101448504.763,1.014485,100000000.0
2017-02-22,23176746.783,-11118655.16,1.014,101512491.623,1.015125,100000000.0
2017-02-23,23064746.783,-11551385.33,1.015,101079761.453,1.010798,100000000.0
2017-02-24,22882746.783,-11881230.92,1.011,100749915.863,1.007499,100000000.0
2017-02-27,23759146.783,-11652531.22,1.007,100978615.563,1.009786,100000000.0
2017-02-28,23361546.783,-11685214.32,1.01,100945932.463,1.009459,100000000.0
2017-03-01,23061946.783,-11774344.87,1.009,100856801.913,1.008568,100000000.0
2017-03-02,23171146.783,-11830087.73,1.009,100801059.053,1.008011,100000000.0
2017-03-03,23129146.783,-11912535.4,1.008,100718611.383,1.007186,100000000.0
2017-03-06,22194249.413,-12049647.84,1.007,100581801.573,1.005818,100000000.0
2017-03-07,22121449.413,-12007682.54,1.006,100623766.873,1.006238,100000000.0
2017-03-08,22337049.413,-11969105.14,1.006,100662344.273,1.006623,100000000.0
2017-03-09,23160249.413,-11969028.43,1.007,100662420.983,1.006624,100000000.0
2017-03-10,22885849.413,-11929670.73,1.007,100701778.683,1.007018,100000000.0
2017-03-13,21846697.721,-12083820.03,1.007,100547277.691,1.005473,100000000.0
2017-03-14,22051097.721,-12120962.53,1.005,100510135.191,1.005101,100000000.0
2017-03-15,22102487.721,-11976454.25,1.005,100655633.471,1.006556,100000000.0
2017-03-16,22060487.721,-11568718.98,1.007,101063368.741,1.010634,100000000.0
2017-03-17,22892087.721,-11501987.55,1.011,101130100.171,1.011301,100000000.0
2017-03-20,22653506.571,-11487007.05,1.011,101144499.521,1.011445,100000000.0
2017-03-21,22401506.571,-11391355.28,1.011,101240151.291,1.012402,100000000.0
2017-03-22,22628306.571,-11311480.63,1.012,101320025.941,1.0132,100000000.0
2017-03-23,22331506.571,-11137468.72,1.013,101494037.851,1.01494,100000000.0
2017-03-24,21242306.571,-11538230.06,1.015,101093276.511,1.010933,100000000.0
2017-03-27,21913661.663,-11336516.29,1.011,101305545.373,1.013055,100000000.0
2017-03-28,22101261.663,-11534438.4,1.013,101107623.263,1.011076,100000000.0
2017-03-29,22434686.893,-11601966.42,1.011,101043120.473,1.010431,100000000.0
2017-03-30,23515486.893,-11674925.08,1.01,100970161.813,1.009702,100000000.0
2017-03-31,23322286.893,-11552661.55,1.01,101092425.343,1.010924,100000000.0
2017-04-05,21090637.491,-12229898.33,1.011,100401139.161,1.004011,100000000.0
2017-04-06,21127037.491,-12086759.47,1.004,100544278.021,1.005443,100000000.0
2017-04-07,20853229.491,-12195875.92,1.005,100441353.571,1.004414,100000000.0
2017-04-10,20987044.487,-12230819.18,1.004,100400225.307,1.004002,100000000.0
2017-04-11,20200244.487,-12406835.07,1.004,100224209.417,1.002242,100000000.0
2017-04-12,20849844.487,-12015943.12,1.002,100615101.367,1.006151,100000000.0
2017-04-13,20091044.487,-12053531.68,1.006,100577512.807,1.005775,100000000.0
2017-04-14,21367844.487,-11789156.62,1.006,100841887.867,1.008419,100000000.0
2017-04-17,22426281.607,-11525448.74,1.008,101105632.867,1.011056,100000000.0
2017-04-18,22720281.607,-11273152.9,1.011,101357928.707,1.013579,100000000.0
2017-04-19,23779721.607,-10765339.76,1.014,101866781.847,1.018668,100000000.0
2017-04-20,23762921.607,-10624349.98,1.019,102007771.627,1.020078,100000000.0
2017-04-21,24990181.607,-9964053.76,1.02,102668927.847,1.026689,100000000.0
2017-04-24,27395340.708,-9940039.46,1.027,102972901.248,1.029729,100000000.0
2017-04-25,27125020.708,-9670811.63,1.03,103246209.078,1.032462,100000000.0
2017-04-26,26929397.708,-9728652.46,1.032,103188745.248,1.031887,100000000.0
2017-04-27,26722089.028,-9907938.83,1.032,103054150.198,1.030542,100000000.0
2017-04-28,26480659.828,-10133623.256,1.031,102872636.572,1.028726,100000000.0
2017-05-02,26167116.665,-9553170.516,1.029,103077946.149,1.030779,100000000.0
2017-05-03,26444316.665,-9526336.606,1.031,103104780.059,1.031048,100000000.0
2017-05-04,26900716.665,-9357976.576,1.031,103273140.089,1.032731,100000000.0
2017-05-05,27822051.665,-9271092.104,1.033,103360159.561,1.033602,100000000.0
2017-05-08,29314451.665,-8921822.178,1.034,103709429.487,1.037094,100000000.0
2017-05-09,28821051.665,-9124962.9,1.037,103514088.765,1.035141,100000000.0
2017-05-10,30857935.665,-8479000.472,1.035,104169735.193,1.041697,100000000.0
2017-05-11,31076935.665,-8324383.65,1.042,104333352.015,1.043334,100000000.0
2017-05-12,31100682.335,-8315946.27,1.043,104365536.065,1.043655,100000000.0
2017-05-15,30459404.103,-8524933.692,1.044,104209670.411,1.042097,100000000.0
2017-05-16,28603959.703,-8909064.458,1.042,103832095.245,1.038321,100000000.0
2017-05-17,28998759.703,-8456215.51,1.038,104284944.193,1.042849,100000000.0
2017-05-18,29894553.053,-8158898.664,1.043,104615654.389,1.046157,100000000.0
2017-05-19,29984783.053,-8206087.944,1.046,104569095.109,1.045691,100000000.0
2017-05-22,31030637.735,-7780954.994,1.046,104850082.741,1.048501,100000000.0
2017-05-23,32607037.735,-7424013.69,1.049,105207024.045,1.05207,100000000.0
2017-05-24,32011277.735,-7683010.712,1.052,104954267.023,1.049543,100000000.0
2017-05-25,31306506.293,-7661405.975,1.05,104993500.318,1.049935,100000000.0
2017-05-26,31300736.933,-7642104.966,1.05,105063031.967,1.05063,100000000.0
2017-05-31,32048834.273,-7346140.593,1.051,105519093.68,1.055191,100000000.0
2017-06-01,33527534.273,-7101861.736,1.055,105763672.537,1.057637,100000000.0
2017-06-02,32321874.573,-7664818.666,1.058,105201855.907,1.052019,100000000.0
2017-06-05,31781074.112,-7386991.164,1.052,105244082.948,1.052441,100000000.0
2017-06-06,31331114.112,-7327760.529,1.052,105304153.583,1.053042,100000000.0
2017-06-07,29309316.518,-7591226.853,1.053,105046089.665,1.050461,100000000.0
2017-06-08,29485236.518,-7094844.884,1.05,105550391.634,1.055504,100000000.0
2017-06-09,29184110.018,-7177866.252,1.056,105507843.766,1.055078,100000000.0
2017-06-12,30280237.173,-6605402.551,1.055,106025634.622,1.060256,100000000.0
2017-06-13,29260353.973,-6842117.054,1.06,105793836.919,1.057938,100000000.0
2017-06-14,29271517.133,-7302509.232,1.058,105361407.901,1.053614,100000000.0
2017-06-15,29169012.973,-7126212.713,1.054,105541600.26,1.055416,100000000.0
2017-06-16,29272857.923,-7296004.372,1.055,105383253.551,1.053833,100000000.0
2017-06-19,28547246.019,-7386197.713,1.054,105245048.306,1.05245,100000000.0
2017-06-20,28220542.019,-7726421.048,1.052,104905720.971,1.049057,100000000.0
2017-06-21,28193645.293,-7419495.158,1.049,105250150.135,1.052502,100000000.0
2017-06-22,29442445.293,-7167260.519,1.053,105502384.774,1.055024,100000000.0
2017-06-23,29324845.293,-6842596.027,1.055,105827049.266,1.05827,100000000.0
2017-06-26,27430106.128,-7093511.78,1.058,105537794.348,1.055378,100000000.0
2017-06-27,27777532.068,-6834186.146,1.055,105797345.922,1.057973,100000000.0
2017-06-28,27963482.068,-6900004.57,1.058,105735477.498,1.057355,100000000.0
2017-06-29,27610506.825,-6651236.967,1.057,106000869.858,1.060009,100000000.0
2017-06-30,27346163.225,-6858980.269,1.06,105847982.956,1.05848,100000000.0
2017-07-03,26587232.948,-6974888.524,1.058,105656344.424,1.056563,100000000.0
2017-07-04,26965817.948,-7144094.929,1.057,105487723.019,1.054877,100000000.0
2017-07-05,26392900.794,-7178341.324,1.055,105474159.47,1.054742,100000000.0
2017-07-06,26609004.474,-7144784.84,1.055,105513819.634,1.055138,100000000.0
2017-07-07,26105473.361,-7451389.009,1.055,105218884.352,1.052189,100000000.0
2017-07-10,26321136.014,-7241476.657,1.052,105389659.357,1.053897,100000000.0
2017-07-11,27123680.042,-6990566.818,1.054,105650713.224,1.056507,100000000.0
2017-07-12,27450399.38,-6812567.818,1.057,105833431.562,1.058334,100000000.0
2017-07-13,27144188.91,-6782604.077,1.058,105876384.833,1.058764,100000000.0
2017-07-14,27379661.189,-6583280.777,1.059,106103980.412,1.06104,100000000.0
2017-07-17,31072861.721,-5839637.778,1.061,106791623.943,1.067916,100000000.0
2017-07-18,30051268.576,-6054624.053,1.068,106582644.523,1.065826,100000000.0
2017-07-19,28186248.006,-6412371.512,1.066,106238676.494,1.062387,100000000.0
2017-07-20,27617104.676,-6509643.103,1.062,106143461.573,1.061435,100000000.0
2017-07-21,28118602.076,-5987373.09,1.061,106708028.986,1.06708,100000000.0
2017-07-24,27457952.152,-5822031.407,1.067,106809120.745,1.068091,100000000.0
2017-07-25,27494352.152,-6288118.054,1.068,106343034.098,1.06343,100000000.0
2017-07-26,27651152.152,-6281304.8,1.063,106349847.352,1.063498,100000000.0
2017-07-27,26819552.152,-6526084.802,1.063,106105067.35,1.061051,100000000.0
2017-07-28,26039157.152,-6549128.631,1.061,106082828.521,1.060828,100000000.0
2017-07-31,24912804.66,-6474503.107,1.061,106156701.553,1.061567,100000000.0
2017-08-01,25166291.668,-6056311.417,1.062,106576380.251,1.065764,100000000.0
2017-08-02,25477091.668,-6343043.415,1.066,106289648.253,1.062896,100000000.0
2017-08-03,25359491.668,-6484034.375,1.063,106148657.293,1.061487,100000000.0
2017-08-04,26048356.374,-6548479.76,1.061,106092676.614,1.060927,100000000.0
2017-08-07,24768248.31,-6951626.036,1.061,105736622.274,1.057366,100000000.0
2017-08-08,24881480.81,-6569907.788,1.057,106122373.022,1.061224,100000000.0
2017-08-09,24249477.31,-6252388.277,1.061,106440689.033,1.064407,100000000.0
2017-08-10,25180537.95,-5505449.803,1.064,107189088.147,1.071891,100000000.0
2017-08-11,26745737.95,-5703871.855,1.072,106990666.095,1.069907,100000000.0
2017-08-14,24725322.888,-6275118.969,1.07,106459803.919,1.064598,100000000.0
2017-08-15,24666182.968,-6245295.309,1.065,106520087.659,1.065201,100000000.0
2017-08-16,25128182.968,-5927853.815,1.065,106837529.153,1.068375,100000000.0
