FUTURE,50000000.0
STOCK,50000000.0
alpha,0.186
annualized_returns,0.223
benchmark_annualized_returns,-0.058
benchmark_total_returns,-0.159
beta,0.12
cash,39473572.619
downside_risk,0.12
end_date,2019-12-31
information_ratio,1.227
max_drawdown,0.048
run_type,BACKTEST
sharpe,2.816
sortino,0.093
start_date,2017-01-03
strategy_file,../utils/hedging_backtest.py
strategy_name,hedging_backtest
total_returns,0.792
total_value,179242025.891
tracking_error,0.196
unit_net_value,1.792
units,100000000.0
volatility,0.063
