date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,42459705.468,-73696.0,1.0,99759509.468,0.997595,100000000.0
2017-01-04,41900805.468,-20673.0,0.998,99812532.468,0.998125,100000000.0
2017-01-05,42031905.468,-59624.0,0.998,99773581.468,0.997736,100000000.0
2017-01-06,42280305.468,-86879.0,0.998,99746326.468,0.997463,100000000.0
2017-01-09,41990402.416,-96172.75,0.997,99716229.666,0.997162,100000000.0
2017-01-10,42135302.416,-80686.66,0.997,99731715.756,0.997317,100000000.0
2017-01-11,42490652.416,-188839.64,0.997,99623562.776,0.996236,100000000.0
2017-01-12,42887402.416,-18063.16,0.996,99794339.256,0.997943,100000000.0
2017-01-13,42728702.416,-22596.93,0.998,99789805.486,0.997898,100000000.0
2017-01-16,42887885.467,184049.93,0.998,100017635.397,1.000176,100000000.0
2017-01-17,42642935.467,45549.41,1.0,99879134.877,0.998791,100000000.0
2017-01-18,42132335.467,-177016.64,0.999,99656568.827,0.996566,100000000.0
2017-01-19,42525635.467,10081.38,0.997,99843666.847,0.998437,100000000.0
2017-01-20,41994335.467,-54717.02,0.998,99778868.447,0.997789,100000000.0
2017-01-23,41986586.438,56880.7,0.998,99865467.138,0.998655,100000000.0
2017-01-24,41962436.438,172845.27,0.999,99981431.708,0.999814,100000000.0
2017-01-25,41689886.438,250544.44,1.0,100059130.878,1.000591,100000000.0
2017-01-26,41544986.438,300717.62,1.001,100109304.058,1.001093,100000000.0
2017-02-03,42064860.988,233349.18,1.001,100206460.168,1.002065,100000000.0
2017-02-06,42021946.056,541401.53,1.002,100419847.586,1.004198,100000000.0
2017-02-07,42108196.056,539722.27,1.004,100418168.326,1.004182,100000000.0
2017-02-08,41756296.056,366713.08,1.004,100245159.136,1.002452,100000000.0
2017-02-09,41563096.056,396926.85,1.002,100275372.906,1.002754,100000000.0
2017-02-10,41193946.056,280741.56,1.003,100159187.616,1.001592,100000000.0
2017-02-13,40811823.343,518319.92,1.002,100307893.263,1.003079,100000000.0
2017-02-14,41094723.343,709506.45,1.003,100499079.793,1.004991,100000000.0
2017-02-15,41312073.343,501454.76,1.005,100291028.103,1.00291,100000000.0
2017-02-16,40936023.343,394930.21,1.003,100184503.553,1.001845,100000000.0
2017-02-17,41270673.343,365671.75,1.002,100155245.093,1.001552,100000000.0
2017-02-20,40083488.098,137654.24,1.002,99950992.338,0.99951,100000000.0
2017-02-21,40142138.098,368927.18,1.0,100182265.278,1.001823,100000000.0
2017-02-22,40007588.098,380283.0,1.002,100193621.098,1.001936,100000000.0
2017-02-23,40238738.098,365390.11,1.002,100178728.208,1.001787,100000000.0
2017-02-24,40249088.098,299083.65,1.002,100112421.748,1.001124,100000000.0
2017-02-27,40682648.712,364280.55,1.001,100155779.262,1.001558,100000000.0
2017-02-28,40634348.712,619728.92,1.002,100411227.632,1.004112,100000000.0
2017-03-01,40534298.712,620149.72,1.004,100411648.432,1.004116,100000000.0
