FUTURE,50000000.0
STOCK,50000000.0
alpha,0.072
annualized_returns,0.11
benchmark_annualized_returns,0.076
benchmark_total_returns,0.238
beta,0.139
cash,29824656.227
downside_risk,0.11
end_date,2019-12-31
information_ratio,0.1
max_drawdown,0.032
run_type,BACKTEST
sharpe,1.803
sortino,0.046
start_date,2017-01-03
strategy_file,../utils/hedging_backtest.py
strategy_name,hedging_backtest
total_returns,0.354
total_value,135368816.25
tracking_error,0.158
unit_net_value,1.354
units,100000000.0
volatility,0.045
