date,cash,daily_pnl,margin,market_value,position_pnl,total_value,trading_pnl,transaction_cost
2017-01-03,46481738.431,-69761.569,3448500.0,-34485000.0,0.0,49930238.431,-68970.0,791.569
2017-01-04,46240838.431,-219000.0,3470400.0,-34704000.0,-219000.0,49711238.431,0.0,0.0
2017-01-05,46254038.431,12000.0,3469200.0,-34692000.0,12000.0,49723238.431,0.0,0.0
2017-01-06,46402538.431,135000.0,3455700.0,-34557000.0,135000.0,49858238.431,0.0,0.0
2017-01-09,46263938.431,-126000.0,3468300.0,-34683000.0,-126000.0,49732238.431,0.0,0.0
2017-01-10,46343138.431,72000.0,3461100.0,-34611000.0,72000.0,49804238.431,0.0,0.0
2017-01-11,46488338.431,132000.0,3447900.0,-34479000.0,132000.0,49936238.431,0.0,0.0
2017-01-12,46617038.431,117000.0,3436200.0,-34362000.0,117000.0,50053238.431,0.0,0.0
2017-01-13,46382738.431,-213000.0,3457500.0,-34575000.0,-213000.0,49840238.431,0.0,0.0
2017-01-16,46049438.431,-303000.0,3487800.0,-34878000.0,-303000.0,49537238.431,0.0,0.0
2017-01-17,46042838.431,-6000.0,3488400.0,-34884000.0,-6000.0,49531238.431,0.0,0.0
2017-01-18,45722738.431,-291000.0,3517500.0,-35175000.0,-291000.0,49240238.431,0.0,0.0
2017-01-19,45966938.431,222000.0,3495300.0,-34953000.0,222000.0,49462238.431,0.0,0.0
2017-01-20,45643538.431,-294000.0,3524700.0,-35247000.0,-294000.0,49168238.431,0.0,0.0
2017-01-23,45693038.431,45000.0,3520200.0,-35202000.0,45000.0,49213238.431,0.0,0.0
2017-01-24,45620438.431,-66000.0,3526800.0,-35268000.0,-66000.0,49147238.431,0.0,0.0
2017-01-25,45495038.431,-114000.0,3538200.0,-35382000.0,-114000.0,49033238.431,0.0,0.0
2017-01-26,45392738.431,-93000.0,3547500.0,-35475000.0,-93000.0,48940238.431,0.0,0.0
2017-02-03,45772238.431,345000.0,3513000.0,-35130000.0,345000.0,49285238.431,0.0,0.0
2017-02-06,45775538.431,3000.0,3512700.0,-35127000.0,3000.0,49288238.431,0.0,0.0
2017-02-07,45907538.431,120000.0,3500700.0,-35007000.0,120000.0,49408238.431,0.0,0.0
2017-02-08,45739238.431,-153000.0,3516000.0,-35160000.0,-153000.0,49255238.431,0.0,0.0
2017-02-09,45620438.431,-108000.0,3526800.0,-35268000.0,-108000.0,49147238.431,0.0,0.0
2017-02-10,45425738.431,-177000.0,3544500.0,-35445000.0,-177000.0,48970238.431,0.0,0.0
2017-02-13,45280538.431,-132000.0,3557700.0,-35577000.0,-132000.0,48838238.431,0.0,0.0
2017-02-14,45392738.431,102000.0,3547500.0,-35475000.0,102000.0,48940238.431,0.0,0.0
2017-02-15,45405938.431,12000.0,3546300.0,-35463000.0,12000.0,48952238.431,0.0,0.0
2017-02-16,45339938.431,-60000.0,3552300.0,-35523000.0,-60000.0,48892238.431,0.0,0.0
2017-02-17,45554438.431,195000.0,3532800.0,-35328000.0,195000.0,49087238.431,0.0,0.0
2017-02-20,44927438.431,-570000.0,3589800.0,-35898000.0,-570000.0,48517238.431,0.0,0.0
2017-02-21,45003338.431,69000.0,3582900.0,-35829000.0,69000.0,48586238.431,0.0,0.0
2017-02-22,44953838.431,-45000.0,3587400.0,-35874000.0,-45000.0,48541238.431,0.0,0.0
2017-02-23,45132038.431,162000.0,3571200.0,-35712000.0,162000.0,48703238.431,0.0,0.0
2017-02-24,45108938.431,-21000.0,3573300.0,-35733000.0,-21000.0,48682238.431,0.0,0.0
2017-02-27,45379538.431,246000.0,3548700.0,-35487000.0,246000.0,48928238.431,0.0,0.0
2017-02-28,45438938.431,54000.0,3543300.0,-35433000.0,54000.0,48982238.431,0.0,0.0
2017-03-01,45409238.431,-27000.0,3546000.0,-35460000.0,-27000.0,48955238.431,0.0,0.0
2017-03-02,45686438.431,252000.0,3520800.0,-35208000.0,252000.0,49207238.431,0.0,0.0
2017-03-03,45844838.431,144000.0,3506400.0,-35064000.0,144000.0,49351238.431,0.0,0.0
2017-03-06,45775538.431,-63000.0,3512700.0,-35127000.0,-63000.0,49288238.431,0.0,0.0
2017-03-07,45686438.431,-81000.0,3520800.0,-35208000.0,-81000.0,49207238.431,0.0,0.0
2017-03-08,45630338.431,-51000.0,3525900.0,-35259000.0,-51000.0,49156238.431,0.0,0.0
2017-03-09,45877838.431,225000.0,3503400.0,-35034000.0,225000.0,49381238.431,0.0,0.0
2017-03-10,45960338.431,75000.0,3495900.0,-34959000.0,75000.0,49456238.431,0.0,0.0
2017-03-13,45584138.431,-342000.0,3530100.0,-35301000.0,-342000.0,49114238.431,0.0,0.0
2017-03-14,45656738.431,66000.0,3523500.0,-35235000.0,66000.0,49180238.431,0.0,0.0
2017-03-15,45636938.431,-18000.0,3525300.0,-35253000.0,-18000.0,49162238.431,0.0,0.0
2017-03-16,45409238.431,-207000.0,3546000.0,-35460000.0,-207000.0,48955238.431,0.0,0.0
2017-03-17,45887738.431,435000.0,3502500.0,-35025000.0,435000.0,49390238.431,0.0,0.0
2017-03-20,45801938.431,-78000.0,3510300.0,-35103000.0,-78000.0,49312238.431,0.0,0.0
2017-03-21,45702938.431,-90000.0,3519300.0,-35193000.0,-90000.0,49222238.431,0.0,0.0
2017-03-22,45940538.431,216000.0,3497700.0,-34977000.0,216000.0,49438238.431,0.0,0.0
2017-03-23,45825038.431,-105000.0,3508200.0,-35082000.0,-105000.0,49333238.431,0.0,0.0
2017-03-24,45396038.431,-390000.0,3547200.0,-35472000.0,-390000.0,48943238.431,0.0,0.0
2017-03-27,45531338.431,123000.0,3534900.0,-35349000.0,123000.0,49066238.431,0.0,0.0
2017-03-28,45597338.431,60000.0,3528900.0,-35289000.0,60000.0,49126238.431,0.0,0.0
2017-03-29,45534638.431,-57000.0,3534600.0,-35346000.0,-57000.0,49069238.431,0.0,0.0
2017-03-30,45726038.431,174000.0,3517200.0,-35172000.0,174000.0,49243238.431,0.0,0.0
