date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,46533239.666,15323954.0,1.0,99790693.666,0.997907,100000000.0
2017-01-04,46292339.666,15542892.0,0.998,100009631.666,1.000096,100000000.0
2017-01-05,46305539.666,15442670.0,1.0,99909409.666,0.999094,100000000.0
2017-01-06,46454039.666,15370803.0,0.999,99837542.666,0.998375,100000000.0
2017-01-09,46328951.758,15404195.92,0.998,99884447.678,0.998844,100000000.0
2017-01-10,46408151.758,15324932.26,0.999,99805184.018,0.998052,100000000.0
2017-01-11,46553351.758,15179159.7,0.998,99659411.458,0.996594,100000000.0
2017-01-12,46682051.758,15220733.78,0.997,99700985.538,0.99701,100000000.0
2017-01-13,46447751.758,15403033.62,0.997,99883285.378,0.998833,100000000.0
2017-01-16,46089174.446,15543461.06,0.999,99998435.506,0.999984,100000000.0
2017-01-17,46082574.446,15467717.36,1.0,99922691.806,0.999227,100000000.0
2017-01-18,45762474.446,15500021.81,0.999,99954996.256,0.99955,100000000.0
2017-01-19,46006674.446,15509989.13,1.0,99964963.576,0.99965,100000000.0
2017-01-20,45683274.446,15504373.11,1.0,99959347.556,0.999593,100000000.0
2017-01-23,45702092.394,15635025.39,1.0,100059317.784,1.000593,100000000.0
2017-01-24,45629492.394,15679781.47,1.001,100104073.864,1.001041,100000000.0
2017-01-25,45504092.394,15804601.34,1.001,100228893.734,1.002289,100000000.0
2017-01-26,45401792.394,15861840.74,1.002,100286133.134,1.002861,100000000.0
2017-02-03,45939044.476,15686707.95,1.003,100268752.426,1.002688,100000000.0
2017-02-06,45822028.88,15882985.65,1.003,100344714.53,1.003447,100000000.0
2017-02-07,45954028.88,15943394.79,1.003,100405123.67,1.004051,100000000.0
2017-02-08,45785728.88,15980269.71,1.004,100441998.59,1.00442,100000000.0
2017-02-09,45666928.88,16120406.45,1.004,100582135.33,1.005821,100000000.0
2017-02-10,45472228.88,16210796.66,1.006,100672525.54,1.006725,100000000.0
2017-02-13,45775164.318,16092775.85,1.007,101002640.168,1.010026,100000000.0
2017-02-14,45887364.318,16137521.89,1.01,101047386.208,1.010474,100000000.0
2017-02-15,45900564.318,16035779.89,1.01,100945644.208,1.009456,100000000.0
2017-02-16,45834564.318,16088568.62,1.009,100998432.938,1.009984,100000000.0
2017-02-17,46049064.318,15994994.63,1.01,100904858.948,1.009049,100000000.0
2017-02-20,44947048.662,16781752.5,1.009,101216601.162,1.012166,100000000.0
2017-02-21,45022948.662,16957583.7,1.012,101392432.362,1.013924,100000000.0
2017-02-22,44973448.662,16894127.18,1.014,101328975.842,1.01329,100000000.0
2017-02-23,45151648.662,16797442.73,1.013,101232291.392,1.012323,100000000.0
2017-02-24,45128548.662,16719411.65,1.012,101154260.312,1.011543,100000000.0
2017-02-27,46132734.541,15800119.72,1.012,100968554.261,1.009686,100000000.0
2017-02-28,46192134.541,16000345.37,1.01,101168779.911,1.011688,100000000.0
2017-03-01,46162434.541,16055603.75,1.012,101224038.291,1.01224,100000000.0
