FUTURE,50000000.0
STOCK,50000000.0
alpha,0.002
annualized_returns,0.047
benchmark_annualized_returns,0.106
benchmark_total_returns,0.339
beta,0.211
cash,34395137.684
downside_risk,0.105
end_date,2019-12-31
information_ratio,-0.487
max_drawdown,0.064
run_type,BACKTEST
sharpe,0.474
sortino,0.013
start_date,2017-01-03
strategy_file,../utils/hedging_backtest.py
strategy_name,hedging_backtest
total_returns,0.141
total_value,114105361.973
tracking_error,0.145
unit_net_value,1.141
units,100000000.0
volatility,0.046
