date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,24770848.613,-12898691.0,1.0,99733357.613,0.997334,100000000.0
2017-01-04,23494048.613,-13107034.0,0.997,99525014.613,0.99525,100000000.0
2017-01-05,23606048.613,-13020621.0,0.995,99611427.613,0.996114,100000000.0
2017-01-06,23886048.613,-12815055.0,0.996,99816993.613,0.99817,100000000.0
2017-01-09,24006844.262,-13167559.94,0.998,100072484.322,1.000725,100000000.0
2017-01-10,24415644.262,-13160346.46,1.001,100079697.802,1.000797,100000000.0
2017-01-11,25073644.262,-13044597.23,1.001,100195447.032,1.001954,100000000.0
2017-01-12,25902444.262,-12890277.78,1.002,100349766.482,1.003498,100000000.0
2017-01-13,26742444.262,-13134616.84,1.003,100105427.422,1.001054,100000000.0
2017-01-16,28529233.363,-12118248.84,1.001,100570584.523,1.005706,100000000.0
2017-01-17,27778833.363,-11956438.72,1.006,100732394.643,1.007324,100000000.0
2017-01-18,27655633.363,-12152963.02,1.007,100535870.343,1.005359,100000000.0
2017-01-19,28758833.363,-11387862.01,1.005,101300971.353,1.01301,100000000.0
2017-01-20,27529633.363,-11550061.14,1.013,101138772.223,1.011388,100000000.0
2017-01-23,27318081.267,-11788104.77,1.011,101128776.497,1.011288,100000000.0
2017-01-24,27194881.267,-11729145.0,1.011,101187736.267,1.011877,100000000.0
2017-01-25,26746881.267,-11953015.45,1.012,100963865.817,1.009639,100000000.0
2017-01-26,26273681.267,-12115802.71,1.01,100801078.557,1.008011,100000000.0
2017-02-03,26488495.367,-11770871.17,1.008,101027624.197,1.010276,100000000.0
2017-02-06,25846385.583,-11558182.41,1.01,101082603.173,1.010826,100000000.0
2017-02-07,26017185.583,-11554434.14,1.011,101086351.443,1.010864,100000000.0
2017-02-08,25188385.583,-11864330.32,1.011,100776455.263,1.007765,100000000.0
2017-02-09,24653585.583,-11764776.8,1.008,100876008.783,1.00876,100000000.0
2017-02-10,24521985.583,-11645334.77,1.009,100995450.813,1.009955,100000000.0
2017-02-13,24213882.465,-12034578.21,1.01,100802104.255,1.008021,100000000.0
2017-02-14,25294682.465,-11306340.45,1.008,101530342.015,1.015303,100000000.0
2017-02-15,26033882.465,-11249944.33,1.015,101586738.135,1.015867,100000000.0
2017-02-16,25191082.465,-11247797.66,1.016,101588884.805,1.015889,100000000.0
2017-02-17,25854682.465,-11060601.0,1.016,101776081.465,1.017761,100000000.0
2017-02-20,25635778.629,-12272990.55,1.018,101755988.079,1.01756,100000000.0
2017-02-21,25254978.629,-12348987.95,1.018,101679990.679,1.0168,100000000.0
2017-02-22,24574578.629,-12487184.12,1.017,101541794.509,1.015418,100000000.0
2017-02-23,24462578.629,-12743255.49,1.015,101285723.139,1.012857,100000000.0
2017-02-24,24280578.629,-12814612.72,1.013,101214365.909,1.012144,100000000.0
2017-02-27,23899379.509,-11472507.33,1.012,101298872.179,1.012989,100000000.0
2017-02-28,23501779.509,-11463892.18,1.013,101307487.329,1.013075,100000000.0
2017-03-01,23202179.509,-11261962.06,1.013,101509417.449,1.015094,100000000.0
2017-03-02,23311379.509,-11158468.64,1.015,101612910.869,1.016129,100000000.0
2017-03-03,23269379.509,-11125328.4,1.016,101646051.109,1.016461,100000000.0
2017-03-06,24314319.16,-13257792.27,1.016,101493726.89,1.014937,100000000.0
2017-03-07,24241519.16,-13195083.52,1.015,101556435.64,1.015564,100000000.0
2017-03-08,24457119.16,-13095315.57,1.016,101656203.59,1.016562,100000000.0
2017-03-09,25280319.16,-12951394.25,1.017,101800124.91,1.018001,100000000.0
2017-03-10,25005919.16,-12903523.69,1.018,101847995.47,1.01848,100000000.0
2017-03-13,21847253.416,-10841121.26,1.018,101790532.156,1.017905,100000000.0
2017-03-14,22051653.416,-11003863.14,1.018,101627790.276,1.016278,100000000.0
2017-03-15,22102053.416,-10790637.01,1.016,101841016.406,1.01841,100000000.0
2017-03-16,22060053.416,-10453667.73,1.018,102177985.686,1.02178,100000000.0
2017-03-17,22891653.416,-10611182.74,1.022,102020470.676,1.020205,100000000.0
2017-03-20,25273683.821,-13014905.65,1.02,102236778.171,1.022368,100000000.0
2017-03-21,25021683.821,-12880726.2,1.022,102370957.621,1.02371,100000000.0
2017-03-22,25248483.821,-12657486.09,1.024,102594197.731,1.025942,100000000.0
2017-03-23,24951683.821,-12559503.79,1.026,102692180.031,1.026922,100000000.0
2017-03-24,23862483.821,-13116611.64,1.027,102135072.181,1.021351,100000000.0
2017-03-27,22385648.23,-10914624.51,1.021,102199423.72,1.021994,100000000.0
2017-03-28,22573248.23,-10736588.36,1.022,102377459.87,1.023775,100000000.0
2017-03-29,22903648.23,-10692236.79,1.024,102421811.44,1.024218,100000000.0
2017-03-30,23984448.23,-10749867.5,1.024,102364180.73,1.023642,100000000.0
2017-03-31,23791248.23,-10329874.52,1.024,102784173.71,1.027842,100000000.0
2017-04-05,21168392.143,-10196130.01,1.028,102512662.133,1.025127,100000000.0
2017-04-06,21204792.143,-9937638.17,1.025,102771153.973,1.027712,100000000.0
2017-04-07,20924792.143,-9948301.01,1.028,102760491.133,1.027605,100000000.0
2017-04-10,21600446.486,-10179778.49,1.028,103064667.996,1.030647,100000000.0
2017-04-11,20813646.486,-10502845.36,1.031,102741601.126,1.027416,100000000.0
2017-04-12,21463246.486,-10513586.6,1.027,102730859.886,1.027309,100000000.0
2017-04-13,20704446.486,-10371184.86,1.027,102873261.626,1.028733,100000000.0
2017-04-14,21981246.486,-10277649.32,1.029,102966797.166,1.029668,100000000.0
2017-04-17,22735877.569,-9813120.44,1.03,103127557.129,1.031276,100000000.0
2017-04-18,23029877.569,-9610041.09,1.031,103330636.479,1.033306,100000000.0
2017-04-19,24088277.569,-9104995.5,1.033,103835682.069,1.038357,100000000.0
2017-04-20,24071477.569,-8957652.86,1.038,103983024.709,1.03983,100000000.0
2017-04-21,25297877.569,-8360435.23,1.04,104580242.339,1.045802,100000000.0
2017-04-24,27348230.719,-8602981.2,1.046,104262849.519,1.042628,100000000.0
2017-04-25,27073830.719,-8582422.87,1.043,104283407.849,1.042834,100000000.0
2017-04-26,26877830.719,-8453629.06,1.043,104412201.659,1.044122,100000000.0
2017-04-27,26625830.719,-8548426.75,1.044,104317403.969,1.043174,100000000.0
2017-04-28,26340230.719,-8907086.66,1.043,103958744.059,1.039587,100000000.0
2017-05-02,26565292.812,-9007646.94,1.04,104021645.872,1.040216,100000000.0
2017-05-03,26842492.812,-8821572.74,1.04,104207720.072,1.042077,100000000.0
2017-05-04,27298892.812,-8612585.61,1.042,104416707.202,1.044167,100000000.0
2017-05-05,28220092.812,-8795840.04,1.044,104233452.772,1.042335,100000000.0
2017-05-08,29315190.369,-8445019.88,1.042,104186970.489,1.04187,100000000.0
2017-05-09,28813990.369,-8419390.86,1.042,104212599.509,1.042126,100000000.0
2017-05-10,30851119.709,-7889296.67,1.042,104752623.039,1.047526,100000000.0
2017-05-11,31061119.709,-7659699.75,1.048,104982219.959,1.049822,100000000.0
2017-05-12,31123764.793,-7761019.72,1.05,104943545.073,1.049435,100000000.0
2017-05-15,30355852.867,-7786311.98,1.049,104844740.887,1.048447,100000000.0
2017-05-16,28493852.867,-7956038.01,1.048,104675014.857,1.04675,100000000.0
2017-05-17,28888652.867,-7713740.54,1.047,104917312.327,1.049173,100000000.0
2017-05-18,29784362.467,-7565638.32,1.049,105098724.147,1.050987,100000000.0
2017-05-19,29899312.917,-7697749.06,1.051,104991963.857,1.04992,100000000.0
2017-05-22,31075260.184,-7481167.95,1.05,105194492.234,1.051945,100000000.0
2017-05-23,32651660.184,-7084199.74,1.052,105591460.444,1.055915,100000000.0
2017-05-24,32072861.284,-7329720.46,1.056,105369140.824,1.053691,100000000.0
2017-05-25,31350461.284,-7416320.83,1.054,105282540.454,1.052825,100000000.0
2017-05-26,31337687.822,-7495233.16,1.053,105246854.662,1.052469,100000000.0
2017-05-31,31814636.441,-6686285.01,1.052,105944751.431,1.059448,100000000.0
2017-06-01,33300922.841,-6469615.49,1.059,106169307.351,1.061693,100000000.0
2017-06-02,32094122.841,-6956338.63,1.062,105682584.211,1.056826,100000000.0
2017-06-05,31781089.661,-6722137.47,1.057,105908952.191,1.05909,100000000.0
2017-06-06,31351381.061,-6805177.59,1.059,105847003.471,1.05847,100000000.0
2017-06-07,29324181.061,-7343405.28,1.058,105308775.781,1.053088,100000000.0
2017-06-08,29492247.661,-6920133.99,1.053,105732113.671,1.057321,100000000.0
2017-06-09,29150647.661,-6975738.99,1.057,105676508.671,1.056765,100000000.0
2017-06-12,30280234.65,-6599058.11,1.057,106031976.54,1.06032,100000000.0
2017-06-13,29262196.29,-6589833.86,1.06,106047962.43,1.06048,100000000.0
2017-06-14,29346002.49,-6850991.37,1.06,105887411.12,1.058874,100000000.0
2017-06-15,29239602.49,-6687400.16,1.059,106051002.33,1.06051,100000000.0
2017-06-16,29332002.49,-6718816.14,1.061,106019586.35,1.060196,100000000.0
2017-06-19,28553703.385,-6503027.41,1.06,106134675.975,1.061347,100000000.0
2017-06-20,28226103.385,-6603609.53,1.061,106034093.855,1.060341,100000000.0
2017-06-21,28161703.385,-6097772.22,1.06,106539931.165,1.065399,100000000.0
