date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,1005.16,0.0,49859309.0,49860314.16,39967.222
2017-01-04,1005.16,0.0,50562966.0,50563971.16,0.0
2017-01-05,1005.16,0.0,50569379.0,50570384.16,0.0
2017-01-06,1005.16,0.0,50574945.0,50575950.16,0.0
2017-01-09,609000.809,0.0,50570440.06,51179440.869,1592.103
2017-01-10,609000.809,0.0,50285653.54,50894654.349,0.0
2017-01-11,609000.809,0.0,49931402.77,50540403.579,0.0
2017-01-12,609000.809,0.0,49493722.22,50102723.029,0.0
2017-01-13,609000.809,0.0,48649383.16,49258383.969,0.0
2017-01-16,57789.91,0.0,47995751.16,48053541.07,1269.867
2017-01-17,57789.91,0.0,48693561.28,48751351.19,0.0
2017-01-18,57789.91,0.0,48585036.98,48642826.89,0.0
2017-01-19,57789.91,0.0,48562137.99,48619927.9,0.0
2017-01-20,57789.91,0.0,49277938.86,49335728.77,0.0
2017-01-23,285837.814,0.0,49353895.23,49639733.044,2203.697
2017-01-24,285837.814,0.0,49500855.0,49786692.814,0.0
2017-01-25,285837.814,0.0,49596984.55,49882822.364,0.0
2017-01-26,285837.814,0.0,49772197.29,50058035.104,0.0
2017-02-03,167451.914,0.0,49879128.83,50046580.744,1959.054
2017-02-06,9742.13,0.0,50437817.59,50447559.72,1106.677
2017-02-07,9742.13,0.0,50319565.86,50329307.99,0.0
2017-02-08,9742.13,0.0,50601669.68,50611411.81,0.0
2017-02-09,9742.13,0.0,51083223.2,51092965.33,0.0
2017-02-10,9742.13,0.0,51296665.23,51306407.36,0.0
2017-02-13,205639.012,0.0,51267421.79,51473060.802,2164.258
2017-02-14,205639.012,0.0,51223659.55,51429298.562,0.0
2017-02-15,205639.012,0.0,50752055.67,50957694.682,0.0
2017-02-16,205639.012,0.0,51356202.34,51561841.352,0.0
2017-02-17,205639.012,0.0,51069399.0,51275038.012,0.0
2017-02-20,1397935.176,0.0,50865009.45,52262944.626,4132.537
2017-02-21,1397935.176,0.0,51061012.05,52458947.226,0.0
2017-02-22,1397935.176,0.0,51408815.88,52806751.056,0.0
2017-02-23,1397935.176,0.0,51232744.51,52630679.686,0.0
2017-02-24,1397935.176,0.0,51291387.28,52689322.456,0.0
2017-02-27,140336.056,0.0,52007492.67,52147828.726,1723.492
2017-02-28,140336.056,0.0,52300107.82,52440443.876,0.0
2017-03-01,140336.056,0.0,52716037.94,52856373.996,0.0
2017-03-02,140336.056,0.0,52741531.36,52881867.416,0.0
2017-03-03,140336.056,0.0,52804671.6,52945007.656,0.0
2017-03-06,2120475.707,0.0,51340207.73,53460683.437,7345.769
2017-03-07,2120475.707,0.0,51454916.48,53575392.187,0.0
2017-03-08,2120475.707,0.0,51400684.43,53521160.137,0.0
2017-03-09,2120475.707,0.0,50956605.75,53077081.457,0.0
2017-03-10,2120475.707,0.0,51200476.31,53320952.017,0.0
2017-03-13,609.963,0.0,54004878.74,54005488.703,4864.331
2017-03-14,609.963,0.0,53696136.86,53696746.823,0.0
2017-03-15,609.963,0.0,53873362.99,53873972.953,0.0
2017-03-16,609.963,0.0,54240332.27,54240942.233,0.0
2017-03-17,609.963,0.0,53488817.26,53489427.223,0.0
2017-03-20,2620640.368,0.0,51255094.35,53875734.718,7870.105
2017-03-21,2620640.368,0.0,51569273.8,54189914.168,0.0
2017-03-22,2620640.368,0.0,51630513.91,54251154.278,0.0
2017-03-23,2620640.368,0.0,51940496.21,54561136.578,0.0
2017-03-24,2620640.368,0.0,52161388.36,54782028.728,0.0
2017-03-27,483004.778,0.0,53891375.49,54374380.268,5459.159
2017-03-28,483004.778,0.0,53935411.64,54418416.418,0.0
2017-03-29,483004.778,0.0,53743763.21,54226767.988,0.0
2017-03-30,483004.778,0.0,52914132.5,53397137.278,0.0
2017-03-31,483004.778,0.0,53472125.48,53955130.258,0.0
2017-04-05,77748.69,0.0,55189869.99,55267618.68,3773.854
2017-04-06,77748.69,0.0,55422361.83,55500110.52,0.0
2017-04-07,77748.69,0.0,55611698.99,55689447.68,0.0
2017-04-10,613403.033,0.0,55280221.51,55893624.543,10075.503
2017-04-11,613403.033,0.0,55519154.64,56132557.673,0.0
2017-04-12,613403.033,0.0,55044413.4,55657816.433,0.0
2017-04-13,613403.033,0.0,55728815.14,56342218.173,0.0
2017-04-14,613403.033,0.0,54910350.68,55523753.713,0.0
2017-04-17,309634.117,0.0,54618879.56,54928513.677,4601.631
2017-04-18,309634.117,0.0,54611958.91,54921593.027,0.0
2017-04-19,309634.117,0.0,54361004.5,54670638.617,0.0
2017-04-20,309634.117,0.0,54520347.14,54829981.257,0.0
2017-04-21,309634.117,0.0,54241564.77,54551198.887,0.0
2017-04-24,234787.266,0.0,52481018.8,52715806.066,3958.026
2017-04-25,234787.266,0.0,52697577.13,52932364.396,0.0
2017-04-26,234787.266,0.0,52966370.94,53201158.206,0.0
2017-04-27,234787.266,0.0,53051573.25,53286360.516,0.0
2017-04-28,234787.266,0.0,52896913.34,53131700.606,0.0
2017-05-02,398249.359,0.0,52752353.06,53150602.419,3830.815
2017-05-03,398249.359,0.0,52740427.26,53138676.619,0.0
2017-05-04,398249.359,0.0,52623414.39,53021663.749,0.0
2017-05-05,398249.359,0.0,51782159.96,52180409.319,0.0
2017-05-08,946.916,0.0,51066980.12,51067927.036,8125.487
2017-05-09,946.916,0.0,51450609.14,51451556.056,0.0
2017-05-10,10876.256,0.0,50532703.33,50543579.586,0.0
2017-05-11,10876.256,0.0,50612300.25,50623176.506,0.0
2017-05-12,73521.34,0.0,50510980.28,50584501.62,0.0
2017-05-15,9.414,0.0,50981688.02,50981697.434,2270.462
2017-05-16,9.414,0.0,52141961.99,52141971.404,0.0
2017-05-17,9.414,0.0,52102259.46,52102268.874,0.0
2017-05-18,33319.014,0.0,51634361.68,51667680.694,0.0
2017-05-19,58669.464,0.0,51438250.94,51496920.404,0.0
2017-05-22,44616.731,0.0,50804832.05,50849448.781,1346.819
2017-05-23,44616.731,0.0,50075800.26,50120416.991,0.0
2017-05-24,67817.831,0.0,50260279.54,50328097.371,0.0
2017-05-25,67817.831,0.0,50689679.17,50757497.001,0.0
2017-05-26,111044.369,0.0,50650766.84,50761811.209,0.0
2017-05-31,-7.012,0.0,51039714.99,51039707.978,5726.785
2017-06-01,7879.388,0.0,50200384.51,50208263.898,0.0
2017-06-02,7879.388,0.0,50575661.37,50583540.758,0.0
2017-06-05,46.208,0.0,51027862.53,51027908.738,3325.175
2017-06-06,21137.608,0.0,51266822.41,51287960.018,0.0
2017-06-07,21137.608,0.0,52176594.72,52197732.328,0.0
2017-06-08,21204.208,0.0,52479866.01,52501070.218,0.0
2017-06-09,21204.208,0.0,52668261.01,52689465.218,0.0
2017-06-12,-8.803,0.0,52222941.89,52222933.087,1973.185
2017-06-13,6752.837,0.0,52964166.14,52970918.977,0.0
2017-06-14,107359.037,0.0,52715008.63,52822367.667,0.0
2017-06-15,107359.037,0.0,52954599.84,53061958.877,0.0
2017-06-16,107359.037,0.0,52857183.86,52964542.897,0.0
2017-06-19,6659.932,0.0,53556972.59,53563632.522,1632.841
2017-06-20,6659.932,0.0,53690390.47,53697050.402,0.0
2017-06-21,6659.932,0.0,54242227.78,54248887.712,0.0
2017-06-22,40499.632,0.0,53554972.52,53595472.152,0.0
2017-06-23,49115.572,0.0,54113182.27,54162297.842,0.0
2017-06-26,-10.932,0.0,55338856.01,55338845.078,2231.594
2017-06-27,2974.068,0.0,55604906.98,55607881.048,0.0
2017-06-28,2974.068,0.0,55230639.44,55233613.508,0.0
2017-06-29,2974.068,0.0,55739607.61,55742581.678,0.0
2017-06-30,10779.968,0.0,55896418.67,55907198.638,0.0
2017-07-03,327.439,0.0,55903352.15,55903679.589,3350.668
2017-07-04,2226.049,0.0,56104807.22,56107033.269,0.0
2017-07-05,2226.049,0.0,56684893.33,56687119.379,0.0
2017-07-06,2226.049,0.0,56729607.08,56731833.129,0.0
2017-07-07,2226.049,0.0,57059303.52,57061529.569,0.0
2017-07-10,2114199.539,0.0,54899535.04,57013734.579,6458.657
2017-07-11,2114199.539,0.0,54397144.6,56511344.139,0.0
2017-07-12,2116470.589,0.0,54357519.15,56473989.739,0.0
2017-07-13,2116470.589,0.0,54642379.72,56758850.309,0.0
