date,cash,daily_pnl,margin,market_value,position_pnl,total_value,trading_pnl,transaction_cost
2017-01-03,42415574.825,-100925.175,7483500.0,-49890000.0,0.0,49899074.825,-99780.0,1145.175
2017-01-04,41856674.825,-486000.0,7556400.0,-50376000.0,-486000.0,49413074.825,0.0,0.0
2017-01-05,41987774.825,114000.0,7539300.0,-50262000.0,114000.0,49527074.825,0.0,0.0
2017-01-06,42236174.825,216000.0,7506900.0,-50046000.0,216000.0,49743074.825,0.0,0.0
2017-01-09,41967074.825,-234000.0,7542000.0,-50280000.0,-234000.0,49509074.825,0.0,0.0
2017-01-10,42111974.825,126000.0,7523100.0,-50154000.0,126000.0,49635074.825,0.0,0.0
2017-01-11,42467324.825,309000.0,7476750.0,-49845000.0,309000.0,49944074.825,0.0,0.0
2017-01-12,42864074.825,345000.0,7425000.0,-49500000.0,345000.0,50289074.825,0.0,0.0
2017-01-13,42705374.825,-138000.0,7445700.0,-49638000.0,-138000.0,50151074.825,0.0,0.0
2017-01-16,42843374.825,120000.0,7427700.0,-49518000.0,120000.0,50271074.825,0.0,0.0
2017-01-17,42598424.825,-213000.0,7459650.0,-49731000.0,-213000.0,50058074.825,0.0,0.0
2017-01-18,42087824.825,-444000.0,7526250.0,-50175000.0,-444000.0,49614074.825,0.0,0.0
2017-01-19,42481124.825,342000.0,7474950.0,-49833000.0,342000.0,49956074.825,0.0,0.0
2017-01-20,41949824.825,-462000.0,7544250.0,-50295000.0,-462000.0,49494074.825,0.0,0.0
2017-01-23,41967074.825,15000.0,7542000.0,-50280000.0,15000.0,49509074.825,0.0,0.0
2017-01-24,41942924.825,-21000.0,7545150.0,-50301000.0,-21000.0,49488074.825,0.0,0.0
2017-01-25,41670374.825,-237000.0,7580700.0,-50538000.0,-237000.0,49251074.825,0.0,0.0
2017-01-26,41525474.825,-126000.0,7599600.0,-50664000.0,-126000.0,49125074.825,0.0,0.0
2017-02-03,41880824.825,309000.0,7553250.0,-50355000.0,309000.0,49434074.825,0.0,0.0
2017-02-06,41932574.825,45000.0,7546500.0,-50310000.0,45000.0,49479074.825,0.0,0.0
2017-02-07,42018824.825,75000.0,7535250.0,-50235000.0,75000.0,49554074.825,0.0,0.0
2017-02-08,41666924.825,-306000.0,7581150.0,-50541000.0,-306000.0,49248074.825,0.0,0.0
2017-02-09,41473724.825,-168000.0,7606350.0,-50709000.0,-168000.0,49080074.825,0.0,0.0
2017-02-10,41104574.825,-321000.0,7654500.0,-51030000.0,-321000.0,48759074.825,0.0,0.0
2017-02-13,40811324.825,-255000.0,7692750.0,-51285000.0,-255000.0,48504074.825,0.0,0.0
2017-02-14,41094224.825,246000.0,7655850.0,-51039000.0,246000.0,48750074.825,0.0,0.0
2017-02-15,41311574.825,189000.0,7627500.0,-50850000.0,189000.0,48939074.825,0.0,0.0
2017-02-16,40935524.825,-327000.0,7676550.0,-51177000.0,-327000.0,48612074.825,0.0,0.0
2017-02-17,41270174.825,291000.0,7632900.0,-50886000.0,291000.0,48903074.825,0.0,0.0
2017-02-20,40059224.825,-1053000.0,7790850.0,-51939000.0,-1053000.0,47850074.825,0.0,0.0
2017-02-21,40117874.825,51000.0,7783200.0,-51888000.0,51000.0,47901074.825,0.0,0.0
2017-02-22,39983324.825,-117000.0,7800750.0,-52005000.0,-117000.0,47784074.825,0.0,0.0
2017-02-23,40214474.825,201000.0,7770600.0,-51804000.0,201000.0,47985074.825,0.0,0.0
2017-02-24,40224824.825,9000.0,7769250.0,-51795000.0,9000.0,47994074.825,0.0,0.0
2017-02-27,40680224.825,396000.0,7709850.0,-51399000.0,396000.0,48390074.825,0.0,0.0
2017-02-28,40631924.825,-42000.0,7716150.0,-51441000.0,-42000.0,48348074.825,0.0,0.0
2017-03-01,40531874.825,-87000.0,7729200.0,-51528000.0,-87000.0,48261074.825,0.0,0.0
2017-03-02,40828574.825,258000.0,7690500.0,-51270000.0,258000.0,48519074.825,0.0,0.0
2017-03-03,41052824.825,195000.0,7661250.0,-51075000.0,195000.0,48714074.825,0.0,0.0
2017-03-06,40759574.825,-255000.0,7699500.0,-51330000.0,-255000.0,48459074.825,0.0,0.0
2017-03-07,40576724.825,-159000.0,7723350.0,-51489000.0,-159000.0,48300074.825,0.0,0.0
2017-03-08,40614674.825,33000.0,7718400.0,-51456000.0,33000.0,48333074.825,0.0,0.0
2017-03-09,41073524.825,399000.0,7658550.0,-51057000.0,399000.0,48732074.825,0.0,0.0
2017-03-10,41025224.825,-42000.0,7664850.0,-51099000.0,-42000.0,48690074.825,0.0,0.0
2017-03-13,40228274.825,-693000.0,7768800.0,-51792000.0,-693000.0,47997074.825,0.0,0.0
2017-03-14,40345574.825,102000.0,7753500.0,-51690000.0,102000.0,48099074.825,0.0,0.0
2017-03-15,40252424.825,-81000.0,7765650.0,-51771000.0,-81000.0,48018074.825,0.0,0.0
2017-03-16,40159274.825,-81000.0,7777800.0,-51852000.0,-81000.0,47937074.825,0.0,0.0
2017-03-17,41014874.825,744000.0,7666200.0,-51108000.0,744000.0,48681074.825,0.0,0.0
2017-03-20,40835474.825,-156000.0,7689600.0,-51264000.0,-156000.0,48525074.825,0.0,0.0
2017-03-21,40535324.825,-261000.0,7728750.0,-51525000.0,-261000.0,48264074.825,0.0,0.0
2017-03-22,40769924.825,204000.0,7698150.0,-51321000.0,204000.0,48468074.825,0.0,0.0
2017-03-23,40556024.825,-186000.0,7726050.0,-51507000.0,-186000.0,48282074.825,0.0,0.0
2017-03-24,39700424.825,-744000.0,7837650.0,-52251000.0,-744000.0,47538074.825,0.0,0.0
2017-03-27,40086824.825,336000.0,7787250.0,-51915000.0,336000.0,47874074.825,0.0,0.0
2017-03-28,40138574.825,45000.0,7780500.0,-51870000.0,45000.0,47919074.825,0.0,0.0
2017-03-29,40162724.825,21000.0,7777350.0,-51849000.0,21000.0,47940074.825,0.0,0.0
2017-03-30,40593974.825,375000.0,7721100.0,-51474000.0,375000.0,48315074.825,0.0,0.0
2017-03-31,40269674.825,-282000.0,7763400.0,-51756000.0,-282000.0,48033074.825,0.0,0.0
2017-04-05,39289874.825,-852000.0,7891200.0,-52608000.0,-852000.0,47181074.825,0.0,0.0
2017-04-06,39345074.825,48000.0,7884000.0,-52560000.0,48000.0,47229074.825,0.0,0.0
2017-04-07,39231224.825,-99000.0,7898850.0,-52659000.0,-99000.0,47130074.825,0.0,0.0
2017-04-10,39386474.825,135000.0,7878600.0,-52524000.0,135000.0,47265074.825,0.0,0.0
2017-04-11,39327824.825,-51000.0,7886250.0,-52575000.0,-51000.0,47214074.825,0.0,0.0
2017-04-12,39483074.825,135000.0,7866000.0,-52440000.0,135000.0,47349074.825,0.0,0.0
2017-04-13,39265724.825,-189000.0,7894350.0,-52629000.0,-189000.0,47160074.825,0.0,0.0
2017-04-14,39810824.825,474000.0,7823250.0,-52155000.0,474000.0,47634074.825,0.0,0.0
2017-04-17,39890174.825,69000.0,7812900.0,-52086000.0,69000.0,47703074.825,0.0,0.0
2017-04-18,40059224.825,147000.0,7790850.0,-51939000.0,147000.0,47850074.825,0.0,0.0
2017-04-19,40449074.825,339000.0,7740000.0,-51600000.0,339000.0,48189074.825,0.0,0.0
2017-04-20,40421474.825,-24000.0,7743600.0,-51624000.0,-24000.0,48165074.825,0.0,0.0
2017-04-21,40428374.825,6000.0,7742700.0,-51618000.0,6000.0,48171074.825,0.0,0.0
2017-04-24,40997624.825,495000.0,7668450.0,-51123000.0,495000.0,48666074.825,0.0,0.0
2017-04-25,40749224.825,-216000.0,7700850.0,-51339000.0,-216000.0,48450074.825,0.0,0.0
2017-04-26,40659524.825,-78000.0,7712550.0,-51417000.0,-78000.0,48372074.825,0.0,0.0
2017-04-27,40676774.825,15000.0,7710300.0,-51402000.0,15000.0,48387074.825,0.0,0.0
