date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,42975575.692,-588125.0,1.0,99760950.692,0.99761,100000000.0
2017-01-04,42416675.692,-634453.0,0.998,99714622.692,0.997146,100000000.0
2017-01-05,42547775.692,-635798.0,0.997,99713277.692,0.997133,100000000.0
2017-01-06,42796175.692,-746635.0,0.997,99602440.692,0.996024,100000000.0
2017-01-09,42088302.281,-437047.0,0.996,99473255.281,0.994733,100000000.0
2017-01-10,42233202.281,-292773.0,0.995,99617529.281,0.996175,100000000.0
2017-01-11,42588552.281,-325926.0,0.996,99584376.281,0.995844,100000000.0
2017-01-12,42985302.281,-193877.0,0.996,99716425.281,0.997164,100000000.0
2017-01-13,42826602.281,-180260.0,0.997,99730042.281,0.9973,100000000.0
2017-01-16,42932243.953,10174.0,0.997,99888117.953,0.998881,100000000.0
2017-01-17,42687293.953,-92108.0,0.999,99785835.953,0.997858,100000000.0
2017-01-18,42176693.953,-177692.0,0.998,99700251.953,0.997003,100000000.0
2017-01-19,42569993.953,49976.0,0.997,99927919.953,0.999279,100000000.0
2017-01-20,42038693.953,6291.0,0.999,99884234.953,0.998842,100000000.0
2017-01-23,41967351.401,240466.0,0.999,100029817.401,1.000298,100000000.0
2017-01-24,41943201.401,438268.0,1.0,100227619.401,1.002276,100000000.0
2017-01-25,41670651.401,382675.0,1.002,100172026.401,1.00172,100000000.0
2017-01-26,41525751.401,448652.0,1.002,100238003.401,1.00238,100000000.0
2017-02-03,41881101.401,527025.0,1.002,100316376.401,1.003164,100000000.0
2017-02-06,41932851.401,710404.0,1.003,100499755.401,1.004998,100000000.0
2017-02-07,42019101.401,706815.0,1.005,100496166.401,1.004962,100000000.0
2017-02-08,41667201.401,614205.0,1.005,100403556.401,1.004036,100000000.0
2017-02-09,41474001.401,714439.0,1.004,100503790.401,1.005038,100000000.0
2017-02-10,41104851.401,638280.0,1.005,100427631.401,1.004276,100000000.0
2017-02-13,40811601.401,809337.0,1.004,100598688.401,1.005987,100000000.0
2017-02-14,41094501.401,982240.0,1.006,100771591.401,1.007716,100000000.0
2017-02-15,41311851.401,916073.0,1.008,100705424.401,1.007054,100000000.0
2017-02-16,40935801.401,829840.0,1.007,100619191.401,1.006192,100000000.0
2017-02-17,41270451.401,912191.0,1.006,100701542.401,1.007015,100000000.0
2017-02-20,40059501.401,800254.0,1.007,100589605.401,1.005896,100000000.0
2017-02-21,40118151.401,1081047.0,1.006,100870398.401,1.008704,100000000.0
2017-02-22,39983601.401,1227417.0,1.009,101016768.401,1.010168,100000000.0
2017-02-23,40214751.401,1186355.0,1.01,100975706.401,1.009757,100000000.0
2017-02-24,40225101.401,1069593.0,1.01,100858944.401,1.008589,100000000.0
2017-02-27,40680501.401,1133157.0,1.009,100922508.401,1.009225,100000000.0
2017-02-28,40632201.401,1292075.0,1.009,101081426.401,1.010814,100000000.0
2017-03-01,40532151.401,1243525.0,1.011,101032876.401,1.010329,100000000.0
2017-03-02,40828851.401,1249222.0,1.01,101038573.401,1.010386,100000000.0
2017-03-03,41053101.401,1458285.0,1.01,101247636.401,1.012476,100000000.0
2017-03-06,40759747.882,1483826.0,1.012,101273073.882,1.012731,100000000.0
2017-03-07,40576897.882,1499839.4,1.013,101289087.282,1.012891,100000000.0
2017-03-08,40614847.882,1454609.4,1.013,101243857.282,1.012439,100000000.0
2017-03-09,41073697.882,1628830.6,1.012,101418078.482,1.014181,100000000.0
2017-03-10,41025397.882,1901600.2,1.014,101690848.082,1.016908,100000000.0
2017-03-13,40228561.334,1759660.4,1.017,101549021.734,1.01549,100000000.0
2017-03-14,40345861.334,2000175.8,1.015,101789537.134,1.017895,100000000.0
2017-03-15,40252711.334,2154136.6,1.018,101943497.934,1.019435,100000000.0
2017-03-16,40159561.334,2266995.8,1.019,102056357.134,1.020564,100000000.0
2017-03-17,41015161.334,2551084.2,1.021,102340445.534,1.023404,100000000.0
2017-03-20,40835761.334,2501483.8,1.023,102290845.134,1.022908,100000000.0
2017-03-21,40535611.334,2735328.8,1.023,102524690.134,1.025247,100000000.0
2017-03-22,40770211.334,2941738.0,1.025,102731099.334,1.027311,100000000.0
2017-03-23,40556311.334,3067676.0,1.027,102857037.334,1.02857,100000000.0
2017-03-24,39700711.334,2772349.8,1.029,102561711.134,1.025617,100000000.0
