date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,560000.867,0.0,49301875.0,49861875.867,39520.383
2017-01-04,560000.867,0.0,49741547.0,50301547.867,0.0
2017-01-05,560000.867,0.0,49626202.0,50186202.867,0.0
2017-01-06,560000.867,0.0,49299365.0,49859365.867,0.0
2017-01-09,121227.456,0.0,49842953.0,49964180.456,410.435
2017-01-10,121227.456,0.0,49861227.0,49982454.456,0.0
2017-01-11,121227.456,0.0,49519074.0,49640301.456,0.0
2017-01-12,121227.456,0.0,49306123.0,49427350.456,0.0
2017-01-13,121227.456,0.0,49457740.0,49578967.456,0.0
2017-01-16,88869.128,0.0,49528174.0,49617043.128,130.0
2017-01-17,88869.128,0.0,49638892.0,49727761.128,0.0
2017-01-18,88869.128,0.0,49997308.0,50086177.128,0.0
2017-01-19,88869.128,0.0,49882976.0,49971845.128,0.0
2017-01-20,88869.128,0.0,50301291.0,50390160.128,0.0
2017-01-23,276.576,0.0,50520466.0,50520742.576,140.0
2017-01-24,276.576,0.0,50739268.0,50739544.576,0.0
2017-01-25,276.576,0.0,50920675.0,50920951.576,0.0
2017-01-26,276.576,0.0,51112652.0,51112928.576,0.0
2017-02-03,276.576,0.0,50882025.0,50882301.576,0.0
2017-02-06,276.576,0.0,51020404.0,51020680.576,0.0
2017-02-07,276.576,0.0,50941815.0,50942091.576,0.0
2017-02-08,276.576,0.0,51155205.0,51155481.576,0.0
2017-02-09,276.576,0.0,51423439.0,51423715.576,0.0
2017-02-10,276.576,0.0,51668280.0,51668556.576,0.0
2017-02-13,276.576,0.0,52094337.0,52094613.576,0.0
2017-02-14,276.576,0.0,52021240.0,52021516.576,0.0
2017-02-15,276.576,0.0,51766073.0,51766349.576,0.0
2017-02-16,276.576,0.0,52006840.0,52007116.576,0.0
2017-02-17,276.576,0.0,51798191.0,51798467.576,0.0
2017-02-20,276.576,0.0,52739254.0,52739530.576,0.0
2017-02-21,276.576,0.0,52969047.0,52969323.576,0.0
2017-02-22,276.576,0.0,53232417.0,53232693.576,0.0
2017-02-23,276.576,0.0,52990355.0,52990631.576,0.0
2017-02-24,276.576,0.0,52864593.0,52864869.576,0.0
2017-02-27,276.576,0.0,52532157.0,52532433.576,0.0
2017-02-28,276.576,0.0,52733075.0,52733351.576,0.0
2017-03-01,276.576,0.0,52771525.0,52771801.576,0.0
2017-03-02,276.576,0.0,52519222.0,52519498.576,0.0
2017-03-03,276.576,0.0,52533285.0,52533561.576,0.0
2017-03-06,173.057,0.0,52813826.0,52813999.057,21.259
2017-03-07,173.057,0.0,52988839.4,52989012.457,0.0
2017-03-08,173.057,0.0,52910609.4,52910782.457,0.0
2017-03-09,173.057,0.0,52685830.6,52686003.657,0.0
2017-03-10,173.057,0.0,53000600.2,53000773.257,0.0
2017-03-13,286.509,0.0,53551660.4,53551946.909,18.362
2017-03-14,286.509,0.0,53690175.8,53690462.309,0.0
2017-03-15,286.509,0.0,53925136.6,53925423.109,0.0
2017-03-16,286.509,0.0,54118995.8,54119282.309,0.0
2017-03-17,286.509,0.0,53659084.2,53659370.709,0.0
2017-03-20,286.509,0.0,53765483.8,53765770.309,0.0
2017-03-21,286.509,0.0,54260328.8,54260615.309,0.0
2017-03-22,286.509,0.0,54262738.0,54263024.509,0.0
2017-03-23,286.509,0.0,54574676.0,54574962.509,0.0
2017-03-24,286.509,0.0,55023349.8,55023636.309,0.0
2017-03-27,286.509,0.0,54773887.8,54774174.309,0.0
2017-03-28,286.509,0.0,54653998.6,54654285.109,0.0
2017-03-29,40690.509,0.0,54584554.6,54625245.109,0.0
2017-03-30,40690.509,0.0,54223221.0,54263911.509,0.0
2017-03-31,40690.509,0.0,54763907.4,54804597.909,0.0
2017-04-05,4.443,0.0,55326908.0,55326912.443,37.932
2017-04-06,4.443,0.0,55421432.0,55421436.443,0.0
2017-04-07,4.443,0.0,55451283.0,55451287.443,0.0
2017-04-10,4.443,0.0,55236367.4,55236371.843,0.0
2017-04-11,4.443,0.0,55085609.6,55085614.043,0.0
2017-04-12,4.443,0.0,55010465.2,55010469.643,0.0
2017-04-13,4.443,0.0,55290585.2,55290589.643,0.0
2017-04-14,4.443,0.0,54859291.0,54859295.443,0.0
2017-04-17,178.438,0.0,54861557.8,54861736.238,32.615
2017-04-18,178.438,0.0,55092183.6,55092362.038,0.0
2017-04-19,2518.438,0.0,55107008.8,55109527.238,0.0
2017-04-20,2518.438,0.0,55780771.7,55783290.138,0.0
2017-04-21,2518.438,0.0,55781504.4,55784022.838,0.0
2017-04-24,51.534,0.0,55429001.7,55429053.234,10.0
2017-04-25,12631.534,0.0,55848738.5,55861370.034,0.0
2017-04-26,12631.534,0.0,56182140.1,56194771.634,0.0
2017-04-27,12631.534,0.0,56170622.0,56183253.534,0.0
2017-04-28,12631.534,0.0,55807595.1,55820226.634,0.0
2017-05-02,164.866,0.0,55719442.4,55719607.266,16.818
2017-05-03,164.866,0.0,55704558.0,55704722.866,0.0
2017-05-04,164.866,0.0,55662010.9,55662175.766,0.0
2017-05-05,164.866,0.0,55502260.4,55502425.266,0.0
2017-05-08,164.866,0.0,55249536.3,55249701.166,0.0
2017-05-09,23504.866,0.0,55169591.5,55193096.366,0.0
2017-05-10,58926.866,0.0,55269444.1,55328370.966,0.0
2017-05-11,87606.866,0.0,55701184.8,55788791.666,0.0
2017-05-12,126637.866,0.0,56207201.0,56333838.866,0.0
2017-05-15,244.428,0.0,56756718.9,56756963.328,120.377
2017-05-16,26104.428,0.0,57356202.7,57382307.128,0.0
2017-05-17,26104.428,0.0,56937353.3,56963457.728,0.0
2017-05-18,38878.428,0.0,56930780.1,56969658.528,0.0
2017-05-19,42208.428,0.0,57111955.2,57154163.628,0.0
2017-05-22,161.491,0.0,57628368.0,57628529.491,37.085
2017-05-23,161.491,0.0,58180465.0,58180626.491,0.0
2017-05-24,6911.491,0.0,58057075.7,58063987.191,0.0
2017-05-25,14457.491,0.0,58601199.0,58615656.491,0.0
2017-05-26,29022.491,0.0,58505054.2,58534076.691,0.0
2017-05-31,292.735,0.0,58824361.3,58824654.035,33.382
2017-06-01,2617.735,0.0,59230797.1,59233414.835,0.0
2017-06-02,3383.335,0.0,58922860.2,58926243.535,0.0
2017-06-05,82.215,0.0,58604719.0,58604801.215,34.32
2017-06-06,5142.215,0.0,59229394.8,59234537.015,0.0
2017-06-07,30503.815,0.0,60054300.2,60084804.015,0.0
2017-06-08,33743.815,0.0,60838602.3,60872346.115,0.0
2017-06-09,38337.815,0.0,61178079.1,61216416.915,0.0
2017-06-12,88.474,0.0,61379820.8,61379909.274,3296.235
2017-06-13,8052.474,0.0,61460560.8,61468613.274,0.0
2017-06-14,125084.274,0.0,60396313.6,60521397.874,0.0
2017-06-15,130628.274,0.0,60040138.7,60170766.974,0.0
2017-06-16,217118.274,0.0,59837840.7,60054958.974,0.0
2017-06-19,46.567,0.0,60526242.0,60526288.567,178.786
2017-06-20,46.567,0.0,60416504.3,60416550.867,0.0
2017-06-21,20396.567,0.0,61571169.4,61591565.967,0.0
2017-06-22,20396.567,0.0,61530844.9,61551241.467,0.0
2017-06-23,20396.567,0.0,62446607.5,62467004.067,0.0
2017-06-26,125.87,0.0,63300285.2,63300411.07,20.277
2017-06-27,125.87,0.0,63567383.1,63567508.97,0.0
2017-06-28,125.87,0.0,62933630.7,62933756.57,0.0
2017-06-29,7259.87,0.0,63464156.1,63471415.97,0.0
2017-06-30,9089.87,0.0,63547407.1,63556496.97,0.0
2017-07-03,145.883,0.0,63055004.3,63055150.183,7.149
2017-07-04,145.883,0.0,62542411.6,62542557.483,0.0
2017-07-05,70705.883,0.0,63533888.4,63604594.283,0.0
2017-07-06,104882.683,0.0,63688891.6,63793774.283,0.0
2017-07-07,133094.853,0.0,63434652.7,63567747.553,0.0
2017-07-10,251.129,0.0,63388860.7,63389111.829,114.796
2017-07-11,154282.579,0.0,63835591.5,63989874.079,0.0
2017-07-12,159082.579,0.0,63576828.4,63735910.979,0.0
2017-07-13,262342.579,0.0,63953028.2,64215370.779,0.0
2017-07-14,431171.779,0.0,64192218.9,64623390.679,0.0
2017-07-17,212.416,0.0,64318327.2,64318539.616,356.878
2017-07-18,13700.716,0.0,64181103.7,64194804.416,0.0
2017-07-19,15551.716,0.0,65138811.5,65154363.216,0.0
2017-07-20,15551.716,0.0,65705807.4,65721359.116,0.0
2017-07-21,15551.716,0.0,65468873.2,65484424.916,0.0
2017-07-24,12.451,0.0,65904326.1,65904338.551,28.305
2017-07-25,12.451,0.0,65591957.2,65591969.651,0.0
2017-07-26,12.451,0.0,65159332.2,65159344.651,0.0
2017-07-27,12.451,0.0,65193225.9,65193238.351,0.0
2017-07-28,12.451,0.0,65780191.0,65780203.451,0.0
2017-07-31,12.451,0.0,66047879.1,66047891.551,0.0
2017-08-01,19755.651,0.0,66542153.0,66561908.651,0.0
2017-08-02,19755.651,0.0,66606603.9,66626359.551,0.0
2017-08-03,19755.651,0.0,65913836.2,65933591.851,0.0
2017-08-04,22603.651,0.0,65160194.6,65182798.251,0.0
2017-08-07,114.782,0.0,65843622.2,65843736.982,22.025
2017-08-08,114.782,0.0,65937976.7,65938091.482,0.0
2017-08-09,114.782,0.0,66290612.6,66290727.382,0.0
2017-08-10,21474.782,0.0,66285946.5,66307421.282,0.0
2017-08-11,21474.782,0.0,65383948.5,65405423.282,0.0
2017-08-14,25.91,0.0,66180870.1,66180896.01,20.1
2017-08-15,25.91,0.0,66795667.6,66795693.51,0.0
2017-08-16,25.91,0.0,66324022.3,66324048.21,0.0
2017-08-17,25.91,0.0,66323231.0,66323256.91,0.0
2017-08-18,25.91,0.0,66412568.6,66412594.51,0.0
2017-08-21,25.91,0.0,66632456.8,66632482.71,0.0
2017-08-22,25.91,0.0,66938445.6,66938471.51,0.0
2017-08-23,25.91,0.0,67152655.8,67152681.71,0.0
2017-08-24,8869.91,0.0,66936921.1,66945791.01,0.0
2017-08-25,23615.91,0.0,67926920.6,67950536.51,0.0
2017-08-28,104.223,0.0,68787357.3,68787461.523,108.467
2017-08-29,104.223,0.0,68738569.8,68738674.023,0.0
2017-08-30,104.223,0.0,68868204.2,68868308.423,0.0
2017-08-31,104.223,0.0,68617788.7,68617892.923,0.0
2017-09-01,104.223,0.0,68641322.4,68641426.623,0.0
2017-09-04,68.708,0.0,69056571.8,69056640.508,27.709
2017-09-05,68.708,0.0,69415711.1,69415779.808,0.0
2017-09-06,68.708,0.0,69381174.9,69381243.608,0.0
2017-09-07,68.708,0.0,69027926.9,69027995.608,0.0
2017-09-08,68.708,0.0,69154067.8,69154136.508,0.0
2017-09-11,68.708,0.0,69236390.5,69236459.208,0.0
2017-09-12,68.708,0.0,69537721.3,69537790.008,0.0
2017-09-13,68.708,0.0,69920591.3,69920660.008,0.0
2017-09-14,3858.708,0.0,69626431.8,69630290.508,0.0
2017-09-15,3858.708,0.0,69334094.3,69337953.008,0.0
2017-09-18,1.038,0.0,69622824.7,69622825.738,15.0
2017-09-19,1.038,0.0,69551937.3,69551938.338,0.0
2017-09-20,1.038,0.0,69893737.4,69893738.438,0.0
2017-09-21,1.038,0.0,69976923.2,69976924.238,0.0
2017-09-22,1.038,0.0,70274508.6,70274509.638,0.0
2017-09-25,1.038,0.0,70468140.2,70468141.238,0.0
2017-09-26,1.038,0.0,70503783.4,70503784.438,0.0
2017-09-27,1.038,0.0,70692198.0,70692199.038,0.0
2017-09-28,1.038,0.0,70843779.4,70843780.438,0.0
2017-09-29,1.038,0.0,71086812.7,71086813.738,0.0
2017-10-09,1.038,0.0,72004022.3,72004023.338,0.0
2017-10-10,1.038,0.0,72005843.4,72005844.438,0.0
2017-10-11,1.038,0.0,72523246.5,72523247.538,0.0
2017-10-12,1.038,0.0,72898603.9,72898604.938,0.0
2017-10-13,1.038,0.0,73046280.5,73046281.538,0.0
2017-10-16,1.038,0.0,73228553.7,73228554.738,0.0
2017-10-17,1.038,0.0,73455107.2,73455108.238,0.0
2017-10-18,1.038,0.0,74346554.5,74346555.538,0.0
2017-10-19,1.038,0.0,74648910.9,74648911.938,0.0
2017-10-20,1.038,0.0,74400519.4,74400520.438,0.0
2017-10-23,197.911,0.0,74675411.0,74675608.911,118.819
2017-10-24,197.911,0.0,75134345.6,75134543.511,0.0
2017-10-25,197.911,0.0,75647906.9,75648104.811,0.0
2017-10-26,197.911,0.0,75922509.1,75922707.011,0.0
2017-10-27,197.911,0.0,76605738.2,76605936.111,0.0
2017-10-30,197.911,0.0,76813958.5,76814156.411,0.0
2017-10-31,197.911,0.0,76894797.1,76894995.011,0.0
2017-11-01,197.911,0.0,76557084.6,76557282.511,0.0
2017-11-02,197.911,0.0,76428937.6,76429135.511,0.0
2017-11-03,197.911,0.0,76520888.5,76521086.411,0.0
2017-11-06,197.911,0.0,77961017.9,77961215.811,0.0
2017-11-07,197.911,0.0,78327679.8,78327877.711,0.0
2017-11-08,197.911,0.0,77831436.8,77831634.711,0.0
2017-11-09,197.911,0.0,78514420.1,78514618.011,0.0
2017-11-10,197.911,0.0,79794080.6,79794278.511,0.0
2017-11-13,186.508,0.0,80493704.9,80493891.408,618.31
2017-11-14,186.508,0.0,79891132.9,79891319.408,0.0
2017-11-15,186.508,0.0,79259099.8,79259286.308,0.0
2017-11-16,186.508,0.0,80489050.7,80489237.208,0.0
2017-11-17,186.508,0.0,80632125.4,80632311.908,0.0
2017-11-20,47.59,0.0,81372011.3,81372058.89,270.507
2017-11-21,47.59,0.0,82660871.5,82660919.09,0.0
2017-11-22,47.59,0.0,82229564.4,82229611.99,0.0
2017-11-23,47.59,0.0,78948566.9,78948614.49,0.0
2017-11-24,47.59,0.0,78993805.8,78993853.39,0.0
2017-11-27,125.451,0.0,77448883.3,77449008.751,1193.345
2017-11-28,125.451,0.0,78143260.66,78143386.111,0.0
2017-11-29,125.451,0.0,78110284.54,78110409.991,0.0
