FUTURE,50000000.0
STOCK,50000000.0
alpha,0.061
annualized_returns,0.101
benchmark_annualized_returns,0.076
benchmark_total_returns,0.238
beta,0.178
cash,28902173.501
downside_risk,0.107
end_date,2019-12-31
information_ratio,0.05
max_drawdown,0.066
run_type,BACKTEST
sharpe,1.442
sortino,0.043
start_date,2017-01-03
strategy_file,../utils/hedging_backtest.py
strategy_name,hedging_backtest
total_returns,0.321
total_value,132059473.529
tracking_error,0.152
unit_net_value,1.321
units,100000000.0
volatility,0.05
