date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,46503607.881,15353503.0,1.0,99790610.881,0.997906,100000000.0
2017-01-04,46262707.881,15612649.0,0.998,100049756.881,1.000498,100000000.0
2017-01-05,46275907.881,15523677.0,1.0,99960784.881,0.999608,100000000.0
2017-01-06,46424407.881,15431562.0,1.0,99868669.881,0.998687,100000000.0
2017-01-09,46365382.499,15280854.36,0.999,99797536.859,0.997975,100000000.0
2017-01-10,46444582.499,15338095.27,0.998,99854777.769,0.998548,100000000.0
2017-01-11,46589782.499,15130848.94,0.999,99647531.439,0.996475,100000000.0
2017-01-12,46718482.499,15145457.57,0.996,99662140.069,0.996621,100000000.0
2017-01-13,46484182.499,15368216.38,0.997,99884898.879,0.998849,100000000.0
2017-01-16,46070356.017,15391164.07,0.999,99827320.087,0.998273,100000000.0
2017-01-17,46063756.017,15380921.27,0.998,99817077.287,0.998171,100000000.0
2017-01-18,45743656.017,15446098.66,0.998,99882254.677,0.998823,100000000.0
2017-01-19,45987856.017,15505762.49,0.999,99941918.507,0.999419,100000000.0
2017-01-20,45664456.017,15484403.71,0.999,99920559.727,0.999206,100000000.0
2017-01-23,45847172.678,15443136.02,0.999,100012508.698,1.000125,100000000.0
2017-01-24,45774572.678,15532920.86,1.0,100102293.538,1.001023,100000000.0
2017-01-25,45649172.678,15673903.26,1.001,100243275.938,1.002433,100000000.0
2017-01-26,45546872.678,15750724.22,1.002,100320096.898,1.003201,100000000.0
2017-02-03,45785015.405,16015480.25,1.003,100443495.655,1.004435,100000000.0
2017-02-06,45787502.732,16068126.6,1.004,100495329.332,1.004953,100000000.0
2017-02-07,45919502.732,16148965.54,1.005,100576168.272,1.005762,100000000.0
2017-02-08,45751202.732,16219636.7,1.006,100646839.432,1.006468,100000000.0
2017-02-09,45632402.732,16321617.61,1.006,100748820.342,1.007488,100000000.0
2017-02-10,45437702.732,16317624.31,1.007,100744827.042,1.007448,100000000.0
2017-02-13,45443314.74,16527464.65,1.007,101105479.39,1.011055,100000000.0
2017-02-14,45555514.74,16580682.32,1.011,101158697.06,1.011587,100000000.0
2017-02-15,45568714.74,16410224.65,1.012,100988239.39,1.009882,100000000.0
2017-02-16,45502714.74,16514729.44,1.01,101092744.18,1.010927,100000000.0
2017-02-17,45717214.74,16489306.7,1.011,101067321.44,1.010673,100000000.0
2017-02-20,45066543.435,16897890.82,1.011,101452234.255,1.014522,100000000.0
2017-02-21,45142443.435,17088799.94,1.015,101643143.375,1.016431,100000000.0
2017-02-22,45092943.435,17116887.48,1.016,101671230.915,1.016712,100000000.0
2017-02-23,45271143.435,17012052.03,1.017,101566395.465,1.015664,100000000.0
2017-02-24,45248043.435,16871416.21,1.016,101425759.645,1.014258,100000000.0
2017-02-27,45449725.854,16750076.81,1.014,101235502.664,1.012355,100000000.0
2017-02-28,45509125.854,17009914.78,1.012,101495340.634,1.014953,100000000.0
