date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,29710681.384,-17824723.0,1.0,99747158.384,0.997472,100000000.0
2017-01-04,28433881.384,-18280248.0,0.997,99291633.384,0.992916,100000000.0
2017-01-05,28545881.384,-18264677.0,0.993,99307204.384,0.993072,100000000.0
2017-01-06,28825881.384,-18371054.0,0.993,99200827.384,0.992008,100000000.0
2017-01-09,25978734.17,-16148314.65,0.992,99063619.52,0.990636,100000000.0
2017-01-10,26387534.17,-15667250.63,0.991,99544683.54,0.995447,100000000.0
2017-01-11,27045534.17,-15678358.27,0.995,99533575.9,0.995336,100000000.0
2017-01-12,27874334.17,-15375904.9,0.995,99836029.27,0.99836,100000000.0
2017-01-13,28714334.17,-15175615.22,0.998,100036318.95,1.000363,100000000.0
2017-01-16,30931450.248,-14106419.42,1.0,100984630.828,1.009846,100000000.0
2017-01-17,30181050.248,-14246368.92,1.01,100844681.328,1.008447,100000000.0
2017-01-18,30057850.248,-13977872.73,1.008,101113177.518,1.011132,100000000.0
2017-01-19,31161050.248,-13331688.72,1.011,101759361.528,1.017594,100000000.0
2017-01-20,29931850.248,-13473284.03,1.018,101617766.218,1.016178,100000000.0
2017-01-23,29151138.87,-12887917.59,1.016,101862021.28,1.01862,100000000.0
2017-01-24,29027938.87,-12824647.22,1.019,101925291.65,1.019253,100000000.0
2017-01-25,28579938.87,-13134189.7,1.019,101615749.17,1.016157,100000000.0
2017-01-26,28106738.87,-13155094.48,1.016,101594844.39,1.015948,100000000.0
2017-02-03,27739294.489,-12185523.25,1.016,101863771.239,1.018638,100000000.0
2017-02-06,27177647.649,-12163699.9,1.019,101808347.749,1.018083,100000000.0
2017-02-07,27348447.649,-11949592.43,1.018,102022455.219,1.020225,100000000.0
2017-02-08,26519647.649,-12124523.13,1.02,101847524.519,1.018475,100000000.0
2017-02-09,25984847.649,-11817110.51,1.018,102154937.139,1.021549,100000000.0
2017-02-10,25853247.649,-11442558.34,1.022,102529489.309,1.025295,100000000.0
2017-02-13,25530990.339,-11729691.13,1.025,102424099.209,1.024241,100000000.0
2017-02-14,26611790.339,-10997613.89,1.024,103156176.449,1.031562,100000000.0
2017-02-15,27350990.339,-10784732.46,1.032,103369057.879,1.033691,100000000.0
2017-02-16,26508190.339,-10992203.32,1.034,103161587.019,1.031616,100000000.0
2017-02-17,27171790.339,-10991661.98,1.032,103162128.359,1.031621,100000000.0
2017-02-20,25640892.319,-10929658.65,1.032,103104433.669,1.031044,100000000.0
2017-02-21,25260092.319,-10657868.74,1.031,103376223.579,1.033762,100000000.0
2017-02-22,24579692.319,-10526205.61,1.034,103507886.709,1.035079,100000000.0
