date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,4940837.931,0.0,44933277.0,49874114.931,36018.515
2017-01-04,4940837.931,0.0,45389752.0,50330589.931,0.0
2017-01-05,4940837.931,0.0,45325323.0,50266160.931,0.0
2017-01-06,4940837.931,0.0,45018946.0,49959783.931,0.0
2017-01-09,2580890.717,0.0,47589685.35,50170576.067,2195.899
2017-01-10,2580890.717,0.0,47778749.37,50359640.087,0.0
2017-01-11,2580890.717,0.0,47297641.73,49878532.447,0.0
2017-01-12,2580890.717,0.0,47008095.1,49588985.817,0.0
2017-01-13,2580890.717,0.0,46608384.78,49189275.497,0.0
2017-01-16,2460006.795,0.0,46007580.58,48467587.375,1234.416
2017-01-17,2460006.795,0.0,46403631.08,48863637.875,0.0
2017-01-18,2460006.795,0.0,46760127.27,49220134.065,0.0
2017-01-19,2460006.795,0.0,46618311.28,49078318.075,0.0
2017-01-20,2460006.795,0.0,47354715.97,49814722.765,0.0
2017-01-23,2118895.417,0.0,48254082.41,50372977.827,1127.174
2017-01-24,2118895.417,0.0,48405352.78,50524248.197,0.0
2017-01-25,2118895.417,0.0,48415810.3,50534705.717,0.0
2017-01-26,2118895.417,0.0,48732905.52,50851800.937,0.0
2017-02-03,1418251.036,0.0,49464476.75,50882727.786,1041.838
2017-02-06,1341004.196,0.0,49832300.1,51173304.296,247.935
2017-02-07,1341004.196,0.0,49924407.57,51265411.766,0.0
2017-02-08,1341004.196,0.0,50341476.87,51682481.066,0.0
2017-02-09,1341004.196,0.0,51030889.49,52371893.686,0.0
2017-02-10,1341004.196,0.0,51499441.66,52840445.856,0.0
2017-02-13,1522746.886,0.0,51572308.87,53095055.756,1607.335
2017-02-14,1522746.886,0.0,51532386.11,53055132.996,0.0
2017-02-15,1522746.886,0.0,51217267.54,52740014.426,0.0
2017-02-16,1522746.886,0.0,51611796.68,53134543.566,0.0
2017-02-17,1522746.886,0.0,51138338.02,52661084.906,0.0
2017-02-20,1403048.866,0.0,52208341.35,53611390.216,551.668
2017-02-21,1403048.866,0.0,52752131.26,54155180.126,0.0
2017-02-22,1403048.866,0.0,53369794.39,54772843.256,0.0
2017-02-23,1403048.866,0.0,53039375.63,54442424.496,0.0
2017-02-24,1403048.866,0.0,53199600.39,54602649.256,0.0
2017-02-27,1648979.016,0.0,53056061.24,54705040.256,1284.298
2017-02-28,1648979.016,0.0,53213593.3,54862572.316,0.0
2017-03-01,1648979.016,0.0,53284000.76,54932979.776,0.0
2017-03-02,1648979.016,0.0,52970053.1,54619032.116,0.0
2017-03-03,1648979.016,0.0,52869621.36,54518600.376,0.0
2017-03-06,387452.22,0.0,54897677.67,55285129.89,2727.763
2017-03-07,387452.22,0.0,54973461.74,55360913.96,0.0
2017-03-08,387452.22,0.0,55072610.06,55460062.28,0.0
2017-03-09,387452.22,0.0,55125931.4,55513383.62,0.0
2017-03-10,387452.22,0.0,55697883.61,56085335.83,0.0
2017-03-13,1031234.519,0.0,55876639.52,56907874.039,5712.867
2017-03-14,1031234.519,0.0,55960406.73,56991641.249,0.0
2017-03-15,1031234.519,0.0,56276914.67,57308149.189,0.0
2017-03-16,1031234.519,0.0,57051596.06,58082830.579,0.0
2017-03-17,1031234.519,0.0,56653497.21,57684731.729,0.0
2017-03-20,1671445.183,0.0,56310730.91,57982176.093,2380.093
2017-03-21,1671445.183,0.0,56752336.56,58423781.743,0.0
2017-03-22,1671445.183,0.0,56653191.7,58324636.883,0.0
2017-03-23,1671445.183,0.0,56849078.09,58520523.273,0.0
2017-03-24,1671445.183,0.0,57390798.35,59062243.533,0.0
2017-03-27,658186.338,0.0,58024288.15,58682474.488,2232.265
2017-03-28,658186.338,0.0,57850025.5,58508211.838,0.0
2017-03-29,658189.068,0.0,57785564.05,58443753.118,0.0
2017-03-30,658189.068,0.0,56644891.98,57303081.048,0.0
