date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,34917.262,49825490.0,1.0,49860407.262,0.997208,50000000.0
2017-01-04,34917.262,50387432.0,0.997,50422349.262,1.008447,50000000.0
2017-01-05,34917.262,50266631.0,1.008,50301548.262,1.006031,50000000.0
2017-01-06,34917.262,49993796.0,1.006,50028713.262,1.000574,50000000.0
2017-01-09,9600.753,50172509.2,1.001,50182109.953,1.003642,50000000.0
2017-01-10,9600.753,50069852.65,1.004,50079453.403,1.001589,50000000.0
2017-01-11,9600.753,49638884.8,1.002,49648485.553,0.99297,50000000.0
2017-01-12,9600.753,49520222.69,0.993,49529823.443,0.990596,50000000.0
2017-01-13,9600.753,49655781.43,0.991,49665382.183,0.993308,50000000.0
2017-01-16,43796.162,49652088.89,0.993,49695885.052,0.993918,50000000.0
2017-01-17,43796.162,49724285.32,0.994,49768081.482,0.995362,50000000.0
2017-01-18,43796.162,49883000.88,0.995,49926797.042,0.998536,50000000.0
2017-01-19,43796.162,49739059.84,0.999,49782856.002,0.995657,50000000.0
2017-01-20,43796.162,50135826.05,0.996,50179622.212,1.003592,50000000.0
2017-01-23,47979.095,50214288.56,1.004,50262267.655,1.005245,50000000.0
2017-01-24,47979.095,50355051.41,1.005,50403030.505,1.008061,50000000.0
2017-01-25,47979.095,50713779.78,1.008,50761758.875,1.015235,50000000.0
2017-01-26,47979.095,50898372.66,1.015,50946351.755,1.018927,50000000.0
2017-02-03,30322.998,50777437.93,1.019,50807760.928,1.016155,50000000.0
2017-02-06,50285.964,51004836.91,1.016,51055122.874,1.021102,50000000.0
2017-02-07,50285.964,50904949.87,1.021,50955235.834,1.019105,50000000.0
2017-02-08,50285.964,51016317.42,1.019,51066603.384,1.021332,50000000.0
2017-02-09,50285.964,51205916.32,1.021,51256202.284,1.025124,50000000.0
2017-02-10,50285.964,51377109.26,1.025,51427395.224,1.028548,50000000.0
2017-02-13,180313.267,51577410.65,1.029,51757723.917,1.035154,50000000.0
2017-02-14,180313.267,51517746.79,1.035,51698060.057,1.033961,50000000.0
2017-02-15,180313.267,51206438.25,1.034,51386751.517,1.027735,50000000.0
2017-02-16,180313.267,51394163.49,1.028,51574476.757,1.03149,50000000.0
2017-02-17,180313.267,51068605.95,1.031,51248919.217,1.024978,50000000.0
2017-02-20,9445.913,52016943.72,1.025,52026389.633,1.040528,50000000.0
2017-02-21,9445.913,52186371.74,1.041,52195817.653,1.043916,50000000.0
2017-02-22,9445.913,52317247.31,1.044,52326693.223,1.046534,50000000.0
2017-02-23,9445.913,52128756.77,1.047,52138202.683,1.042764,50000000.0
2017-02-24,9445.913,52078671.38,1.043,52088117.293,1.041762,50000000.0
2017-02-27,33214.064,51741635.47,1.042,51774849.534,1.035497,50000000.0
2017-02-28,33214.064,51985408.88,1.035,52018622.944,1.040372,50000000.0
2017-03-01,33214.064,52087254.35,1.04,52120468.414,1.042409,50000000.0
2017-03-02,33214.064,51733733.23,1.042,51766947.294,1.035339,50000000.0
2017-03-03,33214.064,51928769.93,1.035,51961983.994,1.03924,50000000.0
2017-03-06,2369498.677,49843283.33,1.039,52212782.007,1.044256,50000000.0
