date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,34917.262,0.0,49825490.0,49860407.262,39941.758
2017-01-04,34917.262,0.0,50387432.0,50422349.262,0.0
2017-01-05,34917.262,0.0,50266631.0,50301548.262,0.0
2017-01-06,34917.262,0.0,49993796.0,50028713.262,0.0
2017-01-09,9600.753,0.0,50172509.2,50182109.953,190.051
2017-01-10,9600.753,0.0,50069852.65,50079453.403,0.0
2017-01-11,9600.753,0.0,49638884.8,49648485.553,0.0
2017-01-12,9600.753,0.0,49520222.69,49529823.443,0.0
2017-01-13,9600.753,0.0,49655781.43,49665382.183,0.0
2017-01-16,43796.162,0.0,49652088.89,49695885.052,328.332
2017-01-17,43796.162,0.0,49724285.32,49768081.482,0.0
2017-01-18,43796.162,0.0,49883000.88,49926797.042,0.0
2017-01-19,43796.162,0.0,49739059.84,49782856.002,0.0
2017-01-20,43796.162,0.0,50135826.05,50179622.212,0.0
2017-01-23,47979.095,0.0,50214288.56,50262267.655,877.265
2017-01-24,47979.095,0.0,50355051.41,50403030.505,0.0
2017-01-25,47979.095,0.0,50713779.78,50761758.875,0.0
2017-01-26,47979.095,0.0,50898372.66,50946351.755,0.0
2017-02-03,30322.998,0.0,50777437.93,50807760.928,1072.334
2017-02-06,50285.964,0.0,51004836.91,51055122.874,635.928
2017-02-07,50285.964,0.0,50904949.87,50955235.834,0.0
2017-02-08,50285.964,0.0,51016317.42,51066603.384,0.0
2017-02-09,50285.964,0.0,51205916.32,51256202.284,0.0
2017-02-10,50285.964,0.0,51377109.26,51427395.224,0.0
2017-02-13,180313.267,0.0,51577410.65,51757723.917,1088.556
2017-02-14,180313.267,0.0,51517746.79,51698060.057,0.0
2017-02-15,180313.267,0.0,51206438.25,51386751.517,0.0
2017-02-16,180313.267,0.0,51394163.49,51574476.757,0.0
2017-02-17,180313.267,0.0,51068605.95,51248919.217,0.0
2017-02-20,9445.913,0.0,52016943.72,52026389.633,749.631
2017-02-21,9445.913,0.0,52186371.74,52195817.653,0.0
2017-02-22,9445.913,0.0,52317247.31,52326693.223,0.0
2017-02-23,9445.913,0.0,52128756.77,52138202.683,0.0
2017-02-24,9445.913,0.0,52078671.38,52088117.293,0.0
2017-02-27,33214.064,0.0,51741635.47,51774849.534,549.599
2017-02-28,33214.064,0.0,51985408.88,52018622.944,0.0
2017-03-01,33214.064,0.0,52087254.35,52120468.414,0.0
2017-03-02,33214.064,0.0,51733733.23,51766947.294,0.0
2017-03-03,33214.064,0.0,51928769.93,51961983.994,0.0
2017-03-06,2369498.677,0.0,49843283.33,52212782.007,6664.274
2017-03-07,2369498.677,0.0,50005094.82,52374593.497,0.0
2017-03-08,2369498.677,0.0,50004025.85,52373524.527,0.0
2017-03-09,2369498.677,0.0,49773454.68,52142953.357,0.0
2017-03-10,2369498.677,0.0,49962230.88,52331729.557,0.0
2017-03-13,684.404,0.0,52996444.85,52997129.254,2560.185
2017-03-14,684.404,0.0,53164356.43,53165040.834,0.0
2017-03-15,684.404,0.0,53544721.39,53545405.794,0.0
2017-03-16,684.404,0.0,53656370.88,53657055.284,0.0
2017-03-17,684.404,0.0,53109276.4,53109960.804,0.0
2017-03-20,257702.055,0.0,52807460.81,53065162.865,2814.408
2017-03-21,257702.055,0.0,53222152.58,53479854.635,0.0
2017-03-22,257702.055,0.0,53093714.1,53351416.155,0.0
2017-03-23,257702.055,0.0,53444598.52,53702300.575,0.0
2017-03-24,257702.055,0.0,53986404.19,54244106.245,0.0
2017-03-27,179191.516,0.0,53862245.13,54041436.646,2359.62
2017-03-28,179191.516,0.0,53709271.4,53888462.916,0.0
2017-03-29,228967.216,0.0,53548333.02,53777300.236,0.0
2017-03-30,228967.216,0.0,53302046.23,53531013.446,0.0
2017-03-31,228967.216,0.0,54100647.64,54329614.856,0.0
2017-04-05,46163.493,0.0,55034939.45,55081102.943,1848.003
2017-04-06,46163.493,0.0,55031204.51,55077368.003,0.0
2017-04-07,46163.493,0.0,55242016.26,55288179.753,0.0
2017-04-10,198269.286,0.0,55146986.71,55345255.996,2496.915
2017-04-11,198269.286,0.0,54931118.97,55129388.256,0.0
2017-04-12,198269.286,0.0,54713019.47,54911288.756,0.0
2017-04-13,198269.286,0.0,55014221.55,55212490.836,0.0
2017-04-14,198269.286,0.0,54548253.8,54746523.086,0.0
2017-04-17,589397.24,0.0,54120705.34,54710102.58,3721.219
2017-04-18,589397.24,0.0,54078325.65,54667722.89,0.0
2017-04-19,595432.04,0.0,54109168.94,54704600.98,0.0
2017-04-20,595432.04,0.0,54575041.46,55170473.5,0.0
2017-04-21,595432.04,0.0,54458076.67,55053508.71,0.0
2017-04-24,659769.81,0.0,54079492.73,54739262.54,3445.412
2017-04-25,659769.81,0.0,54355433.22,55015203.03,0.0
2017-04-26,659769.81,0.0,54678998.03,55338767.84,0.0
2017-04-27,659769.81,0.0,54776927.48,55436697.29,0.0
2017-04-28,659769.81,0.0,54591509.34,55251279.15,0.0
2017-05-02,29125.042,0.0,55254993.9,55284118.942,3194.696
2017-05-03,29125.042,0.0,55057589.22,55086714.262,0.0
2017-05-04,29125.042,0.0,54949908.7,54979033.742,0.0
2017-05-05,29125.042,0.0,54770399.13,54799524.172,0.0
2017-05-08,80246.157,0.0,54502218.32,54582464.477,1020.537
2017-05-09,80442.357,0.0,54482758.58,54563200.937,0.0
2017-05-10,105549.777,0.0,54526519.31,54632069.087,0.0
2017-05-11,105549.777,0.0,54882759.75,54988309.527,0.0
2017-05-12,149808.277,0.0,55379027.85,55528836.127,0.0
2017-05-15,262739.323,0.0,55670704.86,55933444.183,1735.341
2017-05-16,263497.123,0.0,56289607.415,56553104.538,0.0
2017-05-17,263497.123,0.0,55938016.815,56201513.938,0.0
2017-05-18,266919.623,0.0,55738570.49,56005490.113,0.0
2017-05-19,296896.373,0.0,55652333.58,55949229.953,0.0
2017-05-22,36774.333,0.0,56270093.89,56306868.223,438.593
2017-05-23,36774.333,0.0,56651130.245,56687904.578,0.0
2017-05-24,44690.733,0.0,56649146.065,56693836.798,0.0
2017-05-25,44690.733,0.0,57277670.345,57322361.078,0.0
2017-05-26,67462.033,0.0,57107504.34,57174966.373,0.0
2017-05-31,440644.869,0.0,57143173.274,57583818.143,1899.372
2017-06-01,444696.519,0.0,57426878.541,57871575.06,0.0
2017-06-02,444696.519,0.0,57075838.678,57520535.197,0.0
2017-06-05,16511.12,0.0,57413356.927,57429868.047,1620.05
2017-06-06,29246.12,0.0,57909092.414,57938338.534,0.0
2017-06-07,37482.98,0.0,58661276.639,58698759.619,0.0
2017-06-08,40014.38,0.0,59330013.316,59370027.696,0.0
2017-06-09,40014.38,0.0,59594739.444,59634753.824,0.0
2017-06-12,433554.683,0.0,59288730.768,59722285.451,7770.142
2017-06-13,433569.203,0.0,59401785.73,59835354.933,0.0
2017-06-14,595725.793,0.0,58369801.972,58965527.765,0.0
2017-06-15,596965.633,0.0,58046786.442,58643752.075,0.0
2017-06-16,597086.683,0.0,57961426.796,58558513.479,0.0
2017-06-19,61440.79,0.0,58838021.222,58899462.012,4897.273
2017-06-20,61440.79,0.0,58953258.005,59014698.795,0.0
2017-06-21,61440.79,0.0,59839409.399,59900850.189,0.0
2017-06-22,84240.49,0.0,60071320.911,60155561.401,0.0
2017-06-23,84240.49,0.0,60984394.978,61068635.468,0.0
2017-06-26,185808.844,0.0,62117261.779,62303070.623,1425.09
2017-06-27,185808.844,0.0,62247925.01,62433733.854,0.0
2017-06-28,185808.844,0.0,61694858.935,61880667.779,0.0
2017-06-29,187092.554,0.0,62248533.152,62435625.706,0.0
2017-06-30,187092.554,0.0,62193090.364,62380182.918,0.0
2017-07-03,167155.024,0.0,61837832.298,62004987.322,1976.252
2017-07-04,167155.024,0.0,61457710.683,61624865.707,0.0
2017-07-05,203824.624,0.0,62586480.795,62790305.419,0.0
2017-07-06,266384.488,0.0,62580388.077,62846772.565,0.0
2017-07-07,302769.104,0.0,62494308.003,62797077.107,0.0
2017-07-10,159519.147,0.0,62068667.541,62228186.688,1334.759
2017-07-11,335812.858,0.0,62360012.109,62695824.967,0.0
2017-07-12,335812.858,0.0,62228441.761,62564254.619,0.0
2017-07-13,441051.018,0.0,62847890.142,63288941.16,0.0
2017-07-14,598274.768,0.0,62996272.905,63594547.673,0.0
2017-07-17,130955.634,0.0,63152388.634,63283344.268,1267.018
2017-07-18,142699.018,0.0,63226695.001,63369394.019,0.0
2017-07-19,142699.018,0.0,64087273.987,64229973.005,0.0
2017-07-20,142699.018,0.0,64504574.186,64647273.204,0.0
2017-07-21,142699.018,0.0,64052711.789,64195410.807,0.0
2017-07-24,34762.105,0.0,64355498.932,64390261.037,732.455
2017-07-25,34762.105,0.0,63739060.06,63773822.165,0.0
2017-07-26,34762.105,0.0,63210206.77,63244968.875,0.0
2017-07-27,34762.105,0.0,63367950.694,63402712.799,0.0
