date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,10594.684,49849746.0,1.0,49860340.684,0.997207,50000000.0
2017-01-04,10594.684,50317885.0,0.997,50328479.684,1.00657,50000000.0
2017-01-05,10594.684,50197138.0,1.007,50207732.684,1.004155,50000000.0
2017-01-06,10594.684,49978925.0,1.004,49989519.684,0.99979,50000000.0
2017-01-09,15007.299,50060728.09,1.0,50075735.389,1.001515,50000000.0
2017-01-10,15007.299,49972497.11,1.002,49987504.409,0.99975,50000000.0
2017-01-11,15007.299,49649937.37,1.0,49664944.669,0.993299,50000000.0
2017-01-12,15007.299,49554859.81,0.993,49569867.109,0.991397,50000000.0
2017-01-13,15007.299,49898603.92,0.991,49913611.219,0.998272,50000000.0
2017-01-16,100565.429,50236277.95,0.998,50336843.379,1.006737,50000000.0
2017-01-17,100565.429,50210452.93,1.007,50311018.359,1.00622,50000000.0
2017-01-18,100565.429,50575905.14,1.006,50676470.569,1.013529,50000000.0
2017-01-19,100565.429,50410710.42,1.014,50511275.849,1.010226,50000000.0
2017-01-20,100565.429,50712517.83,1.01,50813083.259,1.016262,50000000.0
2017-01-23,21923.102,50830446.03,1.016,50852369.132,1.017047,50000000.0
2017-01-24,21923.102,50957194.9,1.017,50979118.002,1.019582,50000000.0
2017-01-25,21923.102,51200855.86,1.02,51222778.962,1.024456,50000000.0
2017-01-26,21923.102,51366563.17,1.024,51388486.272,1.02777,50000000.0
2017-02-03,221513.021,50827977.02,1.028,51049490.041,1.02099,50000000.0
2017-02-06,16152.969,51038077.84,1.021,51054230.809,1.021085,50000000.0
2017-02-07,16152.969,50974231.67,1.021,50990384.639,1.019808,50000000.0
2017-02-08,16152.969,51194233.18,1.02,51210386.149,1.024208,50000000.0
2017-02-09,16152.969,51493791.74,1.024,51509944.709,1.030199,50000000.0
2017-02-10,16152.969,51698326.54,1.03,51714479.509,1.03429,50000000.0
2017-02-13,688516.918,51517862.73,1.034,52206379.648,1.044128,50000000.0
2017-02-14,688516.918,51536122.28,1.044,52224639.198,1.044493,50000000.0
2017-02-15,688516.918,51366991.45,1.044,52055508.368,1.04111,50000000.0
2017-02-16,688516.918,51513976.26,1.041,52202493.178,1.04405,50000000.0
2017-02-17,688516.918,51226930.48,1.044,51915447.398,1.038309,50000000.0
2017-02-20,29439.643,52823289.25,1.038,52852728.893,1.057055,50000000.0
2017-02-21,29439.643,52951679.82,1.057,52981119.463,1.059622,50000000.0
2017-02-22,29439.643,52973206.94,1.06,53002646.583,1.060053,50000000.0
2017-02-23,29439.643,52677190.68,1.06,52706630.323,1.054133,50000000.0
2017-02-24,29439.643,52600252.34,1.054,52629691.983,1.052594,50000000.0
2017-02-27,30654.688,52176476.03,1.053,52207130.718,1.044143,50000000.0
2017-02-28,30654.688,52347618.62,1.044,52378273.308,1.047565,50000000.0
2017-03-01,30654.688,52466561.9,1.048,52497216.588,1.049944,50000000.0
2017-03-02,30654.688,52098629.24,1.05,52129283.928,1.042586,50000000.0
2017-03-03,30654.688,52070947.96,1.043,52101602.648,1.042032,50000000.0
2017-03-06,2416914.474,49716587.28,1.042,52133501.754,1.04267,50000000.0
2017-03-07,2416914.474,49920760.79,1.043,52337675.264,1.046754,50000000.0
2017-03-08,2416914.474,49897048.58,1.047,52313963.054,1.046279,50000000.0
2017-03-09,2416914.474,49673871.14,1.046,52090785.614,1.041816,50000000.0
