date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,14991.234,0.0,49845362.0,49860353.234,39956.042
2017-01-04,14991.234,0.0,50280569.0,50295560.234,0.0
2017-01-05,14991.234,0.0,50175424.0,50190415.234,0.0
2017-01-06,14991.234,0.0,49928202.0,49943193.234,0.0
2017-01-09,63152.215,0.0,49998126.56,50061278.775,605.834
2017-01-10,63152.215,0.0,49917625.07,49980777.285,0.0
2017-01-11,63152.215,0.0,49624286.61,49687438.825,0.0
2017-01-12,63152.215,0.0,49543100.34,49606252.555,0.0
2017-01-13,63152.215,0.0,49956598.04,50019750.255,0.0
2017-01-16,62542.895,0.0,50317060.75,50379603.645,426.531
2017-01-17,62542.895,0.0,50261037.56,50323580.455,0.0
2017-01-18,62542.895,0.0,50595809.75,50658352.645,0.0
2017-01-19,62542.895,0.0,50406786.83,50469329.725,0.0
2017-01-20,62542.895,0.0,50681259.78,50743802.675,0.0
2017-01-23,15423.47,0.0,50759240.08,50774663.55,520.307
2017-01-24,15423.47,0.0,50879483.28,50894906.75,0.0
2017-01-25,15423.47,0.0,51093884.72,51109308.19,0.0
2017-01-26,15423.47,0.0,51263963.04,51279386.51,0.0
2017-02-03,166451.82,0.0,50776445.04,50942896.86,956.678
2017-02-06,33927.942,0.0,51019906.23,51053834.172,907.658
2017-02-07,33927.942,0.0,50974557.33,51008485.272,0.0
2017-02-08,33927.942,0.0,51170480.07,51204408.012,0.0
2017-02-09,33927.942,0.0,51356490.24,51390418.182,0.0
2017-02-10,33927.942,0.0,51574875.82,51608803.762,0.0
2017-02-13,25539.593,0.0,52068790.42,52094330.013,4037.027
2017-02-14,25539.593,0.0,51959712.83,51985252.423,0.0
2017-02-15,25539.593,0.0,51863470.03,51889009.623,0.0
2017-02-16,25539.593,0.0,52002457.59,52027997.183,0.0
2017-02-17,25539.593,0.0,51738736.92,51764276.513,0.0
2017-02-20,370910.598,0.0,52311905.38,52682815.978,1527.016
2017-02-21,370910.598,0.0,52434093.33,52805003.928,0.0
2017-02-22,370910.598,0.0,52433857.32,52804767.918,0.0
2017-02-23,370910.598,0.0,52169670.1,52540580.698,0.0
2017-02-24,370910.598,0.0,52101756.04,52472666.638,0.0
2017-02-27,20172.874,0.0,52013737.08,52033909.954,1236.226
2017-02-28,20172.874,0.0,52179300.39,52199473.264,0.0
2017-03-01,20172.874,0.0,52260180.36,52280353.234,0.0
2017-03-02,20172.874,0.0,51894558.13,51914731.004,0.0
2017-03-03,20172.874,0.0,51933619.43,51953792.304,0.0
2017-03-06,2792802.983,0.0,49195160.55,51987963.533,6586.859
2017-03-07,2792802.983,0.0,49450274.22,52243077.203,0.0
2017-03-08,2792802.983,0.0,49421707.28,52214510.263,0.0
2017-03-09,2792802.983,0.0,49186944.07,51979747.053,0.0
2017-03-10,2792802.983,0.0,49152562.61,51945365.593,0.0
2017-03-13,166.125,0.0,52306085.18,52306251.305,2575.759
2017-03-14,166.125,0.0,52472712.51,52472878.635,0.0
2017-03-15,166.125,0.0,52564593.31,52564759.435,0.0
2017-03-16,166.125,0.0,52746200.32,52746366.445,0.0
2017-03-17,166.125,0.0,52326486.52,52326652.645,0.0
2017-03-20,114276.747,0.0,52107561.86,52221838.607,2016.097
2017-03-21,114276.747,0.0,52387356.07,52501632.817,0.0
2017-03-22,114276.747,0.0,52021800.08,52136076.827,0.0
2017-03-23,114276.747,0.0,52274773.76,52389050.507,0.0
2017-03-24,114276.747,0.0,52715520.91,52829797.657,0.0
2017-03-27,263304.676,0.0,52571735.4,52835040.076,3810.006
2017-03-28,263304.676,0.0,52334126.09,52597430.766,0.0
2017-03-29,317539.636,0.0,52134962.57,52452502.206,0.0
2017-03-30,317539.636,0.0,52011999.8,52329539.436,0.0
2017-03-31,317539.636,0.0,52496971.77,52814511.406,0.0
2017-04-05,248483.713,0.0,53004489.68,53252973.393,3732.764
2017-04-06,248483.713,0.0,52989754.18,53238237.893,0.0
2017-04-07,248483.713,0.0,53117321.07,53365804.783,0.0
2017-04-10,51547.722,0.0,53188536.81,53240084.532,5282.679
2017-04-11,51547.722,0.0,53040397.02,53091944.742,0.0
2017-04-12,51547.722,0.0,52901566.09,52953113.812,0.0
2017-04-13,51547.722,0.0,52975037.01,53026584.732,0.0
2017-04-14,51547.722,0.0,52698363.53,52749911.252,0.0
2017-04-17,329449.444,0.0,52365836.37,52695285.814,6047.017
2017-04-18,329449.444,0.0,52200863.13,52530312.574,0.0
2017-04-19,333129.444,0.0,52162468.98,52495598.424,0.0
2017-04-20,333129.444,0.0,52579077.09,52912206.534,0.0
2017-04-21,333129.444,0.0,52663774.27,52996903.714,0.0
2017-04-24,3587.768,0.0,52891249.55,52894837.318,1507.522
2017-04-25,3587.768,0.0,53244447.23,53248034.998,0.0
2017-04-26,3587.768,0.0,53416963.47,53420551.238,0.0
2017-04-27,3587.768,0.0,53565753.17,53569340.938,0.0
2017-04-28,3587.768,0.0,53456169.6,53459757.368,0.0
2017-05-02,611721.074,0.0,52570215.95,53181937.024,4816.226
2017-05-03,611721.074,0.0,52449720.22,53061441.294,0.0
2017-05-04,611721.074,0.0,52426239.21,53037960.284,0.0
2017-05-05,611721.074,0.0,52331125.64,52942846.714,0.0
2017-05-08,61904.143,0.0,52779675.36,52841579.503,831.007
2017-05-09,61904.143,0.0,52789125.46,52851029.603,0.0
2017-05-10,75161.003,0.0,53125913.81,53201074.813,0.0
2017-05-11,75161.003,0.0,53430314.68,53505475.683,0.0
2017-05-12,126704.903,0.0,54266754.74,54393459.643,0.0
2017-05-15,274409.559,0.0,54341070.34,54615479.899,1804.29
2017-05-16,288829.959,0.0,54671667.04,54960496.999,0.0
2017-05-17,288829.959,0.0,54245025.9,54533855.859,0.0
2017-05-18,289185.459,0.0,54163707.838,54452893.297,0.0
2017-05-19,289185.459,0.0,54289961.596,54579147.055,0.0
2017-05-22,234017.133,0.0,54730221.41,54964238.543,1402.888
2017-05-23,234017.133,0.0,55341620.71,55575637.843,0.0
2017-05-24,234017.133,0.0,55211636.21,55445653.343,0.0
2017-05-25,241074.533,0.0,56169841.293,56410915.826,0.0
2017-05-26,241074.533,0.0,56099568.314,56340642.847,0.0
2017-05-31,148526.318,0.0,56510909.21,56659435.528,2852.814
2017-06-01,148526.318,0.0,56871933.506,57020459.824,0.0
2017-06-02,148526.318,0.0,56407376.341,56555902.659,0.0
2017-06-05,23685.846,0.0,56012019.573,56035705.419,3253.369
2017-06-06,23685.846,0.0,56520474.506,56544160.352,0.0
2017-06-07,23685.846,0.0,57281035.02,57304720.866,0.0
2017-06-08,23685.846,0.0,57733948.418,57757634.264,0.0
2017-06-09,23685.846,0.0,58024920.319,58048606.165,0.0
2017-06-12,57693.596,0.0,58232833.43,58290527.026,6101.659
2017-06-13,63530.196,0.0,58170458.459,58233988.655,0.0
2017-06-14,188968.966,0.0,57426038.414,57615007.38,0.0
2017-06-15,188968.966,0.0,57030424.596,57219393.562,0.0
2017-06-16,248881.156,0.0,56891235.079,57140116.235,0.0
2017-06-19,7785.282,0.0,57508413.768,57516199.05,5325.538
2017-06-20,7785.282,0.0,57518669.689,57526454.971,0.0
2017-06-21,7785.282,0.0,58145985.53,58153770.812,0.0
2017-06-22,11145.282,0.0,58693019.671,58704164.953,0.0
2017-06-23,11145.282,0.0,59412529.946,59423675.228,0.0
2017-06-26,238813.666,0.0,60109868.04,60348681.706,1784.547
2017-06-27,238813.666,0.0,60237254.18,60476067.846,0.0
2017-06-28,238813.666,0.0,59825336.739,60064150.405,0.0
2017-06-29,238813.666,0.0,60205975.524,60444789.19,0.0
2017-06-30,238813.666,0.0,60111691.561,60350505.227,0.0
2017-07-03,171900.519,0.0,59677171.198,59849071.717,3431.101
2017-07-04,171900.519,0.0,59246169.637,59418070.156,0.0
2017-07-05,203755.763,0.0,60391402.852,60595158.615,0.0
2017-07-06,234531.563,0.0,60554949.694,60789481.257,0.0
2017-07-07,318205.326,0.0,60209385.518,60527590.844,0.0
2017-07-10,110701.11,0.0,60145781.381,60256482.491,1706.409
2017-07-11,332656.66,0.0,60669138.393,61001795.053,0.0
2017-07-12,351341.16,0.0,60555632.339,60906973.499,0.0
2017-07-13,496632.68,0.0,61343318.507,61839951.187,0.0
2017-07-14,694853.517,0.0,61526475.753,62221329.27,0.0
2017-07-17,162480.062,0.0,62181865.904,62344345.966,1482.084
2017-07-18,167519.149,0.0,62225780.929,62393300.078,0.0
2017-07-19,167519.149,0.0,62941500.938,63109020.087,0.0
2017-07-20,167519.149,0.0,63124121.4,63291640.549,0.0
2017-07-21,167519.149,0.0,62657143.473,62824662.622,0.0
2017-07-24,33691.363,0.0,63075304.549,63108995.912,1226.368
2017-07-25,33691.363,0.0,62825517.591,62859208.954,0.0
2017-07-26,33691.363,0.0,62470731.185,62504422.548,0.0
2017-07-27,49984.343,0.0,62434663.766,62484648.109,0.0
2017-07-28,49984.343,0.0,62689504.465,62739488.808,0.0
2017-07-31,271091.188,0.0,62446267.951,62717359.139,1725.463
2017-08-01,271091.188,0.0,63362066.622,63633157.81,0.0
2017-08-02,296310.788,0.0,63622185.668,63918496.456,0.0
2017-08-03,296310.788,0.0,62676522.751,62972833.539,0.0
2017-08-04,298450.526,0.0,61964399.179,62262849.705,0.0
2017-08-07,21077.972,0.0,62468215.922,62489293.894,3494.075
2017-08-08,21627.972,0.0,62526308.849,62547936.821,0.0
2017-08-09,21627.972,0.0,62322581.468,62344209.44,0.0
2017-08-10,46280.772,0.0,62248804.485,62295085.257,0.0
2017-08-11,46280.772,0.0,61718680.83,61764961.602,0.0
2017-08-14,156670.444,0.0,62370414.308,62527084.752,1880.453
2017-08-15,156670.444,0.0,62935884.283,63092554.727,0.0
2017-08-16,156670.444,0.0,62459764.806,62616435.25,0.0
2017-08-17,156670.444,0.0,62430053.773,62586724.217,0.0
2017-08-18,181247.794,0.0,62536479.881,62717727.675,0.0
2017-08-21,265777.024,0.0,62394743.515,62660520.539,1366.369
2017-08-22,265777.024,0.0,62770239.414,63036016.438,0.0
2017-08-23,265777.024,0.0,63445182.297,63710959.321,0.0
2017-08-24,265777.024,0.0,63052649.761,63318426.785,0.0
2017-08-25,265777.024,0.0,64348980.569,64614757.593,0.0
2017-08-28,1403645.927,0.0,64119108.002,65522753.929,5077.089
2017-08-29,1497966.397,0.0,63875475.543,65373441.94,0.0
