date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,1747.233,49858569.0,1.0,49860316.233,0.997206,50000000.0
2017-01-04,1747.233,50585840.0,0.997,50587587.233,1.011752,50000000.0
2017-01-05,1747.233,50551919.0,1.012,50553666.233,1.011073,50000000.0
2017-01-06,1747.233,50522415.0,1.011,50524162.233,1.010483,50000000.0
2017-01-09,100116.016,50975198.66,1.01,51075314.676,1.021506,50000000.0
2017-01-10,100116.016,50677965.62,1.022,50778081.636,1.015562,50000000.0
2017-01-11,100116.016,50310107.88,1.016,50410223.896,1.008204,50000000.0
2017-01-12,100116.016,49934679.61,1.008,50034795.626,1.000696,50000000.0
2017-01-13,100116.016,49127547.19,1.001,49227663.206,0.984553,50000000.0
2017-01-16,192870.225,47855829.22,0.985,48048699.445,0.960974,50000000.0
2017-01-17,192870.225,48506521.05,0.961,48699391.275,0.973988,50000000.0
2017-01-18,192870.225,48422824.24,0.974,48615694.465,0.972314,50000000.0
2017-01-19,192870.225,48405676.39,0.972,48598546.615,0.971971,50000000.0
2017-01-20,192870.225,49121496.81,0.972,49314367.035,0.986287,50000000.0
2017-01-23,53083.823,49562034.64,0.986,49615118.463,0.992302,50000000.0
2017-01-24,53083.823,49730442.36,0.992,49783526.183,0.995671,50000000.0
2017-01-25,53083.823,49863941.61,0.996,49917025.433,0.998341,50000000.0
2017-01-26,53083.823,49997609.21,0.998,50050693.033,1.001014,50000000.0
2017-02-03,17614.673,50020636.9,1.001,50038251.573,1.000765,50000000.0
2017-02-06,177592.747,50276942.94,1.001,50454535.687,1.009091,50000000.0
2017-02-07,177592.747,50113472.94,1.009,50291065.687,1.005821,50000000.0
2017-02-08,177592.747,50401291.6,1.006,50578884.347,1.011578,50000000.0
2017-02-09,177592.747,50882916.54,1.012,51060509.287,1.02121,50000000.0
2017-02-10,177592.747,51103053.08,1.021,51280645.827,1.025613,50000000.0
2017-02-13,413627.829,51031933.38,1.026,51445561.209,1.028911,50000000.0
2017-02-14,413627.829,51007272.07,1.029,51420899.899,1.028418,50000000.0
2017-02-15,413627.829,50511927.62,1.028,50925555.449,1.018511,50000000.0
2017-02-16,413627.829,51064927.55,1.019,51478555.379,1.029571,50000000.0
2017-02-17,413627.829,50726428.69,1.03,51140056.519,1.022801,50000000.0
2017-02-20,2483.909,52160822.54,1.023,52163306.449,1.043266,50000000.0
2017-02-21,2483.909,52368423.38,1.043,52370907.289,1.047418,50000000.0
2017-02-22,2483.909,52699871.18,1.047,52702355.089,1.054047,50000000.0
2017-02-23,2483.909,52534851.43,1.054,52537335.339,1.050747,50000000.0
2017-02-24,2483.909,52542824.65,1.051,52545308.559,1.050906,50000000.0
2017-02-27,26808.786,52018010.19,1.051,52044818.976,1.040896,50000000.0
2017-02-28,26808.786,52281411.73,1.041,52308220.516,1.046164,50000000.0
2017-03-01,26808.786,52648030.11,1.046,52674838.896,1.053497,50000000.0
