date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,1747.233,0.0,49858569.0,49860316.233,39966.629
2017-01-04,1747.233,0.0,50585840.0,50587587.233,0.0
2017-01-05,1747.233,0.0,50551919.0,50553666.233,0.0
2017-01-06,1747.233,0.0,50522415.0,50524162.233,0.0
2017-01-09,100116.016,0.0,50975198.66,51075314.676,2133.221
2017-01-10,100116.016,0.0,50677965.62,50778081.636,0.0
2017-01-11,100116.016,0.0,50310107.88,50410223.896,0.0
2017-01-12,100116.016,0.0,49934679.61,50034795.626,0.0
2017-01-13,100116.016,0.0,49127547.19,49227663.206,0.0
2017-01-16,192870.225,0.0,47855829.22,48048699.445,2742.61
2017-01-17,192870.225,0.0,48506521.05,48699391.275,0.0
2017-01-18,192870.225,0.0,48422824.24,48615694.465,0.0
2017-01-19,192870.225,0.0,48405676.39,48598546.615,0.0
2017-01-20,192870.225,0.0,49121496.81,49314367.035,0.0
2017-01-23,53083.823,0.0,49562034.64,49615118.463,4372.059
2017-01-24,53083.823,0.0,49730442.36,49783526.183,0.0
2017-01-25,53083.823,0.0,49863941.61,49917025.433,0.0
2017-01-26,53083.823,0.0,49997609.21,50050693.033,0.0
2017-02-03,17614.673,0.0,50020636.9,50038251.573,2441.416
2017-02-06,177592.747,0.0,50276942.94,50454535.687,1237.734
2017-02-07,177592.747,0.0,50113472.94,50291065.687,0.0
2017-02-08,177592.747,0.0,50401291.6,50578884.347,0.0
2017-02-09,177592.747,0.0,50882916.54,51060509.287,0.0
2017-02-10,177592.747,0.0,51103053.08,51280645.827,0.0
2017-02-13,413627.829,0.0,51031933.38,51445561.209,2471.162
2017-02-14,413627.829,0.0,51007272.07,51420899.899,0.0
2017-02-15,413627.829,0.0,50511927.62,50925555.449,0.0
2017-02-16,413627.829,0.0,51064927.55,51478555.379,0.0
2017-02-17,413627.829,0.0,50726428.69,51140056.519,0.0
2017-02-20,2483.909,0.0,52160822.54,52163306.449,4239.123
2017-02-21,2483.909,0.0,52368423.38,52370907.289,0.0
2017-02-22,2483.909,0.0,52699871.18,52702355.089,0.0
2017-02-23,2483.909,0.0,52534851.43,52537335.339,0.0
2017-02-24,2483.909,0.0,52542824.65,52545308.559,0.0
2017-02-27,26808.786,0.0,52018010.19,52044818.976,1441.987
2017-02-28,26808.786,0.0,52281411.73,52308220.516,0.0
2017-03-01,26808.786,0.0,52648030.11,52674838.896,0.0
2017-03-02,26808.786,0.0,52707399.0,52734207.786,0.0
2017-03-03,26808.786,0.0,52781690.32,52808499.106,0.0
2017-03-06,733091.399,0.0,52644065.5,53377156.899,2577.297
2017-03-07,733091.399,0.0,52774378.13,53507469.529,0.0
2017-03-08,733091.399,0.0,52712107.55,53445198.949,0.0
2017-03-09,733091.399,0.0,52254203.75,52987295.149,0.0
2017-03-10,733091.399,0.0,52542838.01,53275929.409,0.0
2017-03-13,835.908,0.0,53985897.73,53986733.638,6026.844
2017-03-14,835.908,0.0,53666661.52,53667497.428,0.0
2017-03-15,835.908,0.0,53878369.31,53879205.218,0.0
2017-03-16,835.908,0.0,54216133.66,54216969.568,0.0
2017-03-17,835.908,0.0,53465717.11,53466553.018,0.0
2017-03-20,1197361.271,0.0,52683571.29,53880932.561,6023.356
2017-03-21,1197361.271,0.0,53029109.77,54226471.041,0.0
2017-03-22,1197361.271,0.0,53055601.53,54252962.801,0.0
2017-03-23,1197361.271,0.0,53388883.76,54586245.031,0.0
2017-03-24,1197361.271,0.0,53605142.49,54802503.761,0.0
2017-03-27,80831.814,0.0,54290397.04,54371228.854,5924.402
2017-03-28,80831.814,0.0,54346896.14,54427727.954,0.0
2017-03-29,80831.814,0.0,54118797.77,54199629.584,0.0
2017-03-30,80831.814,0.0,53360217.64,53441049.454,0.0
2017-03-31,80831.814,0.0,53896853.02,53977684.834,0.0
2017-04-05,9342.844,0.0,55285566.59,55294909.434,4040.362
2017-04-06,9342.844,0.0,55427883.88,55437226.724,0.0
2017-04-07,9342.844,0.0,55595995.95,55605338.794,0.0
2017-04-10,280904.962,0.0,55457011.75,55737916.712,6369.864
2017-04-11,280904.962,0.0,55693904.78,55974809.742,0.0
2017-04-12,280904.962,0.0,55517314.96,55798219.922,0.0
2017-04-13,280904.962,0.0,56209010.19,56489915.152,0.0
2017-04-14,280904.962,0.0,55487852.16,55768757.122,0.0
2017-04-17,426951.043,0.0,54543496.91,54970447.953,4824.881
2017-04-18,426951.043,0.0,54311252.97,54738204.013,0.0
2017-04-19,426951.043,0.0,54011223.05,54438174.093,0.0
2017-04-20,426951.043,0.0,54048235.14,54475186.183,0.0
