date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2017-01-03,26.703,26.65,223860.0,600009.XSHG,8400.0,上海机场
2017-01-03,21.894,21.85,312455.0,002690.XSHE,14300.0,美亚光电
2017-01-03,7.675,7.66,2497926.0,000543.XSHE,326100.0,皖能电力
2017-01-03,21.032,20.99,98653.0,300144.XSHE,4700.0,宋城演艺
2017-01-03,12.274,12.25,425075.0,000099.XSHE,34700.0,中信海直
2017-01-03,30.892,30.83,1060552.0,002368.XSHE,34400.0,太极股份
2017-01-03,9.99,9.97,1125613.0,000338.XSHE,112900.0,潍柴动力
2017-01-03,23.918,23.87,2496802.0,600729.XSHG,104600.0,重庆百货
2017-01-03,18.317,18.28,1301536.0,002242.XSHE,71200.0,九阳股份
2017-01-03,17.435,17.4,2495160.0,300001.XSHE,143400.0,特锐德
2017-01-03,9.9,9.88,1043328.0,002081.XSHE,105600.0,金螳螂
2017-01-03,31.242,31.18,2494400.0,002223.XSHE,80000.0,鱼跃医疗
2017-01-03,46.353,46.26,860436.0,600053.XSHG,18600.0,九鼎投资
2017-01-03,10.561,10.54,42160.0,600596.XSHG,4000.0,新安股份
2017-01-03,10.281,10.26,2022246.0,000636.XSHE,197100.0,风华高科
2017-01-03,16.723,16.69,2168031.0,300122.XSHE,129900.0,智飞生物
2017-01-03,5.24,5.23,732200.0,600397.XSHG,140000.0,安源煤业
2017-01-03,11.834,11.81,158254.0,002345.XSHE,13400.0,潮宏基
2017-01-03,77.926,77.77,1633170.0,002281.XSHE,21000.0,光迅科技
2017-01-03,19.038,19.0,380000.0,002358.XSHE,20000.0,森源电气
2017-01-03,14.218,14.19,2246277.0,600872.XSHG,158300.0,中炬高新
2017-01-03,24.439,24.39,2492658.0,600536.XSHG,102200.0,中国软件
2017-01-03,19.258,19.22,1066710.0,600372.XSHG,55500.0,中航电子
2017-01-03,13.507,13.48,2493800.0,600623.XSHG,185000.0,华谊集团
2017-01-03,17.836,17.8,2492000.0,000732.XSHE,140000.0,泰禾集团
2017-01-03,19.278,19.24,2491580.0,000681.XSHE,129500.0,视觉中国
2017-01-03,7.415,7.4,2492320.0,000528.XSHE,336800.0,柳工
2017-01-03,4.85,4.84,2492116.0,002463.XSHE,514900.0,沪电股份
2017-01-03,8.106,8.09,166654.0,600433.XSHG,20600.0,冠豪高新
2017-01-03,21.192,21.15,1362060.0,002299.XSHE,64400.0,圣农发展
2017-01-03,45.721,45.63,1259388.0,600436.XSHG,27600.0,片仔癀
2017-01-03,7.826,7.81,1899392.0,600801.XSHG,243200.0,华新水泥
2017-01-03,15.531,15.5,2490850.0,000975.XSHE,160700.0,银泰黄金
2017-01-03,23.527,23.48,305240.0,603568.XSHG,13000.0,伟明环保
2017-01-03,11.904,11.88,535788.0,601155.XSHG,45100.0,新城控股
2017-01-04,26.703,26.79,225036.0,600009.XSHG,8400.0,上海机场
2017-01-04,21.894,21.66,309738.0,002690.XSHE,14300.0,美亚光电
2017-01-04,7.675,7.7,2510970.0,000543.XSHE,326100.0,皖能电力
2017-01-04,21.032,21.48,100956.0,300144.XSHE,4700.0,宋城演艺
2017-01-04,12.274,12.24,424728.0,000099.XSHE,34700.0,中信海直
2017-01-04,30.892,30.98,1065712.0,002368.XSHE,34400.0,太极股份
2017-01-04,9.99,10.3,1162870.0,000338.XSHE,112900.0,潍柴动力
2017-01-04,23.918,23.94,2504124.0,600729.XSHG,104600.0,重庆百货
2017-01-04,18.317,18.5,1317200.0,002242.XSHE,71200.0,九阳股份
2017-01-04,17.435,17.75,2545350.0,300001.XSHE,143400.0,特锐德
2017-01-04,9.9,10.1,1066560.0,002081.XSHE,105600.0,金螳螂
2017-01-04,31.242,31.48,2518400.0,002223.XSHE,80000.0,鱼跃医疗
2017-01-04,46.353,46.85,871410.0,600053.XSHG,18600.0,九鼎投资
2017-01-04,10.561,10.95,43800.0,600596.XSHG,4000.0,新安股份
2017-01-04,10.281,10.27,2024217.0,000636.XSHE,197100.0,风华高科
2017-01-04,16.723,16.69,2168031.0,300122.XSHE,129900.0,智飞生物
2017-01-04,5.24,5.26,736400.0,600397.XSHG,140000.0,安源煤业
2017-01-04,11.834,11.88,159192.0,002345.XSHE,13400.0,潮宏基
2017-01-04,77.926,77.22,1621620.0,002281.XSHE,21000.0,光迅科技
2017-01-04,19.038,19.12,382400.0,002358.XSHE,20000.0,森源电气
2017-01-04,14.218,14.31,2265273.0,600872.XSHG,158300.0,中炬高新
2017-01-04,24.439,24.75,2529450.0,600536.XSHG,102200.0,中国软件
2017-01-04,19.258,19.26,1068930.0,600372.XSHG,55500.0,中航电子
2017-01-04,13.507,13.61,2517850.0,600623.XSHG,185000.0,华谊集团
2017-01-04,17.836,17.81,2493400.0,000732.XSHE,140000.0,泰禾集团
2017-01-04,19.278,19.71,2552445.0,000681.XSHE,129500.0,视觉中国
2017-01-04,7.415,7.47,2515896.0,000528.XSHE,336800.0,柳工
2017-01-04,4.85,4.88,2512712.0,002463.XSHE,514900.0,沪电股份
2017-01-04,8.106,8.19,168714.0,600433.XSHG,20600.0,冠豪高新
2017-01-04,21.192,20.97,1350468.0,002299.XSHE,64400.0,圣农发展
2017-01-04,45.721,45.85,1265460.0,600436.XSHG,27600.0,片仔癀
2017-01-04,7.826,7.82,1901824.0,600801.XSHG,243200.0,华新水泥
2017-01-04,15.531,15.26,2452282.0,000975.XSHE,160700.0,银泰黄金
2017-01-04,23.527,23.68,307840.0,603568.XSHG,13000.0,伟明环保
2017-01-04,11.904,12.05,543455.0,601155.XSHG,45100.0,新城控股
2017-01-05,26.703,26.83,225372.0,600009.XSHG,8400.0,上海机场
2017-01-05,21.894,21.11,301873.0,002690.XSHE,14300.0,美亚光电
2017-01-05,7.675,7.69,2507709.0,000543.XSHE,326100.0,皖能电力
2017-01-05,21.032,21.21,99687.0,300144.XSHE,4700.0,宋城演艺
2017-01-05,12.274,12.22,424034.0,000099.XSHE,34700.0,中信海直
2017-01-05,30.892,30.98,1065712.0,002368.XSHE,34400.0,太极股份
2017-01-05,9.99,10.33,1166257.0,000338.XSHE,112900.0,潍柴动力
2017-01-05,23.918,23.87,2496802.0,600729.XSHG,104600.0,重庆百货
2017-01-05,18.317,18.34,1305808.0,002242.XSHE,71200.0,九阳股份
2017-01-05,17.435,17.65,2531010.0,300001.XSHE,143400.0,特锐德
2017-01-05,9.9,10.06,1062336.0,002081.XSHE,105600.0,金螳螂
2017-01-05,31.242,31.53,2522400.0,002223.XSHE,80000.0,鱼跃医疗
2017-01-05,46.353,46.52,865272.0,600053.XSHG,18600.0,九鼎投资
2017-01-05,10.561,11.14,44560.0,600596.XSHG,4000.0,新安股份
2017-01-05,10.281,10.45,2059695.0,000636.XSHE,197100.0,风华高科
2017-01-05,16.723,16.9,2195310.0,300122.XSHE,129900.0,智飞生物
2017-01-05,5.24,5.27,737800.0,600397.XSHG,140000.0,安源煤业
2017-01-05,11.834,11.78,157852.0,002345.XSHE,13400.0,潮宏基
2017-01-05,77.926,77.24,1622040.0,002281.XSHE,21000.0,光迅科技
2017-01-05,19.038,19.16,383200.0,002358.XSHE,20000.0,森源电气
2017-01-05,14.218,14.55,2303265.0,600872.XSHG,158300.0,中炬高新
2017-01-05,24.439,24.62,2516164.0,600536.XSHG,102200.0,中国软件
