date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,41488.26,49818939.0,1.0,49860427.26,0.997209,50000000.0
2017-01-04,41488.26,50499525.0,0.997,50541013.26,1.01082,50000000.0
2017-01-05,41488.26,50338956.0,1.011,50380444.26,1.007609,50000000.0
2017-01-06,41488.26,50030589.0,1.008,50072077.26,1.001442,50000000.0
2017-01-09,5082.765,50222930.69,1.001,50228013.455,1.00456,50000000.0
2017-01-10,5082.765,50101663.6,1.005,50106746.365,1.002135,50000000.0
2017-01-11,5082.765,49785680.34,1.002,49790763.105,0.995815,50000000.0
2017-01-12,5082.765,49577652.23,0.996,49582734.995,0.991655,50000000.0
2017-01-13,5082.765,49710907.08,0.992,49715989.845,0.99432,50000000.0
2017-01-16,54309.103,49687790.9,0.994,49742100.003,0.994842,50000000.0
2017-01-17,54309.103,49883409.78,0.995,49937718.883,0.998754,50000000.0
2017-01-18,54309.103,50133064.62,0.999,50187373.723,1.003747,50000000.0
2017-01-19,54309.103,50042541.17,1.004,50096850.273,1.001937,50000000.0
2017-01-20,54309.103,50470669.85,1.002,50524978.953,1.0105,50000000.0
2017-01-23,116292.679,50444781.85,1.01,50561074.529,1.011221,50000000.0
2017-01-24,116292.679,50682958.09,1.011,50799250.769,1.015985,50000000.0
2017-01-25,116292.679,50914577.4,1.016,51030870.079,1.020617,50000000.0
2017-01-26,116292.679,51047864.52,1.021,51164157.199,1.023283,50000000.0
2017-02-03,22481.411,50942735.44,1.023,50965216.851,1.019304,50000000.0
2017-02-06,17304.485,51192740.9,1.019,51210045.385,1.024201,50000000.0
2017-02-07,17304.485,51100793.39,1.024,51118097.875,1.022362,50000000.0
2017-02-08,17304.485,51287355.88,1.022,51304660.365,1.026093,50000000.0
2017-02-09,17304.485,51444931.59,1.026,51462236.075,1.029245,50000000.0
2017-02-10,17304.485,51660737.13,1.029,51678041.615,1.033561,50000000.0
2017-02-13,49620.202,52083153.63,1.034,52132773.832,1.042655,50000000.0
2017-02-14,49620.202,52012053.3,1.043,52061673.502,1.041233,50000000.0
2017-02-15,49620.202,51685108.99,1.041,51734729.192,1.034695,50000000.0
2017-02-16,49620.202,52013145.25,1.035,52062765.452,1.041255,50000000.0
2017-02-17,49620.202,51747308.67,1.041,51796928.872,1.035939,50000000.0
2017-02-20,1840.083,52840231.24,1.036,52842071.323,1.056841,50000000.0
2017-02-21,1840.083,53029429.7,1.057,53031269.783,1.060625,50000000.0
2017-02-22,1840.083,53230129.16,1.061,53231969.243,1.064639,50000000.0
2017-02-23,1840.083,53047258.71,1.065,53049098.793,1.060982,50000000.0
