date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,41488.26,0.0,49818939.0,49860427.26,39934.862
2017-01-04,41488.26,0.0,50499525.0,50541013.26,0.0
2017-01-05,41488.26,0.0,50338956.0,50380444.26,0.0
2017-01-06,41488.26,0.0,50030589.0,50072077.26,0.0
2017-01-09,5082.765,0.0,50222930.69,50228013.455,118.139
2017-01-10,5082.765,0.0,50101663.6,50106746.365,0.0
2017-01-11,5082.765,0.0,49785680.34,49790763.105,0.0
2017-01-12,5082.765,0.0,49577652.23,49582734.995,0.0
2017-01-13,5082.765,0.0,49710907.08,49715989.845,0.0
2017-01-16,54309.103,0.0,49687790.9,49742100.003,195.501
2017-01-17,54309.103,0.0,49883409.78,49937718.883,0.0
2017-01-18,54309.103,0.0,50133064.62,50187373.723,0.0
2017-01-19,54309.103,0.0,50042541.17,50096850.273,0.0
2017-01-20,54309.103,0.0,50470669.85,50524978.953,0.0
2017-01-23,116292.679,0.0,50444781.85,50561074.529,496.004
2017-01-24,116292.679,0.0,50682958.09,50799250.769,0.0
2017-01-25,116292.679,0.0,50914577.4,51030870.079,0.0
2017-01-26,116292.679,0.0,51047864.52,51164157.199,0.0
2017-02-03,22481.411,0.0,50942735.44,50965216.851,88.196
2017-02-06,17304.485,0.0,51192740.9,51210045.385,111.477
2017-02-07,17304.485,0.0,51100793.39,51118097.875,0.0
2017-02-08,17304.485,0.0,51287355.88,51304660.365,0.0
2017-02-09,17304.485,0.0,51444931.59,51462236.075,0.0
2017-02-10,17304.485,0.0,51660737.13,51678041.615,0.0
2017-02-13,49620.202,0.0,52083153.63,52132773.832,193.652
2017-02-14,49620.202,0.0,52012053.3,52061673.502,0.0
2017-02-15,49620.202,0.0,51685108.99,51734729.192,0.0
2017-02-16,49620.202,0.0,52013145.25,52062765.452,0.0
2017-02-17,49620.202,0.0,51747308.67,51796928.872,0.0
2017-02-20,1840.083,0.0,52840231.24,52842071.323,109.948
2017-02-21,1840.083,0.0,53029429.7,53031269.783,0.0
2017-02-22,1840.083,0.0,53230129.16,53231969.243,0.0
2017-02-23,1840.083,0.0,53047258.71,53049098.793,0.0
2017-02-24,1840.083,0.0,52879463.27,52881303.353,0.0
2017-02-27,48784.815,0.0,52459550.74,52508335.555,242.886
2017-02-28,48784.815,0.0,52750797.65,52799582.465,0.0
2017-03-01,48784.815,0.0,52810873.14,52859657.955,0.0
2017-03-02,48784.815,0.0,52599667.57,52648452.385,0.0
2017-03-03,48784.815,0.0,52774249.15,52823033.965,0.0
2017-03-06,37671.967,0.0,53259158.37,53296830.337,61.814
2017-03-07,37671.967,0.0,53473564.97,53511236.937,0.0
2017-03-08,37671.967,0.0,53371286.57,53408958.537,0.0
2017-03-09,37671.967,0.0,53039273.27,53076945.237,0.0
2017-03-10,37671.967,0.0,53541273.32,53578945.287,0.0
2017-03-13,156.156,0.0,54237771.35,54237927.506,32.994
2017-03-14,156.156,0.0,54234263.86,54234420.016,0.0
2017-03-15,156.156,0.0,54586140.2,54586296.356,0.0
2017-03-16,156.156,0.0,54678370.17,54678526.326,0.0
2017-03-17,156.156,0.0,54087157.41,54087313.566,0.0
2017-03-20,843.724,0.0,54326986.01,54327829.734,35.723
2017-03-21,843.724,0.0,55039844.85,55040688.574,0.0
2017-03-22,843.724,0.0,55025111.93,55025955.654,0.0
2017-03-23,843.724,0.0,55364261.23,55365104.954,0.0
2017-03-24,843.724,0.0,55863913.43,55864757.154,0.0
2017-03-27,111703.784,0.0,55358339.39,55470043.174,336.367
2017-03-28,111703.784,0.0,55246134.78,55357838.564,0.0
2017-03-29,133605.014,0.0,55182584.91,55316189.924,0.0
2017-03-30,133605.014,0.0,54752623.36,54886228.374,0.0
2017-03-31,133605.014,0.0,55509071.51,55642676.524,0.0
2017-04-05,17483.613,0.0,56362118.08,56379601.693,98.819
2017-04-06,17483.613,0.0,56362682.13,56380165.743,0.0
2017-04-07,17483.613,0.0,56382679.7,56400163.313,0.0
2017-04-10,79098.24,0.0,56126762.96,56205861.2,262.78
2017-04-11,79098.24,0.0,55797646.65,55876744.89,0.0
2017-04-12,79098.24,0.0,55722565.98,55801664.22,0.0
2017-04-13,79098.24,0.0,56139116.74,56218214.98,0.0
2017-04-14,79098.24,0.0,55571803.51,55650901.75,0.0
2017-04-17,170792.15,0.0,55620172.03,55790964.18,772.991
2017-04-18,170792.15,0.0,55958773.52,56129565.67,0.0
2017-04-19,171672.15,0.0,56088640.39,56260312.54,0.0
2017-04-20,171672.15,0.0,56796170.11,56967842.26,0.0
2017-04-21,171672.15,0.0,56536222.14,56707894.29,0.0
2017-04-24,184222.408,0.0,55917106.62,56101329.028,731.805
2017-04-25,188846.408,0.0,56640545.11,56829391.518,0.0
2017-04-26,188846.408,0.0,57101337.69,57290184.098,0.0
2017-04-27,188846.408,0.0,57052443.51,57241289.918,0.0
2017-04-28,188846.408,0.0,56610657.36,56799503.768,0.0
2017-05-02,20226.909,0.0,56666086.91,56686313.819,152.237
2017-05-03,20226.909,0.0,56644997.29,56665224.199,0.0
2017-05-04,20226.909,0.0,56599096.79,56619323.699,0.0
2017-05-05,20226.909,0.0,56360011.92,56380238.829,0.0
2017-05-08,20919.488,0.0,55908573.98,55929493.468,133.8
2017-05-09,44618.288,0.0,55902969.94,55947588.228,0.0
2017-05-10,103302.288,0.0,55876329.27,55979631.558,0.0
2017-05-11,125262.288,0.0,56378305.21,56503567.498,0.0
2017-05-12,187105.488,0.0,56702246.16,56889351.648,0.0
2017-05-15,27241.288,0.0,57363763.49,57391004.778,402.297
2017-05-16,42391.288,0.0,58280459.22,58322850.508,0.0
2017-05-17,42391.288,0.0,57843973.44,57886364.728,0.0
2017-05-18,55741.288,0.0,57706396.77,57762138.058,0.0
2017-05-19,87181.288,0.0,57764393.49,57851574.778,0.0
2017-05-22,8152.305,0.0,58237381.43,58245533.735,67.376
2017-05-23,8152.305,0.0,58793738.11,58801890.415,0.0
2017-05-24,20707.305,0.0,58780181.05,58800888.355,0.0
2017-05-25,20707.305,0.0,59046854.51,59067561.815,0.0
2017-05-26,35967.055,0.0,58921590.22,58957557.275,0.0
2017-05-31,16740.746,0.0,59338877.366,59355618.112,597.423
2017-06-01,29865.746,0.0,59625969.584,59655835.33,0.0
2017-06-02,29865.746,0.0,59416913.492,59446779.238,0.0
2017-06-05,18122.103,0.0,59267138.448,59285260.551,36.227
2017-06-06,34841.903,0.0,59908471.236,59943313.139,0.0
2017-06-07,39143.303,0.0,60935187.596,60974330.899,0.0
2017-06-08,45613.103,0.0,61936345.564,61981958.667,0.0
2017-06-09,45613.103,0.0,62270463.996,62316077.099,0.0
2017-06-12,52200.336,0.0,62521694.252,62573894.588,3012.86
2017-06-13,64077.036,0.0,62884421.69,62948498.726,0.0
2017-06-14,229809.606,0.0,61716473.428,61946283.034,0.0
2017-06-15,231041.606,0.0,61346427.968,61577469.574,0.0
2017-06-16,329967.206,0.0,61111719.954,61441687.16,0.0
2017-06-19,84466.458,0.0,61745768.128,61830234.586,217.16
2017-06-20,84466.458,0.0,61859833.45,61944299.908,0.0
2017-06-21,84466.458,0.0,63199101.366,63283567.824,0.0
2017-06-22,84466.458,0.0,63096716.704,63181183.162,0.0
2017-06-23,84466.458,0.0,64127652.922,64212119.38,0.0
2017-06-26,51406.472,0.0,65339474.716,65390881.188,55.108
2017-06-27,51406.472,0.0,65450301.06,65501707.532,0.0
2017-06-28,51406.472,0.0,64689887.64,64741294.112,0.0
2017-06-29,55361.537,0.0,65192587.798,65247949.335,0.0
2017-06-30,55361.537,0.0,65256934.876,65312296.413,0.0
2017-07-03,47520.616,0.0,64572742.342,64620262.958,132.668
2017-07-04,47520.616,0.0,64234341.942,64281862.558,0.0
