date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,141765.3,49718916.0,1.0,49860681.3,0.997214,50000000.0
2017-01-04,141765.3,50235718.0,0.997,50377483.3,1.00755,50000000.0
2017-01-05,141765.3,50195251.0,1.008,50337016.3,1.00674,50000000.0
2017-01-06,141765.3,49989170.0,1.007,50130935.3,1.002619,50000000.0
2017-01-09,1720.348,50207432.7,1.003,50209153.048,1.004183,50000000.0
2017-01-10,1720.348,50162787.5,1.004,50164507.848,1.00329,50000000.0
2017-01-11,1720.348,49881644.2,1.003,49883364.548,0.997667,50000000.0
2017-01-12,1720.348,49717537.85,0.998,49719258.198,0.994385,50000000.0
2017-01-13,1720.348,49936067.55,0.994,49937787.898,0.998756,50000000.0
2017-01-16,499.666,50153029.72,0.999,50153529.386,1.003071,50000000.0
2017-01-17,499.666,50280246.43,1.003,50280746.096,1.005615,50000000.0
2017-01-18,499.666,50633706.29,1.006,50634205.956,1.012684,50000000.0
2017-01-19,499.666,50537862.02,1.013,50538361.686,1.010767,50000000.0
2017-01-20,499.666,50831566.02,1.011,50832065.686,1.016641,50000000.0
2017-01-23,177.032,50899627.59,1.017,50899804.622,1.017996,50000000.0
2017-01-24,177.032,51116590.42,1.018,51116767.452,1.022335,50000000.0
2017-01-25,177.032,51282231.85,1.022,51282408.882,1.025648,50000000.0
2017-01-26,177.032,51435802.71,1.026,51435979.742,1.02872,50000000.0
2017-02-03,177.032,51154283.15,1.029,51154460.182,1.023089,50000000.0
2017-02-06,11299.894,51141736.15,1.023,51153036.044,1.023061,50000000.0
2017-02-07,11299.894,50982801.44,1.023,50994101.334,1.019882,50000000.0
2017-02-08,11299.894,51272574.03,1.02,51283873.924,1.025677,50000000.0
2017-02-09,11299.894,51517472.56,1.026,51528772.454,1.030575,50000000.0
2017-02-10,11299.894,51753383.8,1.031,51764683.694,1.035294,50000000.0
2017-02-13,9123.6,52282686.73,1.035,52291810.33,1.045836,50000000.0
2017-02-14,9123.6,52242125.96,1.046,52251249.56,1.045025,50000000.0
2017-02-15,9123.6,52013473.56,1.045,52022597.16,1.040452,50000000.0
2017-02-16,9123.6,52219830.08,1.04,52228953.68,1.044579,50000000.0
2017-02-17,9123.6,52051659.2,1.045,52060782.8,1.041216,50000000.0
2017-02-20,21340.576,52972601.81,1.041,52993942.386,1.059879,50000000.0
2017-02-21,21340.576,53166167.38,1.06,53187507.956,1.06375,50000000.0
2017-02-22,21340.576,53392795.47,1.064,53414136.046,1.068283,50000000.0
2017-02-23,21340.576,53090877.25,1.068,53112217.826,1.062244,50000000.0
2017-02-24,21340.576,52875445.61,1.062,52896786.186,1.057936,50000000.0
2017-02-27,627.579,52385239.94,1.058,52385867.519,1.047717,50000000.0
2017-02-28,627.579,52505656.13,1.048,52506283.709,1.050126,50000000.0
2017-03-01,627.579,52636193.56,1.05,52636821.139,1.052736,50000000.0
2017-03-02,627.579,52487688.68,1.053,52488316.259,1.049766,50000000.0
2017-03-03,627.579,52396257.57,1.05,52396885.149,1.047938,50000000.0
2017-03-06,5842.192,52497893.36,1.048,52503735.552,1.050075,50000000.0
2017-03-07,5842.192,52835021.71,1.05,52840863.902,1.056817,50000000.0
2017-03-08,5842.192,52768953.77,1.057,52774795.962,1.055496,50000000.0
2017-03-09,5842.192,52431164.84,1.055,52437007.032,1.04874,50000000.0
2017-03-10,5842.192,52535754.03,1.049,52541596.222,1.050832,50000000.0
2017-03-13,10583.489,52940738.27,1.051,52951321.759,1.059026,50000000.0
2017-03-14,10583.489,53018412.81,1.059,53028996.299,1.06058,50000000.0
2017-03-15,10763.489,53174328.48,1.061,53185091.969,1.063702,50000000.0
2017-03-16,10763.489,53288309.39,1.064,53299072.879,1.065981,50000000.0
2017-03-17,10763.489,52847047.44,1.066,52857810.929,1.057156,50000000.0
2017-03-20,22303.586,52981089.76,1.057,53003393.346,1.060068,50000000.0
2017-03-21,22303.586,53490464.19,1.06,53512767.776,1.070255,50000000.0
2017-03-22,22303.586,53447745.68,1.07,53470049.266,1.069401,50000000.0
2017-03-23,22303.586,53609824.67,1.069,53632128.256,1.072643,50000000.0
