date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,34916.902,0.0,49825492.0,49860408.902,39940.114
2017-01-04,34916.902,0.0,50384025.0,50418941.902,0.0
2017-01-05,34916.902,0.0,50262362.0,50297278.902,0.0
2017-01-06,34916.902,0.0,49962966.0,49997882.902,0.0
2017-01-09,24499.168,0.0,50026663.0,50051162.168,30.0
2017-01-10,24499.168,0.0,49930943.0,49955442.168,0.0
2017-01-11,24499.168,0.0,49676291.0,49700790.168,0.0
2017-01-12,24499.168,0.0,49526046.0,49550545.168,0.0
2017-01-13,24499.168,0.0,49921293.0,49945792.168,0.0
2017-01-16,11050.372,0.0,50076328.0,50087378.372,25.002
2017-01-17,11050.372,0.0,50155224.0,50166274.372,0.0
2017-01-18,11050.372,0.0,50447156.0,50458206.372,0.0
2017-01-19,11050.372,0.0,50339999.0,50351049.372,0.0
2017-01-20,11050.372,0.0,50629250.0,50640300.372,0.0
2017-01-23,3748.818,0.0,50653954.0,50657702.818,10.0
2017-01-24,3748.818,0.0,50773308.0,50777056.818,0.0
2017-01-25,3748.818,0.0,51045609.0,51049357.818,0.0
2017-01-26,3748.818,0.0,51225308.0,51229056.818,0.0
2017-02-03,2458.252,0.0,50970234.0,50972692.252,5.0
2017-02-06,5640.698,0.0,51080164.16,51085804.858,218.236
2017-02-07,5640.698,0.0,50981742.15,50987382.848,0.0
2017-02-08,5640.698,0.0,51241385.89,51247026.588,0.0
2017-02-09,5640.698,0.0,51382889.83,51388530.528,0.0
2017-02-10,5640.698,0.0,51517458.49,51523099.188,0.0
2017-02-13,9912.156,0.0,52050203.47,52060115.626,233.879
2017-02-14,9912.156,0.0,51989777.48,51999689.636,0.0
2017-02-15,9912.156,0.0,51778293.15,51788205.306,0.0
2017-02-16,9912.156,0.0,52045908.15,52055820.306,0.0
2017-02-17,9912.156,0.0,51877717.78,51887629.936,0.0
2017-02-20,7279.912,0.0,52808832.8,52816112.712,5.0
2017-02-21,7279.912,0.0,53037751.61,53045031.522,0.0
2017-02-22,7279.912,0.0,53119958.78,53127238.692,0.0
2017-02-23,7279.912,0.0,52934362.66,52941642.572,0.0
2017-02-24,7279.912,0.0,52759466.62,52766746.532,0.0
2017-02-27,7279.912,0.0,52300242.79,52307522.702,0.0
2017-02-28,7279.912,0.0,52502511.28,52509791.192,0.0
2017-03-01,7279.912,0.0,52555065.76,52562345.672,0.0
2017-03-02,7279.912,0.0,52318340.94,52325620.852,0.0
2017-03-03,7279.912,0.0,52429164.38,52436444.292,0.0
2017-03-06,426267.142,0.0,52224535.12,52650802.262,1235.436
2017-03-07,426267.142,0.0,52512231.718,52938498.86,0.0
2017-03-08,426267.142,0.0,52475940.858,52902208.0,0.0
2017-03-09,426267.142,0.0,52206306.892,52632574.034,0.0
2017-03-10,426267.142,0.0,52537997.534,52964264.676,0.0
2017-03-13,-5.388,0.0,53279470.988,53279465.6,377.102
2017-03-14,-5.388,0.0,53374438.936,53374433.548,0.0
2017-03-15,-5.388,0.0,53526678.202,53526672.814,0.0
2017-03-16,-5.388,0.0,53584076.746,53584071.358,0.0
2017-03-17,-5.388,0.0,53187276.044,53187270.656,0.0
2017-03-20,21678.024,0.0,53234182.506,53255860.53,321.323
