date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,216904.333,0.0,49644013.0,49860917.333,39794.641
2017-01-04,216904.333,0.0,50313042.0,50529946.333,0.0
2017-01-05,216904.333,0.0,50436253.0,50653157.333,0.0
2017-01-06,216904.333,0.0,49991400.0,50208304.333,0.0
2017-01-09,265.838,0.0,50542098.0,50542363.838,233.549
2017-01-10,265.838,0.0,50464929.0,50465194.838,0.0
2017-01-11,265.838,0.0,49873191.0,49873456.838,0.0
2017-01-12,265.838,0.0,49329695.0,49329960.838,0.0
2017-01-13,265.838,0.0,48621575.0,48621840.838,0.0
2017-01-16,265.838,0.0,47566756.0,47567021.838,0.0
2017-01-17,265.838,0.0,48146816.0,48147081.838,0.0
2017-01-18,265.838,0.0,48356229.0,48356494.838,0.0
2017-01-19,265.838,0.0,48234134.0,48234399.838,0.0
2017-01-20,265.838,0.0,49009942.0,49010207.838,0.0
2017-01-23,102287.828,0.0,49550952.25,49653240.078,630.336
2017-01-24,102287.828,0.0,49675872.7,49778160.528,0.0
2017-01-25,102287.828,0.0,49622306.94,49724594.768,0.0
2017-01-26,102287.828,0.0,49901155.1,50003442.928,0.0
2017-02-03,344.442,0.0,49996574.78,49996919.222,132.17
2017-02-06,24101.13,0.0,50310336.05,50334437.18,203.649
2017-02-07,24101.13,0.0,50300913.81,50325014.94,0.0
2017-02-08,24101.13,0.0,50606932.55,50631033.68,0.0
2017-02-09,24101.13,0.0,50935064.0,50959165.13,0.0
2017-02-10,24101.13,0.0,51171455.82,51195556.95,0.0
2017-02-13,103.33,0.0,51508401.81,51508505.14,50.0
2017-02-14,103.33,0.0,51532893.18,51532996.51,0.0
2017-02-15,103.33,0.0,50868170.94,50868274.27,0.0
2017-02-16,103.33,0.0,51337511.37,51337614.7,0.0
2017-02-17,103.33,0.0,50842578.08,50842681.41,0.0
2017-02-20,103.33,0.0,51853224.48,51853327.81,0.0
2017-02-21,103.33,0.0,52227357.98,52227461.31,0.0
2017-02-22,103.33,0.0,52777344.84,52777448.17,0.0
2017-02-23,103.33,0.0,52424614.67,52424718.0,0.0
2017-02-24,103.33,0.0,52224769.08,52224872.41,0.0
2017-02-27,103.33,0.0,51827468.78,51827572.11,0.0
2017-02-28,103.33,0.0,52078785.68,52078889.01,0.0
2017-03-01,103.33,0.0,52203655.13,52203758.46,0.0
2017-03-02,103.33,0.0,52069912.27,52070015.6,0.0
2017-03-03,103.33,0.0,52017464.6,52017567.93,0.0
2017-03-06,405.96,0.0,52548352.16,52548758.12,10.0
2017-03-07,405.96,0.0,52642317.46,52642723.42,0.0
2017-03-08,405.96,0.0,52526894.86,52527300.82,0.0
2017-03-09,405.96,0.0,51938971.57,51939377.53,0.0
2017-03-10,405.96,0.0,52174329.27,52174735.23,0.0
2017-03-13,54.268,0.0,52762179.97,52762234.238,5.0
2017-03-14,54.268,0.0,52579037.47,52579091.738,0.0
2017-03-15,1044.268,0.0,52687545.75,52688590.018,0.0
2017-03-16,1044.268,0.0,53125281.02,53126325.288,0.0
2017-03-17,1044.268,0.0,52598012.45,52599056.718,0.0
2017-03-20,463.118,0.0,52782992.95,52783456.068,5.0
2017-03-21,463.118,0.0,53058644.72,53059107.838,0.0
2017-03-22,463.118,0.0,52976519.37,52976982.488,0.0
2017-03-23,463.118,0.0,53362531.28,53362994.398,0.0
2017-03-24,463.118,0.0,53739769.94,53740233.058,0.0
2017-03-27,11018.21,0.0,53469483.71,53480501.92,147.492
2017-03-28,11018.21,0.0,53137561.6,53148579.81,0.0
2017-03-29,14043.44,0.0,52834033.58,52848077.02,0.0
2017-03-30,14043.44,0.0,51989074.92,52003118.36,0.0
2017-03-31,14043.44,0.0,52249338.45,52263381.89,0.0
2017-04-05,-5.962,0.0,53156101.67,53156095.708,1196.73
2017-04-06,-5.962,0.0,53273240.53,53273234.568,0.0
2017-04-07,6186.038,0.0,53364124.08,53370310.118,0.0
2017-04-10,1.034,0.0,53229180.82,53229181.854,20.0
2017-04-11,1.034,0.0,53615164.93,53615165.964,0.0
2017-04-12,1.034,0.0,53542056.88,53542057.914,0.0
2017-04-13,1.034,0.0,54046468.32,54046469.354,0.0
2017-04-14,1.034,0.0,53398843.38,53398844.414,0.0
2017-04-17,38.155,0.0,52906551.26,52906589.415,4049.891
2017-04-18,38.155,0.0,52948847.1,52948885.255,0.0
2017-04-19,1078.155,0.0,52700660.24,52701738.395,0.0
2017-04-20,1078.155,0.0,52853650.02,52854728.175,0.0
2017-04-21,1938.155,0.0,52637946.24,52639884.395,0.0
2017-04-24,281897.255,0.0,51143960.54,51425857.795,1089.92
2017-04-25,285977.255,0.0,51609188.37,51895165.625,0.0
2017-04-26,286354.255,0.0,51691347.54,51977701.795,0.0
2017-04-27,331045.575,0.0,51692061.17,52023106.745,0.0
2017-04-28,375216.375,0.0,51670376.744,52045593.119,0.0
2017-05-02,73.212,0.0,52206829.484,52206902.696,424.22
2017-05-03,73.212,0.0,52035663.394,52035736.606,0.0
2017-05-04,73.212,0.0,51878023.424,51878096.636,0.0
2017-05-05,208.212,0.0,51306907.896,51307116.108,0.0
2017-05-08,208.212,0.0,50590177.822,50590386.034,0.0
2017-05-09,8008.212,0.0,50745037.1,50753045.312,0.0
2017-05-10,17692.212,0.0,49942999.528,49960691.74,0.0
2017-05-11,26692.212,0.0,49947616.35,49974308.562,0.0
2017-05-12,50438.882,0.0,49956053.73,50006492.612,0.0
2017-05-15,103560.65,0.0,50243066.308,50346626.958,522.188
2017-05-16,110116.25,0.0,51188935.542,51299051.792,0.0
2017-05-17,110116.25,0.0,51359784.49,51469900.74,0.0
2017-05-18,143509.6,0.0,51041101.336,51184610.936,0.0
2017-05-19,144139.6,0.0,50929912.056,51074051.656,0.0
2017-05-22,-5.718,0.0,50505045.006,50505039.288,185.226
2017-05-23,-5.718,0.0,49735986.31,49735980.592,0.0
2017-05-24,6234.282,0.0,49906989.288,49913223.57,0.0
2017-05-25,23862.84,0.0,50444594.025,50468456.865,0.0
2017-05-26,74093.48,0.0,50503895.034,50577988.514,0.0
2017-05-31,234190.82,0.0,50379859.407,50614050.227,1057.088
