date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,48371.491,49812075.0,1.0,49860446.491,0.997209,50000000.0
2017-01-04,48371.491,50350967.0,0.997,50399338.491,1.007987,50000000.0
2017-01-05,48371.491,50197833.0,1.008,50246204.491,1.004924,50000000.0
2017-01-06,48371.491,49954767.0,1.005,50003138.491,1.000063,50000000.0
2017-01-09,13802.204,50192790.0,1.0,50206592.204,1.004132,50000000.0
2017-01-10,13802.204,50082329.89,1.004,50096132.094,1.001923,50000000.0
2017-01-11,13802.204,49664587.22,1.002,49678389.424,0.993568,50000000.0
2017-01-12,13802.204,49490439.46,0.994,49504241.664,0.990085,50000000.0
2017-01-13,13802.204,49623658.92,0.99,49637461.124,0.992749,50000000.0
2017-01-16,38356.081,49706763.28,0.993,49745119.361,0.994902,50000000.0
2017-01-17,38356.081,49781038.45,0.995,49819394.531,0.996388,50000000.0
2017-01-18,38356.081,50002350.91,0.996,50040706.991,1.000814,50000000.0
2017-01-19,38356.081,49847086.24,1.001,49885442.321,0.997709,50000000.0
2017-01-20,38356.081,50244046.11,0.998,50282402.191,1.005648,50000000.0
2017-01-23,42694.105,50311630.87,1.006,50354324.975,1.007086,50000000.0
2017-01-24,42694.105,50448963.5,1.007,50491657.605,1.009833,50000000.0
2017-01-25,42694.105,50761255.95,1.01,50803950.055,1.016079,50000000.0
2017-01-26,42694.105,50937094.68,1.016,50979788.785,1.019596,50000000.0
2017-02-03,166720.89,50600419.12,1.02,50767140.01,1.015343,50000000.0
2017-02-06,70610.967,50864151.1,1.015,50934762.067,1.018695,50000000.0
2017-02-07,70610.967,50789054.39,1.019,50859665.357,1.017193,50000000.0
2017-02-08,70610.967,50922466.48,1.017,50993077.447,1.019862,50000000.0
2017-02-09,70610.967,51121061.48,1.02,51191672.447,1.023833,50000000.0
2017-02-10,70610.967,51323932.16,1.024,51394543.127,1.027891,50000000.0
2017-02-13,310473.893,51488504.17,1.028,51798978.063,1.03598,50000000.0
2017-02-14,310473.893,51434144.02,1.036,51744617.913,1.034892,50000000.0
2017-02-15,310473.893,51037651.71,1.035,51348125.603,1.026963,50000000.0
2017-02-16,310473.893,51256229.56,1.027,51566703.453,1.031334,50000000.0
2017-02-17,310473.893,50941070.64,1.031,51251544.533,1.025031,50000000.0
2017-02-20,865.302,52097295.21,1.025,52098160.512,1.041963,50000000.0
2017-02-21,865.302,52275914.87,1.042,52276780.172,1.045536,50000000.0
2017-02-22,865.302,52403857.49,1.046,52404722.792,1.048094,50000000.0
2017-02-23,865.302,52186778.79,1.048,52187644.092,1.043753,50000000.0
2017-02-24,865.302,52111408.65,1.044,52112273.952,1.042245,50000000.0
2017-02-27,53293.056,51706300.39,1.042,51759593.446,1.035192,50000000.0
2017-02-28,53293.056,52005407.82,1.035,52058700.876,1.041174,50000000.0
2017-03-01,53293.056,52090682.68,1.041,52143975.736,1.04288,50000000.0
2017-03-02,53293.056,51773333.27,1.043,51826626.326,1.036533,50000000.0
2017-03-03,53293.056,51950932.77,1.037,52004225.826,1.040085,50000000.0
2017-03-06,2302789.293,49911598.6,1.04,52214387.893,1.044288,50000000.0
