date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,48371.491,0.0,49812075.0,49860446.491,39929.359
2017-01-04,48371.491,0.0,50350967.0,50399338.491,0.0
2017-01-05,48371.491,0.0,50197833.0,50246204.491,0.0
2017-01-06,48371.491,0.0,49954767.0,50003138.491,0.0
2017-01-09,13802.204,0.0,50192790.0,50206592.204,370.903
2017-01-10,13802.204,0.0,50082329.89,50096132.094,0.0
2017-01-11,13802.204,0.0,49664587.22,49678389.424,0.0
2017-01-12,13802.204,0.0,49490439.46,49504241.664,0.0
2017-01-13,13802.204,0.0,49623658.92,49637461.124,0.0
2017-01-16,38356.081,0.0,49706763.28,49745119.361,420.289
2017-01-17,38356.081,0.0,49781038.45,49819394.531,0.0
2017-01-18,38356.081,0.0,50002350.91,50040706.991,0.0
2017-01-19,38356.081,0.0,49847086.24,49885442.321,0.0
2017-01-20,38356.081,0.0,50244046.11,50282402.191,0.0
2017-01-23,42694.105,0.0,50311630.87,50354324.975,1159.084
2017-01-24,42694.105,0.0,50448963.5,50491657.605,0.0
2017-01-25,42694.105,0.0,50761255.95,50803950.055,0.0
2017-01-26,42694.105,0.0,50937094.68,50979788.785,0.0
2017-02-03,166720.89,0.0,50600419.12,50767140.01,935.82
2017-02-06,70610.967,0.0,50864151.1,50934762.067,563.448
2017-02-07,70610.967,0.0,50789054.39,50859665.357,0.0
2017-02-08,70610.967,0.0,50922466.48,50993077.447,0.0
2017-02-09,70610.967,0.0,51121061.48,51191672.447,0.0
2017-02-10,70610.967,0.0,51323932.16,51394543.127,0.0
2017-02-13,310473.893,0.0,51488504.17,51798978.063,1086.183
2017-02-14,310473.893,0.0,51434144.02,51744617.913,0.0
2017-02-15,310473.893,0.0,51037651.71,51348125.603,0.0
2017-02-16,310473.893,0.0,51256229.56,51566703.453,0.0
2017-02-17,310473.893,0.0,50941070.64,51251544.533,0.0
2017-02-20,865.302,0.0,52097295.21,52098160.512,726.525
2017-02-21,865.302,0.0,52275914.87,52276780.172,0.0
2017-02-22,865.302,0.0,52403857.49,52404722.792,0.0
2017-02-23,865.302,0.0,52186778.79,52187644.092,0.0
2017-02-24,865.302,0.0,52111408.65,52112273.952,0.0
2017-02-27,53293.056,0.0,51706300.39,51759593.446,731.315
2017-02-28,53293.056,0.0,52005407.82,52058700.876,0.0
2017-03-01,53293.056,0.0,52090682.68,52143975.736,0.0
2017-03-02,53293.056,0.0,51773333.27,51826626.326,0.0
2017-03-03,53293.056,0.0,51950932.77,52004225.826,0.0
2017-03-06,2302789.293,0.0,49911598.6,52214387.893,5929.905
2017-03-07,2302789.293,0.0,50049625.56,52352414.853,0.0
2017-03-08,2302789.293,0.0,49997317.57,52300106.863,0.0
2017-03-09,2302789.293,0.0,49715220.58,52018009.873,0.0
2017-03-10,2302789.293,0.0,49934352.39,52237141.683,0.0
2017-03-13,17.365,0.0,52853801.07,52853818.435,2052.599
2017-03-14,17.365,0.0,52999750.26,52999767.625,0.0
2017-03-15,17.365,0.0,53205799.54,53205816.905,0.0
2017-03-16,17.365,0.0,53335741.46,53335758.825,0.0
2017-03-17,17.365,0.0,52775673.59,52775690.955,0.0
2017-03-20,186132.929,0.0,52580070.58,52766203.509,4621.43
2017-03-21,186132.929,0.0,52917607.42,53103740.349,0.0
2017-03-22,186132.929,0.0,52745145.57,52931278.499,0.0
2017-03-23,186132.929,0.0,53080294.35,53266427.279,0.0
2017-03-24,186132.929,0.0,53616620.43,53802753.359,0.0
2017-03-27,64311.618,0.0,53603629.37,53667940.988,2351.886
2017-03-28,64311.618,0.0,53457869.64,53522181.258,0.0
2017-03-29,111833.898,0.0,53307191.72,53419025.618,0.0
2017-03-30,111833.898,0.0,53050432.19,53162266.088,0.0
2017-03-31,111833.898,0.0,53822215.99,53934049.888,0.0
2017-04-05,246737.601,0.0,54384720.66,54631458.261,2355.487
2017-04-06,246737.601,0.0,54391883.52,54638621.121,0.0
2017-04-07,246737.601,0.0,54602652.82,54849390.421,0.0
2017-04-10,347643.693,0.0,54498357.06,54846000.753,2290.619
2017-04-11,347643.693,0.0,54403656.65,54751300.343,0.0
2017-04-12,347643.693,0.0,54171793.46,54519437.153,0.0
2017-04-13,347643.693,0.0,54404501.48,54752145.173,0.0
2017-04-14,347643.693,0.0,53950555.21,54298198.903,0.0
2017-04-17,299048.829,0.0,53877200.08,54176248.909,3499.168
2017-04-18,299048.829,0.0,53882875.29,54181924.119,0.0
2017-04-19,301838.429,0.0,53909558.83,54211397.259,0.0
2017-04-20,301838.429,0.0,54461632.09,54763470.519,0.0
2017-04-21,301838.429,0.0,54493885.72,54795724.149,0.0
2017-04-24,293165.343,0.0,54154665.88,54447831.223,2591.229
2017-04-25,301628.623,0.0,54343393.9,54645022.523,0.0
2017-04-26,301628.623,0.0,54702438.05,55004066.673,0.0
