date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,36619.659,49823794.0,1.0,49860413.659,0.997208,50000000.0
2017-01-04,36619.659,50262183.0,0.997,50298802.659,1.005976,50000000.0
2017-01-05,36619.659,50149864.0,1.006,50186483.659,1.00373,50000000.0
2017-01-06,36619.659,49942901.0,1.004,49979520.659,0.99959,50000000.0
2017-01-09,6491.622,50145639.75,1.0,50152131.372,1.003043,50000000.0
2017-01-10,6491.622,49994298.97,1.003,50000790.592,1.000016,50000000.0
2017-01-11,6491.622,49716296.14,1.0,49722787.762,0.994456,50000000.0
2017-01-12,6491.622,49640871.07,0.994,49647362.692,0.992947,50000000.0
2017-01-13,6491.622,50036153.8,0.993,50042645.422,1.000853,50000000.0
2017-01-16,63634.503,50397392.89,1.001,50461027.393,1.009221,50000000.0
2017-01-17,63634.503,50327134.71,1.009,50390769.213,1.007815,50000000.0
2017-01-18,63634.503,50650428.32,1.008,50714062.823,1.014281,50000000.0
2017-01-19,63634.503,50438564.3,1.014,50502198.803,1.010044,50000000.0
2017-01-20,63634.503,50726673.96,1.01,50790308.463,1.015806,50000000.0
2017-01-23,107142.767,50738312.56,1.016,50845455.327,1.016909,50000000.0
2017-01-24,107142.767,50849024.39,1.017,50956167.157,1.019123,50000000.0
2017-01-25,107142.767,51083438.27,1.019,51190581.037,1.023812,50000000.0
2017-01-26,107142.767,51232624.2,1.024,51339766.967,1.026795,50000000.0
2017-02-03,43728.929,50931092.5,1.027,50974821.429,1.019496,50000000.0
2017-02-06,112628.526,50935437.53,1.019,51048066.056,1.020961,50000000.0
2017-02-07,112628.526,50877226.53,1.021,50989855.056,1.019797,50000000.0
2017-02-08,112628.526,51066650.15,1.02,51179278.676,1.023586,50000000.0
2017-02-09,112628.526,51313279.47,1.024,51425907.996,1.028518,50000000.0
2017-02-10,112628.526,51581242.33,1.029,51693870.856,1.033877,50000000.0
2017-02-13,53031.592,52101485.33,1.034,52154516.922,1.04309,50000000.0
2017-02-14,53031.592,52037769.01,1.043,52090800.602,1.041816,50000000.0
2017-02-15,53031.592,51921509.78,1.042,51974541.372,1.039491,50000000.0
2017-02-16,53031.592,52036954.0,1.039,52089985.592,1.0418,50000000.0
2017-02-17,53031.592,51741460.81,1.042,51794492.402,1.03589,50000000.0
2017-02-20,378050.354,52305315.99,1.036,52683366.344,1.053667,50000000.0
2017-02-21,378050.354,52413210.17,1.054,52791260.524,1.055825,50000000.0
2017-02-22,378050.354,52395763.33,1.056,52773813.684,1.055476,50000000.0
2017-02-23,378050.354,52139667.18,1.055,52517717.534,1.050354,50000000.0
2017-02-24,378050.354,52080638.23,1.05,52458688.584,1.049174,50000000.0
2017-02-27,4654.834,52023602.3,1.049,52028257.134,1.040565,50000000.0
2017-02-28,4654.834,52185390.44,1.041,52190045.274,1.043801,50000000.0
2017-03-01,4654.834,52268124.75,1.044,52272779.584,1.045456,50000000.0
2017-03-02,4654.834,51878991.87,1.045,51883646.704,1.037673,50000000.0
2017-03-03,4654.834,51870543.48,1.038,51875198.314,1.037504,50000000.0
2017-03-06,2629598.8,49241851.44,1.038,51871450.24,1.037429,50000000.0
2017-03-07,2629598.8,49465647.31,1.037,52095246.11,1.041905,50000000.0
2017-03-08,2629598.8,49452721.5,1.042,52082320.3,1.041646,50000000.0
2017-03-09,2629598.8,49191542.69,1.042,51821141.49,1.036423,50000000.0
2017-03-10,2629598.8,49088596.25,1.036,51718195.05,1.034364,50000000.0
2017-03-13,489.856,52067539.48,1.034,52068029.336,1.041361,50000000.0
2017-03-14,489.856,52185093.69,1.041,52185583.546,1.043712,50000000.0
2017-03-15,489.856,52191367.07,1.044,52191856.926,1.043837,50000000.0
2017-03-16,489.856,52449176.42,1.044,52449666.276,1.048993,50000000.0
2017-03-17,489.856,52024706.46,1.049,52025196.316,1.040504,50000000.0
2017-03-20,662149.082,51311283.34,1.041,51973432.422,1.039469,50000000.0
2017-03-21,662149.082,51547981.78,1.039,52210130.862,1.044203,50000000.0
2017-03-22,662149.082,51138848.21,1.044,51800997.292,1.03602,50000000.0
2017-03-23,662149.082,51364396.9,1.036,52026545.982,1.040531,50000000.0
2017-03-24,662149.082,51821668.88,1.041,52483817.962,1.049676,50000000.0
2017-03-27,198654.72,52306745.07,1.05,52505399.79,1.050108,50000000.0
2017-03-28,198654.72,52112622.58,1.05,52311277.3,1.046226,50000000.0
2017-03-29,253070.64,51916045.68,1.046,52169116.32,1.043382,50000000.0
2017-03-30,253070.64,51813537.53,1.043,52066608.17,1.041332,50000000.0
2017-03-31,253070.64,52273885.18,1.041,52526955.82,1.050539,50000000.0
2017-04-05,516832.685,52456883.7,1.051,52973716.385,1.059474,50000000.0
2017-04-06,516832.685,52485194.5,1.059,53002027.185,1.060041,50000000.0
2017-04-07,516832.685,52510920.8,1.06,53027753.485,1.060555,50000000.0
2017-04-10,28857.63,52754536.19,1.061,52783393.82,1.055668,50000000.0
2017-04-11,28857.63,52652195.17,1.056,52681052.8,1.053621,50000000.0
2017-04-12,28857.63,52484717.73,1.054,52513575.36,1.050272,50000000.0
2017-04-13,28857.63,52516841.47,1.05,52545699.1,1.050914,50000000.0
2017-04-14,28857.63,52239322.03,1.051,52268179.66,1.045364,50000000.0
2017-04-17,-1488.213,52208048.0,1.045,52206559.787,1.044131,50000000.0
2017-04-18,-1488.213,51975798.92,1.044,51974310.707,1.039486,50000000.0
2017-04-19,2232.187,51892752.43,1.039,51894984.617,1.0379,50000000.0
2017-04-20,2232.187,52254903.7,1.038,52257135.887,1.045143,50000000.0
2017-04-21,2232.187,52344236.06,1.045,52346468.247,1.046929,50000000.0
2017-04-24,262.967,52244271.53,1.047,52244534.497,1.044891,50000000.0
2017-04-25,262.967,52571013.51,1.045,52571276.477,1.051426,50000000.0
2017-04-26,262.967,52709952.14,1.051,52710215.107,1.054204,50000000.0
2017-04-27,262.967,52865947.28,1.054,52866210.247,1.057324,50000000.0
2017-04-28,262.967,52793269.43,1.057,52793532.397,1.055871,50000000.0
2017-05-02,470619.387,52028109.48,1.056,52498728.867,1.049975,50000000.0
2017-05-03,470619.387,51877197.03,1.05,52347816.417,1.046956,50000000.0
2017-05-04,470619.387,51834962.67,1.047,52305582.057,1.046112,50000000.0
2017-05-05,470619.387,51726689.31,1.046,52197308.697,1.043946,50000000.0
2017-05-08,23661.55,52102516.12,1.044,52126177.67,1.042524,50000000.0
2017-05-09,23661.55,52102088.04,1.043,52125749.59,1.042515,50000000.0
2017-05-10,31711.13,52415270.93,1.043,52446982.06,1.04894,50000000.0
2017-05-11,31711.13,52688912.63,1.049,52720623.76,1.054412,50000000.0
2017-05-12,79920.53,53517250.14,1.054,53597170.67,1.071943,50000000.0
2017-05-15,39948.0,53748275.67,1.072,53788223.67,1.075764,50000000.0
2017-05-16,48666.6,54016240.125,1.076,54064906.725,1.081298,50000000.0
2017-05-17,48666.6,53609938.745,1.081,53658605.345,1.073172,50000000.0
2017-05-18,48667.1,53503619.938,1.073,53552287.038,1.071046,50000000.0
2017-05-19,48667.1,53616907.266,1.071,53665574.366,1.073311,50000000.0
2017-05-22,638946.883,53385035.04,1.073,54023981.923,1.08048,50000000.0
2017-05-23,638946.883,53979401.847,1.08,54618348.73,1.092367,50000000.0
