date,cash,dividend_receivable,market_value,total_value,transaction_cost
2017-01-03,36619.659,0.0,49823794.0,49860413.659,39938.753
2017-01-04,36619.659,0.0,50262183.0,50298802.659,0.0
2017-01-05,36619.659,0.0,50149864.0,50186483.659,0.0
2017-01-06,36619.659,0.0,49942901.0,49979520.659,0.0
2017-01-09,6491.622,0.0,50145639.75,50152131.372,577.679
2017-01-10,6491.622,0.0,49994298.97,50000790.592,0.0
2017-01-11,6491.622,0.0,49716296.14,49722787.762,0.0
2017-01-12,6491.622,0.0,49640871.07,49647362.692,0.0
2017-01-13,6491.622,0.0,50036153.8,50042645.422,0.0
2017-01-16,63634.503,0.0,50397392.89,50461027.393,445.453
2017-01-17,63634.503,0.0,50327134.71,50390769.213,0.0
2017-01-18,63634.503,0.0,50650428.32,50714062.823,0.0
2017-01-19,63634.503,0.0,50438564.3,50502198.803,0.0
2017-01-20,63634.503,0.0,50726673.96,50790308.463,0.0
2017-01-23,107142.767,0.0,50738312.56,50845455.327,357.788
2017-01-24,107142.767,0.0,50849024.39,50956167.157,0.0
2017-01-25,107142.767,0.0,51083438.27,51190581.037,0.0
2017-01-26,107142.767,0.0,51232624.2,51339766.967,0.0
2017-02-03,43728.929,0.0,50931092.5,50974821.429,942.346
2017-02-06,112628.526,0.0,50935437.53,51048066.056,479.661
2017-02-07,112628.526,0.0,50877226.53,50989855.056,0.0
2017-02-08,112628.526,0.0,51066650.15,51179278.676,0.0
2017-02-09,112628.526,0.0,51313279.47,51425907.996,0.0
2017-02-10,112628.526,0.0,51581242.33,51693870.856,0.0
2017-02-13,53031.592,0.0,52101485.33,52154516.922,4640.064
2017-02-14,53031.592,0.0,52037769.01,52090800.602,0.0
2017-02-15,53031.592,0.0,51921509.78,51974541.372,0.0
2017-02-16,53031.592,0.0,52036954.0,52089985.592,0.0
2017-02-17,53031.592,0.0,51741460.81,51794492.402,0.0
2017-02-20,378050.354,0.0,52305315.99,52683366.344,1298.349
2017-02-21,378050.354,0.0,52413210.17,52791260.524,0.0
2017-02-22,378050.354,0.0,52395763.33,52773813.684,0.0
2017-02-23,378050.354,0.0,52139667.18,52517717.534,0.0
2017-02-24,378050.354,0.0,52080638.23,52458688.584,0.0
