date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2017-01-03,4.89,4.88,811544.0,601225.XSHG,166300.0,陕西煤业
2017-01-03,9.86,9.84,874776.0,601766.XSHG,88900.0,中国中车
2017-01-03,4.439,4.43,1502213.0,601398.XSHG,339100.0,工商银行
2017-01-03,26.703,26.65,807495.0,600009.XSHG,30300.0,上海机场
2017-01-03,3.477,3.47,1502163.0,601988.XSHG,432900.0,中国银行
2017-01-03,7.455,7.44,523776.0,600050.XSHG,70400.0,中国联通
2017-01-03,15.321,15.29,255343.0,601800.XSHG,16700.0,中国交建
2017-01-03,3.958,3.95,1502185.0,601818.XSHG,380300.0,光大银行
2017-01-03,15.781,15.75,1748250.0,600837.XSHG,111000.0,海通证券
2017-01-03,23.938,23.89,358350.0,600104.XSHG,15000.0,上汽集团
2017-01-03,16.683,16.65,1560105.0,001979.XSHE,93700.0,招商蛇口
2017-01-03,5.822,5.81,1501304.0,601328.XSHG,258400.0,交通银行
2017-01-03,36.834,36.76,896944.0,600547.XSHG,24400.0,山东黄金
2017-01-03,335.229,334.56,702576.0,600519.XSHG,2100.0,贵州茅台
2017-01-03,28.076,28.02,1745646.0,601601.XSHG,62300.0,中国太保
2017-01-03,8.888,8.87,255456.0,601668.XSHG,28800.0,中国建筑
2017-01-03,16.333,16.3,1501230.0,600000.XSHG,92100.0,浦发银行
2017-01-03,21.082,21.04,2495344.0,000895.XSHE,118600.0,双汇发展
2017-01-03,45.1,45.01,1746388.0,601336.XSHG,38800.0,新华保险
2017-01-03,8.948,8.93,255398.0,601390.XSHG,28600.0,中国中铁
2017-01-03,17.996,17.96,1499660.0,600036.XSHG,83500.0,招商银行
2017-01-03,7.355,7.34,887406.0,601989.XSHG,120900.0,中国重工
2017-01-03,17.425,17.39,466052.0,600585.XSHG,26800.0,海螺水泥
2017-01-03,16.272,16.24,1500576.0,601166.XSHG,92400.0,兴业银行
2017-01-03,3.126,3.12,2494128.0,601288.XSHG,799400.0,农业银行
2017-01-03,16.222,16.19,1746901.0,600030.XSHG,107900.0,中信证券
2017-01-03,17.114,17.08,495320.0,300059.XSHE,29000.0,东方财富
2017-01-03,35.751,35.68,1744752.0,601318.XSHG,48900.0,中国平安
2017-01-03,18.757,18.72,1744704.0,601211.XSHG,93200.0,国泰君安
2017-01-03,12.635,12.61,1151293.0,600900.XSHG,91300.0,长江电力
2017-01-03,9.99,9.97,361911.0,000338.XSHE,36300.0,潍柴动力
2017-01-03,9.128,9.11,1499506.0,600016.XSHG,164600.0,民生银行
2017-01-03,46.092,46.0,1292600.0,600276.XSHG,28100.0,恒瑞医药
2017-01-03,9.9,9.88,1498796.0,601169.XSHG,151700.0,北京银行
2017-01-03,13.978,13.95,75330.0,600100.XSHG,5400.0,同方股份
2017-01-03,25.3,25.25,1744775.0,601628.XSHG,69100.0,中国人寿
2017-01-03,22.886,22.84,598408.0,600309.XSHG,26200.0,万华化学
2017-01-03,6.763,6.75,1498500.0,601998.XSHG,222000.0,中信银行
2017-01-03,18.226,18.19,2490211.0,601688.XSHG,136900.0,华泰证券
2017-01-03,12.024,12.0,2491200.0,601186.XSHG,207600.0,中国铁建
2017-01-04,4.89,4.91,816533.0,601225.XSHG,166300.0,陕西煤业
2017-01-04,9.86,9.94,883666.0,601766.XSHG,88900.0,中国中车
2017-01-04,4.439,4.43,1502213.0,601398.XSHG,339100.0,工商银行
2017-01-04,26.703,26.79,811737.0,600009.XSHG,30300.0,上海机场
2017-01-04,3.477,3.47,1502163.0,601988.XSHG,432900.0,中国银行
2017-01-04,7.455,7.43,523072.0,600050.XSHG,70400.0,中国联通
2017-01-04,15.321,15.45,258015.0,601800.XSHG,16700.0,中国交建
2017-01-04,3.958,3.96,1505988.0,601818.XSHG,380300.0,光大银行
2017-01-04,15.781,15.79,1752690.0,600837.XSHG,111000.0,海通证券
2017-01-04,23.938,24.29,364350.0,600104.XSHG,15000.0,上汽集团
2017-01-04,16.683,16.76,1570412.0,001979.XSHE,93700.0,招商蛇口
2017-01-04,5.822,5.82,1503888.0,601328.XSHG,258400.0,交通银行
2017-01-04,36.834,36.91,900604.0,600547.XSHG,24400.0,山东黄金
2017-01-04,335.229,351.91,739011.0,600519.XSHG,2100.0,贵州茅台
2017-01-04,28.076,28.18,1755614.0,601601.XSHG,62300.0,中国太保
2017-01-04,8.888,8.97,258336.0,601668.XSHG,28800.0,中国建筑
2017-01-04,16.333,16.33,1503993.0,600000.XSHG,92100.0,浦发银行
2017-01-04,21.082,20.98,2488228.0,000895.XSHE,118600.0,双汇发展
2017-01-04,45.1,45.07,1748716.0,601336.XSHG,38800.0,新华保险
2017-01-04,8.948,9.18,262548.0,601390.XSHG,28600.0,中国中铁
2017-01-04,17.996,18.02,1504670.0,600036.XSHG,83500.0,招商银行
2017-01-04,7.355,7.37,891033.0,601989.XSHG,120900.0,中国重工
2017-01-04,17.425,17.32,464176.0,600585.XSHG,26800.0,海螺水泥
2017-01-04,16.272,16.32,1507968.0,601166.XSHG,92400.0,兴业银行
2017-01-04,3.126,3.12,2494128.0,601288.XSHG,799400.0,农业银行
2017-01-04,16.222,16.22,1750138.0,600030.XSHG,107900.0,中信证券
2017-01-04,17.114,17.29,501410.0,300059.XSHE,29000.0,东方财富
2017-01-04,35.751,35.65,1743285.0,601318.XSHG,48900.0,中国平安
2017-01-04,18.757,18.79,1751228.0,601211.XSHG,93200.0,国泰君安
2017-01-04,12.635,12.7,1159510.0,600900.XSHG,91300.0,长江电力
2017-01-04,9.99,10.3,373890.0,000338.XSHE,36300.0,潍柴动力
2017-01-04,9.128,9.11,1499506.0,600016.XSHG,164600.0,民生银行
2017-01-04,46.092,46.58,1308898.0,600276.XSHG,28100.0,恒瑞医药
2017-01-04,9.9,9.87,1497279.0,601169.XSHG,151700.0,北京银行
2017-01-04,13.978,14.03,75762.0,600100.XSHG,5400.0,同方股份
2017-01-04,25.3,25.32,1749612.0,601628.XSHG,69100.0,中国人寿
2017-01-04,22.886,23.71,621202.0,600309.XSHG,26200.0,万华化学
2017-01-04,6.763,6.75,1498500.0,601998.XSHG,222000.0,中信银行
2017-01-04,18.226,18.44,2524436.0,601688.XSHG,136900.0,华泰证券
2017-01-04,12.024,12.21,2534796.0,601186.XSHG,207600.0,中国铁建
2017-01-05,4.89,4.94,821522.0,601225.XSHG,166300.0,陕西煤业
2017-01-05,9.86,9.9,880110.0,601766.XSHG,88900.0,中国中车
2017-01-05,4.439,4.44,1505604.0,601398.XSHG,339100.0,工商银行
2017-01-05,26.703,26.83,812949.0,600009.XSHG,30300.0,上海机场
2017-01-05,3.477,3.46,1497834.0,601988.XSHG,432900.0,中国银行
2017-01-05,7.455,7.84,551936.0,600050.XSHG,70400.0,中国联通
2017-01-05,15.321,15.42,257514.0,601800.XSHG,16700.0,中国交建
2017-01-05,3.958,3.94,1498382.0,601818.XSHG,380300.0,光大银行
2017-01-05,15.781,15.66,1738260.0,600837.XSHG,111000.0,海通证券
2017-01-05,23.938,24.05,360750.0,600104.XSHG,15000.0,上汽集团
2017-01-05,16.683,16.82,1576034.0,001979.XSHE,93700.0,招商蛇口
2017-01-05,5.822,5.8,1498720.0,601328.XSHG,258400.0,交通银行
2017-01-05,36.834,37.62,917928.0,600547.XSHG,24400.0,山东黄金
2017-01-05,335.229,346.74,728154.0,600519.XSHG,2100.0,贵州茅台
2017-01-05,28.076,28.34,1765582.0,601601.XSHG,62300.0,中国太保
2017-01-05,8.888,8.93,257184.0,601668.XSHG,28800.0,中国建筑
2017-01-05,16.333,16.3,1501230.0,600000.XSHG,92100.0,浦发银行
2017-01-05,21.082,20.85,2472810.0,000895.XSHE,118600.0,双汇发展
2017-01-05,45.1,44.9,1742120.0,601336.XSHG,38800.0,新华保险
2017-01-05,8.948,9.19,262834.0,601390.XSHG,28600.0,中国中铁
2017-01-05,17.996,18.1,1511350.0,600036.XSHG,83500.0,招商银行
2017-01-05,7.355,7.48,904332.0,601989.XSHG,120900.0,中国重工
2017-01-05,17.425,17.46,467928.0,600585.XSHG,26800.0,海螺水泥
2017-01-05,16.272,16.33,1508892.0,601166.XSHG,92400.0,兴业银行
2017-01-05,3.126,3.13,2502122.0,601288.XSHG,799400.0,农业银行
2017-01-05,16.222,16.15,1742585.0,600030.XSHG,107900.0,中信证券
2017-01-05,17.114,17.23,499670.0,300059.XSHE,29000.0,东方财富
2017-01-05,35.751,35.73,1747197.0,601318.XSHG,48900.0,中国平安
2017-01-05,18.757,18.68,1740976.0,601211.XSHG,93200.0,国泰君安
2017-01-05,12.635,12.7,1159510.0,600900.XSHG,91300.0,长江电力
2017-01-05,9.99,10.33,374979.0,000338.XSHE,36300.0,潍柴动力
2017-01-05,9.128,9.08,1494568.0,600016.XSHG,164600.0,民生银行
2017-01-05,46.092,46.59,1309179.0,600276.XSHG,28100.0,恒瑞医药
2017-01-05,9.9,9.88,1498796.0,601169.XSHG,151700.0,北京银行
2017-01-05,13.978,13.95,75330.0,600100.XSHG,5400.0,同方股份
2017-01-05,25.3,25.38,1753758.0,601628.XSHG,69100.0,中国人寿
2017-01-05,22.886,23.47,614914.0,600309.XSHG,26200.0,万华化学
2017-01-05,6.763,6.79,1507380.0,601998.XSHG,222000.0,中信银行
2017-01-05,18.226,18.35,2512115.0,601688.XSHG,136900.0,华泰证券
2017-01-05,12.024,12.14,2520264.0,601186.XSHG,207600.0,中国铁建
2017-01-06,4.89,4.9,814870.0,601225.XSHG,166300.0,陕西煤业
2017-01-06,9.86,9.94,883666.0,601766.XSHG,88900.0,中国中车
2017-01-06,4.439,4.44,1505604.0,601398.XSHG,339100.0,工商银行
2017-01-06,26.703,26.9,815070.0,600009.XSHG,30300.0,上海机场
2017-01-06,3.477,3.44,1489176.0,601988.XSHG,432900.0,中国银行
2017-01-06,7.455,7.68,540672.0,600050.XSHG,70400.0,中国联通
2017-01-06,15.321,15.61,260687.0,601800.XSHG,16700.0,中国交建
2017-01-06,3.958,3.92,1490776.0,601818.XSHG,380300.0,光大银行
2017-01-06,15.781,15.39,1708290.0,600837.XSHG,111000.0,海通证券
2017-01-06,23.938,23.91,358650.0,600104.XSHG,15000.0,上汽集团
2017-01-06,16.683,16.71,1565727.0,001979.XSHE,93700.0,招商蛇口
2017-01-06,5.822,5.78,1493552.0,601328.XSHG,258400.0,交通银行
2017-01-06,36.834,37.29,909876.0,600547.XSHG,24400.0,山东黄金
2017-01-06,335.229,350.76,736596.0,600519.XSHG,2100.0,贵州茅台
2017-01-06,28.076,27.94,1740662.0,601601.XSHG,62300.0,中国太保
2017-01-06,8.888,8.88,255744.0,601668.XSHG,28800.0,中国建筑
2017-01-06,16.333,16.18,1490178.0,600000.XSHG,92100.0,浦发银行
2017-01-06,21.082,20.58,2440788.0,000895.XSHE,118600.0,双汇发展
2017-01-06,45.1,44.24,1716512.0,601336.XSHG,38800.0,新华保险
2017-01-06,8.948,9.09,259974.0,601390.XSHG,28600.0,中国中铁
2017-01-06,17.996,17.96,1499660.0,600036.XSHG,83500.0,招商银行
2017-01-06,7.355,7.44,899496.0,601989.XSHG,120900.0,中国重工
2017-01-06,17.425,17.44,467392.0,600585.XSHG,26800.0,海螺水泥
2017-01-06,16.272,16.17,1494108.0,601166.XSHG,92400.0,兴业银行
2017-01-06,3.126,3.13,2502122.0,601288.XSHG,799400.0,农业银行
2017-01-06,16.222,16.01,1727479.0,600030.XSHG,107900.0,中信证券
2017-01-06,17.114,17.07,495030.0,300059.XSHE,29000.0,东方财富
2017-01-06,35.751,35.44,1733016.0,601318.XSHG,48900.0,中国平安
2017-01-06,18.757,18.52,1726064.0,601211.XSHG,93200.0,国泰君安
2017-01-06,12.635,12.71,1160423.0,600900.XSHG,91300.0,长江电力
2017-01-06,9.99,10.29,373527.0,000338.XSHE,36300.0,潍柴动力
2017-01-06,9.128,9.01,1483046.0,600016.XSHG,164600.0,民生银行
2017-01-06,46.092,45.99,1292319.0,600276.XSHG,28100.0,恒瑞医药
2017-01-06,9.9,9.83,1491211.0,601169.XSHG,151700.0,北京银行
2017-01-06,13.978,13.84,74736.0,600100.XSHG,5400.0,同方股份
2017-01-06,25.3,25.18,1739938.0,601628.XSHG,69100.0,中国人寿
2017-01-06,22.886,23.59,618058.0,600309.XSHG,26200.0,万华化学
2017-01-06,6.763,6.79,1507380.0,601998.XSHG,222000.0,中信银行
2017-01-06,18.226,18.15,2484735.0,601688.XSHG,136900.0,华泰证券
2017-01-06,12.024,12.07,2505732.0,601186.XSHG,207600.0,中国铁建
2017-01-09,4.89,4.89,813207.0,601225.XSHG,166300.0,陕西煤业
2017-01-09,9.86,10.14,894489.96,601766.XSHG,88214.0,中国中车
2017-01-09,4.439,4.46,1512386.0,601398.XSHG,339100.0,工商银行
2017-01-09,26.703,26.89,814767.0,600009.XSHG,30300.0,上海机场
2017-01-09,3.477,3.44,1489176.0,601988.XSHG,432900.0,中国银行
2017-01-09,7.455,7.71,528836.61,600050.XSHG,68591.0,中国联通
2017-01-09,15.321,15.75,260457.75,601800.XSHG,16537.0,中国交建
2017-01-09,3.958,3.92,1490776.0,601818.XSHG,380300.0,光大银行
2017-01-09,15.781,15.6,1739400.0,600837.XSHG,111500.0,海通证券
2017-01-09,23.938,24.16,354596.32,600104.XSHG,14677.0,上汽集团
2017-01-09,16.683,16.81,1569633.75,001979.XSHE,93375.0,招商蛇口
2017-01-09,5.822,5.79,1496136.0,601328.XSHG,258400.0,交通银行
2017-01-09,36.834,36.78,897432.0,600547.XSHG,24400.0,山东黄金
2017-01-09,335.229,348.51,731871.0,600519.XSHG,2100.0,贵州茅台
2017-01-09,28.077,28.35,1771875.0,601601.XSHG,62500.0,中国太保
2017-01-09,8.888,8.95,255182.4,601668.XSHG,28512.0,中国建筑
2017-01-09,16.333,16.2,1492020.0,600000.XSHG,92100.0,浦发银行
2017-01-09,21.074,20.61,2491749.0,000895.XSHE,120900.0,双汇发展
2017-01-09,45.099,44.7,1738830.0,601336.XSHG,38900.0,新华保险
2017-01-09,8.948,9.12,258260.16,601390.XSHG,28318.0,中国中铁
2017-01-09,17.996,17.94,1497990.0,600036.XSHG,83500.0,招商银行
2017-01-09,7.355,7.76,928833.2,601989.XSHG,119695.0,中国重工
2017-01-09,17.425,17.6,471680.0,600585.XSHG,26800.0,海螺水泥
2017-01-09,16.272,16.24,1500576.0,601166.XSHG,92400.0,兴业银行
2017-01-09,3.126,3.13,2489226.4,601288.XSHG,795280.0,农业银行
2017-01-09,16.222,16.07,1741988.0,600030.XSHG,108400.0,中信证券
2017-01-09,17.114,17.1,495900.0,300059.XSHE,29000.0,东方财富
2017-01-09,35.75,35.42,1739122.0,601318.XSHG,49100.0,中国平安
2017-01-09,18.757,18.66,1746576.0,601211.XSHG,93600.0,国泰君安
2017-01-09,12.635,12.73,1155833.08,600900.XSHG,90796.0,长江电力
2017-01-09,9.99,10.41,377883.0,000338.XSHE,36300.0,潍柴动力
2017-01-09,9.128,9.02,1484692.0,600016.XSHG,164600.0,民生银行
2017-01-09,46.092,45.57,1280517.0,600276.XSHG,28100.0,恒瑞医药
2017-01-09,9.9,9.86,1495762.0,601169.XSHG,151700.0,北京银行
2017-01-09,13.978,13.95,75330.0,600100.XSHG,5400.0,同方股份
2017-01-09,25.302,25.58,1775252.0,601628.XSHG,69400.0,中国人寿
2017-01-09,22.89,23.41,618024.0,600309.XSHG,26400.0,万华化学
2017-01-09,6.763,6.84,1518473.16,601998.XSHG,221999.0,中信银行
2017-01-09,18.226,18.15,2484735.0,601688.XSHG,136900.0,华泰证券
2017-01-09,12.024,12.1,2495443.5,601186.XSHG,206235.0,中国铁建
2017-01-10,4.89,4.98,828174.0,601225.XSHG,166300.0,陕西煤业
2017-01-10,9.86,10.06,887432.84,601766.XSHG,88214.0,中国中车
2017-01-10,4.439,4.46,1512386.0,601398.XSHG,339100.0,工商银行
2017-01-10,26.703,26.92,815676.0,600009.XSHG,30300.0,上海机场
2017-01-10,3.477,3.43,1484847.0,601988.XSHG,432900.0,中国银行
2017-01-10,7.455,7.54,517176.14,600050.XSHG,68591.0,中国联通
2017-01-10,15.321,15.31,253181.47,601800.XSHG,16537.0,中国交建
2017-01-10,3.958,3.91,1486973.0,601818.XSHG,380300.0,光大银行
2017-01-10,15.781,15.81,1762815.0,600837.XSHG,111500.0,海通证券
2017-01-10,23.938,24.01,352394.77,600104.XSHG,14677.0,上汽集团
2017-01-10,16.683,16.95,1582706.25,001979.XSHE,93375.0,招商蛇口
2017-01-10,5.822,5.79,1496136.0,601328.XSHG,258400.0,交通银行
2017-01-10,36.834,37.43,913292.0,600547.XSHG,24400.0,山东黄金
2017-01-10,335.229,349.0,732900.0,600519.XSHG,2100.0,贵州茅台
2017-01-10,28.077,28.04,1752500.0,601601.XSHG,62500.0,中国太保
2017-01-10,8.888,8.88,253186.56,601668.XSHG,28512.0,中国建筑
2017-01-10,16.333,16.19,1491099.0,600000.XSHG,92100.0,浦发银行
2017-01-10,21.074,20.87,2523183.0,000895.XSHE,120900.0,双汇发展
2017-01-10,45.099,44.38,1726382.0,601336.XSHG,38900.0,新华保险
2017-01-10,8.948,8.91,252313.38,601390.XSHG,28318.0,中国中铁
2017-01-10,17.996,17.94,1497990.0,600036.XSHG,83500.0,招商银行
2017-01-10,7.355,7.58,907288.1,601989.XSHG,119695.0,中国重工
2017-01-10,17.425,17.73,475164.0,600585.XSHG,26800.0,海螺水泥
2017-01-10,16.272,16.22,1498728.0,601166.XSHG,92400.0,兴业银行
2017-01-10,3.126,3.13,2489226.4,601288.XSHG,795280.0,农业银行
2017-01-10,16.222,16.11,1746324.0,600030.XSHG,108400.0,中信证券
2017-01-10,17.114,17.0,493000.0,300059.XSHE,29000.0,东方财富
2017-01-10,35.75,35.23,1729793.0,601318.XSHG,49100.0,中国平安
2017-01-10,18.757,18.64,1744704.0,601211.XSHG,93600.0,国泰君安
2017-01-10,12.635,12.72,1154925.12,600900.XSHG,90796.0,长江电力
2017-01-10,9.99,10.57,383691.0,000338.XSHE,36300.0,潍柴动力
2017-01-10,9.128,9.03,1486338.0,600016.XSHG,164600.0,民生银行
2017-01-10,46.092,46.04,1293724.0,600276.XSHG,28100.0,恒瑞医药
2017-01-10,9.9,9.86,1495762.0,601169.XSHG,151700.0,北京银行
2017-01-10,13.978,13.91,75114.0,600100.XSHG,5400.0,同方股份
2017-01-10,25.302,25.02,1736388.0,601628.XSHG,69400.0,中国人寿
2017-01-10,22.89,23.58,622512.0,600309.XSHG,26400.0,万华化学
2017-01-10,6.763,6.7,1487393.3,601998.XSHG,221999.0,中信银行
2017-01-10,18.226,18.04,2469676.0,601688.XSHG,136900.0,华泰证券
2017-01-10,12.024,11.86,2445947.1,601186.XSHG,206235.0,中国铁建
2017-01-11,4.89,4.98,828174.0,601225.XSHG,166300.0,陕西煤业
2017-01-11,9.86,9.97,879493.58,601766.XSHG,88214.0,中国中车
