date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,422.532,49859890.0,1.0,49860312.532,0.997206,50000000.0
2017-01-04,422.532,50563602.0,0.997,50564024.532,1.01128,50000000.0
2017-01-05,422.532,50570105.0,1.011,50570527.532,1.011411,50000000.0
2017-01-06,422.532,50575803.0,1.011,50576225.532,1.011525,50000000.0
2017-01-09,533040.87,50646507.58,1.012,51179548.45,1.023591,50000000.0
2017-01-10,533040.87,50361047.0,1.024,50894087.87,1.017882,50000000.0
2017-01-11,533040.87,50006013.1,1.018,50539053.97,1.010781,50000000.0
2017-01-12,533040.87,49567802.25,1.011,50100843.12,1.002017,50000000.0
2017-01-13,533040.87,48722282.73,1.002,49255323.6,0.985106,50000000.0
2017-01-16,296892.033,47754973.75,0.985,48051865.783,0.961037,50000000.0
2017-01-17,296892.033,48450490.03,0.961,48747382.063,0.974948,50000000.0
2017-01-18,296892.033,48341107.14,0.975,48637999.173,0.97276,50000000.0
2017-01-19,296892.033,48318525.23,0.973,48615417.263,0.972308,50000000.0
2017-01-20,296892.033,49031562.75,0.972,49328454.783,0.986569,50000000.0
2017-01-23,437122.29,49193652.13,0.987,49630774.42,0.992615,50000000.0
2017-01-24,437122.29,49341420.92,0.993,49778543.21,0.995571,50000000.0
2017-01-25,437122.29,49438497.76,0.996,49875620.05,0.997512,50000000.0
2017-01-26,437122.29,49609344.22,0.998,50046466.51,1.000929,50000000.0
2017-02-03,101550.959,49935919.55,1.001,50037470.509,1.000749,50000000.0
2017-02-06,61691.923,50376740.22,1.001,50438432.143,1.008769,50000000.0
2017-02-07,61691.923,50258860.9,1.009,50320552.823,1.006411,50000000.0
2017-02-08,61691.923,50538565.44,1.006,50600257.363,1.012005,50000000.0
2017-02-09,61691.923,51022865.67,1.012,51084557.593,1.021691,50000000.0
2017-02-10,61691.923,51238413.92,1.022,51300105.843,1.026002,50000000.0
2017-02-13,52927.141,51410802.68,1.026,51463729.821,1.029275,50000000.0
2017-02-14,52927.141,51367730.05,1.029,51420657.191,1.028413,50000000.0
2017-02-15,52927.141,50893969.36,1.028,50946896.501,1.018938,50000000.0
2017-02-16,52927.141,51496455.04,1.019,51549382.181,1.030988,50000000.0
2017-02-17,52927.141,51211619.6,1.031,51264546.741,1.025291,50000000.0
2017-02-20,1405337.503,50848659.97,1.025,52253997.473,1.04508,50000000.0
2017-02-21,1405337.503,51043888.58,1.045,52449226.083,1.048985,50000000.0
2017-02-22,1405337.503,51393085.88,1.049,52798423.383,1.055968,50000000.0
2017-02-23,1405337.503,51220464.54,1.056,52625802.043,1.052516,50000000.0
2017-02-24,1405337.503,51274514.59,1.053,52679852.093,1.053597,50000000.0
2017-02-27,91800.76,52047910.87,1.054,52139711.63,1.042794,50000000.0
2017-02-28,91800.76,52341145.08,1.043,52432945.84,1.048659,50000000.0
2017-03-01,91800.76,52754631.95,1.049,52846432.71,1.056929,50000000.0
2017-03-02,91800.76,52773631.18,1.057,52865431.94,1.057309,50000000.0
2017-03-03,91800.76,52852447.88,1.057,52944248.64,1.058885,50000000.0
2017-03-06,2570093.13,50904784.94,1.059,53474878.07,1.069498,50000000.0
2017-03-07,2570093.13,51014562.7,1.069,53584655.83,1.071693,50000000.0
2017-03-08,2570093.13,50961388.15,1.072,53531481.28,1.07063,50000000.0
2017-03-09,2570093.13,50539346.23,1.071,53109439.36,1.062189,50000000.0
2017-03-10,2570093.13,50788918.08,1.062,53359011.21,1.06718,50000000.0
2017-03-13,2078429.411,51954774.2,1.067,54033203.611,1.080664,50000000.0
2017-03-14,2078429.411,51669160.71,1.081,53747590.121,1.074952,50000000.0
2017-03-15,2078429.411,51869606.63,1.075,53948036.041,1.078961,50000000.0
2017-03-16,2078429.411,52237941.83,1.079,54316371.241,1.086327,50000000.0
2017-03-17,2078429.411,51538703.82,1.086,53617133.231,1.072343,50000000.0
2017-03-20,119162.989,53868374.33,1.072,53987537.319,1.079751,50000000.0
2017-03-21,119162.989,54190971.57,1.08,54310134.559,1.086203,50000000.0
2017-03-22,119162.989,54197838.17,1.086,54317001.159,1.08634,50000000.0
2017-03-23,119162.989,54514394.8,1.086,54633557.789,1.092671,50000000.0
2017-03-24,119162.989,54723001.7,1.093,54842164.689,1.096843,50000000.0
2017-03-27,740487.576,53715550.6,1.097,54456038.176,1.089121,50000000.0
2017-03-28,740487.576,53765299.41,1.089,54505786.986,1.090116,50000000.0
2017-03-29,740487.576,53573486.28,1.09,54313973.856,1.086279,50000000.0
2017-03-30,740487.576,52752130.35,1.086,53492617.926,1.069852,50000000.0
2017-03-31,740487.576,53315051.65,1.07,54055539.226,1.081111,50000000.0
